,Israel,Japan,USSR,Argentina,Turkey,Australia & New Zealand,Australia,Ethiopia PDR,Pakistan,United Republic of Tanzania,Mexico,Tajikistan,Ethiopia,Ukraine,Hungary,Russian Federation,Kyrgyzstan,Iran (Islamic Republic of),Kazakhstan,China,United States of America,Morocco,"China, mainland",Canada,Uzbekistan,Spain,Portugal,Occupied Palestinian Territory,India
1997,0.0,-1.0,,13300.0,65.0,7600.0,7600.0,,1129.0,-1.0,163391.0,239.0,1257.0,-1.0,1200.0,6000.0,18643.0,509.0,18300.0,25000.0,195070.0,-1.0,25000.0,1100.0,3000.0,252.0,-1.0,2.0,432300.0
1998,0.0,,,24600.0,72.0,17100.0,17100.0,,75.0,5000.0,171219.0,478.0,2486.0,-1.0,850.0,4082.0,17849.0,518.0,20000.0,25000.0,186900.0,-1.0,25000.0,1400.0,2605.0,292.0,-1.0,1.0,120000.0
1999,0.0,,,9550.0,50.0,36700.0,36700.0,,119.0,5670.0,262743.0,730.0,3715.0,-1.0,350.0,2000.0,17887.0,523.0,34000.0,24000.0,183600.0,-1.0,24000.0,3800.0,3100.0,250.0,-1.0,2.0,242200.0
2000,1.0,,,30850.0,18.0,9000.0,9000.0,,44.0,6263.0,96438.0,68.0,6466.0,-1.0,750.0,1770.0,10880.0,525.0,25350.0,39000.0,128160.0,-1.0,39000.0,6700.0,3078.0,211.0,-1.0,5.0,260400.0
2001,1.0,,,43680.0,25.0,1900.0,1900.0,,41.0,6854.0,111459.0,70.0,5000.0,-1.0,400.0,390.0,8097.0,524.0,25000.0,30000.0,108982.0,-1.0,30000.0,2900.0,2687.0,17.0,-1.0,1.0,202000.0
2002,1.0,,,23500.0,25.0,26000.0,26000.0,,47.0,7438.0,52855.0,917.0,3766.0,-1.0,650.0,110.0,7008.0,520.0,37920.0,32000.0,120451.0,-1.0,32000.0,1100.0,2660.0,43.0,-1.0,4.0,230000.0
2003,1.0,,,13300.0,170.0,28000.0,28000.0,,49.0,8011.0,200587.0,2507.0,5000.0,-1.0,295.0,980.0,15327.0,515.0,94802.0,28000.0,124627.0,-1.0,28000.0,2000.0,5080.0,108.0,-1.0,6.0,178500.0
2004,1.0,,,18000.0,150.0,28000.0,28000.0,,35.0,8569.0,230866.0,2919.0,5043.0,-1.0,651.0,180.0,22510.0,509.0,76105.0,30000.0,86802.0,-1.0,30000.0,2821.0,8260.0,90.0,-1.0,5.0,134900.0
2005,1.0,,,50760.0,215.0,28500.0,28500.0,,38.0,9113.0,94422.0,5068.0,7039.0,100.0,288.0,310.0,15238.0,502.0,61700.0,32000.0,99334.0,-1.0,32000.0,2747.0,7090.0,18.0,-1.0,5.0,173600.0
2006,0.0,,,17800.0,395.0,13942.0,13942.0,,38.0,9643.0,73536.0,1570.0,5957.0,60.0,239.0,130.0,13045.0,495.0,45700.0,30000.0,89337.0,-1.0,30000.0,2575.0,3257.0,67.0,-1.0,6.0,228600.0
2007,0.0,,,58000.0,2280.0,2040.0,2040.0,,49.0,10160.0,113334.0,1036.0,11176.0,60.0,83.0,40.0,12039.0,489.0,43940.0,32000.0,95547.0,-1.0,32000.0,2636.0,3500.0,24.0,-1.0,5.0,240000.0
2008,12.0,,,33480.0,7068.0,7500.0,7500.0,,60.0,10665.0,96413.0,562.0,8075.0,80.0,237.0,580.0,12830.0,483.0,45740.0,32500.0,140810.0,-1.0,32500.0,2698.0,4500.0,30.0,-1.0,3.0,225000.0
2009,13.0,,,86991.0,20076.0,6200.0,6200.0,,65.0,11159.0,76750.0,1287.0,5552.0,125.0,59.0,350.0,14636.0,480.0,84100.0,34000.0,109760.0,-1.0,34000.0,2759.0,8500.0,35.0,-1.0,2.0,189200.0
2010,13.0,,,43850.0,26000.0,4900.0,4900.0,,45.0,11641.0,97078.0,981.0,5067.0,180.0,20.0,270.0,11331.0,478.0,122240.0,32552.0,100400.0,-1.0,32552.0,2820.0,9969.0,3517.0,-1.0,1.0,178800.0
2011,13.0,,,56086.0,18228.0,6056.0,6056.0,,34.0,12113.0,130922.0,618.0,8870.0,100.0,27.0,4690.0,10910.0,480.0,151210.0,32431.0,76960.0,-1.0,32431.0,2882.0,10602.0,5424.0,-1.0,1.0,150000.0
2012,13.0,,,108250.0,19500.0,4800.0,4800.0,,34.0,12700.0,257451.0,1476.0,13279.0,100.0,4.0,7990.0,12306.0,580.0,127210.0,31843.0,78900.0,-1.0,31843.0,2943.0,12691.0,1966.0,-1.0,3.0,145000.0
2013,13.0,,,49770.0,45000.0,4600.0,4600.0,,23.0,13000.0,91788.0,2335.0,8347.0,100.0,7.0,41766.0,12863.0,560.0,174900.0,32002.0,95360.0,-1.0,32002.0,3004.0,25858.0,4196.0,-1.0,3.0,109000.0
2014,13.0,,,3090.0,62000.0,5481.0,5481.0,,21.0,13484.0,144411.0,2550.0,6325.0,100.0,70.0,81747.0,10634.0,524.0,135430.0,32160.0,94640.0,-1.0,32160.0,3066.0,21397.0,3706.0,-1.0,2.0,113000.0
