,Ukraine,Democratic People's Republic of Korea,Bolivia (Plurinational State of),Peru,Serbia and Montenegro,Cameroon,USSR,Romania,Azerbaijan,Spain,Bosnia and Herzegovina,China,The former Yugoslav Republic of Macedonia,Japan,Latvia,Albania,Slovakia,Republic of Korea,France,Chile,Hungary,Greece,Bulgaria,Yugoslav SFR,Portugal,Slovenia,"China, mainland",Italy,Turkey
1996,-1.0,14948.0,13188.0,24467.0,24607.0,9973.0,-1.0,91128.0,13333.0,13963.0,14545.0,39583.0,20000.0,10308.0,-1.0,22500.0,-1.0,25797.0,15426.0,-1.0,13754.0,16072.0,33333.0,-1.0,10452.0,33333.0,39583.0,24855.0,16565.0
1997,-1.0,14820.0,12272.0,25875.0,24045.0,9975.0,-1.0,100000.0,10000.0,14082.0,14464.0,48077.0,20000.0,11625.0,-1.0,25000.0,-1.0,25935.0,22051.0,-1.0,12977.0,17595.0,33333.0,-1.0,10465.0,26000.0,48077.0,24505.0,15136.0
1998,-1.0,15000.0,9078.0,27273.0,23515.0,9978.0,-1.0,25000.0,15000.0,15210.0,13793.0,51136.0,14706.0,9527.0,-1.0,25000.0,-1.0,24435.0,25758.0,-1.0,9730.0,16436.0,25000.0,-1.0,11099.0,20000.0,51136.0,24162.0,14474.0
1999,-1.0,14702.0,13441.0,30062.0,22000.0,10000.0,-1.0,52011.0,20000.0,14765.0,15179.0,50917.0,10000.0,11152.0,-1.0,25000.0,-1.0,23942.0,26249.0,-1.0,11627.0,18730.0,23529.0,-1.0,10677.0,18182.0,50917.0,23827.0,14560.0
2000,25000.0,14718.0,13760.0,33959.0,22500.0,10000.0,-1.0,57232.0,25000.0,14759.0,14737.0,54380.0,13570.0,10114.0,-1.0,25000.0,-1.0,24433.0,21689.0,-1.0,11181.0,18218.0,26667.0,-1.0,11449.0,35625.0,54380.0,23499.0,14164.0
2001,24807.0,15000.0,13333.0,30172.0,23333.0,10000.0,-1.0,56048.0,25000.0,15206.0,14068.0,52664.0,14205.0,11197.0,-1.0,25000.0,-1.0,24136.0,21104.0,-1.0,11011.0,19147.0,21429.0,-1.0,8948.0,20625.0,52664.0,23180.0,13390.0
2002,24863.0,14771.0,13939.0,37222.0,20000.0,10000.0,-1.0,54745.0,25000.0,14970.0,13966.0,53976.0,14862.0,11758.0,-1.0,25000.0,-1.0,20687.0,15579.0,-1.0,11395.0,17292.0,23333.0,-1.0,10631.0,20625.0,53976.0,22870.0,12948.0
2003,24990.0,15000.0,13889.0,41703.0,22500.0,10000.0,-1.0,55617.0,24529.0,14969.0,13333.0,54977.0,16000.0,9921.0,-1.0,25000.0,-1.0,18187.0,13929.0,-1.0,7317.0,19178.0,24667.0,-1.0,11132.0,4000.0,54977.0,22656.0,12903.0
2004,25190.0,15000.0,13884.0,41892.0,21284.0,10000.0,-1.0,27647.0,24271.0,15206.0,14167.0,52728.0,15478.0,9877.0,-1.0,25000.0,-1.0,20167.0,17113.0,-1.0,7400.0,21015.0,28000.0,-1.0,10273.0,9091.0,52728.0,22537.0,12963.0
2005,25392.0,15517.0,13585.0,37500.0,21280.0,10000.0,-1.0,33000.0,49540.0,14761.0,14516.0,55776.0,15415.0,9160.0,-1.0,25000.0,-1.0,21842.0,11173.0,7744.0,6353.0,21351.0,25000.0,-1.0,7374.0,11818.0,55776.0,21667.0,13228.0
2006,25598.0,13333.0,13750.0,42105.0,-1.0,10000.0,-1.0,73333.0,87811.0,16531.0,14375.0,51803.0,15350.0,9914.0,-1.0,25000.0,2222.0,20613.0,13880.0,9195.0,9322.0,19324.0,25000.0,-1.0,10210.0,36364.0,51803.0,22482.0,14443.0
2007,25807.0,15000.0,13810.0,40000.0,-1.0,10000.0,-1.0,45000.0,46593.0,10501.0,14844.0,53215.0,13333.0,9609.0,25000.0,25000.0,2222.0,20102.0,11894.0,9563.0,4942.0,16813.0,34783.0,-1.0,7323.0,42000.0,53215.0,22541.0,14143.0
2008,26021.0,15000.0,13946.0,40476.0,-1.0,10000.0,-1.0,220000.0,19581.0,7333.0,14615.0,55787.0,15802.0,11244.0,25000.0,25000.0,2222.0,19782.0,8982.0,24590.0,5380.0,9245.0,34286.0,-1.0,7090.0,52000.0,55787.0,22000.0,14211.0
2009,25000.0,17229.0,13979.0,42196.0,-1.0,10000.0,-1.0,116667.0,17775.0,6400.0,14848.0,55357.0,16667.0,9819.0,25000.0,24843.0,2222.0,19357.0,12204.0,23224.0,4981.0,21452.0,35385.0,-1.0,7026.0,36667.0,55357.0,22853.0,15804.0
2010,25000.0,19093.0,14101.0,45544.0,-1.0,10000.0,-1.0,145000.0,16585.0,6172.0,14925.0,55724.0,17202.0,10829.0,25000.0,24403.0,2222.0,18753.0,13314.0,11339.0,6061.0,28243.0,36667.0,-1.0,6460.0,76000.0,55724.0,23024.0,15409.0
2011,25000.0,22000.0,14223.0,45651.0,-1.0,10000.0,-1.0,161934.0,16421.0,7012.0,14286.0,56450.0,17744.0,8925.0,25000.0,21667.0,2222.0,17941.0,9819.0,13661.0,4785.0,25000.0,34400.0,-1.0,5273.0,16250.0,56450.0,23775.0,15679.0
2012,31250.0,21818.0,14345.0,46656.0,-1.0,10227.0,-1.0,250000.0,15610.0,5313.0,13750.0,56054.0,20000.0,9952.0,25000.0,24167.0,2222.0,17081.0,12106.0,16000.0,6735.0,42206.0,38182.0,-1.0,5495.0,6364.0,56054.0,23905.0,14925.0
2013,37500.0,21818.0,14467.0,47662.0,-1.0,10181.0,-1.0,250000.0,15895.0,5548.0,7857.0,56374.0,18250.0,10194.0,25000.0,19894.0,2222.0,16584.0,12001.0,23404.0,5400.0,36579.0,37919.0,-1.0,7035.0,4167.0,56374.0,24036.0,53081.0
2014,25000.0,22182.0,14589.0,48667.0,-1.0,10098.0,-1.0,130000.0,14680.0,5179.0,7871.0,56694.0,17804.0,10594.0,25024.0,21865.0,2222.0,17137.0,11173.0,23256.0,6122.0,34683.0,41000.0,-1.0,5223.0,14167.0,56694.0,24167.0,57361.0
