,Indonesia,Bhutan,Trinidad and Tobago,Dominica,Sri Lanka,Togo,Melanesia,United Republic of Tanzania,Malaysia,Thailand,Nepal,Ethiopia,Kenya,Ethiopia PDR,Lao People's Democratic Republic,Papua New Guinea,Grenada,Saint Vincent and the Grenadines,Guatemala,Madagascar,Saint Lucia,Malawi,India,Honduras
1987,15404.0,4100.0,130.0,-1.0,1261.0,-1.0,450.0,750.0,410.0,,1300.0,,10.0,100.0,1800.0,450.0,3100.0,101.0,10819.0,20.0,17.0,50.0,9270.0,400.0
1988,14718.0,4200.0,130.0,3.0,1320.0,-1.0,380.0,500.0,435.0,,1500.0,,10.0,100.0,1500.0,380.0,2120.0,145.0,11907.0,20.0,17.0,50.0,8560.0,400.0
1989,16398.0,4400.0,130.0,3.0,1326.0,-1.0,300.0,600.0,520.0,,2000.0,,20.0,100.0,1700.0,300.0,2000.0,82.0,11500.0,20.0,18.0,50.0,10120.0,400.0
1990,18453.0,4600.0,105.0,4.0,1546.0,-1.0,180.0,900.0,565.0,,1500.0,,18.0,90.0,1800.0,180.0,2030.0,110.0,11500.0,10.0,15.0,45.0,9560.0,393.0
1991,17943.0,4900.0,49.0,4.0,1800.0,-1.0,120.0,700.0,594.0,,2000.0,,49.0,0.0,2000.0,120.0,1750.0,89.0,12360.0,10.0,20.0,230.0,9520.0,350.0
1992,19100.0,5200.0,58.0,2.0,2000.0,40.0,100.0,663.0,570.0,,2238.0,,49.0,0.0,2149.0,100.0,2000.0,90.0,12650.0,10.0,22.0,224.0,9210.0,330.0
1993,22599.0,5000.0,67.0,4.0,2000.0,5.0,80.0,634.0,610.0,-1.0,2500.0,100.0,25.0,,2291.0,80.0,2500.0,61.0,12927.0,11.0,20.0,218.0,10870.0,333.0
1994,20570.0,4800.0,76.0,2.0,2070.0,13.0,85.0,625.0,630.0,-1.0,2700.0,100.0,46.0,,2500.0,85.0,2850.0,104.0,14968.0,11.0,22.0,213.0,10700.0,300.0
1995,20217.0,4500.0,85.0,2.0,2120.0,14.0,80.0,635.0,543.0,-1.0,2920.0,100.0,48.0,,2355.0,80.0,2197.0,114.0,15621.0,11.0,25.0,207.0,11700.0,353.0
1996,19955.0,4000.0,94.0,2.0,2210.0,13.0,70.0,654.0,492.0,,3000.0,100.0,49.0,,2300.0,70.0,2398.0,122.0,21500.0,11.0,25.0,201.0,12600.0,310.0
1997,20600.0,3500.0,103.0,2.0,2170.0,5.0,76.0,650.0,300.0,,4000.0,100.0,50.0,,2339.0,76.0,2725.0,114.0,21300.0,11.0,26.0,196.0,11700.0,372.0
1998,19900.0,3000.0,112.0,2.0,2190.0,8.0,60.0,700.0,600.0,,4505.0,100.0,52.0,,2384.0,60.0,2500.0,125.0,17830.0,12.0,26.0,190.0,9000.0,400.0
1999,14300.0,2500.0,126.0,2.0,2120.0,13.0,60.0,746.0,575.0,,4335.0,100.0,53.0,,2400.0,60.0,2940.0,115.0,14720.0,12.0,26.0,185.0,10700.0,320.0
2000,21031.0,2000.0,135.0,2.0,2080.0,20.0,45.0,771.0,599.0,,4900.0,100.0,70.0,,2461.0,45.0,2784.0,139.0,15640.0,12.0,27.0,179.0,14500.0,330.0
2001,23787.0,1500.0,140.0,2.0,2010.0,20.0,50.0,796.0,540.0,,6080.0,100.0,50.0,,2500.0,50.0,2351.0,153.0,15911.0,10.0,27.0,173.0,15200.0,600.0
2002,26786.0,1000.0,145.0,4.0,2010.0,20.0,215.0,820.0,513.0,,6179.0,100.0,53.0,,2558.0,215.0,3280.0,200.0,19000.0,10.0,28.0,168.0,15400.0,490.0
2003,22236.0,800.0,150.0,5.0,2050.0,20.0,150.0,846.0,494.0,,6300.0,100.0,54.0,,2600.0,150.0,2602.0,150.0,28600.0,12.0,28.0,162.0,16700.0,462.0
2004,14497.0,815.0,155.0,4.0,1750.0,21.0,148.0,888.0,374.0,,6500.0,100.0,55.0,,2648.0,148.0,2887.0,150.0,28400.0,13.0,29.0,156.0,16900.0,602.0
2005,15376.0,1190.0,165.0,4.0,1710.0,20.0,152.0,926.0,352.0,,6800.0,100.0,56.0,,2700.0,152.0,150.0,120.0,31600.0,14.0,29.0,154.0,17800.0,765.0
2006,21770.0,3477.0,175.0,5.0,690.0,25.0,160.0,957.0,336.0,,6646.0,100.0,57.0,,2738.0,160.0,233.0,155.0,31200.0,15.0,30.0,144.0,17000.0,350.0
2007,23845.0,2121.0,185.0,5.0,500.0,30.0,140.0,1018.0,310.0,,6792.0,100.0,72.0,,2814.0,140.0,318.0,160.0,28000.0,20.0,30.0,139.0,13650.0,421.0
2008,32724.0,1500.0,186.0,8.0,400.0,30.0,135.0,1070.0,730.0,,7086.0,100.0,74.0,,2834.0,135.0,336.0,150.0,26115.0,16.0,30.0,135.0,15450.0,430.0
2009,16000.0,1050.0,200.0,8.0,480.0,29.0,100.0,956.0,1672.0,,7037.0,90.0,60.0,,2875.0,100.0,437.0,180.0,24608.0,16.0,31.0,135.0,15720.0,430.0
2010,15700.0,1163.0,228.0,10.0,570.0,30.0,80.0,854.0,589.0,,5231.0,150.0,60.0,,2917.0,80.0,442.0,287.0,22591.0,16.0,32.0,122.0,15700.0,432.0
2011,19800.0,650.0,290.0,10.0,580.0,30.0,100.0,781.0,373.0,,5517.0,150.0,60.0,,2958.0,100.0,490.0,246.0,26055.0,15.0,32.0,110.0,15816.0,281.0
2012,25200.0,643.0,295.0,10.0,550.0,32.0,120.0,700.0,73.0,,6026.0,155.0,50.0,,2999.0,120.0,466.0,252.0,35194.0,15.0,33.0,97.0,18070.0,467.0
2013,28100.0,276.0,314.0,11.0,620.0,31.0,118.0,720.0,166.0,,7000.0,155.0,50.0,,3041.0,118.0,456.0,254.0,37798.0,15.0,33.0,104.0,16565.0,475.0
2014,32700.0,903.0,331.0,11.0,584.0,32.0,102.0,744.0,22.0,,5225.0,152.0,61.0,,3082.0,102.0,448.0,189.0,40129.0,16.0,34.0,100.0,21000.0,476.0
