,Paraguay,Kenya,"China, Taiwan Province of",Mozambique,Cameroon,Burkina Faso,Israel,Dominican Republic,South Sudan,Brazil,Benin,Thailand,Ethiopia,Yugoslav SFR,Pakistan,The former Yugoslav Republic of Macedonia,Japan,Afghanistan,Bangladesh,Republic of Korea,Togo,Venezuela (Bolivarian Republic of),Cyprus,Nicaragua,Greece,Eritrea,Niger,Bulgaria,United States of America,Iran (Islamic Republic of),Guatemala,Sudan,Nigeria,Madagascar,Syrian Arab Republic,Myanmar,Cambodia,Haiti,Costa Rica,Guinea,India,El Salvador,Senegal,Viet Nam,Chad,Morocco,Ethiopia PDR,Congo,USSR,Mexico,Ecuador,Honduras,Egypt,Sudan (former),Sri Lanka,China,Côte d'Ivoire,Colombia,Angola,Democratic Republic of the Congo,Lebanon,United Republic of Tanzania,Yemen,Occupied Palestinian Territory,Jordan,Italy,Panama,Sierra Leone,Somalia,Central African Republic,"China, mainland",Iraq,Mali,Uganda,Turkey
1971,0.0,97.0,192.0,70.0,113.0,272.0,10.0,2.0,-1.0,45.0,40.0,344.0,-1.0,4.0,149.0,-1.0,3.0,510.0,716.0,183.0,180.0,270.0,6.0,23.0,183.0,-1.0,1.0,11.0,0.0,50.0,49.0,-1.0,1404.0,0.0,330.0,9276.0,80.0,15.0,1.0,20.0,11000.0,116.0,0.0,74.0,205.0,10.0,828.0,2.0,25.0,2765.0,60.0,10.0,120.0,7118.0,269.0,9177.0,40.0,346.0,60.0,83.0,1.0,175.0,121.0,0.0,15.0,15.0,3.0,18.0,300.0,426.0,8985.0,264.0,0.0,910.0,945.0
1972,0.0,105.0,174.0,70.0,109.0,240.0,10.0,2.0,-1.0,45.0,25.0,436.0,-1.0,3.0,165.0,-1.0,2.0,540.0,653.0,210.0,195.0,380.0,0.0,34.0,154.0,-1.0,3.0,11.0,0.0,55.0,61.0,-1.0,1440.0,0.0,152.0,9131.0,80.0,21.0,1.0,20.0,9000.0,160.0,0.0,72.0,283.0,4.0,980.0,2.0,10.0,2552.0,20.0,11.0,125.0,5483.0,268.0,8889.0,40.0,296.0,60.0,82.0,1.0,215.0,121.0,0.0,8.0,11.0,3.0,18.0,400.0,393.0,8715.0,331.0,0.0,960.0,720.0
1973,0.0,118.0,178.0,70.0,97.0,200.0,10.0,2.0,-1.0,45.0,25.0,328.0,-1.0,2.0,114.0,-1.0,3.0,536.0,766.0,222.0,210.0,440.0,8.0,56.0,89.0,-1.0,4.0,12.0,0.0,65.0,60.0,-1.0,1464.0,0.0,340.0,10763.0,72.0,30.0,1.0,20.0,11000.0,189.0,0.0,73.0,255.0,4.0,990.0,3.0,5.0,2403.0,39.0,11.0,110.0,5432.0,398.0,8203.0,40.0,258.0,60.0,89.0,2.0,200.0,116.0,0.0,9.0,8.0,2.0,20.0,400.0,457.0,8025.0,291.0,0.0,970.0,690.0
1974,0.0,130.0,124.0,70.0,150.0,200.0,10.0,2.0,-1.0,45.0,22.0,322.0,-1.0,1.0,141.0,-1.0,3.0,600.0,815.0,313.0,210.0,340.0,10.0,52.0,93.0,-1.0,7.0,12.0,0.0,65.0,66.0,-1.0,1500.0,0.0,312.0,10560.0,72.0,35.0,1.0,20.0,9000.0,245.0,0.0,73.0,282.0,4.0,696.0,3.0,10.0,2187.0,63.0,11.0,80.0,5728.0,427.0,8119.0,40.0,333.0,60.0,90.0,1.0,190.0,131.0,0.0,4.0,6.0,2.0,20.0,570.0,442.0,7995.0,279.0,0.0,1228.0,810.0
1975,0.0,150.0,95.0,70.0,280.0,200.0,10.0,2.0,-1.0,45.0,25.0,350.0,-1.0,1.0,151.0,-1.0,3.0,600.0,774.0,391.0,210.0,350.0,5.0,56.0,90.0,-1.0,6.0,14.0,0.0,65.0,89.0,-1.0,1500.0,0.0,426.0,9974.0,68.0,39.0,1.0,20.0,11000.0,270.0,0.0,136.0,270.0,18.0,600.0,4.0,10.0,1980.0,77.0,11.0,100.0,5000.0,516.0,8515.0,60.0,289.0,60.0,76.0,1.0,115.0,139.0,0.0,3.0,5.0,2.0,20.0,450.0,470.0,8420.0,268.0,0.0,1135.0,642.0
1976,0.0,160.0,88.0,70.0,300.0,200.0,10.0,2.0,-1.0,45.0,24.0,440.0,-1.0,1.0,158.0,-1.0,3.0,600.0,823.0,346.0,213.0,380.0,4.0,60.0,57.0,-1.0,6.0,12.0,0.0,65.0,91.0,-1.0,1536.0,0.0,393.0,10645.0,64.0,42.0,1.0,20.0,10000.0,399.0,0.0,184.0,275.0,6.0,420.0,4.0,7.0,2047.0,29.0,12.0,92.0,5000.0,490.0,8434.0,95.0,176.0,70.0,62.0,1.0,200.0,150.0,0.0,4.0,4.0,2.0,20.0,750.0,510.0,8346.0,200.0,0.0,1330.0,477.0
1977,0.0,172.0,126.0,70.0,300.0,310.0,10.0,2.0,-1.0,50.0,24.0,578.0,-1.0,1.0,229.0,-1.0,3.0,600.0,1200.0,423.0,216.0,350.0,3.0,68.0,39.0,-1.0,6.0,7.0,0.0,65.0,96.0,-1.0,1560.0,0.0,357.0,10911.0,48.0,42.0,1.0,20.0,12000.0,358.0,0.0,263.0,290.0,6.0,420.0,4.0,9.0,2438.0,16.0,24.0,120.0,5000.0,248.0,9690.0,90.0,215.0,70.0,67.0,1.0,275.0,152.0,0.0,4.0,3.0,2.0,21.0,750.0,274.0,9564.0,434.0,0.0,1361.0,525.0
1978,0.0,190.0,120.0,70.0,300.0,236.0,10.0,2.0,-1.0,50.0,24.0,456.0,-1.0,1.0,231.0,-1.0,3.0,708.0,1425.0,382.0,216.0,150.0,2.0,64.0,48.0,-1.0,6.0,6.0,0.0,65.0,96.0,-1.0,1560.0,0.0,256.0,12490.0,56.0,42.0,1.0,20.0,12000.0,631.0,0.0,167.0,305.0,6.0,402.0,4.0,25.0,3580.0,20.0,24.0,81.0,5000.0,525.0,12770.0,56.0,222.0,70.0,80.0,1.0,325.0,162.0,0.0,1.0,4.0,2.0,22.0,800.0,347.0,12650.0,361.0,0.0,600.0,675.0
1979,0.0,200.0,106.0,70.0,270.0,308.0,10.0,2.0,-1.0,50.0,25.0,490.0,-1.0,1.0,220.0,-1.0,3.0,714.0,1350.0,292.0,219.0,230.0,2.0,162.0,71.0,-1.0,7.0,6.0,0.0,80.0,84.0,-1.0,1620.0,0.0,464.0,10372.0,27.0,41.0,1.0,20.0,8000.0,837.0,0.0,220.0,320.0,8.0,378.0,4.0,25.0,2910.0,19.0,30.0,127.0,5000.0,604.0,11731.0,58.0,194.0,70.0,82.0,1.0,275.0,140.0,0.0,1.0,3.0,2.0,22.0,830.0,387.0,11625.0,239.0,0.0,650.0,675.0
1980,0.0,202.0,116.0,70.0,270.0,179.0,10.0,2.0,-1.0,50.0,50.0,515.0,-1.0,1.0,214.0,-1.0,3.0,720.0,1500.0,225.0,219.0,325.0,2.0,120.0,41.0,-1.0,8.0,0.0,0.0,110.0,155.0,-1.0,1680.0,0.0,368.0,13075.0,52.0,42.0,1.0,20.0,10000.0,838.0,0.0,292.0,320.0,13.0,366.0,4.0,5.0,1605.0,6.0,27.0,120.0,5000.0,522.0,12371.0,60.0,155.0,70.0,84.0,1.0,325.0,149.0,0.0,2.0,3.0,2.0,24.0,900.0,382.0,12255.0,240.0,0.0,700.0,600.0
1981,0.0,50.0,87.0,70.0,270.0,184.0,10.0,2.0,-1.0,50.0,115.0,427.0,-1.0,1.0,143.0,-1.0,3.0,738.0,1500.0,374.0,225.0,414.0,2.0,78.0,29.0,-1.0,10.0,0.0,0.0,140.0,95.0,-1.0,1740.0,0.0,267.0,13701.0,68.0,42.0,1.0,20.0,8900.0,512.0,0.0,282.0,355.0,6.0,378.0,4.0,5.0,1333.0,6.0,33.0,120.0,5000.0,633.0,14556.0,60.0,98.0,70.0,86.0,1.0,375.0,151.0,0.0,2.0,3.0,2.0,26.0,900.0,357.0,14469.0,233.0,0.0,800.0,664.0
1982,0.0,200.0,40.0,70.0,270.0,160.0,10.0,2.0,-1.0,50.0,68.0,390.0,-1.0,1.0,112.0,-1.0,3.0,720.0,1534.0,448.0,228.0,291.0,1.0,123.0,26.0,-1.0,11.0,0.0,0.0,170.0,106.0,-1.0,1200.0,0.0,336.0,13769.0,87.0,44.0,1.0,20.0,8800.0,258.0,0.0,349.0,392.0,11.0,372.0,4.0,5.0,1831.0,1.0,32.0,139.0,5000.0,496.0,11867.0,60.0,72.0,70.0,90.0,1.0,380.0,151.0,0.0,1.0,3.0,2.0,28.0,984.0,310.0,11828.0,247.0,0.0,950.0,900.0
1983,0.0,180.0,40.0,70.0,270.0,160.0,10.0,2.0,-1.0,50.0,59.0,460.0,-1.0,1.0,171.0,-1.0,3.0,720.0,1283.0,437.0,231.0,306.0,1.0,123.0,17.0,-1.0,13.0,0.0,0.0,200.0,182.0,-1.0,1240.0,0.0,242.0,13388.0,72.0,44.0,1.0,20.0,8500.0,832.0,0.0,400.0,345.0,18.0,360.0,4.0,5.0,1562.0,1.0,28.0,140.0,5000.0,288.0,12910.0,60.0,67.0,70.0,92.0,1.0,395.0,150.0,0.0,2.0,2.0,3.0,30.0,920.0,320.0,12870.0,326.0,0.0,860.0,1350.0
1984,0.0,195.0,49.0,70.0,270.0,192.0,10.0,2.0,-1.0,50.0,76.0,545.0,-1.0,1.0,188.0,-1.0,3.0,720.0,1380.0,440.0,231.0,318.0,0.0,66.0,14.0,-1.0,16.0,0.0,0.0,230.0,183.0,-1.0,1400.0,0.0,424.0,15007.0,88.0,45.0,1.0,20.0,8900.0,1024.0,0.0,346.0,367.0,6.0,360.0,4.0,5.0,1612.0,1.0,26.0,150.0,4000.0,297.0,15829.0,60.0,220.0,70.0,94.0,1.0,400.0,130.0,0.0,2.0,2.0,3.0,31.0,1092.0,357.0,15780.0,361.0,0.0,760.0,1320.0
1985,0.0,198.0,48.0,70.0,260.0,256.0,10.0,2.0,-1.0,50.0,98.0,636.0,-1.0,1.0,166.0,-1.0,3.0,720.0,1268.0,531.0,234.0,410.0,0.0,60.0,15.0,-1.0,19.0,0.0,0.0,260.0,189.0,-1.0,1256.0,0.0,273.0,14118.0,112.0,45.0,1.0,20.0,8700.0,1343.0,0.0,366.0,400.0,12.0,360.0,4.0,2.0,1280.0,12.0,24.0,155.0,5000.0,287.0,15153.0,60.0,235.0,70.0,166.0,1.0,405.0,124.0,0.0,1.0,1.0,3.0,33.0,810.0,328.0,15105.0,326.0,0.0,804.0,1500.0
1986,0.0,200.0,59.0,70.0,260.0,316.0,10.0,2.0,-1.0,50.0,40.0,566.0,-1.0,1.0,90.0,-1.0,3.0,690.0,1230.0,566.0,237.0,200.0,0.0,60.0,15.0,-1.0,22.0,0.0,0.0,284.0,181.0,-1.0,1026.0,0.0,335.0,11513.0,128.0,45.0,1.0,20.0,8600.0,1080.0,0.0,275.0,359.0,24.0,360.0,4.0,5.0,1385.0,4.0,20.0,160.0,5000.0,252.0,13094.0,60.0,153.0,70.0,186.0,1.0,405.0,157.0,0.0,1.0,0.0,4.0,37.0,1047.0,393.0,13035.0,356.0,0.0,740.0,1620.0
1987,0.0,202.0,48.0,70.0,260.0,147.0,10.0,2.0,-1.0,70.0,70.0,628.0,-1.0,1.0,124.0,-1.0,3.0,660.0,1222.0,470.0,237.0,451.0,0.0,58.0,12.0,-1.0,25.0,0.0,0.0,289.0,213.0,-1.0,1080.0,0.0,252.0,11868.0,88.0,44.0,1.0,20.0,9800.0,855.0,0.0,287.0,367.0,72.0,360.0,4.0,5.0,1075.0,0.0,16.0,160.0,5000.0,251.0,10593.0,60.0,99.0,70.0,193.0,2.0,410.0,156.0,0.0,5.0,0.0,4.0,38.0,1095.0,317.0,10545.0,363.0,0.0,810.0,1410.0
1988,0.0,204.0,33.0,70.0,260.0,113.0,10.0,2.0,-1.0,200.0,59.0,662.0,-1.0,1.0,189.0,-1.0,2.0,630.0,1296.0,389.0,237.0,0.0,0.0,77.0,9.0,-1.0,28.0,0.0,0.0,230.0,127.0,-1.0,1200.0,0.0,136.0,12118.0,96.0,44.0,1.0,20.0,9500.0,963.0,0.0,440.0,370.0,56.0,360.0,4.0,5.0,910.0,2.0,15.0,165.0,7000.0,167.0,10873.0,60.0,114.0,70.0,192.0,2.0,415.0,219.0,0.0,2.0,0.0,4.0,42.0,1100.0,314.0,10840.0,442.0,0.0,920.0,1464.0
1989,0.0,215.0,27.0,50.0,263.0,157.0,10.0,2.0,-1.0,200.0,79.0,730.0,-1.0,1.0,264.0,-1.0,1.0,600.0,1246.0,350.0,240.0,0.0,0.0,217.0,6.0,-1.0,31.0,0.0,0.0,280.0,186.0,-1.0,1320.0,0.0,167.0,12779.0,80.0,42.0,1.0,23.0,10000.0,1432.0,0.0,400.0,358.0,104.0,354.0,5.0,5.0,1315.0,2.0,15.0,170.0,6500.0,175.0,10061.0,57.0,100.0,74.0,160.0,2.0,420.0,186.0,0.0,2.0,0.0,4.0,48.0,1000.0,216.0,10034.0,463.0,0.0,1240.0,1275.0
1990,0.0,230.0,20.0,40.0,261.0,137.0,10.0,2.0,-1.0,200.0,100.0,770.0,-1.0,0.0,348.0,-1.0,1.0,540.0,1208.0,346.0,207.0,0.0,0.0,283.0,7.0,-1.0,37.0,0.0,0.0,378.0,189.0,-1.0,1380.0,0.0,220.0,13239.0,128.0,43.0,1.0,28.0,10500.0,1662.0,0.0,460.0,475.0,94.0,360.0,4.0,5.0,902.0,2.0,15.0,175.0,2760.0,190.0,10213.0,57.0,67.0,78.0,88.0,3.0,484.0,168.0,0.0,5.0,0.0,4.0,47.0,850.0,285.0,10193.0,459.0,0.0,1300.0,1410.0
1991,0.0,250.0,29.0,35.0,266.0,220.0,10.0,0.0,-1.0,200.0,100.0,742.0,-1.0,0.0,411.0,-1.0,0.0,540.0,1237.0,278.0,212.0,0.0,0.0,140.0,6.0,-1.0,43.0,0.0,0.0,280.0,199.0,-1.0,1465.0,0.0,253.0,12887.0,104.0,39.0,1.0,33.0,8500.0,1165.0,0.0,430.0,540.0,114.0,372.0,4.0,5.0,550.0,3.0,12.0,180.0,3200.0,241.0,11224.0,55.0,47.0,88.0,96.0,3.0,410.0,187.0,0.0,7.0,0.0,4.0,45.0,400.0,310.0,11195.0,462.0,0.0,1430.0,1245.0
1992,0.0,280.0,33.0,40.0,210.0,212.0,10.0,0.0,-1.0,210.0,105.0,754.0,-1.0,-1.0,366.0,1.0,0.0,540.0,989.0,278.0,260.0,0.0,0.0,219.0,6.0,-1.0,49.0,0.0,0.0,300.0,202.0,-1.0,1553.0,0.0,275.0,13675.0,82.0,39.0,1.0,35.0,8900.0,1084.0,0.0,470.0,450.0,89.0,372.0,4.0,-1.0,366.0,3.0,11.0,180.0,9500.0,187.0,11337.0,59.0,123.0,79.0,104.0,3.0,415.0,195.0,0.0,6.0,0.0,4.0,43.0,700.0,316.0,11304.0,464.0,3.0,1500.0,1200.0
1993,0.0,290.0,31.0,35.0,229.0,50.0,10.0,0.0,-1.0,220.0,109.0,742.0,182.0,-1.0,401.0,1.0,0.0,540.0,1196.0,245.0,361.0,0.0,0.0,219.0,5.0,110.0,55.0,0.0,0.0,300.0,210.0,-1.0,1520.0,0.0,141.0,12995.0,72.0,39.0,2.0,33.0,7900.0,878.0,0.0,490.0,539.0,88.0,-1.0,4.0,-1.0,252.0,0.0,14.0,185.0,6000.0,179.0,10381.0,62.0,113.0,96.0,112.0,3.0,410.0,204.0,0.0,4.0,0.0,4.0,43.0,724.0,390.0,10350.0,468.0,32.0,1580.0,1275.0
1994,0.0,280.0,40.0,40.0,253.0,95.0,10.0,0.0,-1.0,220.0,142.0,762.0,186.0,-1.0,448.0,1.0,0.0,540.0,1201.0,314.0,254.0,0.0,0.0,296.0,4.0,108.0,61.0,0.0,0.0,300.0,252.0,-1.0,1596.0,0.0,180.0,13306.0,66.0,37.0,2.0,35.0,7300.0,887.0,47.0,520.0,454.0,146.0,-1.0,5.0,-1.0,426.0,0.0,14.0,185.0,8015.0,180.0,9670.0,54.0,95.0,65.0,76.0,3.0,420.0,231.0,0.0,1.0,0.0,4.0,41.0,730.0,330.0,9630.0,468.0,40.0,1660.0,1095.0
1995,0.0,270.0,37.0,50.0,254.0,194.0,10.0,0.0,-1.0,220.0,128.0,772.0,204.0,-1.0,497.0,1.0,0.0,540.0,1263.0,254.0,156.0,0.0,0.0,221.0,3.0,90.0,67.0,0.0,0.0,490.0,302.0,-1.0,1668.0,0.0,114.0,12760.0,94.0,41.0,2.0,36.0,8000.0,849.0,49.0,500.0,454.0,69.0,-1.0,5.0,-1.0,822.0,2.0,9.0,190.0,8890.0,151.0,8941.0,63.0,89.0,67.0,71.0,2.0,430.0,259.0,30.0,4.0,0.0,6.0,45.0,700.0,370.0,8904.0,469.0,53.0,1720.0,1110.0
1996,0.0,280.0,45.0,50.0,244.0,192.0,10.0,0.0,-1.0,220.0,159.0,762.0,168.0,-1.0,481.0,1.0,0.0,525.0,1196.0,293.0,165.0,0.0,0.0,308.0,3.0,66.0,74.0,0.0,0.0,429.0,294.0,-1.0,1680.0,0.0,171.0,11450.0,127.0,39.0,2.0,39.0,6600.0,972.0,75.0,370.0,746.0,96.0,-1.0,5.0,-1.0,551.0,3.0,9.0,195.0,11075.0,235.0,8535.0,67.0,84.0,68.0,51.0,3.0,425.0,295.0,21.0,3.0,0.0,5.0,45.0,700.0,400.0,8490.0,469.0,80.0,1720.0,1020.0
1997,0.0,290.0,53.0,50.0,245.0,161.0,10.0,0.0,-1.0,220.0,145.0,774.0,239.0,-1.0,355.0,1.0,0.0,525.0,1195.0,317.0,150.0,0.0,0.0,196.0,3.0,66.0,170.0,0.0,0.0,384.0,298.0,-1.0,1716.0,0.0,186.0,9834.0,75.0,33.0,2.0,43.0,6400.0,806.0,20.0,250.0,615.0,72.0,-1.0,5.0,-1.0,610.0,3.0,8.0,213.0,9500.0,207.0,9503.0,63.0,49.0,70.0,52.0,3.0,450.0,303.0,19.0,2.0,0.0,5.0,42.0,600.0,440.0,9450.0,470.0,80.0,1790.0,1035.0
1998,0.0,270.0,50.0,50.0,211.0,193.0,10.0,0.0,-1.0,240.0,150.0,780.0,193.0,-1.0,358.0,1.0,1.0,525.0,560.0,296.0,123.0,0.0,0.0,63.0,3.0,66.0,512.0,0.0,0.0,390.0,303.0,-1.0,1724.0,0.0,56.0,11080.0,131.0,32.0,2.0,46.0,6200.0,717.0,44.0,303.0,914.0,84.0,-1.0,5.0,-1.0,660.0,1.0,7.0,190.0,10098.0,173.0,10505.0,66.0,65.0,65.0,53.0,4.0,515.0,310.0,13.0,0.0,0.0,5.0,31.0,624.0,480.0,10455.0,480.0,88.0,1860.0,765.0
1999,88.0,260.0,69.0,80.0,210.0,197.0,10.0,0.0,-1.0,240.0,160.0,783.0,229.0,-1.0,505.0,1.0,1.0,525.0,552.0,266.0,111.0,0.0,0.0,90.0,2.0,46.0,936.0,0.0,0.0,390.0,315.0,-1.0,1812.0,0.0,64.0,12840.0,145.0,39.0,2.0,39.0,6900.0,538.0,13.0,368.0,1022.0,151.0,-1.0,5.0,-1.0,740.0,1.0,7.0,292.0,12943.0,155.0,11833.0,79.0,51.0,66.0,70.0,1.0,500.0,320.0,13.0,3.0,0.0,5.0,36.0,646.0,500.0,11764.0,480.0,104.0,1940.0,764.0
2000,165.0,309.0,77.0,95.0,200.0,487.0,10.0,0.0,-1.0,240.0,155.0,787.0,254.0,-1.0,678.0,1.0,1.0,525.0,552.0,261.0,119.0,0.0,0.0,66.0,1.0,48.0,416.0,0.0,0.0,390.0,315.0,-1.0,1836.0,0.0,53.0,13390.0,140.0,39.0,2.0,41.0,6682.0,704.0,63.0,370.0,978.0,173.0,-1.0,5.0,-1.0,750.0,1.0,6.0,274.0,15753.0,137.0,11445.0,77.0,43.0,63.0,74.0,0.0,164.0,331.0,13.0,0.0,0.0,5.0,31.0,565.0,550.0,11369.0,500.0,129.0,2030.0,750.0
2001,271.0,270.0,60.0,316.0,256.0,209.0,10.0,0.0,-1.0,240.0,177.0,791.0,353.0,-1.0,440.0,1.0,1.0,525.0,585.0,265.0,121.0,0.0,0.0,19.0,2.0,39.0,450.0,0.0,0.0,400.0,321.0,-1.0,1992.0,0.0,133.0,12990.0,144.0,41.0,1.0,43.0,5778.0,301.0,60.0,338.0,950.0,232.0,-1.0,5.0,-1.0,495.0,1.0,3.0,259.0,11885.0,132.0,11437.0,72.0,38.0,65.0,87.0,1.0,363.0,324.0,12.0,0.0,2.0,4.0,29.0,600.0,580.0,11377.0,400.0,157.0,2110.0,720.0
