,India,Dominica,Melanesia,Bhutan,Malaysia,Grenada,Sri Lanka,Honduras,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Malawi,United Republic of Tanzania,Trinidad and Tobago,Papua New Guinea,Saint Vincent and the Grenadines,Guatemala,Togo,Kenya,Madagascar,Saint Lucia,Ethiopia PDR,Thailand
2003,16700.0,5.0,150.0,800.0,494.0,2602.0,2050.0,462.0,2600.0,6300.0,100.0,22236.0,162.0,846.0,150.0,150.0,150.0,28600.0,20.0,54.0,12.0,28.0,-1.0,-1
2004,16900.0,4.0,148.0,815.0,374.0,2887.0,1750.0,602.0,2648.0,6500.0,100.0,14497.0,156.0,888.0,155.0,148.0,150.0,28400.0,21.0,55.0,13.0,29.0,-1.0,-1
2005,17800.0,4.0,152.0,1190.0,352.0,150.0,1710.0,765.0,2700.0,6800.0,100.0,15376.0,154.0,926.0,165.0,152.0,120.0,31600.0,20.0,56.0,14.0,29.0,-1.0,-1
2006,17000.0,5.0,160.0,3477.0,336.0,233.0,690.0,350.0,2738.0,6646.0,100.0,21770.0,144.0,957.0,175.0,160.0,155.0,31200.0,25.0,57.0,15.0,30.0,-1.0,-1
2007,13650.0,5.0,140.0,2121.0,310.0,318.0,500.0,421.0,2814.0,6792.0,100.0,23845.0,139.0,1018.0,185.0,140.0,160.0,28000.0,30.0,72.0,20.0,30.0,-1.0,-1
2008,15450.0,8.0,135.0,1500.0,730.0,336.0,400.0,430.0,2834.0,7086.0,100.0,32724.0,135.0,1070.0,186.0,135.0,150.0,26115.0,30.0,74.0,16.0,30.0,-1.0,-1
2009,15720.0,8.0,100.0,1050.0,1672.0,437.0,480.0,430.0,2875.0,7037.0,90.0,16000.0,135.0,956.0,200.0,100.0,180.0,24608.0,29.0,60.0,16.0,31.0,-1.0,-1
2010,15700.0,10.0,80.0,1163.0,589.0,442.0,570.0,432.0,2917.0,5231.0,150.0,15700.0,122.0,854.0,228.0,80.0,287.0,22591.0,30.0,60.0,16.0,32.0,-1.0,-1
2011,15816.0,10.0,100.0,650.0,373.0,490.0,580.0,281.0,2958.0,5517.0,150.0,19800.0,110.0,781.0,290.0,100.0,246.0,26055.0,30.0,60.0,15.0,32.0,-1.0,-1
2012,18070.0,10.0,120.0,643.0,73.0,466.0,550.0,467.0,2999.0,6026.0,155.0,25200.0,97.0,700.0,295.0,120.0,252.0,35194.0,32.0,50.0,15.0,33.0,-1.0,-1
2013,16565.0,11.0,118.0,276.0,166.0,456.0,620.0,475.0,3041.0,7000.0,155.0,28100.0,104.0,720.0,314.0,118.0,254.0,37798.0,31.0,50.0,15.0,33.0,-1.0,-1
2014,21000.0,11.0,102.0,903.0,22.0,448.0,584.0,476.0,3082.0,5225.0,152.0,32700.0,100.0,744.0,331.0,102.0,189.0,40129.0,32.0,61.0,16.0,34.0,-1.0,-1
