,Ukraine,Georgia,Germany,Serbia,Bolivia (Plurinational State of),Austria,Belarus,Croatia,Poland,USSR,Armenia,Slovakia,Azerbaijan,Bosnia and Herzegovina,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Albania,Yugoslav SFR,Uzbekistan,Peru,Chile,Hungary,Spain,Kazakhstan,Bulgaria,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Portugal,Republic of Moldova,Slovenia,Czechoslovakia,Russian Federation,Czechia,Turkey,Italy,Belgium-Luxembourg
1971,-1.0,-1,144900.0,-1.0,-1.0,3189.0,-1.0,-1.0,20300.0,176000.0,-1.0,-1.0,-1.0,-1.0,-1.0,10342.0,-1.0,9307.0,7000.0,47241.0,-1.0,-1.0,-1.0,50337.0,-1.0,-1.0,16561.0,125781.0,5500.0,-1.0,3440.0,-1.0,-1.0,4046.0,-1.0,-1.0,31000.0,-1.0,-1.0
1972,-1.0,-1,121650.0,-1.0,-1.0,2283.0,-1.0,-1.0,26700.0,76000.0,-1.0,-1.0,-1.0,-1.0,-1.0,8214.0,-1.0,7980.0,7500.0,47734.0,-1.0,-1.0,-1.0,34399.0,-1.0,-1.0,17020.0,141429.0,6000.0,-1.0,3220.0,-1.0,-1.0,2040.0,-1.0,-1.0,35000.0,-1.0,-1.0
1973,-1.0,-1,120707.0,-1.0,-1.0,3368.0,-1.0,-1.0,25500.0,112000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5038.0,-1.0,9505.0,7500.0,40867.0,-1.0,-1.0,-1.0,44220.0,-1.0,-1.0,16724.0,79197.0,6300.0,-1.0,1720.0,-1.0,-1.0,7626.0,-1.0,-1.0,34450.0,-1.0,-1.0
1974,-1.0,-1,119014.0,-1.0,-1.0,3175.0,-1.0,-1.0,24900.0,125000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7671.0,-1.0,7700.0,7500.0,52846.0,-1.0,-1.0,-1.0,33764.0,-1.0,-1.0,15202.0,120156.0,6600.0,-1.0,1773.0,-1.0,-1.0,3008.0,-1.0,-1.0,33000.0,-1.0,-1.0
1975,-1.0,-1,118020.0,-1.0,-1.0,3440.0,-1.0,-1.0,18938.0,149000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7653.0,-1.0,5090.0,7500.0,42507.0,-1.0,-1.0,-1.0,34878.0,-1.0,-1.0,23042.0,131768.0,7000.0,-1.0,1799.0,-1.0,-1.0,6760.0,-1.0,-1.0,36600.0,-1.0,-1.0
1976,-1.0,-1,123127.0,-1.0,-1.0,2778.0,-1.0,-1.0,41067.0,139000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4852.0,-1.0,7528.0,8000.0,51943.0,-1.0,-1.0,-1.0,24895.0,-1.0,-1.0,19332.0,66496.0,7500.0,-1.0,2483.0,-1.0,-1.0,6029.0,-1.0,-1.0,42600.0,-1.0,-1.0
1977,-1.0,-1,101677.0,-1.0,-1.0,2399.0,-1.0,-1.0,36117.0,184000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7042.0,-1.0,5526.0,8000.0,46342.0,-1.0,-1.0,-1.0,29321.0,-1.0,-1.0,17649.0,95662.0,8000.0,-1.0,1366.0,-1.0,-1.0,3019.0,-1.0,-1.0,44000.0,-1.0,-1.0
1978,-1.0,-1,120451.0,-1.0,-1.0,2950.0,-1.0,-1.0,35353.0,145000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5314.0,-1.0,5000.0,8500.0,43302.0,-1.0,-1.0,-1.0,40389.0,-1.0,-1.0,22144.0,82191.0,7000.0,-1.0,1188.0,-1.0,-1.0,3830.0,-1.0,-1.0,50000.0,-1.0,-1.0
1979,-1.0,-1,141800.0,-1.0,-1.0,3065.0,-1.0,-1.0,37568.0,245000.0,-1.0,-1.0,-1.0,-1.0,-1.0,8568.0,-1.0,7055.0,8500.0,63483.0,-1.0,-1.0,-1.0,42109.0,-1.0,-1.0,25113.0,77292.0,8000.0,-1.0,1414.0,-1.0,-1.0,4555.0,-1.0,-1.0,50000.0,-1.0,-1.0
1980,-1.0,-1,142237.0,-1.0,-1.0,3454.0,-1.0,-1.0,41945.0,162000.0,-1.0,-1.0,-1.0,-1.0,-1.0,9992.0,-1.0,7710.0,7700.0,57721.0,-1.0,-1.0,-1.0,37588.0,-1.0,-1.0,20754.0,98930.0,9000.0,-1.0,1301.0,-1.0,-1.0,5015.0,-1.0,-1.0,60000.0,-1.0,-1.0
1981,-1.0,-1,80350.0,-1.0,-1.0,2330.0,-1.0,-1.0,36508.0,198000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3105.0,-1.0,8881.0,8700.0,89664.0,-1.0,-1.0,-1.0,61989.0,-1.0,-1.0,29012.0,60420.0,10000.0,-1.0,1106.0,-1.0,-1.0,3790.0,-1.0,-1.0,60000.0,-1.0,-1.0
1982,-1.0,-1,159832.0,-1.0,-1.0,3739.0,-1.0,-1.0,43344.0,220000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7127.0,-1.0,7474.0,8100.0,98372.0,-1.0,-1.0,-1.0,61055.0,-1.0,-1.0,25013.0,141020.0,11000.0,-1.0,1095.0,-1.0,-1.0,8854.0,-1.0,-1.0,62000.0,-1.0,-1.0
1983,-1.0,-1,144009.0,-1.0,-1.0,3974.0,-1.0,-1.0,80441.0,250000.0,-1.0,-1.0,-1.0,-1.0,-1.0,6547.0,-1.0,11868.0,7700.0,119768.0,-1.0,-1.0,-1.0,66822.0,-1.0,-1.0,28812.0,69850.0,12000.0,-1.0,1029.0,-1.0,-1.0,9816.0,-1.0,-1.0,66000.0,-1.0,-1.0
1984,-1.0,-1,154971.0,-1.0,-1.0,4320.0,-1.0,-1.0,76271.0,215000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7614.0,-1.0,5732.0,7100.0,106940.0,-1.0,-1.0,-1.0,56352.0,-1.0,-1.0,30141.0,123200.0,13000.0,-1.0,926.0,-1.0,-1.0,9866.0,-1.0,-1.0,65000.0,-1.0,-1.0
1985,-1.0,-1,158793.0,-1.0,-1.0,3501.0,-1.0,-1.0,66142.0,235000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7349.0,-1.0,7401.0,7300.0,128653.0,-1.0,-1.0,-1.0,55167.0,-1.0,-1.0,32648.0,129800.0,14000.0,-1.0,972.0,-1.0,-1.0,8743.0,-1.0,-1.0,85000.0,-1.0,-1.0
1986,-1.0,-1,142736.0,-1.0,-1.0,3698.0,-1.0,-1.0,60232.0,225000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4377.0,-1.0,6640.0,11400.0,108185.0,-1.0,-1.0,-1.0,53079.0,-1.0,-1.0,36755.0,101700.0,15000.0,-1.0,748.0,-1.0,-1.0,6722.0,-1.0,-1.0,80000.0,-1.0,-1.0
1987,-1.0,-1,151636.0,-1.0,-1.0,3391.0,-1.0,-1.0,13342.0,205000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7572.0,-1.0,5633.0,9100.0,123062.0,-1.0,-1.0,-1.0,83474.0,-1.0,-1.0,35697.0,163300.0,15000.0,-1.0,613.0,-1.0,-1.0,8473.0,-1.0,-1.0,75000.0,-1.0,-1.0
1988,-1.0,-1,152882.0,-1.0,-1.0,3151.0,-1.0,-1.0,97643.0,220000.0,-1.0,-1.0,-1.0,-1.0,-1.0,6379.0,-1.0,4455.0,9000.0,140353.0,-1.0,-1.0,-1.0,72446.0,-1.0,-1.0,35025.0,107000.0,15000.0,-1.0,400.0,-1.0,-1.0,9902.0,-1.0,-1.0,80000.0,-1.0,-1.0
1989,-1.0,-1,129304.0,-1.0,-1.0,4027.0,-1.0,-1.0,88037.0,215000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7184.0,-1.0,3848.0,11300.0,153023.0,-1.0,-1.0,-1.0,91144.0,-1.0,-1.0,42207.0,119750.0,26747.0,-1.0,600.0,-1.0,-1.0,13724.0,-1.0,-1.0,80000.0,-1.0,-1.0
1990,-1.0,-1,118380.0,-1.0,535.0,4067.0,-1.0,-1.0,77464.0,221000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4921.0,-1.0,2833.0,11500.0,120485.0,-1.0,-1.0,-1.0,61175.0,-1.0,-1.0,30618.0,94710.0,19260.0,-1.0,576.0,-1.0,-1.0,10676.0,-1.0,-1.0,90000.0,-1.0,0.0
1991,-1.0,-1,105000.0,-1.0,540.0,3964.0,-1.0,-1.0,79764.0,192000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5742.0,-1.0,1711.0,7500.0,112803.0,-1.0,-1.0,-1.0,62504.0,-1.0,-1.0,26626.0,86140.0,25952.0,-1.0,750.0,-1.0,-1.0,13155.0,-1.0,-1.0,96000.0,-1.0,0.0
1992,170000.0,-1,150600.0,-1.0,545.0,5045.0,35000.0,9416.0,119699.0,-1.0,-1.0,-1.0,-1.0,2561.0,-1.0,8330.0,8739.0,3860.0,6400.0,-1.0,3500.0,-1.0,-1.0,77331.0,-1.0,-1.0,26405.0,152000.0,25757.0,104088.0,720.0,2000.0,1032.0,15209.0,146850.0,-1.0,96000.0,-1.0,0.0
1993,190000.0,-1,143600.0,-1.0,550.0,5114.0,35000.0,8421.0,147048.0,-1.0,-1.0,2700.0,-1.0,2000.0,-1.0,6553.0,6840.0,3623.0,8700.0,-1.0,3340.0,-1.0,-1.0,75687.0,400.0,-1.0,14000.0,154000.0,31085.0,93105.0,670.0,10000.0,1316.0,-1.0,150000.0,11148.0,90000.0,7000.0,1000.0
1994,100000.0,-1,119800.0,-1.0,545.0,4642.0,15000.0,7629.0,118991.0,-1.0,-1.0,2200.0,-1.0,1500.0,-1.0,7402.0,6057.0,3570.0,9000.0,-1.0,3361.0,-1.0,-1.0,72888.0,1500.0,-1.0,23005.0,137980.0,30000.0,86134.0,700.0,5500.0,1709.0,-1.0,113000.0,9125.0,90000.0,7400.0,0.0
1995,154300.0,-1,110000.0,-1.0,540.0,5009.0,11200.0,7049.0,144382.0,-1.0,-1.0,1645.0,-1.0,1200.0,-1.0,10948.0,5300.0,3065.0,8000.0,-1.0,3500.0,-1.0,-1.0,47600.0,1500.0,-1.0,12503.0,179440.0,32000.0,61329.0,580.0,2500.0,1555.0,-1.0,109000.0,8385.0,92000.0,6300.0,0.0
1996,185900.0,-1,112400.0,-1.0,535.0,4035.0,11000.0,7088.0,149384.0,-1.0,-1.0,2128.0,-1.0,1150.0,-1.0,5947.0,4625.0,3177.0,8367.0,-1.0,3499.0,-1.0,-1.0,65823.0,1643.0,-1.0,10000.0,123300.0,38282.0,85869.0,597.0,17200.0,1185.0,-1.0,180000.0,8875.0,110000.0,7200.0,0.0
1997,166700.0,-1,47500.0,-1.0,530.0,4157.0,11000.0,6032.0,136012.0,-1.0,-1.0,1462.0,-1.0,2467.0,5756.0,7548.0,3067.0,2829.0,8661.0,-1.0,3557.0,-1.0,-1.0,64513.0,1558.0,-1.0,10000.0,133350.0,45422.0,62512.0,600.0,10838.0,676.0,-1.0,200000.0,6646.0,120000.0,6000.0,0.0
1998,113000.0,-1,69100.0,-1.0,535.0,5114.0,12000.0,8265.0,156258.0,-1.0,-1.0,2434.0,13600.0,2214.0,2700.0,5010.0,5109.0,2747.0,8895.0,-1.0,3500.0,-1.0,-1.0,49228.0,1660.0,-1.0,9394.0,157895.0,42274.0,68816.0,633.0,14340.0,921.0,-1.0,130000.0,8108.0,95000.0,6200.0,0.0
1999,79400.0,-1,97500.0,-1.0,540.0,4528.0,8900.0,8453.0,144539.0,-1.0,-1.0,1880.0,14800.0,1323.0,17900.0,6637.0,5774.0,3081.0,8300.0,-1.0,3000.0,-1.0,-1.0,44701.0,1731.0,-1.0,11000.0,116211.0,42055.0,71759.0,633.0,7170.0,826.0,-1.0,140000.0,9158.0,125000.0,8870.0,0.0
2000,155300.0,-1,106900.0,-1.0,545.0,5069.0,16000.0,7566.0,139595.0,-1.0,-1.0,1644.0,16500.0,1006.0,17500.0,8595.0,3293.0,3481.0,8300.0,-1.0,4000.0,-1.0,-1.0,48894.0,1819.0,100.0,10000.0,127640.0,48859.0,58782.0,633.0,8376.0,1006.0,-1.0,200000.0,9928.0,106000.0,10000.0,-1.0
2001,111400.0,-1,98700.0,-1.0,540.0,5630.0,20000.0,8169.0,179709.0,-1.0,-1.0,1240.0,16400.0,1024.0,17000.0,4551.0,3000.0,3064.0,10481.0,-1.0,4000.0,-1.0,-1.0,56016.0,2000.0,100.0,5844.0,139700.0,50522.0,64012.0,634.0,17502.0,569.0,-1.0,165000.0,9623.0,120000.0,7862.0,-1.0
2002,146300.0,-1,65000.0,-1.0,535.0,3738.0,30100.0,6542.0,173154.0,-1.0,-1.0,1122.0,13200.0,874.0,15000.0,4257.0,3200.0,2114.0,13200.0,-1.0,9500.0,-1.0,-1.0,38150.0,2100.0,100.0,7529.0,28395.0,50600.0,49810.0,635.0,14180.0,701.0,-1.0,175000.0,8909.0,100000.0,8789.0,-1.0
2003,146200.0,-1,33694.0,-1.0,532.0,5138.0,14000.0,6947.0,191127.0,-1.0,-1.0,1562.0,17866.0,2470.0,6976.0,5391.0,3690.0,2368.0,15400.0,-1.0,12000.0,813.0,-1.0,48654.0,2300.0,100.0,3108.0,102693.0,45000.0,86932.0,637.0,13300.0,799.0,-1.0,200000.0,8087.0,145000.0,7090.0,-1.0
2004,178500.0,-1,35450.0,-1.0,543.0,4960.0,22700.0,4783.0,201734.0,-1.0,-1.0,882.0,12896.0,2869.0,13588.0,4527.0,7324.0,2170.0,12000.0,-1.0,14000.0,801.0,-1.0,77153.0,2200.0,200.0,3325.0,96615.0,35928.0,112300.0,639.0,11259.0,524.0,-1.0,225400.0,9552.0,138000.0,6200.0,-1.0
2005,181800.0,-1,24571.0,-1.0,555.0,4311.0,27616.0,3851.0,139851.0,-1.0,-1.0,864.0,21316.0,2716.0,9300.0,8042.0,5532.0,1985.0,14000.0,-1.0,16500.0,836.0,800.0,48082.0,3100.0,200.0,3168.0,122651.0,48670.0,63870.0,643.0,13786.0,423.0,-1.0,230000.0,7870.0,140000.0,7000.0,-1.0
2006,95600.0,-1,37143.0,80510.0,567.0,4866.0,46889.0,4514.0,194928.0,-1.0,-1.0,818.0,18029.0,4348.0,10500.0,3878.0,6037.0,2346.0,13600.0,-1.0,21382.0,900.0,890.0,60177.0,3500.0,100.0,3701.0,119658.0,68000.0,-1.0,650.0,15141.0,492.0,-1.0,122000.0,8869.0,121499.0,6800.0,-1.0
2007,134600.0,-1,28756.0,99893.0,571.0,5813.0,30060.0,6614.0,107651.0,-1.0,3586.0,731.0,17100.0,3366.0,10400.0,3214.0,7034.0,2258.0,13000.0,-1.0,22000.0,868.0,730.0,42571.0,2500.0,100.0,2700.0,114850.0,87000.0,-1.0,700.0,14193.0,504.0,-1.0,250000.0,8661.0,180917.0,7000.0,-1.0
2008,129200.0,-1,14911.0,89746.0,573.0,4840.0,44599.0,6665.0,201681.0,-1.0,3799.0,750.0,18530.0,3515.0,11000.0,5860.0,8832.0,2400.0,13854.0,-1.0,25000.0,1098.0,710.0,68155.0,2800.0,100.0,3279.0,97250.0,106461.0,-1.0,668.0,15393.0,306.0,-1.0,183000.0,6736.0,185435.0,7500.0,-1.0
2009,115800.0,-1,30236.0,105353.0,233.0,5164.0,54686.0,6977.0,189220.0,-1.0,3698.0,634.0,20703.0,3803.0,12632.0,6643.0,8684.0,2500.0,14367.0,-1.0,27000.0,1056.0,820.0,78752.0,3500.0,200.0,3958.0,162930.0,106000.0,-1.0,657.0,20752.0,470.0,-1.0,190000.0,6694.0,192705.0,8000.0,-1.0
2010,154500.0,-1,18265.0,66224.0,221.0,4047.0,51089.0,6781.0,147238.0,-1.0,1561.0,366.0,18049.0,3811.0,1628.0,5875.0,5207.0,1100.0,15000.0,-1.0,30000.0,1139.0,720.0,51870.0,2500.0,100.0,2825.0,86364.0,103232.0,-1.0,657.0,11300.0,337.0,-1.0,165000.0,4515.0,194989.0,7838.0,-1.0
2011,172900.0,-1,22294.0,90596.0,220.0,7269.0,14552.0,10739.0,175049.0,-1.0,2854.0,340.0,19385.0,4292.0,10952.0,3401.0,6514.0,1355.0,17000.0,-1.0,31384.0,1171.0,770.0,61735.0,2800.0,200.0,4328.0,105097.0,112774.0,-1.0,657.0,17418.0,387.0,-1.0,193000.0,6702.0,182234.0,7516.0,-1.0
2012,172800.0,-1,12941.0,101860.0,244.0,4030.0,10674.0,5971.0,175391.0,-1.0,4699.0,139.0,23085.0,3298.0,4868.0,1419.0,8127.0,730.0,17000.0,-1.0,35000.0,1244.0,1000.0,53420.0,2200.0,400.0,3879.0,38646.0,103000.0,-1.0,658.0,7996.0,236.0,-1.0,183300.0,3707.0,187941.0,7516.0,-1.0
2013,200800.0,-1,13060.0,140747.0,213.0,5780.0,15860.0,9718.0,188224.0,-1.0,3821.0,110.0,24674.0,4749.0,9372.0,6224.0,8867.0,740.0,17000.0,-1.0,40000.0,1297.0,620.0,70410.0,1818.0,200.0,6996.0,133447.0,109000.0,-1.0,658.0,2846.0,539.0,-1.0,200000.0,5284.0,179752.0,7529.0,-1.0
2014,182880.0,-1,17351.0,93905.0,211.0,5600.0,15639.0,10916.0,176545.0,-1.0,3745.0,61.0,25669.0,4209.0,3427.0,4483.0,8042.0,1080.0,17000.0,-1.0,45000.0,1261.0,600.0,91840.0,0.0,200.0,3776.0,137983.0,111993.0,-1.0,658.0,4478.0,541.0,-1.0,198000.0,5020.0,182577.0,7541.0,-1.0
