,Peru,"China, Taiwan Province of",Morocco,Mexico,Romania,Philippines,Jordan,China,Côte d'Ivoire,Japan,Iraq,Jamaica,Venezuela (Bolivarian Republic of),Polynesia,United States of America,Barbados,France,Egypt,Micronesia,Poland,French Polynesia,Argentina,Guam,Turkey
1996,10848.0,21498.0,22000.0,63039.0,-1,26598.0,-1,21498.0,-1.0,75400.0,95000.0,5480.0,3619.0,153.0,891860.0,1700.0,355000.0,350.0,93.0,57000.0,153.0,43000.0,93.0,45000.0
1997,12138.0,28174.0,25000.0,67305.0,-1,25709.0,-1,28174.0,-1.0,71400.0,93000.0,4057.0,3974.0,154.0,834160.0,824.0,393550.0,150.0,94.0,55000.0,154.0,42988.0,94.0,38500.0
1998,13759.0,27369.0,27000.0,49941.0,-1,23903.0,-1,27369.0,-1.0,66300.0,95000.0,4208.0,3484.0,154.0,884630.0,825.0,384795.0,150.0,94.0,40000.0,154.0,43304.0,94.0,39000.0
1999,16697.0,24287.0,35000.0,78174.0,-1,26617.0,-1,24287.0,-1.0,62000.0,70000.0,4646.0,3244.0,154.0,960510.0,879.0,383300.0,100.0,94.0,58000.0,154.0,44000.0,94.0,40000.0
2000,21116.0,24530.0,37000.0,77874.0,-1,26172.0,-1,24530.0,3269.0,63900.0,60000.0,4303.0,2842.0,155.0,1100248.0,840.0,336891.0,150.0,95.0,62000.0,155.0,43897.0,95.0,41000.0
2001,21096.0,25665.0,40000.0,92774.0,-1,26490.0,-1,25665.0,4922.0,62100.0,58000.0,5435.0,3717.0,154.0,969050.0,850.0,359638.0,150.0,96.0,58000.0,154.0,44168.0,96.0,41000.0
2002,20914.0,22424.0,52600.0,93000.0,-1,27938.0,-1,22424.0,5025.0,58800.0,50000.0,4977.0,4113.0,154.0,1064278.0,900.0,371578.0,200.0,95.0,49000.0,154.0,44500.0,95.0,43000.0
2003,17630.0,20576.0,90000.0,94000.0,-1,124642.0,-1,20576.0,3489.0,57000.0,57854.0,7087.0,3639.0,153.0,984509.0,930.0,351664.0,200.0,97.0,53430.0,153.0,45000.0,97.0,52000.0
2004,18000.0,19737.0,100000.0,94000.0,-1,115774.0,-1,19737.0,3605.0,52900.0,48000.0,6041.0,4288.0,153.0,1097013.0,960.0,364649.0,100.0,98.0,51852.0,153.0,43990.0,98.0,54000.0
2005,19000.0,15138.0,110000.0,93000.0,-1,116503.0,-1,15138.0,3725.0,52600.0,62041.0,6058.0,4711.0,152.0,1069225.0,990.0,359608.0,150.0,99.0,64893.0,152.0,45147.0,99.0,54000.0
2006,22000.0,18911.0,220000.0,94000.0,-1,112871.0,-1,18911.0,3848.0,48900.0,72135.0,6205.0,5779.0,162.0,1067767.0,1050.0,351791.0,200.0,100.0,52122.0,162.0,45500.0,100.0,55837.0
2007,23400.0,16423.0,186985.0,97000.0,-1,116928.0,-1,16423.0,3970.0,48900.0,59000.0,5596.0,5885.0,180.0,978690.0,1100.0,337488.0,250.0,110.0,65101.0,180.0,45837.0,110.0,58710.0
2008,25500.0,14909.0,182180.0,100000.0,-1,119934.0,-1,14909.0,4098.0,50900.0,65000.0,5446.0,5724.0,160.0,997170.0,778.0,343515.0,200.0,103.0,63851.0,160.0,46118.0,103.0,59392.0
2009,25300.0,15062.0,190000.0,108000.0,-1,119511.0,-1,15062.0,4285.0,50600.0,71679.0,6322.0,5700.0,150.0,977660.0,606.0,353735.0,650.0,103.0,70098.0,150.0,46404.0,103.0,69051.0
2010,25439.0,13380.0,214031.0,110301.0,-1,118454.0,-1,13380.0,4436.0,44900.0,79061.0,5621.0,6274.0,150.0,924550.0,222.0,249980.0,500.0,103.0,69624.0,150.0,46692.0,103.0,70614.0
2011,25867.0,12299.0,120612.0,114177.0,-1,116302.0,-1,12299.0,4596.0,42600.0,77693.0,8717.0,6744.0,150.0,861150.0,270.0,340325.0,300.0,103.0,68580.0,150.0,46978.0,103.0,78871.0
2012,25572.0,11794.0,133744.0,114018.0,-1,117243.0,-1,11794.0,4761.0,42000.0,74500.0,8068.0,7306.0,176.0,859720.0,226.0,334441.0,257.0,100.0,59884.0,176.0,47500.0,100.0,83374.0
2013,25898.0,10267.0,154663.0,116678.0,-1,119536.0,-1,10267.0,4872.0,41300.0,79129.0,7843.0,8147.0,186.0,797760.0,112.0,304505.0,287.0,104.0,55477.0,186.0,47519.0,104.0,76751.0
2014,26223.0,9959.0,148110.0,119337.0,-1,117544.0,-1,9959.0,4781.0,41000.0,73085.0,6480.0,7896.0,178.0,786750.0,850.0,286565.0,300.0,105.0,58043.0,178.0,47840.0,105.0,77051.0
