,Slovakia,USSR,Poland,Turkey,Belarus,Denmark,Kyrgyzstan,Georgia,Greece,Azerbaijan,Portugal,France,Republic of Moldova,Italy,Slovenia,Hungary,Germany,Russian Federation,Tajikistan,Cameroon,Tunisia,Iran (Islamic Republic of),Uzbekistan,China,United States of America,Armenia,"China, mainland",Chile,Cyprus,Mongolia,Spain,Croatia,Bulgaria,Ukraine,Romania
1971,,-1.0,-1.0,226678.0,,-1.0,,,-1.0,,796.0,-1.0,,62200.0,,-1.0,,,,-1.0,-1.0,8000.0,,-1.0,6720.0,,-1.0,,308.0,-1.0,25800.0,,-1.0,,-1.0
1972,,-1.0,-1.0,233939.0,,-1.0,,,-1.0,,800.0,-1.0,,65200.0,,-1.0,,,,-1.0,-1.0,8000.0,,-1.0,6880.0,,-1.0,,201.0,-1.0,28100.0,,-1.0,,-1.0
1973,,-1.0,-1.0,242424.0,,-1.0,,,-1.0,,820.0,-1.0,,66700.0,,-1.0,,,,-1.0,-1.0,8000.0,,-1.0,6880.0,,-1.0,,187.0,-1.0,27800.0,,-1.0,,-1.0
1974,,-1.0,-1.0,259394.0,,-1.0,,,-1.0,,832.0,-1.0,,67700.0,,-1.0,,,,-1.0,-1.0,8000.0,,-1.0,6840.0,,-1.0,,187.0,-1.0,29700.0,,-1.0,,-1.0
1975,,-1.0,-1.0,264242.0,,-1.0,,,-1.0,,860.0,-1.0,,68000.0,,-1.0,,,,-1.0,-1.0,8000.0,,-1.0,7200.0,,-1.0,,187.0,-1.0,29200.0,,-1.0,,-1.0
1976,,-1.0,-1.0,270303.0,,-1.0,,,-1.0,,860.0,-1.0,,68000.0,,-1.0,,,,-1.0,-1.0,8000.0,,-1.0,7240.0,,-1.0,,187.0,-1.0,31900.0,,-1.0,,-1.0
1977,,-1.0,-1.0,273891.0,,-1.0,,,-1.0,,876.0,-1.0,,68300.0,,-1.0,,,,-1.0,-1.0,8000.0,,-1.0,7120.0,,-1.0,,187.0,-1.0,33800.0,,-1.0,,-1.0
1978,,-1.0,-1.0,278788.0,,-1.0,,,-1.0,,888.0,-1.0,,68500.0,,-1.0,,,,-1.0,-1.0,8000.0,,-1.0,7120.0,,-1.0,,134.0,-1.0,32200.0,,-1.0,,-1.0
1979,,-1.0,-1.0,296970.0,,-1.0,,,-1.0,,916.0,-1.0,,70400.0,,-1.0,,,,-1.0,-1.0,5000.0,,-1.0,7120.0,,-1.0,,134.0,-1.0,35057.0,,-1.0,,-1.0
1980,,-1.0,-1.0,299394.0,,-1.0,,,-1.0,,933.0,-1.0,,70200.0,,-1.0,,,,-1.0,-1.0,5000.0,,-1.0,8900.0,,-1.0,,134.0,-1.0,35541.0,,-1.0,,-1.0
1981,,-1.0,-1.0,297333.0,,-1.0,,,-1.0,,950.0,-1.0,,70000.0,,-1.0,,,,-1.0,-1.0,4000.0,,-1.0,8900.0,,-1.0,,134.0,-1.0,35377.0,,-1.0,,-1.0
1982,,-1.0,-1.0,298182.0,,-1.0,,,-1.0,,965.0,-1.0,,69600.0,,-1.0,,,,-1.0,-1.0,2336.0,,-1.0,8900.0,,-1.0,,134.0,-1.0,35961.0,,-1.0,,-1.0
1983,,-1.0,-1.0,300606.0,,-1.0,,,-1.0,,1004.0,-1.0,,69353.0,,-1.0,,,,-1.0,-1.0,606.0,,-1.0,8620.0,,-1.0,,134.0,-1.0,36006.0,,-1.0,,-1.0
1984,,-1.0,-1.0,300606.0,,-1.0,,,-1.0,,1028.0,-1.0,,68925.0,,-1.0,,,,-1.0,-1.0,1205.0,,-1.0,8900.0,,-1.0,,134.0,-1.0,35639.0,,-1.0,,-1.0
1985,,4800.0,-1.0,303030.0,,-1.0,,,6070.0,,1068.0,1300.0,,69871.0,,145.0,,,,-1.0,-1.0,1212.0,,5800.0,9430.0,,5800.0,,107.0,-1.0,37200.0,,-1.0,,-1.0
1986,,6000.0,-1.0,304242.0,,-1.0,,,5825.0,,1208.0,1300.0,,70416.0,,130.0,,,,-1.0,-1.0,2570.0,,5400.0,10080.0,,5400.0,,107.0,-1.0,36300.0,,-1.0,,-1.0
1987,,6800.0,-1.0,311139.0,,-1.0,,,5390.0,,1353.0,1400.0,,69189.0,,175.0,,,,-1.0,-1.0,3121.0,,5900.0,10440.0,,5900.0,,107.0,-1.0,36081.0,,-1.0,,-1.0
1988,,7200.0,-1.0,316170.0,,-1.0,,,4875.0,,1550.0,1600.0,,67994.0,,175.0,,,,-1.0,-1.0,3214.0,,6000.0,10720.0,,6000.0,,105.0,-1.0,32800.0,,-1.0,,-1.0
1989,,7600.0,-1.0,312000.0,,-1.0,,,4620.0,,1560.0,1600.0,,67919.0,,175.0,,,,-1.0,20.0,3431.0,,6200.0,11110.0,,6200.0,,105.0,-1.0,30880.0,,-1.0,,-1.0
1990,,8000.0,-1.0,320788.0,,-1.0,,,4430.0,,1730.0,1600.0,,67406.0,,125.0,,,,-1.0,30.0,3685.0,,6500.0,11050.0,,6500.0,0.0,105.0,-1.0,32013.0,,-1.0,,-1.0
1991,,8750.0,-1.0,297666.0,,-1.0,,,3900.0,,1870.0,1700.0,,68044.0,,120.0,,,,-1.0,35.0,3845.0,,6700.0,11120.0,,6700.0,215.0,105.0,-1.0,31945.0,,375.0,,-1.0
1992,,,-1.0,290909.0,800.0,-1.0,1600.0,7000.0,3580.0,17000.0,1500.0,2000.0,1200.0,66651.0,-1.0,250.0,,-1.0,1300.0,-1.0,35.0,3958.0,800.0,7000.0,10940.0,-1.0,7000.0,219.0,100.0,-1.0,28884.0,25.0,0.0,400.0,-1.0
1993,-1.0,,-1.0,309419.0,870.0,-1.0,1200.0,6500.0,3325.0,19000.0,1001.0,2000.0,800.0,69605.0,-1.0,100.0,-1.0,-1.0,820.0,-1.0,36.0,7458.0,900.0,7250.0,10900.0,-1.0,7250.0,223.0,100.0,-1.0,31152.0,78.0,-1.0,239.0,-1.0
1994,-1.0,,-1.0,314182.0,928.0,-1.0,1164.0,6500.0,2500.0,18000.0,976.0,2000.0,826.0,65300.0,-1.0,97.0,-1.0,-1.0,934.0,-1.0,40.0,9000.0,1009.0,7033.0,11150.0,-1.0,7033.0,227.0,100.0,-1.0,28716.0,40.0,-1.0,249.0,-1.0
1995,-1.0,,-1.0,328666.0,901.0,-1.0,1211.0,5000.0,2300.0,17000.0,986.0,1980.0,808.0,68692.0,-1.0,156.0,-1.0,-1.0,921.0,-1.0,38.0,9000.0,1000.0,7101.0,11320.0,-1.0,7101.0,231.0,100.0,-1.0,22158.0,40.0,-1.0,500.0,-1.0
1996,-1.0,,-1.0,327000.0,864.0,-1.0,1256.0,8000.0,1800.0,17500.0,962.0,2000.0,680.0,68920.0,-1.0,113.0,-1.0,-1.0,800.0,-1.0,39.0,9267.0,1100.0,7172.0,11570.0,-1.0,7172.0,235.0,100.0,-1.0,21997.0,40.0,-1.0,800.0,-1.0
1997,-1.0,,-1.0,329370.0,847.0,-1.0,1300.0,7748.0,1900.0,16000.0,959.0,2057.0,771.0,69669.0,-1.0,101.0,-1.0,-1.0,750.0,-1.0,40.0,9660.0,1000.0,8000.0,11890.0,-1.0,8000.0,239.0,100.0,180.0,28189.0,60.0,-1.0,700.0,-1.0
1998,-1.0,,-1.0,332090.0,1040.0,-1.0,1500.0,8833.0,1800.0,17197.0,956.0,2410.0,792.0,68848.0,-1.0,76.0,-1.0,-1.0,800.0,-1.0,40.0,9932.0,1101.0,8500.0,12107.0,-1.0,8500.0,243.0,100.0,200.0,28684.0,100.0,-1.0,700.0,-1.0
1999,-1.0,,-1.0,338053.0,1000.0,-1.0,1600.0,9562.0,1400.0,16857.0,635.0,2381.0,750.0,68740.0,-1.0,94.0,-1.0,-1.0,893.0,101.0,40.0,10120.0,1179.0,7000.0,11972.0,-1.0,7000.0,247.0,100.0,230.0,28000.0,200.0,-1.0,300.0,-1.0
2000,-1.0,,-1.0,342987.0,1117.0,-1.0,1584.0,7798.0,1300.0,16720.0,632.0,2340.0,737.0,68868.0,-1.0,110.0,-1.0,-1.0,802.0,101.0,40.0,10454.0,1281.0,6000.0,11473.0,-1.0,6000.0,251.0,55.0,250.0,23570.0,186.0,-1.0,200.0,-1.0
2001,-1.0,,-1.0,345448.0,1209.0,-1.0,1589.0,6264.0,1200.0,17328.0,629.0,2318.0,808.0,68419.0,-1.0,101.0,-1.0,-1.0,873.0,100.0,40.0,10554.0,1191.0,7000.0,11736.0,-1.0,7000.0,256.0,55.0,300.0,22534.0,400.0,-1.0,97.0,-1.0
2002,-1.0,,-1.0,350296.0,1305.0,-1.0,1589.0,7618.0,1000.0,17646.0,627.0,2393.0,800.0,68742.0,-1.0,86.0,-1.0,-1.0,628.0,99.0,40.0,10600.0,1170.0,8000.0,11817.0,-1.0,8000.0,568.0,50.0,290.0,22397.0,265.0,-1.0,94.0,-1.0
2003,-1.0,,1637.0,368357.0,1396.0,-1.0,1600.0,8108.0,1000.0,17812.0,627.0,2426.0,703.0,68113.0,32.0,104.0,-1.0,-1.0,758.0,99.0,40.0,7763.0,1087.0,8155.0,11331.0,-1.0,8155.0,1336.0,87.0,295.0,21583.0,357.0,120.0,76.0,-1.0
2004,-1.0,,1651.0,393000.0,1197.0,6.0,1920.0,4600.0,800.0,17971.0,626.0,2576.0,682.0,67506.0,32.0,111.0,-1.0,-1.0,830.0,100.0,41.0,18158.0,1124.0,8575.0,11493.0,-1.0,8575.0,2177.0,87.0,300.0,20590.0,500.0,106.0,30.0,5.0
2005,-1.0,,2638.0,389696.0,1237.0,6.0,2300.0,9000.0,749.0,18228.0,585.0,2642.0,656.0,67743.0,32.0,120.0,-1.0,-1.0,839.0,101.0,40.0,19478.0,1122.0,8120.0,11453.0,-1.0,8120.0,2871.0,90.0,306.0,20343.0,800.0,255.0,30.0,12.0
2006,0.0,,2241.0,392860.0,1282.0,6.0,3200.0,13000.0,717.0,17379.0,527.0,2953.0,631.0,69685.0,32.0,90.0,-1.0,-1.0,969.0,100.0,41.0,19500.0,1185.0,8500.0,11453.0,-1.0,8500.0,3438.0,92.0,307.0,19937.0,900.0,376.0,30.0,4.0
2007,0.0,,3100.0,433920.0,1340.0,6.0,4500.0,12000.0,652.0,19994.0,435.0,2916.0,602.0,72314.0,43.0,88.0,-1.0,-1.0,811.0,98.0,41.0,19114.0,1205.0,9000.0,11574.0,112.0,9000.0,4350.0,85.0,311.0,16802.0,1246.0,702.0,30.0,1.0
2008,0.0,,3131.0,412468.0,1391.0,6.0,4453.0,10000.0,800.0,21577.0,414.0,3351.0,578.0,71050.0,43.0,103.0,-1.0,-1.0,813.0,100.0,46.0,19800.0,1203.0,9102.0,11493.0,113.0,9102.0,5112.0,80.0,320.0,15411.0,1877.0,700.0,30.0,5.0
2009,0.0,,2663.0,421108.0,1437.0,6.0,4680.0,12000.0,600.0,22193.0,378.0,3887.0,400.0,70526.0,52.0,99.0,-1.0,-1.0,815.0,110.0,46.0,20000.0,1247.0,10500.0,11614.0,117.0,10500.0,5882.0,31.0,319.0,14536.0,2038.0,218.0,40.0,11.0
2010,0.0,,3575.0,432439.0,1600.0,6.0,4780.0,15636.0,400.0,22691.0,400.0,4166.0,407.0,55904.0,57.0,161.0,-1.0,-1.0,800.0,120.0,44.0,20471.0,1300.0,10638.0,11736.0,120.0,10638.0,6663.0,43.0,319.0,13803.0,2462.0,171.0,20.0,5.0
2011,0.0,,3489.0,429955.0,1536.0,5.0,4973.0,16847.0,400.0,23242.0,378.0,4101.0,430.0,70492.0,59.0,141.0,-1.0,-1.0,800.0,127.0,45.0,21871.0,2500.0,11000.0,11534.0,130.0,11000.0,7544.0,49.0,317.0,14067.0,2475.0,606.0,20.0,14.0
2012,0.0,,3686.0,422765.0,1700.0,6.0,5156.0,13488.0,507.0,23768.0,387.0,4297.0,500.0,57992.0,62.0,120.0,-1.0,-1.0,800.0,124.0,45.0,21643.0,2500.0,11500.0,11736.0,130.0,11500.0,8687.0,30.0,320.0,13912.0,2849.0,304.0,40.0,150.0
2013,0.0,,4006.0,702144.0,1620.0,6.0,5342.0,21685.0,400.0,24822.0,391.0,4682.0,600.0,71459.0,65.0,120.0,-1.0,-1.0,800.0,147.0,46.0,22422.0,3000.0,11500.0,12141.0,130.0,11500.0,8712.0,37.0,323.0,13796.0,2745.0,603.0,40.0,164.0
2014,0.0,,4023.0,701141.0,1700.0,5.0,5532.0,20433.0,340.0,25207.0,392.0,4995.0,600.0,72125.0,70.0,130.0,-1.0,-1.0,800.0,115.0,46.0,23220.0,3000.0,11888.0,12141.0,130.0,11888.0,9836.0,17.0,327.0,13591.0,2888.0,419.0,30.0,409.0
