,Paraguay,Kenya,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Mozambique,Cameroon,Burkina Faso,Israel,Dominican Republic,South Sudan,Brazil,Lao People's Democratic Republic,Benin,Thailand,Ethiopia,Indonesia,Pakistan,The former Yugoslav Republic of Macedonia,Japan,Afghanistan,Bangladesh,Republic of Korea,Togo,Venezuela (Bolivarian Republic of),Cyprus,Uzbekistan,Nicaragua,Greece,Eritrea,Niger,Bulgaria,United States of America,Iran (Islamic Republic of),Guatemala,Sudan,Mali,Nigeria,Senegal,Tajikistan,Syrian Arab Republic,Myanmar,Cambodia,Haiti,Costa Rica,Guinea,India,El Salvador,Viet Nam,Chad,Morocco,Ethiopia PDR,Congo,USSR,Mexico,Ecuador,Honduras,Egypt,Sudan (former),Sri Lanka,China,Yugoslav SFR,Côte d'Ivoire,Colombia,Angola,Democratic Republic of the Congo,Lebanon,United Republic of Tanzania,Yemen,Occupied Palestinian Territory,Jordan,Italy,Panama,Sierra Leone,Somalia,Central African Republic,"China, mainland",Iraq,Gambia,Uganda,Saudi Arabia,Turkey
1975,-1.0,5300.0,-1.0,138.0,1018.0,3000.0,8333.0,7000.0,150.0,260.0,-1.0,2500.0,-1.0,550.0,20900.0,-1.0,-1,10691.0,-1.0,300.0,24000.0,28876.0,25136.0,1500.0,65036.0,203.0,-1.0,3947.0,2688.0,-1.0,200.0,163.0,-1.0,4000.0,12705.0,-1.0,-1.0,36000.0,-1.0,-1.0,13494.0,95144.0,5500.0,3500.0,80.0,400.0,479200.0,2887.0,3700.0,10000.0,70.0,70000.0,173.0,10.0,110725.0,2832.0,898.0,17000.0,233000.0,8474.0,209018.0,180.0,2000.0,20700.0,2000.0,5000.0,120.0,10000.0,8658.0,-1.0,49.0,460.0,84.0,900.0,37300.0,12407.0,208000.0,7600.0,-1.0,39100.0,460.0,33000.0
1976,-1.0,6000.0,-1.0,138.0,1028.0,3000.0,14141.0,7000.0,100.0,270.0,-1.0,2500.0,-1.0,580.0,20600.0,-1.0,-1,11951.0,-1.0,300.0,24000.0,27743.0,35543.0,1500.0,62800.0,102.0,-1.0,5520.0,2072.0,-1.0,200.0,29.0,-1.0,4000.0,15525.0,-1.0,-1.0,37000.0,-1.0,-1.0,19028.0,134345.0,5000.0,4000.0,80.0,400.0,421800.0,2851.0,4820.0,8000.0,70.0,60000.0,190.0,60.0,84777.0,3454.0,919.0,13009.0,237000.0,11469.0,230028.0,113.0,3000.0,20300.0,2000.0,4200.0,120.0,5809.0,9259.0,-1.0,110.0,330.0,87.0,1000.0,38800.0,13000.0,229000.0,7030.0,-1.0,39720.0,1614.0,25000.0
1977,-1.0,6500.0,-1.0,93.0,642.0,3000.0,15624.0,6000.0,100.0,270.0,-1.0,2500.0,-1.0,600.0,23400.0,-1.0,-1,12612.0,-1.0,300.0,21600.0,29958.0,29950.0,1550.0,82070.0,81.0,-1.0,5240.0,1655.0,-1.0,200.0,39.0,-1.0,4000.0,13349.0,-1.0,-1.0,38000.0,-1.0,-1.0,18283.0,92523.0,4500.0,4200.0,80.0,400.0,520200.0,3685.0,5640.0,9000.0,80.0,45000.0,200.0,50.0,121318.0,708.0,941.0,17693.0,263000.0,11533.0,241642.0,107.0,5000.0,13300.0,2500.0,3200.0,100.0,11379.0,10900.0,-1.0,129.0,280.0,89.0,1000.0,40600.0,10800.0,241000.0,4633.0,-1.0,38100.0,1862.0,23500.0
1978,-1.0,7000.0,-1.0,83.0,1173.0,3000.0,5532.0,9500.0,100.0,280.0,-1.0,3000.0,-1.0,600.0,29900.0,-1.0,-1,18734.0,-1.0,300.0,21000.0,52000.0,32002.0,1600.0,65254.0,71.0,-1.0,5485.0,1040.0,-1.0,165.0,52.0,-1.0,4000.0,14357.0,-1.0,-1.0,38000.0,-1.0,-1.0,19018.0,111102.0,3000.0,4500.0,80.0,400.0,514100.0,4094.0,7580.0,9900.0,80.0,40000.0,210.0,55.0,133921.0,454.0,3000.0,9213.0,216000.0,5400.0,323173.0,128.0,4500.0,13700.0,2000.0,2300.0,100.0,15069.0,9300.0,-1.0,44.0,250.0,90.0,1000.0,40000.0,7599.0,322000.0,8634.0,-1.0,39600.0,1329.0,23600.0
1979,-1.0,7800.0,-1.0,83.0,1015.0,3000.0,5450.0,6604.0,100.0,280.0,-1.0,3000.0,-1.0,600.0,21700.0,-1.0,-1,19342.0,-1.0,300.0,25200.0,50000.0,21267.0,1600.0,42296.0,51.0,-1.0,5189.0,1389.0,-1.0,195.0,37.0,-1.0,4000.0,13220.0,-1.0,51.0,39000.0,-1.0,-1.0,14223.0,209557.0,2500.0,4125.0,80.0,400.0,347700.0,7135.0,4780.0,11300.0,100.0,38000.0,220.0,100.0,173890.0,553.0,3000.0,16000.0,222000.0,10200.0,418015.0,184.0,2800.0,15600.0,2000.0,4500.0,100.0,17814.0,9300.0,-1.0,7.0,260.0,90.0,1100.0,40600.0,10465.0,417000.0,6900.0,-1.0,16000.0,1665.0,26000.0
1980,-1.0,8000.0,-1.0,65.0,969.0,3000.0,5000.0,8721.0,250.0,280.0,-1.0,3000.0,-1.0,1000.0,27100.0,-1.0,-1,18267.0,-1.0,300.0,25800.0,48000.0,7075.0,1650.0,57145.0,51.0,-1.0,8833.0,1972.0,-1.0,200.0,-1.0,-1.0,5000.0,11750.0,-1.0,55.0,41000.0,-1.0,-1.0,24778.0,109941.0,1000.0,4000.0,80.0,400.0,445800.0,11204.0,8010.0,8200.0,100.0,36000.0,230.0,100.0,136636.0,532.0,3700.0,15918.0,221000.0,12947.0,259969.0,100.0,3000.0,12900.0,2000.0,4600.0,80.0,15000.0,8800.0,-1.0,20.0,260.0,100.0,1100.0,38400.0,11316.0,259000.0,4400.0,-1.0,20000.0,1139.0,26000.0
1981,-1.0,8000.0,-1.0,61.0,1088.0,3000.0,5000.0,6013.0,100.0,280.0,-1.0,3000.0,-1.0,2500.0,28500.0,-1.0,-1,16597.0,-1.0,280.0,26400.0,55000.0,13878.0,1700.0,48084.0,30.0,-1.0,6860.0,1572.0,-1.0,250.0,-1.0,-1.0,6500.0,21900.0,-1.0,322.0,42000.0,-1.0,-1.0,18277.0,157158.0,3000.0,4200.0,80.0,400.0,590200.0,11200.0,11860.0,11200.0,80.0,37000.0,240.0,100.0,67374.0,176.0,3400.0,16567.0,242000.0,10330.0,511088.0,100.0,3200.0,11600.0,2000.0,4700.0,65.0,20000.0,8201.0,-1.0,51.0,200.0,110.0,1300.0,53000.0,11055.0,510000.0,5900.0,-1.0,25000.0,1144.0,25000.0
1982,-1.0,1209.0,-1.0,54.0,661.0,3000.0,5000.0,8017.0,100.0,280.0,-1.0,3000.0,-1.0,4291.0,22400.0,-1.0,-1,10823.0,-1.0,280.0,27000.0,58000.0,20578.0,1800.0,53150.0,30.0,-1.0,5106.0,896.0,-1.0,300.0,-1.0,-1.0,8500.0,13150.0,-1.0,205.0,44000.0,-1.0,-1.0,16362.0,179791.0,3000.0,4200.0,80.0,400.0,551700.0,7000.0,10540.0,11900.0,80.0,37000.0,245.0,100.0,36768.0,136.0,4400.0,20343.0,140000.0,13225.0,342661.0,200.0,3200.0,7200.0,2000.0,4800.0,68.0,21000.0,8301.0,-1.0,57.0,180.0,120.0,900.0,57100.0,10900.0,342000.0,5600.0,-1.0,35000.0,926.0,27000.0
1983,-1.0,6000.0,-1.0,26.0,250.0,3000.0,5000.0,5675.0,100.0,280.0,-1.0,3000.0,-1.0,2994.0,16300.0,-1.0,-1,8802.0,-1.0,280.0,27000.0,56643.0,37135.0,1850.0,57201.0,20.0,-1.0,11500.0,791.0,-1.0,350.0,-1.0,-1.0,10500.0,14800.0,-1.0,216.0,30000.0,-1.0,-1.0,15000.0,198095.0,4000.0,4300.0,80.0,400.0,558800.0,3709.0,10760.0,13000.0,80.0,36000.0,250.0,100.0,86769.0,26.0,3289.0,11000.0,206000.0,15000.0,348900.0,100.0,3200.0,4900.0,2000.0,5000.0,60.0,22000.0,7250.0,-1.0,47.0,190.0,110.0,1000.0,35600.0,8000.0,348650.0,6200.0,-1.0,42000.0,2289.0,38000.0
1984,-1.0,6200.0,-1.0,17.0,341.0,3000.0,5000.0,5844.0,100.0,225.0,-1.0,3000.0,-1.0,3322.0,22100.0,-1.0,-1,13544.0,-1.0,250.0,27000.0,46251.0,41708.0,1900.0,38225.0,15.0,-1.0,7691.0,579.0,-1.0,400.0,-1.0,-1.0,12500.0,25505.0,-1.0,100.0,31000.0,-1.0,-1.0,6400.0,206760.0,4000.0,4300.0,80.0,400.0,520700.0,12000.0,16610.0,8902.0,80.0,35000.0,250.0,100.0,62909.0,25.0,3000.0,11000.0,130000.0,7700.0,476341.0,99.0,3200.0,4932.0,2000.0,5200.0,75.0,23000.0,6330.0,-1.0,47.0,150.0,130.0,2100.0,39700.0,9000.0,476000.0,5900.0,-1.0,39000.0,4196.0,45000.0
1985,-1.0,7000.0,-1.0,20.0,429.0,3000.0,5000.0,6946.0,100.0,276.0,-1.0,3000.0,-1.0,3289.0,25400.0,-1.0,-1,14924.0,-1.0,220.0,27000.0,53716.0,40811.0,1900.0,45176.0,13.0,-1.0,3162.0,940.0,-1.0,500.0,-1.0,-1.0,14500.0,27120.0,-1.0,45.0,35000.0,-1.0,-1.0,11995.0,252814.0,6000.0,4400.0,80.0,400.0,501000.0,15000.0,13420.0,11528.0,150.0,35000.0,250.0,100.0,74607.0,26.0,2900.0,9000.0,134000.0,8700.0,691864.0,116.0,3200.0,15622.0,2000.0,5300.0,100.0,24000.0,7000.0,-1.0,121.0,130.0,130.0,1700.0,56700.0,11066.0,691435.0,8500.0,-1.0,33000.0,2753.0,45000.0
1986,-1.0,7200.0,-1.0,25.0,386.0,3000.0,4000.0,11626.0,100.0,297.0,-1.0,3000.0,-1.0,4178.0,31800.0,-1.0,-1,12457.0,-1.0,209.0,27000.0,49059.0,48247.0,2000.0,57727.0,10.0,-1.0,3975.0,571.0,-1.0,600.0,-1.0,-1.0,16500.0,28050.0,-1.0,54.0,35000.0,-1.0,-1.0,12100.0,248226.0,7000.0,4400.0,80.0,400.0,447700.0,8187.0,13400.0,11148.0,300.0,35000.0,255.0,100.0,62921.0,283.0,2400.0,10000.0,216000.0,8398.0,618386.0,86.0,3000.0,17854.0,2000.0,9370.0,125.0,25000.0,5061.0,-1.0,20.0,40.0,135.0,1800.0,44500.0,15684.0,618000.0,8800.0,-1.0,34614.0,2043.0,45000.0
1987,-1.0,7500.0,-1.0,25.0,557.0,3000.0,4000.0,12778.0,100.0,300.0,-1.0,3000.0,1000.0,1463.0,27300.0,-1.0,-1,7183.0,-1.0,274.0,26400.0,49027.0,43304.0,2100.0,62106.0,15.0,-1.0,3119.0,519.0,-1.0,700.0,-1.0,-1.0,18582.0,20730.0,-1.0,298.0,34000.0,-1.0,-1.0,12300.0,198843.0,8000.0,4400.0,80.0,400.0,583100.0,7967.0,9680.0,9913.0,500.0,35000.0,260.0,100.0,52891.0,91.0,1800.0,14000.0,233000.0,6159.0,526557.0,100.0,3000.0,10890.0,2000.0,10500.0,150.0,26000.0,4958.0,-1.0,24.0,30.0,183.0,2000.0,45300.0,16377.0,526000.0,9100.0,-1.0,33000.0,5249.0,43000.0
1988,-1.0,7800.0,-1.0,40.0,458.0,3000.0,4000.0,7873.0,50.0,300.0,-1.0,4000.0,1000.0,3849.0,27296.0,-1.0,-1,10080.0,-1.0,300.0,25800.0,45239.0,52353.0,2100.0,68296.0,10.0,-1.0,2612.0,705.0,-1.0,800.0,-1.0,-1.0,18987.0,25800.0,-1.0,500.0,36000.0,-1.0,-1.0,11300.0,169957.0,4000.0,4200.0,80.0,400.0,681800.0,9291.0,10740.0,10734.0,700.0,35000.0,265.0,105.0,34971.0,3.0,1400.0,14000.0,194000.0,6700.0,404458.0,73.0,3000.0,7480.0,2000.0,13200.0,200.0,27000.0,5873.0,-1.0,128.0,10.0,191.0,2000.0,46000.0,17984.0,404000.0,11000.0,-1.0,36000.0,3896.0,45000.0
1989,-1.0,8000.0,-1.0,40.0,330.0,3000.0,4000.0,2864.0,50.0,310.0,-1.0,12000.0,2000.0,2952.0,27474.0,-1.0,-1,15208.0,-1.0,200.0,25200.0,49290.0,39728.0,2100.0,68535.0,5.0,-1.0,3312.0,311.0,-1.0,900.0,-1.0,-1.0,18766.0,16950.0,-1.0,900.0,40000.0,-1.0,-1.0,7100.0,144839.0,6000.0,4200.0,80.0,400.0,745100.0,9766.0,24000.0,10800.0,1110.0,35000.0,270.0,105.0,45983.0,55.0,1267.0,12000.0,140000.0,4600.0,337964.0,169.0,3000.0,8920.0,2000.0,13200.0,250.0,28000.0,8136.0,-1.0,23.0,10.0,190.0,2200.0,50040.0,17180.0,337634.0,13900.0,-1.0,45800.0,3708.0,37000.0
1990,-1.0,8500.0,0.0,29.0,216.0,3000.0,4214.0,7500.0,50.0,310.0,-1.0,12000.0,2131.0,4491.0,29200.0,-1.0,-1,21455.0,-1.0,100.0,24600.0,48610.0,38069.0,2580.0,50561.0,3.0,-1.0,10414.0,199.0,-1.0,1000.0,0.0,0.0,18000.0,24370.0,-1.0,500.0,44000.0,-1.0,-1.0,8200.0,206832.0,5000.0,4000.0,107.0,506.0,835300.0,12500.0,19000.0,11652.0,1170.0,33000.0,274.0,110.0,59864.0,80.0,1250.0,22000.0,80000.0,4500.0,469474.0,233.0,3000.0,8230.0,2080.0,10000.0,300.0,29000.0,9432.0,-1.0,102.0,10.0,200.0,2400.0,45000.0,21034.0,469258.0,13900.0,500.0,61830.0,1574.0,39000.0
1991,-1.0,9000.0,10059.0,159.0,190.0,2500.0,6876.0,5800.0,50.0,-1.0,-1.0,12000.0,2775.0,5398.0,31955.0,-1.0,-1,28700.0,-1.0,0.0,24000.0,45220.0,29767.0,1755.0,45072.0,1.0,-1.0,12947.0,236.0,-1.0,1200.0,0.0,0.0,16086.0,22510.0,-1.0,300.0,46000.0,-1.0,-1.0,9800.0,215752.0,8000.0,3827.0,85.0,487.0,705900.0,12291.0,27000.0,13270.0,1200.0,35000.0,290.0,115.0,37000.0,63.0,2300.0,30000.0,97000.0,5400.0,436190.0,13.0,3000.0,5602.0,1826.0,5549.0,353.0,30000.0,8027.0,-1.0,105.0,3.0,205.0,2700.0,35000.0,23558.0,436000.0,13050.0,973.0,61000.0,1252.0,43000.0
1992,-1.0,10000.0,10176.0,183.0,275.0,2000.0,4079.0,9400.0,50.0,-1.0,-1.0,13000.0,4849.0,5544.0,31545.0,-1.0,-1,33995.0,90.0,0.0,28000.0,49463.0,29075.0,1703.0,20586.0,3.0,3000.0,10350.0,281.0,-1.0,1400.0,0.0,0.0,19000.0,23238.0,-1.0,980.0,49000.0,-1.0,6.0,10985.0,170522.0,6000.0,3800.0,90.0,488.0,760000.0,11000.0,25000.0,16325.0,1287.0,36000.0,292.0,-1.0,22776.0,38.0,1900.0,28295.0,266000.0,4700.0,516275.0,-1.0,3000.0,3785.0,1776.0,6014.0,393.0,28000.0,10762.0,-1.0,232.0,3.0,207.0,2700.0,15000.0,24000.0,516000.0,14000.0,1002.0,72000.0,2270.0,34000.0
