,Austria,Slovakia,Japan,Poland,Canada,USSR,Switzerland,Belgium-Luxembourg,Republic of Korea,Ukraine,Georgia,Greece,Czechoslovakia,Ethiopia,France,Czechia,Romania,Serbia,Slovenia,Hungary,Ireland,Russian Federation,Portugal,Yugoslav SFR,Belgium,Albania,China,United States of America,Serbia and Montenegro,Australia & New Zealand,Democratic People's Republic of Korea,"China, mainland",United Kingdom,Argentina,Australia,Spain,Croatia,Bulgaria,Germany,South Africa,New Zealand
1974,117.0,,2268.0,2500.0,400.0,10200.0,20.0,2262.0,105.0,,,300.0,7491.0,,2322.0,,410.0,,,281.0,,,300.0,5584.0,,-1.0,,25845.0,,3330.0,1400.0,,10161.0,295.0,2864.0,2659.0,,695.0,35866.0,50.0,466.0
1975,145.0,,2300.0,2737.0,600.0,7600.0,21.0,1772.0,46.0,,,300.0,10848.0,,2195.0,,470.0,,,290.0,,,200.0,4570.0,,-1.0,,25362.0,,2654.0,1400.0,,8300.0,203.0,2270.0,2352.0,,793.0,35382.0,74.0,384.0
1976,106.0,,2223.0,2543.0,600.0,7200.0,19.0,1668.0,104.0,,,300.0,9733.0,,1739.0,,570.0,,,410.0,,,350.0,4213.0,,-1.0,760.0,26206.0,,2198.0,1400.0,760.0,7900.0,172.0,1875.0,2538.0,,958.0,31070.0,78.0,323.0
1977,170.0,,2287.0,2474.0,600.0,11500.0,25.0,1795.0,175.0,,,300.0,12212.0,,1807.0,,440.0,,,519.0,,,180.0,4233.0,,-1.0,800.0,24846.0,,2344.0,1300.0,800.0,7200.0,260.0,2139.0,2035.0,,738.0,39963.0,80.0,205.0
1978,136.0,,2167.0,1941.0,600.0,6900.0,21.0,1393.0,150.0,,,300.0,10085.0,,1550.0,,530.0,,,590.0,72.0,,200.0,4249.0,,-1.0,800.0,24980.0,,2370.0,1300.0,800.0,9400.0,250.0,2160.0,2084.0,,724.0,32703.0,111.0,210.0
1979,154.0,,1816.0,2412.0,600.0,7800.0,20.0,1578.0,312.0,,,300.0,11839.0,,1589.0,,550.0,,,624.0,83.0,,220.0,4395.0,,-1.0,800.0,24920.0,,2461.0,1500.0,800.0,10300.0,227.0,2202.0,2581.0,,870.0,34882.0,139.0,259.0
1980,172.0,,1810.0,1680.0,600.0,6000.0,19.0,1431.0,267.0,,,300.0,10036.0,,1369.0,,570.0,,,657.0,76.0,,210.0,4731.0,,-1.0,1000.0,34270.0,,2373.0,1350.0,1000.0,9700.0,170.0,2092.0,2144.0,,675.0,29252.0,152.0,281.0
1981,179.0,,1285.0,2806.0,0.0,8000.0,19.0,1585.0,450.0,,,300.0,12890.0,,1500.0,,500.0,,,757.0,77.0,,220.0,5202.0,,-1.0,1200.0,35900.0,,2612.0,1300.0,1200.0,9000.0,140.0,2309.0,2525.0,,747.0,36100.0,150.0,303.0
1982,214.0,,1401.0,3116.0,,8000.0,20.0,1860.0,350.0,,,134.0,12552.0,,1400.0,,400.0,,,724.0,88.0,,240.0,5854.0,,-1.0,1000.0,35630.0,,2768.0,1200.0,1000.0,10300.0,170.0,2400.0,2372.0,,809.0,45834.0,150.0,368.0
1983,202.0,,1750.0,2669.0,,8000.0,17.0,1435.0,400.0,,,26.0,11661.0,,1400.0,,400.0,,,530.0,110.0,,230.0,4593.0,,-1.0,1000.0,30890.0,,2546.0,1300.0,1000.0,9000.0,163.0,2100.0,2916.0,,532.0,40416.0,150.0,446.0
1984,208.0,,1898.0,3485.0,,10000.0,23.0,1417.0,400.0,,,0.0,10837.0,,1400.0,,300.0,,,562.0,110.0,,240.0,5877.0,,-1.0,4000.0,25480.0,,3028.0,1500.0,4000.0,7900.0,187.0,2589.0,2845.0,,660.0,38720.0,150.0,439.0
1985,228.0,,1884.0,2746.0,,11000.0,31.0,1204.0,500.0,,,0.0,13233.0,,1300.0,,300.0,,,603.0,52.0,,240.0,5170.0,,-1.0,2300.0,22550.0,,2255.0,1700.0,2300.0,6500.0,211.0,1895.0,3249.0,,578.0,39094.0,150.0,360.0
1986,226.0,,1978.0,2708.0,,9000.0,39.0,1041.0,550.0,,,-1.0,10260.0,,1100.0,,300.0,,,622.0,41.0,,329.0,4525.0,,-1.0,3500.0,22210.0,,2221.0,1800.0,3500.0,5100.0,200.0,1821.0,2068.0,,706.0,37964.0,150.0,400.0
1987,223.0,,1851.0,2569.0,,10000.0,39.0,788.0,530.0,,,-1.0,11913.0,,700.0,,300.0,,,659.0,41.0,,306.0,5517.0,,-1.0,4500.0,22700.0,,2144.0,1950.0,4500.0,5174.0,296.0,1744.0,1849.0,,692.0,34618.0,155.0,400.0
1988,254.0,,1896.0,2442.0,,10000.0,42.0,606.0,536.0,,,-1.0,15396.0,,826.0,,300.0,,,636.0,40.0,,154.0,4777.0,,-1.0,6000.0,24810.0,,2670.0,2000.0,6000.0,4915.0,283.0,2258.0,1625.0,,706.0,34359.0,160.0,412.0
1989,262.0,,1500.0,1839.0,,10000.0,46.0,621.0,534.0,,,-1.0,12334.0,,881.0,,250.0,,,555.0,40.0,,248.0,4183.0,,-1.0,8500.0,26910.0,,2874.0,2000.0,8500.0,4709.0,326.0,2432.0,2224.0,,584.0,35025.0,165.0,442.0
1990,260.0,,1656.0,2015.0,0.0,9400.0,43.0,621.0,296.0,,,-1.0,10617.0,,787.0,,2000.0,,,431.0,39.0,,171.0,4079.0,,-1.0,10500.0,25790.0,,2536.0,2000.0,10500.0,4582.0,300.0,2066.0,2127.0,,473.0,30425.0,216.0,470.0
1991,261.0,,1256.0,1722.0,0.0,8900.0,48.0,711.0,250.0,,,-1.0,11125.0,,734.0,,2200.0,,,534.0,37.0,,164.0,4606.0,,-1.0,11000.0,31370.0,,3117.0,2000.0,11000.0,5983.0,310.0,2662.0,1921.0,,492.0,36461.0,203.0,455.0
1992,264.0,,1270.0,2286.0,0.0,,43.0,798.0,200.0,3502.0,200.0,-1.0,11300.0,,937.0,,2300.0,,3431.0,260.0,37.0,2920.0,150.0,,,-1.0,12000.0,33720.0,433.0,3460.0,2000.0,12000.0,4789.0,320.0,2872.0,1284.0,0.0,542.0,27000.0,211.0,588.0
1993,341.0,1080.0,1100.0,2373.0,0.0,,50.0,769.0,150.0,3479.0,191.0,-1.0,,15000.0,1077.0,9417.0,2470.0,,3429.0,126.0,37.0,3870.0,39.0,,,-1.0,12000.0,34540.0,709.0,3348.0,2200.0,12000.0,5519.0,330.0,2748.0,2092.0,,550.0,42469.0,200.0,600.0
1994,314.0,1506.0,1000.0,2170.0,0.0,,38.0,686.0,80.0,1367.0,180.0,-1.0,,15000.0,1104.0,9489.0,1559.0,,3372.0,51.0,38.0,1570.0,97.0,,,-1.0,12000.0,33820.0,754.0,3126.0,2200.0,12000.0,4400.0,332.0,2476.0,2071.0,,1164.0,28754.0,170.0,650.0
1995,320.0,1007.0,955.0,2962.0,0.0,,48.0,919.0,63.0,2649.0,160.0,-1.0,,15000.0,1109.0,9889.0,1823.0,,3507.0,38.0,38.0,2130.0,127.0,,,-1.0,12416.0,35770.0,811.0,3318.0,2000.0,12416.0,4400.0,332.0,2618.0,1727.0,,450.0,34129.0,280.0,700.0
1996,340.0,753.0,861.0,2961.0,0.0,,53.0,807.0,12.0,1353.0,149.0,-1.0,,16000.0,1149.0,10125.0,1455.0,,3348.0,35.0,39.0,1540.0,160.0,,,100.0,13000.0,34010.0,774.0,3333.0,2075.0,13000.0,5600.0,333.0,2500.0,1387.0,,421.0,39513.0,280.0,833.0
1997,300.0,742.0,763.0,2736.0,0.0,,45.0,742.0,12.0,730.0,150.0,-1.0,,17000.0,1150.0,7415.0,552.0,,4134.0,0.0,39.0,870.0,102.0,,,88.0,13519.0,33960.0,818.0,2833.0,2114.0,13519.0,5200.0,334.0,2000.0,1170.0,,456.0,34085.0,280.0,833.0
1998,400.0,261.0,619.0,2341.0,0.0,,45.0,765.0,20.0,406.0,120.0,-1.0,,19000.0,1274.0,4896.0,206.0,,3384.0,0.0,39.0,640.0,56.0,,,132.0,14500.0,27010.0,818.0,2141.0,2200.0,14500.0,3600.0,335.0,1500.0,1438.0,,400.0,30921.0,270.0,641.0
1999,300.0,234.0,721.0,2524.0,0.0,,45.0,486.0,20.0,488.0,0.0,-1.0,,20000.0,1328.0,6434.0,184.0,,2691.0,0.0,40.0,960.0,79.0,,,130.0,15000.0,29240.0,717.0,2341.0,2144.0,15000.0,3000.0,300.0,1700.0,1585.0,,421.0,27914.0,280.0,641.0
2000,300.0,96.0,692.0,2476.0,0.0,,50.0,,0.0,682.0,0.0,-1.0,,23000.0,1691.0,4865.0,142.0,,1986.0,0.0,40.0,930.0,86.0,,500.0,150.0,13500.0,30652.0,358.0,2735.0,2158.0,13500.0,2700.0,300.0,1995.0,1420.0,,300.0,29301.0,300.0,740.0
2001,300.0,188.0,692.0,2382.0,0.0,,52.0,,4.0,688.0,0.0,-1.0,,24651.0,1230.0,6622.0,155.0,,2158.0,0.0,40.0,600.0,80.0,,500.0,200.0,12500.0,30315.0,878.0,2830.0,2300.0,12500.0,2500.0,300.0,2000.0,1399.0,,252.0,31742.0,350.0,830.0
2002,300.0,298.0,700.0,2405.0,0.0,,46.0,,2.0,522.0,0.0,-1.0,,24000.0,1567.0,6442.0,142.0,,2199.0,0.0,41.0,590.0,91.0,,500.0,700.0,16619.0,26461.0,626.0,2434.0,2181.0,16619.0,2550.0,290.0,1710.0,1219.0,,189.0,32273.0,323.0,724.0
2003,290.0,323.0,709.0,3057.0,0.0,,24.0,,1.0,547.0,0.0,-1.0,,24920.0,1395.0,5527.0,209.0,,1422.0,0.0,41.0,520.0,97.0,,451.0,700.0,14927.0,24750.0,380.0,1971.0,2185.0,14927.0,1950.0,297.0,1086.0,1312.0,,268.0,25355.0,327.0,885.0
2004,300.0,364.0,709.0,2898.0,0.0,,49.0,,0.0,600.0,0.0,-1.0,,26050.0,1191.0,6311.0,37.0,,2398.0,0.0,41.0,470.0,102.0,,395.0,900.0,9658.0,25040.0,340.0,1708.0,2109.0,9658.0,2110.0,293.0,928.0,1346.0,,276.0,33202.0,320.0,780.0
2005,313.0,426.0,708.0,3414.0,0.0,,38.0,,0.0,640.0,1.0,-1.0,,22780.0,1374.0,7831.0,194.0,,2501.0,1.0,42.0,390.0,107.0,,435.0,800.0,9772.0,24002.0,386.0,1901.0,2074.0,9772.0,2110.0,293.0,1111.0,1303.0,,216.0,34456.0,335.0,790.0
2006,304.0,314.0,703.0,2889.0,0.0,,28.0,,0.0,670.0,0.0,-1.0,,24053.0,1209.0,5453.0,435.0,82.0,1916.0,2.0,45.0,350.0,120.0,,388.0,1000.0,9882.0,26159.0,,1699.0,2000.0,9882.0,1381.0,295.0,911.0,1135.0,,174.0,28500.0,350.0,788.0
2007,368.0,294.0,715.0,3392.0,0.0,,36.0,,2.0,700.0,0.0,-1.0,,32361.0,1493.0,5631.0,374.0,82.0,2157.0,3.0,40.0,280.0,129.0,,384.0,1028.0,10000.0,27330.0,,1659.0,1900.0,10000.0,1500.0,450.0,859.0,948.0,,647.0,32100.0,360.0,800.0
2008,384.0,329.0,700.0,3491.0,0.0,,35.0,,0.0,910.0,1.0,-1.0,,30281.0,1469.0,6753.0,257.0,118.0,2400.0,3.0,42.0,300.0,118.0,,350.0,1036.0,10000.0,36573.0,,1660.0,2000.0,10000.0,1329.0,450.0,860.0,819.0,,384.0,39675.0,370.0,800.0
2009,347.0,249.0,780.0,3924.0,0.0,,40.0,,0.0,1330.0,4.0,-1.0,,30938.0,820.0,6616.0,245.0,110.0,2669.0,3.0,43.0,320.0,101.0,,386.0,1500.0,10000.0,42945.0,,1695.0,2100.0,10000.0,1254.0,450.0,895.0,1028.0,,129.0,31346.0,379.0,800.0
2010,370.0,205.0,736.0,2193.0,0.0,,40.0,,0.0,770.0,4.0,-1.0,,28086.0,791.0,7800.0,232.0,95.0,2073.0,3.0,43.0,200.0,102.0,,400.0,1550.0,9946.0,29707.0,,1732.0,2000.0,9946.0,1086.0,450.0,912.0,1048.0,,84.0,34249.0,368.0,820.0
2011,451.0,249.0,690.0,2580.0,0.0,,41.0,,0.0,680.0,4.0,-1.0,,28901.0,648.0,6088.0,117.0,89.0,2154.0,3.0,43.0,350.0,101.0,,229.0,1600.0,9052.0,29384.0,,1801.0,2000.0,9052.0,930.0,450.0,966.0,956.0,,44.0,38068.0,400.0,835.0
2012,445.0,224.0,694.0,2206.0,0.0,,42.0,,0.0,400.0,4.0,-1.0,,21792.0,746.0,4338.0,173.0,10.0,1338.0,3.0,44.0,347.0,100.0,,361.0,1650.0,8422.0,27780.0,,1775.0,2000.0,8422.0,774.0,450.0,948.0,1037.0,,127.0,34434.0,442.0,827.0
2013,372.0,178.0,692.0,2431.0,0.0,,31.0,,0.0,500.0,4.0,-1.0,,30588.0,611.0,5330.0,172.0,21.0,1227.0,3.0,44.0,330.0,99.0,,343.0,1700.0,8026.0,31410.0,,1536.0,2000.0,8026.0,686.0,451.0,704.0,868.0,,130.0,27533.0,429.0,832.0
2014,492.0,182.0,690.0,2713.0,0.0,,34.0,,0.0,300.0,4.0,-1.0,,32271.0,626.0,6202.0,268.0,20.0,1960.0,3.0,44.0,304.0,99.0,,298.0,1700.0,7656.0,32203.0,,1494.0,2010.0,7656.0,608.0,464.0,657.0,958.0,,106.0,38487.0,434.0,838.0
