,Jordan,Australia,Madagascar,Pakistan,Mexico,Azerbaijan,Italy,Mauritius,Turkey,Syrian Arab Republic,Tunisia,Iran (Islamic Republic of),Uzbekistan,China,United States of America,Greece,Australia & New Zealand,Morocco,"China, mainland",Cameroon,Cyprus,Afghanistan,Côte d'Ivoire,Spain,Kyrgyzstan
2003,22.0,-1.0,195.0,195.0,7.0,10.0,1993.0,5.0,90000.0,47600.0,1200.0,306192.0,200.0,30000.0,53980.0,7930.0,-1.0,50.0,30000.0,-1.0,15.0,2200.0,191.0,2933.0,170.0
2004,24.0,-1.0,200.0,343.0,11.0,10.0,2400.0,6.0,30000.0,21200.0,1800.0,184899.0,250.0,32000.0,157397.0,7917.0,-1.0,46.0,32000.0,-1.0,14.0,2310.0,203.0,2899.0,227.0
2005,0.0,-1.0,210.0,597.0,26.0,11.0,2719.0,5.0,60000.0,44642.0,2000.0,229657.0,300.0,34000.0,128367.0,8847.0,-1.0,47.0,34000.0,,15.0,2457.0,214.0,2864.0,300.0
2006,0.0,1000.0,220.0,632.0,4.0,15.0,1024.0,5.0,110000.0,73183.0,2700.0,250000.0,203.0,36000.0,107955.0,8233.0,1000.0,47.0,36000.0,,12.0,2457.0,224.0,2830.0,500.0
2007,0.0,500.0,230.0,536.0,10.0,3.0,2782.0,5.0,73416.0,52066.0,2500.0,315500.0,200.0,38000.0,188696.0,8148.0,500.0,47.0,38000.0,,25.0,2800.0,234.0,2796.0,800.0
2008,618.0,1800.0,224.0,773.0,21.0,3.0,2000.0,5.0,120113.0,52600.0,2500.0,446647.0,200.0,40000.0,126100.0,8100.0,1800.0,47.0,40000.0,,24.0,3300.0,243.0,2761.0,803.0
2009,469.0,600.0,217.0,773.0,66.0,2.0,3110.0,5.0,81795.0,61484.0,2500.0,446647.0,200.0,45000.0,161025.0,7939.0,600.0,47.0,45000.0,,75.0,2200.0,252.0,2783.0,803.0
2010,623.0,1000.0,211.0,663.0,71.0,2.0,2852.0,5.0,128000.0,57471.0,2300.0,446647.0,200.0,58000.0,236775.0,7902.0,1000.0,47.0,58000.0,,19.0,2590.0,261.0,2722.0,800.0
2011,630.0,1792.0,1000.0,659.0,69.0,3.0,3079.0,5.0,112000.0,55610.0,2100.0,378629.0,500.0,74000.0,201395.0,7791.0,1792.0,47.0,74000.0,,24.0,2744.0,269.0,2708.0,800.0
2012,675.0,1344.0,1900.0,655.0,38.0,3.0,943.0,5.0,150000.0,57195.0,1400.0,390400.0,500.0,72000.0,275500.0,7955.0,1344.0,47.0,72000.0,,6.0,2736.0,290.0,2681.0,800.0
2013,732.0,1299.0,1900.0,659.0,58.0,6.0,3227.0,5.0,88600.0,54516.0,2100.0,412000.0,600.0,74000.0,213188.0,6854.0,1299.0,47.0,74000.0,,11.0,2749.0,295.0,2489.0,900.0
2014,727.0,1274.0,1821.0,659.0,30.0,8.0,3555.0,5.0,80000.0,28786.0,2500.0,415531.0,700.0,76943.0,233146.0,5700.0,1274.0,47.0,76943.0,,23.0,2761.0,294.0,2468.0,900.0
