,Seychelles,Guadeloupe,Kenya,Fiji,Belgium,Comoros,Mexico,Cook Islands,China,Indonesia,Zimbabwe,Malawi,Melanesia,Papua New Guinea,Polynesia,Tonga,Réunion,Portugal,French Polynesia,"China, mainland",Madagascar,Turkey,Uganda
1973,0.0,3.0,-1.0,-1,-1,34.0,44.0,2.0,-1.0,300.0,-1.0,-1.0,0.0,-1.0,47.0,10.0,14.0,-1,35.0,-1.0,1630.0,-1.0,10.0
1974,-1.0,2.0,-1.0,-1,-1,160.0,29.0,2.0,-1.0,300.0,-1.0,-1.0,0.0,-1.0,33.0,10.0,27.0,-1,21.0,-1.0,2283.0,-1.0,10.0
1975,-1.0,2.0,-1.0,-1,-1,211.0,34.0,2.0,-1.0,390.0,-1.0,-1.0,0.0,-1.0,21.0,10.0,35.0,-1,9.0,-1.0,2433.0,-1.0,10.0
1976,-1.0,1.0,-1.0,-1,-1,124.0,42.0,2.0,-1.0,364.0,-1.0,-1.0,0.0,-1.0,25.0,11.0,35.0,-1,12.0,-1.0,985.0,-1.0,10.0
1977,-1.0,2.0,-1.0,-1,-1,230.0,75.0,2.0,-1.0,295.0,-1.0,-1.0,0.0,-1.0,22.0,12.0,18.0,-1,8.0,-1.0,1287.0,-1.0,10.0
1978,-1.0,3.0,-1.0,-1,-1,177.0,16.0,2.0,-1.0,418.0,-1.0,-1.0,0.0,-1.0,15.0,10.0,30.0,-1,3.0,-1.0,1320.0,-1.0,10.0
1979,-1.0,3.0,10.0,-1,-1,180.0,10.0,2.0,-1.0,726.0,-1.0,-1.0,0.0,-1.0,11.0,5.0,31.0,-1,4.0,-1.0,759.0,-1.0,10.0
1980,-1.0,3.0,10.0,-1,-1,164.0,21.0,3.0,-1.0,761.0,-1.0,-1.0,0.0,-1.0,14.0,8.0,23.0,-1,3.0,-1.0,977.0,-1.0,10.0
1981,-1.0,3.0,10.0,-1,-1,175.0,56.0,3.0,-1.0,676.0,-1.0,-1.0,0.0,-1.0,22.0,15.0,21.0,-1,4.0,-1.0,1417.0,-1.0,10.0
1982,-1.0,4.0,15.0,-1,-1,270.0,166.0,3.0,-1.0,466.0,-1.0,-1.0,0.0,-1.0,27.0,20.0,22.0,-1,4.0,-1.0,1815.0,-1.0,10.0
1983,-1.0,4.0,10.0,-1,-1,230.0,161.0,3.0,-1.0,617.0,-1.0,-1.0,0.0,-1.0,30.0,23.0,30.0,-1,4.0,-1.0,1719.0,-1.0,10.0
1984,-1.0,4.0,10.0,-1,-1,160.0,161.0,3.0,-1.0,520.0,-1.0,20.0,0.0,-1.0,25.0,16.0,56.0,-1,6.0,-1.0,2277.0,-1.0,10.0
1985,-1.0,6.0,10.0,-1,-1,200.0,47.0,3.0,200.0,1031.0,-1.0,20.0,0.0,-1.0,56.0,44.0,44.0,-1,9.0,200.0,1400.0,-1.0,10.0
1986,-1.0,7.0,10.0,-1,-1,210.0,62.0,3.0,250.0,1236.0,-1.0,20.0,0.0,-1.0,58.0,45.0,19.0,-1,10.0,250.0,660.0,-1.0,10.0
1987,-1.0,7.0,10.0,-1,-1,215.0,93.0,3.0,250.0,1836.0,-1.0,20.0,0.0,-1.0,48.0,36.0,44.0,-1,9.0,250.0,1560.0,-1.0,10.0
1988,-1.0,7.0,10.0,-1,-1,262.0,168.0,3.0,300.0,2453.0,-1.0,20.0,0.0,-1.0,43.0,30.0,18.0,-1,10.0,300.0,1560.0,10.0,10.0
1989,-1.0,7.0,10.0,-1,-1,200.0,233.0,3.0,300.0,2009.0,-1.0,20.0,0.0,-1.0,59.0,35.0,39.0,-1,21.0,300.0,1520.0,30.0,10.0
1990,0.0,8.0,9.0,-1,-1,250.0,195.0,3.0,371.0,1262.0,20.0,14.0,-1.0,-1.0,65.0,47.0,10.0,-1,15.0,371.0,1000.0,0.0,7.0
1991,0.0,8.0,8.0,-1,-1,240.0,284.0,3.0,350.0,1184.0,50.0,25.0,-1.0,-1.0,73.0,48.0,23.0,-1,22.0,350.0,940.0,5.0,15.0
1992,0.0,8.0,8.0,-1,-1,276.0,403.0,2.0,375.0,1573.0,10.0,20.0,-1.0,-1.0,69.0,50.0,32.0,-1,17.0,375.0,800.0,0.0,10.0
1993,0.0,8.0,8.0,-1,-1,283.0,445.0,1.0,400.0,1528.0,18.0,25.0,-1.0,-1.0,413.0,397.0,93.0,-1,15.0,400.0,1000.0,0.0,15.0
1994,0.0,8.0,8.0,-1,-1,131.0,167.0,2.0,435.0,1770.0,18.0,20.0,-1.0,-1.0,115.0,100.0,33.0,-1,13.0,435.0,800.0,45.0,20.0
1995,0.0,8.0,9.0,-1,-1,160.0,207.0,2.0,469.0,1958.0,17.0,22.0,-1.0,-1.0,107.0,94.0,18.0,-1,11.0,469.0,840.0,60.0,15.0
1996,0.0,9.0,9.0,-1,-1,130.0,299.0,2.0,500.0,2051.0,17.0,25.0,-1.0,-1.0,122.0,93.0,25.0,-1,27.0,500.0,880.0,25.0,25.0
1997,0.0,9.0,11.0,-1,-1,150.0,135.0,1.0,523.0,2045.0,11.0,20.0,-1.0,-1.0,131.0,94.0,48.0,-1,36.0,523.0,860.0,35.0,30.0
1998,0.0,9.0,10.0,-1,-1,160.0,564.0,2.0,550.0,1900.0,11.0,22.0,-1.0,-1.0,159.0,127.0,30.0,-1,30.0,550.0,1000.0,100.0,60.0
1999,0.0,9.0,9.0,-1,-1,140.0,353.0,0.0,600.0,1800.0,14.0,22.0,-1.0,-1.0,179.0,163.0,26.0,-1,16.0,600.0,1100.0,50.0,40.0
2000,0.0,9.0,8.0,-1,-1,140.0,255.0,0.0,650.0,1681.0,10.0,20.0,-1.0,-1.0,165.0,130.0,25.0,-1,35.0,650.0,880.0,100.0,43.0
2001,0.0,9.0,8.0,-1,-1,140.0,299.0,0.0,670.0,2198.0,10.0,21.0,50.0,50.0,160.0,130.0,34.0,-1,30.0,670.0,920.0,170.0,50.0
2002,0.0,9.0,8.0,-1,-1,140.0,189.0,0.0,700.0,2731.0,10.0,21.0,225.0,225.0,167.0,130.0,32.0,-1,37.0,700.0,880.0,126.0,70.0
2003,0.0,10.0,10.0,-1,-1,110.0,257.0,0.0,800.0,1656.0,13.0,21.0,1000.0,1000.0,164.0,133.0,31.0,-1,31.0,800.0,525.0,131.0,100.0
2004,0.0,10.0,11.0,-1,-1,60.0,252.0,0.0,900.0,2252.0,13.0,21.0,1000.0,1000.0,188.0,144.0,25.0,-1,44.0,900.0,839.0,100.0,170.0
2005,0.0,10.0,11.0,-1,-1,65.0,280.0,0.0,1000.0,2366.0,12.0,21.0,500.0,500.0,196.0,147.0,23.0,-1,49.0,1000.0,2613.0,153.0,250.0
2006,0.0,10.0,12.0,-1,-1,75.0,291.0,0.0,1200.0,3768.0,12.0,21.0,500.0,500.0,165.0,140.0,22.0,-1,25.0,1200.0,2534.0,170.0,280.0
2007,0.0,10.0,15.0,-1,-1,76.0,637.0,0.0,1350.0,3177.0,15.0,20.0,550.0,550.0,187.0,150.0,11.0,-1,37.0,1350.0,2661.0,188.0,450.0
2008,0.0,10.0,13.0,-1,-1,50.0,523.0,0.0,1400.0,3319.0,12.0,20.0,565.0,565.0,209.0,160.0,12.0,-1,49.0,1400.0,2686.0,203.0,300.0
2009,0.0,10.0,13.0,-1,-1,44.0,524.0,0.0,1411.0,3341.0,12.0,20.0,400.0,400.0,239.0,165.0,12.0,-1,74.0,1411.0,2710.0,218.0,250.0
2010,0.0,10.0,13.0,-1,-1,42.0,395.0,0.0,1300.0,2600.0,11.0,20.0,425.0,425.0,222.0,178.0,19.0,-1,44.0,1300.0,2742.0,233.0,250.0
2011,0.0,11.0,13.0,-1,-1,37.0,362.0,0.0,799.0,3500.0,11.0,20.0,385.0,385.0,252.0,200.0,21.0,-1,52.0,799.0,2865.0,248.0,180.0
2012,0.0,11.0,12.0,-1,-1,30.0,390.0,0.0,432.0,3100.0,11.0,20.0,400.0,400.0,267.0,210.0,22.0,-1,57.0,432.0,3252.0,290.0,170.0
2013,0.0,11.0,15.0,-1,-1,27.0,463.0,0.0,335.0,2600.0,11.0,20.0,481.0,481.0,218.0,190.0,21.0,-1,28.0,335.0,3523.0,277.0,175.0
2014,0.0,11.0,14.0,-1,-1,24.0,420.0,0.0,286.0,2000.0,10.0,20.0,510.0,510.0,213.0,186.0,21.0,-1,27.0,286.0,3719.0,280.0,218.0
