,Austria,Slovakia,Japan,Poland,Canada,USSR,Switzerland,Belgium-Luxembourg,Republic of Korea,Belgium,Greece,Czechoslovakia,Ethiopia,France,Czechia,Romania,Serbia,Slovenia,Hungary,Ireland,Russian Federation,Portugal,Yugoslav SFR,Georgia,Albania,China,United States of America,Serbia and Montenegro,Australia & New Zealand,Democratic People's Republic of Korea,"China, mainland",United Kingdom,Argentina,Australia,Spain,South Africa,Bulgaria,Germany,Ukraine,New Zealand
1989,14475.0,,18750.0,8390.0,,7692.0,21905.0,15802.0,15660.0,,,10430.0,,19665.0,,4167.0,,,10653.0,11429.0,,21017.0,13080.0,,,17000.0,19221.0,,21512.0,5000.0,17000.0,12591.0,13471.0,20628.0,16081.0,7174.0,7458.0,15637.0,,28153.0
1990,13333.0,,19644.0,9456.0,,7705.0,20476.0,17107.0,6607.0,,,8994.0,,16294.0,,10000.0,,,8887.0,10833.0,,16286.0,12986.0,,,16935.0,17972.0,,19766.0,3806.0,16935.0,11749.0,12000.0,18562.0,15193.0,10141.0,6662.0,13583.0,,27647.0
1991,13316.0,,16950.0,8107.0,,7542.0,22857.0,18184.0,8333.0,,,8703.0,,14477.0,,10476.0,,,11609.0,10329.0,,17826.0,15136.0,,,16923.0,19606.0,,25675.0,4969.0,16923.0,16170.0,11923.0,25256.0,16503.0,7287.0,7332.0,16221.0,,28438.0
1992,12754.0,,19242.0,10386.0,,,20476.0,20000.0,8000.0,,,8692.0,,16239.0,,10455.0,,14308.0,11304.0,10400.0,6636.0,15789.0,,5000.0,,17143.0,19719.0,10510.0,25200.0,4989.0,17143.0,13240.0,11852.0,24695.0,10918.0,7514.0,7435.0,11864.0,5070.0,28000.0
1993,15714.0,8282.0,18333.0,11788.0,,,23810.0,18710.0,15000.0,,,,10345.0,16881.0,8245.0,10556.0,,13905.0,11887.0,10470.0,8413.0,4194.0,,5076.0,,17143.0,19805.0,13875.0,23627.0,5000.0,17143.0,15648.0,11786.0,22957.0,18223.0,7692.0,7534.0,18452.0,5511.0,27273.0
1994,13419.0,12446.0,20000.0,9692.0,,,18095.0,18196.0,20000.0,,,,10460.0,16933.0,8879.0,7122.0,,14712.0,20400.0,10540.0,3829.0,8584.0,,5098.0,,17143.0,19709.0,12463.0,24556.0,5000.0,17143.0,12673.0,11860.0,24588.0,19000.0,7391.0,15772.0,13102.0,2275.0,24436.0
1995,13223.0,8833.0,18365.0,13112.0,,,22857.0,24704.0,39375.0,,,,10345.0,16854.0,9777.0,10667.0,,15905.0,22353.0,10611.0,5462.0,11239.0,,5333.0,,17984.0,20463.0,14104.0,23582.0,5000.0,17984.0,13333.0,11870.0,23909.0,15917.0,7568.0,10514.0,15650.0,5095.0,22436.0
1996,13878.0,7583.0,19885.0,12790.0,,,25238.0,23190.0,20000.0,,,,10667.0,17278.0,10730.0,8156.0,,14993.0,23333.0,10681.0,4400.0,16000.0,,5067.0,6667.0,17333.0,19032.0,14047.0,24689.0,5002.0,17333.0,16471.0,11910.0,25000.0,13023.0,7568.0,9790.0,18114.0,2797.0,23800.0
1997,12195.0,9093.0,19171.0,12363.0,,,21429.0,24013.0,20000.0,,,,10625.0,16618.0,9920.0,8070.0,,19112.0,,10751.0,4183.0,7969.0,,5013.0,6584.0,18790.0,19384.0,14607.0,20985.0,5018.0,18790.0,14857.0,11940.0,20000.0,11759.0,7568.0,9948.0,15940.0,1990.0,23800.0
1998,16064.0,17285.0,17242.0,10858.0,,,20455.0,28125.0,40000.0,,,,10556.0,16763.0,8692.0,5282.0,,16836.0,,10821.0,3699.0,8615.0,,4800.0,6610.0,18710.0,18213.0,14607.0,16858.0,5238.0,18710.0,12414.0,11959.0,16304.0,17078.0,7297.0,10127.0,15625.0,1560.0,18314.0
1999,13274.0,9832.0,21144.0,12819.0,,,20455.0,18550.0,40000.0,,,,10526.0,16853.0,10702.0,3580.0,,14925.0,,10892.0,4936.0,19750.0,,,6667.0,25000.0,21097.0,12804.0,20357.0,5035.0,25000.0,11538.0,12000.0,21250.0,19377.0,7778.0,10532.0,15256.0,2244.0,18314.0
2000,13825.0,3516.0,21033.0,12876.0,,,22727.0,,,16667.0,,,10952.0,21405.0,7982.0,5917.0,,11246.0,,10962.0,3875.0,21500.0,,,6667.0,24545.0,20970.0,6871.0,25138.0,5020.0,24545.0,11739.0,12000.0,27033.0,19163.0,7895.0,10671.0,15649.0,3385.0,21143.0
2001,13761.0,7642.0,20970.0,12228.0,,,21667.0,,46437.0,16667.0,,,13362.0,15375.0,10900.0,11071.0,,12830.0,,11032.0,2727.0,20984.0,,,6667.0,25010.0,20859.0,14003.0,26952.0,5227.0,25010.0,11390.0,12000.0,28571.0,16876.0,7778.0,10000.0,15995.0,4155.0,23714.0
2002,13889.0,9401.0,20315.0,10942.0,,,20000.0,,45986.0,16667.0,,,12000.0,19736.0,7853.0,9342.0,,12102.0,,11103.0,2810.0,21671.0,,,6667.0,29519.0,22309.0,11529.0,23177.0,4938.0,29519.0,14011.0,12083.0,24423.0,18303.0,8126.0,7441.0,17386.0,3071.0,20686.0
2003,13876.0,10157.0,20393.0,14075.0,,,10909.0,,48279.0,20044.0,,,11985.0,17591.0,9302.0,10296.0,,9046.0,,11112.0,2889.0,22685.0,,,6733.0,28940.0,21333.0,9005.0,24154.0,4856.0,28940.0,13356.0,12057.0,23305.0,20436.0,8305.0,9537.0,14402.0,3203.0,25286.0
2004,14493.0,11818.0,20475.0,12943.0,,,24500.0,,49930.0,18119.0,,,11872.0,15076.0,10810.0,7400.0,,15735.0,,11175.0,2765.0,23809.0,,,6667.0,25741.0,22303.0,12546.0,24435.0,4772.0,25741.0,15746.0,12058.0,25149.0,20966.0,8421.0,10110.0,19087.0,3529.0,23636.0
2005,15888.0,13922.0,20722.0,14902.0,,,19000.0,,51579.0,24716.0,,,9952.0,18031.0,13806.0,6929.0,,17213.0,44994.0,11174.0,2438.0,24967.0,,5040.0,6667.0,28032.0,20131.0,17004.0,22766.0,4632.0,28032.0,15746.0,12063.0,22000.0,20815.0,8375.0,9486.0,19997.0,4923.0,23939.0
2006,15510.0,10397.0,20592.0,12932.0,,,12727.0,,,13519.0,,,10116.0,15227.0,10072.0,6672.0,10000.0,12714.0,47095.0,11250.0,5833.0,30000.0,,,6667.0,27884.0,22012.0,,24199.0,4582.0,27884.0,11733.0,12041.0,24489.0,18917.0,8754.0,8614.0,16556.0,5583.0,23873.0
2007,17358.0,10034.0,21343.0,14799.0,,,18947.0,,54880.0,20000.0,,,12835.0,18780.0,10449.0,8500.0,10789.0,13721.0,49197.0,11047.0,5600.0,25899.0,,,6856.0,27778.0,21848.0,,23465.0,4318.0,27778.0,12500.0,12162.0,22785.0,15800.0,8780.0,23190.0,18088.0,7778.0,24242.0
2008,17778.0,12096.0,19444.0,15073.0,,,17500.0,,56531.0,17413.0,,,12406.0,18314.0,12658.0,5130.0,16389.0,14652.0,51299.0,10970.0,6410.0,24108.0,,5042.0,6905.0,27778.0,22097.0,,23380.0,4444.0,27778.0,13227.0,12162.0,22632.0,16446.0,9024.0,20426.0,21126.0,9100.0,24242.0
2009,15022.0,10873.0,21081.0,17877.0,,,22222.0,,58179.0,19694.0,,,12892.0,10362.0,12467.0,5373.0,16418.0,16078.0,53400.0,10892.0,7583.0,24665.0,,5042.0,6818.0,27778.0,26712.0,,23739.0,4565.0,27778.0,13423.0,12162.0,23307.0,20478.0,9533.0,8958.0,16990.0,14000.0,24242.0
2010,15880.0,8686.0,20677.0,12832.0,,,21053.0,,59829.0,20000.0,,,12961.0,10340.0,15000.0,10791.0,17593.0,13931.0,55502.0,10815.0,8264.0,25286.0,,5043.0,7381.0,28267.0,23462.0,,23776.0,4348.0,28267.0,13504.0,12162.0,23419.0,20389.0,9911.0,10000.0,18628.0,8556.0,24186.0
2011,18714.0,10921.0,20681.0,15703.0,,,21579.0,,61483.0,11650.0,,,12808.0,8653.0,13143.0,6610.0,18936.0,15654.0,57603.0,10733.0,13725.0,25908.0,,5044.0,7273.0,29102.0,24377.0,,23813.0,4348.0,29102.0,13512.0,12162.0,23333.0,17936.0,10308.0,8627.0,20467.0,8500.0,24393.0
2012,18776.0,10136.0,20577.0,13509.0,,,22105.0,,63131.0,22422.0,,,9497.0,12794.0,9936.0,7655.0,9091.0,11544.0,59705.0,10476.0,12948.0,26530.0,,5044.0,7500.0,28608.0,21502.0,,24037.0,4348.0,28608.0,13521.0,12162.0,23433.0,19239.0,11787.0,24902.0,19904.0,5714.0,24769.0
2013,15305.0,10230.0,20617.0,14978.0,,,17222.0,,64788.0,20915.0,,,12371.0,11508.0,12341.0,7197.0,10500.0,10523.0,61806.0,9355.0,12088.0,27151.0,,5045.0,7727.0,28786.0,21996.0,,24255.0,4348.0,28786.0,13529.0,12181.0,23467.0,16104.0,11070.0,18381.0,16586.0,8333.0,24965.0
2014,19875.0,12908.0,20658.0,16110.0,,,20000.0,,66424.0,19097.0,,,11369.0,11243.0,13906.0,11029.0,12402.0,15123.0,63908.0,10464.0,11390.0,27773.0,,5046.0,7549.0,28963.0,20938.0,,24367.0,4341.0,28963.0,13537.0,12199.0,23395.0,17138.0,10398.0,15285.0,22247.0,7500.0,25187.0
