,Austria,Slovakia,Japan,Bhutan,USSR,Belarus,Republic of Korea,Estonia,United Republic of Tanzania,Georgia,Greece,Czechoslovakia,Lithuania,France,Czechia,Poland,Ukraine,Bosnia and Herzegovina,Hungary,Ireland,Republic of Moldova,Russian Federation,Tajikistan,Kyrgyzstan,Yugoslav SFR,Slovenia,Kazakhstan,Brazil,United States of America,Serbia and Montenegro,Latvia,China,"China, mainland",Nepal,Canada,Uzbekistan,Croatia,Bulgaria,Guatemala,South Africa
1971,,,18780.0,5500.0,1768000.0,,9100.0,,-1.0,,-1.0,158.0,,14600.0,,57000.0,,,-1.0,-1.0,,,,,4400.0,,,8200.0,15000.0,,,2300000.0,2300000.0,-1.0,49533.0,,,-1.0,,5500.0
1972,,,21800.0,5500.0,1720000.0,,7215.0,,-1.0,,-1.0,195.0,,11900.0,,42000.0,,,-1.0,-1.0,,,,,4339.0,,,7700.0,15400.0,,,2450000.0,2450000.0,-1.0,41601.0,,,-1.0,,3500.0
1973,,,27000.0,5600.0,1648000.0,,10806.0,,-1.0,,-1.0,71.0,,11200.0,,37000.0,,,-1.0,-1.0,,,,,4068.0,,,24000.0,16500.0,,,2230000.0,2230000.0,-1.0,36017.0,,,-1.0,,4360.0
1974,,,23300.0,5600.0,1589000.0,,7127.0,,-1.0,,-1.0,75.0,,10700.0,,41300.0,,,-1.0,-1.0,,,,,3207.0,,,31000.0,17800.0,,,2120000.0,2120000.0,-1.0,25738.0,,,-1.0,,8300.0
1975,,,18300.0,5850.0,1459000.0,,6159.0,,-1.0,,-1.0,14.0,,10400.0,,34031.0,,,-1.0,-1.0,,,,,2861.0,,,41000.0,19000.0,,,2030000.0,2030000.0,-1.0,21100.0,,,-1.0,,16550.0
1976,,,14700.0,6100.0,1431000.0,,7576.0,,-1.0,,-1.0,12.0,,7800.0,,42848.0,,,-1.0,-1.0,,,,,2297.0,,,25000.0,19900.0,,,2000000.0,2000000.0,-1.0,27200.0,,,-1.0,,4300.0
1977,,,16600.0,6100.0,1743000.0,,12662.0,,-1.0,,-1.0,2.0,,6435.0,,37289.0,,,-1.0,-1.0,,,,,2150.0,,,21000.0,22500.0,,,1809000.0,1809000.0,-1.0,43300.0,,,-1.0,,3450.0
1978,,,25100.0,6300.0,1773000.0,,12368.0,,-1.0,,-1.0,2.0,,7200.0,,61419.0,,,-1.0,-1.0,,,,,1836.0,,,43000.0,22824.0,,,2000000.0,2000000.0,-1.0,60300.0,,,-1.0,,8020.0
1979,,,22500.0,6950.0,1655400.0,,8868.0,,-1.0,,-1.0,2.0,,5700.0,,79105.0,,,-1.0,-1.0,,,,,1730.0,,,30000.0,32000.0,,,1830000.0,1830000.0,-1.0,66300.0,,,-1.0,,8920.0
1980,,,24200.0,7350.0,1698000.0,,9514.0,,-1.0,,-1.0,12.0,,5292.0,,126235.0,,,-1.0,-1.0,,,,,2000.0,,,26000.0,45000.0,,,1680000.0,1680000.0,-1.0,46500.0,,,-1.0,,3030.0
1981,,,23100.0,7100.0,1799500.0,,8418.0,,-1.0,,-1.0,20.0,,5200.0,,140065.0,,,-1.0,-1.0,,,,,1000.0,,,49000.0,48000.0,,,1800000.0,1800000.0,-1.0,56800.0,,,-1.0,,2000.0
1982,,,23700.0,7850.0,1692000.0,,18893.0,,-1.0,,-1.0,59.0,,5700.0,,97395.0,,,-1.0,-1.0,,,,,2000.0,,,43000.0,52000.0,,,1500000.0,1500000.0,-1.0,55400.0,,,-1.0,,1500.0
1983,,,21100.0,8200.0,1772000.0,,8197.0,,-1.0,,-1.0,16.0,,5600.0,,50545.0,,,-1.0,-1.0,,,,,2359.0,,,34000.0,65000.0,,,1750000.0,1750000.0,-1.0,46100.0,,,-1.0,,1500.0
1984,,,19200.0,9447.0,1694000.0,,7855.0,,-1.0,,-1.0,10.0,,4900.0,,50169.0,,,-1.0,-1.0,,,,,1980.0,,,29000.0,73000.0,,,1750000.0,1750000.0,-1.0,34800.0,,,-1.0,,1500.0
1985,0.0,,18700.0,8900.0,1689000.0,,7699.0,,-1.0,,-1.0,10.0,,4200.0,,43705.0,,,-1.0,-1.0,,,,,2176.0,,,29000.0,78000.0,,,1680000.0,1680000.0,-1.0,19400.0,,,-1.0,,2000.0
1986,0.0,,19600.0,7000.0,1584000.0,,11714.0,,-1.0,,-1.0,2.0,,4000.0,,39378.0,,,-1.0,-1.0,,,,,2533.0,,,34000.0,92000.0,,,1600000.0,1600000.0,-1.0,36300.0,,,-1.0,,2000.0
1987,,,23600.0,6900.0,1626000.0,,12720.0,,-1.0,,-1.0,4.0,,4200.0,,54460.0,,,-1.0,-1.0,,,,,1483.0,,,39000.0,95000.0,,,1600000.0,1600000.0,-1.0,33500.0,,,-1.0,,2000.0
1988,,,25700.0,7190.0,1664000.0,,9020.0,,-1.0,,-1.0,0.0,,10700.0,,61448.0,,,-1.0,-1.0,,,,,1023.0,,,54000.0,108000.0,,,1600000.0,1600000.0,-1.0,35600.0,,,-1.0,,1000.0
1989,,,25900.0,7200.0,1710900.0,,5316.0,,-1.0,,-1.0,,,11600.0,,66372.0,,,-1.0,-1.0,,,,,1077.0,,,42000.0,112000.0,,,1450000.0,1450000.0,-1.0,22400.0,,,-1.0,,1000.0
1990,0.0,,27800.0,7134.0,1864000.0,,4862.0,,-1.0,,-1.0,0.0,,9212.0,,38074.0,,,-1.0,-1.0,,,,,938.0,,,50000.0,95000.0,,,1500000.0,1500000.0,-1.0,27500.0,,,-1.0,,916.0
1991,0.0,,28100.0,5286.0,2382250.0,,6717.0,,-1.0,,-1.0,0.0,,10900.0,,34783.0,,,880.0,-1.0,,,,,916.0,,,45000.0,95586.0,,,1700000.0,1700000.0,-1.0,21800.0,,,-1.0,,626.0
1992,0.0,,24100.0,6018.0,,23000.0,8065.0,100.0,-1.0,-1.0,-1.0,0.0,600.0,9500.0,,42022.0,447438.0,-1.0,1857.0,-1.0,6922.0,1709000.0,8000.0,-1.0,,483.0,565500.0,36000.0,93000.0,117.0,100.0,1990000.0,1990000.0,-1.0,17200.0,190.0,83.0,-1.0,,624.0
1993,0.0,505.0,22600.0,7000.0,,20000.0,4600.0,112.0,-1.0,-1.0,-1.0,,2400.0,10200.0,1600.0,40213.0,448000.0,-1.0,900.0,-1.0,6455.0,1808110.0,9239.0,-1.0,,455.0,409000.0,50000.0,85000.0,0.0,100.0,1436000.0,1436000.0,-1.0,9400.0,-1.0,64.0,1000.0,,623.0
1994,0.0,510.0,20200.0,6328.0,,24000.0,6112.0,98.0,-1.0,-1.0,-1.0,,1200.0,8900.0,1400.0,42032.0,515000.0,-1.0,1025.0,-1.0,7500.0,1756200.0,-1.0,-1.0,,720.0,342000.0,46282.0,92000.0,-1.0,100.0,1269000.0,1269000.0,-1.0,10700.0,-1.0,3.0,1523.0,-1.0,622.0
1995,0.0,520.0,22600.0,6035.0,,18000.0,6886.0,80.0,-1.0,-1.0,-1.0,,1000.0,7355.0,1300.0,39427.0,447600.0,-1.0,1085.0,-1.0,5473.0,1604000.0,10000.0,-1.0,,652.0,196100.0,47000.0,82000.0,-1.0,50.0,1200000.0,1200000.0,-1.0,16800.0,-1.0,9.0,2000.0,,621.0
1996,0.0,505.0,26500.0,6000.0,,19000.0,4806.0,80.0,-1.0,-1.0,-1.0,,1900.0,7585.0,1200.0,41464.0,399000.0,-1.0,1039.0,-1.0,7364.0,1369380.0,25000.0,-1.0,,542.0,173100.0,45935.0,63000.0,-1.0,100.0,1190000.0,1190000.0,-1.0,17100.0,-1.0,6.0,-1.0,,619.0
1997,0.0,500.0,27700.0,5692.0,,19000.0,4640.0,41.0,-1.0,-1.0,-1.0,,4400.0,8564.0,1300.0,42200.0,447700.0,-1.0,650.0,-1.0,7324.0,920700.0,15000.0,-1.0,,445.0,67850.0,45770.0,80000.0,-1.0,600.0,1148000.0,1148000.0,-1.0,15000.0,-1.0,6.0,-1.0,,618.0
1998,0.0,480.0,34400.0,5436.0,,16000.0,3964.0,100.0,-1.0,-1.0,-1.0,,8300.0,10085.0,1500.0,44023.0,534000.0,-1.0,560.0,-1.0,9275.0,796400.0,292.0,-1.0,,424.0,47760.0,45866.0,74868.0,-1.0,1700.0,1082000.0,1082000.0,-1.0,14400.0,-1.0,45.0,-1.0,,617.0
1999,0.0,470.0,37100.0,4700.0,,22900.0,3644.0,100.0,400.0,-1.0,-1.0,,15100.0,10389.0,1800.0,48030.0,445500.0,-1.0,1244.0,-1.0,14866.0,972100.0,193.0,200.0,,601.0,35300.0,45869.0,63000.0,-1.0,2300.0,1006000.0,1006000.0,-1.0,13200.0,-1.0,50.0,-1.0,,562.0
2000,0.0,480.0,37400.0,3500.0,,22000.0,2969.0,500.0,500.0,39.0,-1.0,,16600.0,15057.0,1500.0,61438.0,528900.0,-1.0,873.0,-1.0,11090.0,1433400.0,77.0,100.0,,632.0,47700.0,45879.0,65000.0,-1.0,6200.0,1150000.0,1150000.0,-1.0,14800.0,-1.0,62.0,-1.0,,678.0
2001,0.0,485.0,41800.0,4700.0,,27800.0,3868.0,691.0,1000.0,150.0,-1.0,,16900.0,22371.0,1273.0,54732.0,576700.0,-1.0,1044.0,-1.0,11736.0,1058800.0,36.0,200.0,,742.0,57000.0,45879.0,69892.0,-1.0,10600.0,1071000.0,1071000.0,-1.0,14300.0,-1.0,51.0,-1.0,,617.0
2002,0.0,510.0,41400.0,3620.0,,14100.0,3466.0,68.0,1500.0,100.0,-1.0,,17000.0,27439.0,1000.0,36000.0,308200.0,-1.0,745.0,-1.0,4001.0,558100.0,168.0,251.0,,1169.0,41777.0,45000.0,70681.0,-1.0,10500.0,860000.0,860000.0,10700.0,11900.0,-1.0,46.0,-1.0,,616.0
2003,0.0,520.0,43500.0,3767.0,,11088.0,2667.0,80.0,2000.0,100.0,-1.0,,16300.0,36860.0,1200.0,33826.0,324100.0,-1.0,789.0,-1.0,3987.0,641600.0,100.0,294.0,,689.0,62741.0,46107.0,70600.0,-1.0,6500.0,820000.0,820000.0,10650.0,9300.0,-1.0,59.0,-1.0,,614.0
2004,0.0,500.0,43500.0,2543.0,,11542.0,2063.0,231.0,2500.0,100.0,-1.0,,22000.0,41071.0,1119.0,47849.0,388700.0,-1.0,291.0,-1.0,3518.0,867200.0,0.0,326.0,,578.0,53300.0,46114.0,69809.0,-1.0,9700.0,800000.0,800000.0,10650.0,4000.0,-1.0,50.0,-1.0,,613.0
2005,0.0,461.0,44700.0,6632.0,,7106.0,2257.0,676.0,4000.0,100.0,-1.0,,28400.0,36593.0,1000.0,67531.0,396200.0,-1.0,752.0,-1.0,2811.0,833600.0,0.0,378.0,,811.0,77200.0,46000.0,68678.0,-1.0,10400.0,834000.0,834000.0,10600.0,4000.0,-1.0,80.0,-1.0,,612.0
2006,0.0,546.0,44800.0,7868.0,,7935.0,2786.0,101.0,5000.0,100.0,-1.0,,31300.0,32000.0,1014.0,80432.0,359500.0,-1.0,278.0,-1.0,3720.0,1071800.0,0.0,203.0,,547.0,87600.0,47000.0,66000.0,,14000.0,868000.0,868000.0,10600.0,6900.0,-1.0,100.0,-1.0,,611.0
2007,0.0,215.0,46100.0,8613.0,,11452.0,2410.0,270.0,6000.0,100.0,-1.0,,21700.0,32945.0,956.0,72680.0,310100.0,-1.0,655.0,-1.0,1165.0,1193200.0,0.0,163.0,,809.0,138100.0,48000.0,68000.0,,10700.0,750000.0,750000.0,10500.0,2000.0,-1.0,150.0,-1.0,,610.0
2008,0.0,93.0,47300.0,3526.0,,15524.0,2233.0,400.0,7000.0,100.0,-1.0,,27500.0,34200.0,1015.0,64514.0,281800.0,-1.0,349.0,-1.0,806.0,1008000.0,0.0,118.0,,761.0,53900.0,47449.0,83000.0,,10400.0,725200.0,725200.0,10500.0,0.0,-1.0,75.0,-1.0,,608.0
2009,0.0,159.0,45400.0,3862.0,,20582.0,2176.0,148.0,8500.0,100.0,-1.0,,21800.0,36900.0,1012.0,69830.0,254300.0,-1.0,307.0,-1.0,590.0,626000.0,0.0,61.0,,1044.0,57400.0,47046.0,80147.0,,10100.0,724000.0,724000.0,10400.0,0.0,-1.0,160.0,-1.0,,596.0
2010,0.0,86.0,47700.0,3037.0,,25293.0,2106.0,300.0,9500.0,100.0,-1.0,,19200.0,36900.0,1008.0,88525.0,198600.0,553.0,336.0,-1.0,850.0,570100.0,0.0,74.0,,1198.0,63800.0,46738.0,77004.0,,6500.0,700000.0,700000.0,10400.0,0.0,-1.0,140.0,-1.0,,588.0
2011,0.0,569.0,56400.0,4268.0,,40754.0,2446.0,300.0,9000.0,100.0,-1.0,,27200.0,30900.0,1007.0,75768.0,285700.0,584.0,586.0,-1.0,385.0,843200.0,0.0,62.0,,1180.0,66780.0,46000.0,76076.0,,8800.0,748000.0,748000.0,10304.0,0.0,-1.0,190.0,-1.0,,550.0
2012,0.0,239.0,61000.0,2773.0,,42117.0,3089.0,500.0,18000.0,100.0,-1.0,,33900.0,30900.0,1000.0,71016.0,273300.0,564.0,150.0,-1.0,272.0,1030300.0,0.0,43.0,,1676.0,76200.0,47000.0,78500.0,,8100.0,700000.0,700000.0,10339.0,96.0,-1.0,200.0,-1.0,,600.0
2013,0.0,73.0,61400.0,1857.0,,31403.0,2392.0,600.0,20000.0,120.0,-1.0,,30500.0,44500.0,1000.0,70384.0,168400.0,633.0,330.0,-1.0,61.0,905911.0,0.0,26.0,,1401.0,81468.0,48000.0,77500.0,,9800.0,705000.0,705000.0,10681.0,384.0,-1.0,190.0,-1.0,,630.0
2014,0.0,176.0,59900.0,2133.0,,18504.0,2095.0,800.0,24105.0,100.0,-1.0,,37400.0,30100.0,1000.0,62710.0,136700.0,705.0,500.0,-1.0,111.0,712047.0,0.0,23.0,,1551.0,64481.0,49000.0,78000.0,,9300.0,708000.0,708000.0,10510.0,384.0,-1.0,350.0,-1.0,,605.0
