,"China, Taiwan Province of",Indonesia,Bhutan,China,Sri Lanka,Maldives,Malaysia,Thailand,Nepal,Bangladesh,Myanmar,India
1996,46381.0,75754.0,3000.0,46381.0,4000.0,42.0,1200.0,8000.0,1500.0,36400.0,30000.0,255000.0
1997,47614.0,74700.0,3021.0,47614.0,4211.0,38.0,1680.0,10394.0,1550.0,36000.0,30400.0,261200.0
1998,49401.0,87500.0,3001.0,49401.0,4500.0,38.0,2400.0,9000.0,1600.0,36000.0,30400.0,268700.0
1999,51207.0,71400.0,3276.0,51207.0,4960.0,24.0,1805.0,11000.0,1700.0,77000.0,30291.0,280000.0
2000,51617.0,82600.0,3200.0,51617.0,5000.0,17.0,2000.0,13000.0,1750.0,77000.0,33949.0,290000.0
2001,51027.0,102021.0,3200.0,51027.0,6000.0,50.0,1500.0,14000.0,1800.0,77800.0,34977.0,290000.0
2002,51203.0,107200.0,3658.0,51203.0,7000.0,40.0,800.0,16000.0,1850.0,77296.0,35600.0,290000.0
2003,50787.0,118780.0,3922.0,50787.0,8000.0,51.0,727.0,16663.0,1900.0,77296.0,38000.0,353400.0
2004,50058.0,115832.0,3500.0,50058.0,10880.0,8.0,1047.0,33500.0,1974.0,77700.0,40100.0,365000.0
2005,50337.0,122705.0,5500.0,50337.0,11720.0,40.0,1313.0,13000.0,1999.0,167640.0,42100.0,364300.0
2006,49290.0,124958.0,5700.0,49290.0,11970.0,260.0,1800.0,16000.0,2024.0,168680.0,45700.0,381100.0
2007,49831.0,125600.0,5800.0,49831.0,12430.0,2.0,1300.0,23000.0,2054.0,165270.0,48200.0,382700.0
2008,49300.0,137300.0,4000.0,49300.0,13840.0,5.0,636.0,21000.0,2084.0,173380.0,51800.0,386600.0
2009,48269.0,144200.0,6375.0,48269.0,14220.0,7.0,643.0,24000.0,2098.0,176350.0,54600.0,387100.0
2010,45832.0,146000.0,7280.0,45832.0,15080.0,5.0,680.0,21007.0,2264.0,178630.0,55000.0,400100.0
2011,45952.0,148500.0,9700.0,45952.0,15640.0,3.0,341.0,17701.0,2698.0,182389.0,56000.0,400100.0
2012,45521.0,143200.0,10000.0,45521.0,15910.0,3.0,222.0,24000.0,3459.0,230000.0,56500.0,464000.0
2013,45329.0,143100.0,8985.0,45329.0,16352.0,3.0,45.0,18000.0,3455.0,165000.0,56300.0,446000.0
2014,44511.0,137000.0,9054.0,44511.0,16423.0,3.0,222.0,21715.0,4571.0,165000.0,55337.0,452000.0
