,Slovakia,India,The former Yugoslav Republic of Macedonia,Occupied Palestinian Territory,Austria,Hungary,Czechoslovakia,Serbia and Montenegro,Serbia,Germany,Yugoslav SFR,Bulgaria,Romania,Italy,France,Croatia,Netherlands,Denmark,Czechia,Spain,Turkey
1972,-1.0,2000.0,-1.0,-1.0,129.0,4710.0,6005.0,-1.0,-1.0,993.0,1655.0,76.0,2400.0,-1,930.0,-1.0,1628.0,2165.0,-1.0,-1.0,5847.0
1973,-1.0,2000.0,-1.0,-1.0,125.0,2445.0,4899.0,-1.0,-1.0,1412.0,2145.0,40.0,2000.0,-1,1430.0,-1.0,2181.0,1046.0,-1.0,-1.0,6000.0
1974,-1.0,2500.0,-1.0,-1.0,119.0,3657.0,7144.0,-1.0,-1.0,2089.0,1928.0,65.0,2400.0,-1,1200.0,-1.0,1684.0,1052.0,-1.0,-1.0,6000.0
1975,-1.0,3000.0,-1.0,-1.0,151.0,2447.0,4920.0,-1.0,-1.0,1671.0,2350.0,335.0,1600.0,-1,1000.0,-1.0,2802.0,902.0,-1.0,-1.0,6491.0
1976,-1.0,3000.0,-1.0,-1.0,204.0,1984.0,1835.0,-1.0,-1.0,657.0,3162.0,97.0,4500.0,-1,1000.0,-1.0,4733.0,1478.0,-1.0,-1.0,16000.0
1977,-1.0,2500.0,-1.0,-1.0,169.0,4513.0,6050.0,-1.0,-1.0,1399.0,5715.0,78.0,5300.0,-1,2406.0,-1.0,7480.0,2850.0,-1.0,-1.0,41087.0
1978,-1.0,2000.0,-1.0,-1.0,178.0,6778.0,9010.0,-1.0,-1.0,2664.0,2071.0,84.0,3800.0,-1,2866.0,-1.0,3922.0,515.0,-1.0,-1.0,31862.0
1979,-1.0,2000.0,-1.0,-1.0,111.0,2439.0,5707.0,-1.0,-1.0,3186.0,1670.0,26.0,1800.0,-1,2500.0,-1.0,830.0,195.0,-1.0,-1.0,13207.0
1980,-1.0,2000.0,-1.0,-1.0,243.0,4159.0,6210.0,-1.0,-1.0,2418.0,1465.0,-1.0,3000.0,-1,2300.0,-1.0,260.0,102.0,-1.0,-1.0,15488.0
1981,-1.0,2000.0,-1.0,-1.0,206.0,3773.0,3755.0,-1.0,-1.0,2625.0,1337.0,-1.0,800.0,-1,2000.0,-1.0,378.0,193.0,-1.0,-1.0,11442.0
1982,-1.0,2000.0,-1.0,-1.0,139.0,3537.0,4112.0,-1.0,-1.0,3706.0,1739.0,-1.0,1300.0,-1,2500.0,-1.0,3165.0,1843.0,-1.0,-1.0,6590.0
1983,-1.0,2500.0,-1.0,-1.0,145.0,4861.0,4430.0,-1.0,-1.0,3711.0,2266.0,-1.0,1500.0,-1,1500.0,-1.0,2777.0,1827.0,-1.0,-1.0,4182.0
1984,-1.0,2000.0,-1.0,-1.0,367.0,4269.0,7418.0,-1.0,-1.0,4752.0,2794.0,-1.0,1800.0,-1,1400.0,-1.0,3484.0,1800.0,-1.0,3100.0,9054.0
1985,-1.0,2000.0,-1.0,-1.0,210.0,3388.0,7166.0,-1.0,-1.0,5881.0,998.0,-1.0,2000.0,-1,1300.0,-1.0,878.0,620.0,-1.0,100.0,2786.0
1986,-1.0,1500.0,-1.0,-1.0,163.0,2648.0,5425.0,-1.0,-1.0,4151.0,395.0,-1.0,1000.0,-1,1200.0,-1.0,305.0,650.0,-1.0,200.0,3990.0
1987,-1.0,-1.0,-1.0,-1.0,334.0,3005.0,6106.0,-1.0,-1.0,4127.0,376.0,-1.0,1100.0,-1,1000.0,-1.0,283.0,385.0,-1.0,300.0,3818.0
1988,-1.0,-1.0,-1.0,-1.0,529.0,3947.0,5459.0,-1.0,-1.0,2682.0,546.0,-1.0,1300.0,-1,800.0,-1.0,820.0,350.0,-1.0,1500.0,11130.0
1989,-1.0,-1.0,-1.0,-1.0,656.0,4748.0,10313.0,-1.0,-1.0,3878.0,1427.0,-1.0,1100.0,-1,500.0,-1.0,876.0,301.0,-1.0,1000.0,3235.0
1990,-1.0,-1.0,-1.0,-1.0,713.0,2869.0,13535.0,-1.0,-1.0,3200.0,883.0,0.0,1400.0,-1,400.0,-1.0,400.0,168.0,-1.0,1300.0,5153.0
1991,-1.0,-1.0,-1.0,-1.0,442.0,3335.0,10876.0,-1.0,-1.0,3020.0,835.0,0.0,600.0,-1,800.0,-1.0,534.0,56.0,-1.0,300.0,22538.0
1992,-1.0,-1.0,246.0,-1.0,470.0,3456.0,9692.0,304.0,-1.0,2909.0,-1.0,0.0,200.0,-1,1700.0,44.0,145.0,26.0,-1.0,1700.0,7048.0
1993,2500.0,-1.0,371.0,-1.0,535.0,2588.0,-1.0,350.0,-1.0,2800.0,-1.0,-1.0,100.0,-1,2000.0,53.0,1700.0,89.0,6890.0,920.0,3028.0
1994,3100.0,-1.0,573.0,-1.0,1369.0,3200.0,-1.0,546.0,-1.0,2766.0,-1.0,-1.0,500.0,-1,2188.0,42.0,3900.0,184.0,16471.0,800.0,14000.0
1995,2929.0,-1.0,747.0,-1.0,2395.0,2700.0,-1.0,1045.0,-1.0,2700.0,-1.0,-1.0,500.0,-1,1200.0,50.0,2000.0,162.0,25260.0,300.0,28249.0
1996,1056.0,-1.0,399.0,-1.0,1131.0,2797.0,-1.0,765.0,-1.0,2697.0,-1.0,-1.0,500.0,-1,1000.0,80.0,500.0,-1.0,9800.0,600.0,5346.0
1997,940.0,-1.0,201.0,312.0,865.0,2352.0,-1.0,529.0,-1.0,2661.0,-1.0,-1.0,2000.0,-1,5000.0,100.0,900.0,-1.0,16000.0,300.0,10948.0
1998,900.0,-1.0,176.0,352.0,1118.0,2034.0,-1.0,656.0,-1.0,2632.0,-1.0,-1.0,4000.0,-1,4800.0,200.0,1711.0,-1.0,20500.0,900.0,27964.0
1999,700.0,-1.0,259.0,1407.0,1339.0,2431.0,-1.0,525.0,-1.0,2616.0,-1.0,-1.0,3000.0,-1,5200.0,300.0,2052.0,-1.0,28509.0,350.0,31332.0
2000,584.0,-1.0,144.0,647.0,571.0,1640.0,-1.0,559.0,-1.0,2618.0,-1.0,-1.0,1850.0,-1,6700.0,400.0,774.0,-1.0,13607.0,2100.0,11564.0
2001,316.0,-1.0,170.0,1309.0,695.0,1687.0,-1.0,675.0,-1.0,2600.0,-1.0,-1.0,1800.0,-1,3000.0,500.0,1000.0,-1.0,21300.0,200.0,21436.0
2002,170.0,-1.0,185.0,1074.0,1356.0,1562.0,-1.0,406.0,-1.0,2700.0,-1.0,-1.0,1400.0,-1,5500.0,600.0,1000.0,-1.0,16900.0,100.0,19000.0
2003,163.0,-1.0,185.0,2338.0,1324.0,2382.0,-1.0,210.0,-1.0,2766.0,-1.0,-1.0,1400.0,-1,5157.0,700.0,700.0,-1.0,19544.0,1861.0,52000.0
2004,516.0,-1.0,177.0,2233.0,1395.0,6723.0,-1.0,414.0,-1.0,2796.0,-1.0,-1.0,1400.0,-1,5070.0,800.0,500.0,-1.0,24821.0,2658.0,17809.0
2005,704.0,-1.0,164.0,2192.0,2445.0,4798.0,-1.0,650.0,-1.0,2809.0,-1.0,-1.0,1504.0,-1,5098.0,900.0,300.0,-1.0,36418.0,3850.0,13644.0
2006,681.0,-1.0,150.0,2085.0,2663.0,3251.0,-1.0,-1.0,-1.0,2800.0,-1.0,-1.0,1500.0,-1,5000.0,1000.0,500.0,-1.0,31591.0,100.0,30187.0
2007,482.0,-1.0,161.0,1766.0,1964.0,2441.0,-1.0,-1.0,700.0,2805.0,-1.0,500.0,1600.0,-1,5095.0,1100.0,680.0,-1.0,33101.0,5500.0,8981.0
2008,1215.0,-1.0,186.0,2099.0,1567.0,3362.0,-1.0,-1.0,1000.0,2807.0,-1.0,500.0,1739.0,-1,6000.0,1710.0,1010.0,-1.0,49248.0,6500.0,10834.0
2009,832.0,-1.0,504.0,2100.0,1504.0,3458.0,-1.0,-1.0,900.0,2828.0,-1.0,600.0,1805.0,-1,6500.0,3349.0,700.0,-1.0,32692.0,7000.0,34194.0
2010,878.0,-1.0,297.0,2179.0,1740.0,7410.0,-1.0,-1.0,1000.0,2875.0,-1.0,1000.0,1730.0,-1,5978.0,4421.0,661.0,-1.0,23690.0,7438.0,36910.0
2011,887.0,-1.0,233.0,2243.0,1614.0,8156.0,-1.0,-1.0,1000.0,3000.0,-1.0,500.0,1759.0,-1,6000.0,2256.0,469.0,-1.0,26918.0,8000.0,45077.0
2012,296.0,-1.0,91.0,2193.0,1098.0,4700.0,-1.0,-1.0,1000.0,3200.0,-1.0,500.0,1787.0,-1,6000.0,1509.0,318.0,-1.0,12814.0,11000.0,8100.0
2013,853.0,-1.0,63.0,2229.0,1078.0,4850.0,-1.0,-1.0,1000.0,3200.0,-1.0,525.0,1816.0,-1,6000.0,3198.0,310.0,-1.0,13911.0,12000.0,19244.0
2014,1827.0,-1.0,75.0,2264.0,1293.0,9350.0,-1.0,-1.0,1000.0,3000.0,-1.0,500.0,1845.0,-1,6000.0,4151.0,384.0,-1.0,24665.0,11000.0,16223.0
