,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Serbia and Montenegro,Croatia,Serbia,Melanesia,Indonesia,Canada,Liberia,Greece,Zimbabwe,The former Yugoslav Republic of Macedonia,Austria,Papua New Guinea,Japan,Norway,Bulgaria,Australia & New Zealand,United States of America,Barbados,Mauritius,American Samoa,Nigeria,Ukraine,Guinea,Israel,El Salvador,Belgium,Uruguay,Wallis and Futuna Islands,Qatar,Mexico,Switzerland,Romania,United Republic of Tanzania,Bosnia and Herzegovina,China,Côte d'Ivoire,Slovakia,Jamaica,Brunei Darussalam,Trinidad and Tobago,Occupied Palestinian Territory,Chile,Hungary,Polynesia,Kazakhstan,South Africa,Samoa,Australia,France,Thailand,Poland,"China, mainland",Puerto Rico,New Zealand,Republic of Moldova
1971,93000.0,136947.0,-1.0,-1.0,-1.0,-1.0,90000.0,594000.0,233341.0,11100.0,-1.0,-1.0,-1.0,-1.0,90000.0,290000.0,-1.0,-1.0,41521.0,2437502.0,-1.0,-1.0,6.0,318000.0,-1.0,312000.0,-1.0,-1.0,-1,2400.0,20.0,-1.0,-1.0,-1.0,-1.0,17000.0,-1.0,-1.0,80000.0,-1.0,38.0,-1.0,-1.0,-1.0,112000.0,-1.0,37.0,-1.0,176000.0,11.0,19301.0,-1.0,18000.0,-1.0,-1.0,-1.0,22220.0,-1.0
1972,96000.0,144878.0,-1.0,-1.0,-1.0,-1.0,93000.0,608000.0,227060.0,11100.0,-1.0,-1.0,-1.0,-1.0,93000.0,296800.0,-1.0,-1.0,41108.0,2525317.0,-1.0,-1.0,7.0,160000.0,-1.0,233000.0,-1.0,-1.0,-1,2450.0,20.0,-1.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,80000.0,-1.0,73.0,-1.0,-1.0,-1.0,110000.0,-1.0,37.0,-1.0,177000.0,10.0,18108.0,-1.0,20000.0,-1.0,-1.0,-1.0,23000.0,-1.0
1973,96000.0,148811.0,-1.0,-1.0,-1.0,-1.0,95000.0,623000.0,226620.0,11500.0,-1.0,-1.0,-1.0,-1.0,95000.0,295500.0,-1.0,-1.0,50802.0,2626200.0,-1.0,-1.0,7.0,307000.0,-1.0,210000.0,-1.0,-1.0,-1,2500.0,20.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,74000.0,-1.0,12.0,-1.0,-1.0,-1.0,107000.0,-1.0,38.0,-1.0,187000.0,11.0,24691.0,-1.0,22000.0,-1.0,-1.0,-1.0,26111.0,-1.0
1974,98880.0,151797.0,-1.0,-1.0,-1.0,-1.0,100000.0,638000.0,228410.0,11700.0,-1.0,-1.0,-1.0,-1.0,100000.0,303500.0,-1.0,-1.0,60745.0,2508265.0,-1.0,-1.0,7.0,132000.0,-1.0,232000.0,-1.0,-1.0,-1,2500.0,20.0,-1.0,-1.0,-1.0,-1.0,28000.0,-1.0,-1.0,90000.0,-1.0,33.0,-1.0,-1.0,-1.0,110000.0,-1.0,39.0,-1.0,186000.0,12.0,27910.0,-1.0,24000.0,-1.0,-1.0,-1.0,32835.0,-1.0
1975,100875.0,157799.0,-1.0,-1.0,-1.0,-1.0,103000.0,653000.0,278890.0,12000.0,-1.0,-1.0,-1.0,-1.0,103000.0,302900.0,-1.0,-1.0,58162.0,2824000.0,-1.0,-1.0,6.0,341000.0,-1.0,242000.0,-1.0,-1.0,-1,2600.0,20.0,-1.0,-1.0,-1.0,-1.0,24000.0,-1.0,-1.0,122000.0,-1.0,25.0,-1.0,-1.0,-1.0,119300.0,-1.0,39.0,-1.0,195000.0,13.0,26341.0,-1.0,26000.0,-1.0,-1.0,-1.0,31821.0,-1.0
1976,107235.0,145168.0,-1.0,-1.0,-1.0,-1.0,105000.0,299380.0,268660.0,12500.0,-1.0,-1.0,-1.0,-1.0,105000.0,298800.0,-1.0,-1.0,43187.0,2702630.0,-1.0,-1.0,7.0,269000.0,-1.0,252000.0,-1.0,-1.0,-1,2700.0,20.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,120000.0,-1.0,0.0,-1.0,-1.0,-1.0,120000.0,-1.0,41.0,-1.0,202000.0,14.0,24006.0,-1.0,28000.0,-1.0,-1.0,-1.0,19181.0,-1.0
1977,105600.0,134630.0,-1.0,-1.0,-1.0,-1.0,110000.0,306360.0,248270.0,13000.0,-1.0,-1.0,-1.0,-1.0,110000.0,319600.0,-1.0,-1.0,60998.0,2806230.0,-1.0,-1.0,6.0,194000.0,-1.0,258000.0,-1.0,-1.0,-1,2700.0,22.0,350.0,-1.0,-1.0,-1.0,22000.0,-1.0,-1.0,120000.0,-1.0,5.0,-1.0,-1.0,-1.0,130000.0,-1.0,43.0,-1.0,204000.0,15.0,32450.0,-1.0,30000.0,-1.0,-1.0,-1.0,28548.0,-1.0
1978,78035.0,135482.0,-1.0,-1.0,-1.0,-1.0,115000.0,233000.0,241380.0,13200.0,-1.0,-1.0,-1.0,-1.0,115000.0,332900.0,-1.0,-1.0,85640.0,2846504.0,-1.0,-1.0,5.0,120000.0,-1.0,258000.0,-1.0,-1.0,-1,2800.0,24.0,400.0,-1.0,-1.0,-1.0,22000.0,-1.0,-1.0,132000.0,-1.0,-1.0,-1.0,-1.0,-1.0,120000.0,-1.0,45.0,-1.0,200000.0,16.0,45260.0,-1.0,32000.0,-1.0,-1.0,-1.0,40380.0,-1.0
1979,68365.0,129334.0,-1.0,-1.0,-1.0,-1.0,120000.0,283000.0,286330.0,13500.0,-1.0,-1.0,-1.0,-1.0,120000.0,301800.0,-1.0,-1.0,67566.0,2871760.0,-1.0,-1.0,6.0,123000.0,-1.0,253000.0,-1.0,-1.0,-1,2800.0,26.0,400.0,-1.0,-1.0,-1.0,23000.0,-1.0,-1.0,138000.0,-1.0,-1.0,-1.0,-1.0,-1.0,118800.0,-1.0,49.0,-1.0,209000.0,17.0,30979.0,-1.0,34000.0,-1.0,-1.0,-1.0,36587.0,-1.0
1980,68110.0,120896.0,-1.0,-1.0,-1.0,-1.0,130000.0,338000.0,277520.0,14000.0,-1.0,-1.0,-1.0,-1.0,130000.0,311900.0,-1.0,-1.0,72242.0,2605500.0,-1.0,-1.0,7.0,161000.0,-1.0,258000.0,-1.0,-1.0,-1,2943.0,27.0,500.0,98211.0,-1.0,-1.0,24000.0,-1.0,-1.0,190000.0,-1.0,-1.0,-1.0,-1.0,-1.0,117600.0,-1.0,53.0,-1.0,210000.0,19.0,34517.0,-1.0,36000.0,-1.0,-1.0,-1.0,37725.0,-1.0
1981,32570.0,123926.0,-1.0,-1.0,-1.0,-1.0,135000.0,272000.0,303159.0,14100.0,-1.0,-1.0,-1.0,-1.0,135000.0,332600.0,-1.0,-1.0,76654.0,2805520.0,-1.0,-1.0,8.0,160000.0,-1.0,260000.0,-1.0,-1.0,-1,3000.0,28.0,500.0,49114.0,-1.0,-1.0,24000.0,-1.0,-1.0,200000.0,-1.0,-1.0,-1.0,-1.0,-1.0,142800.0,-1.0,55.0,-1.0,224000.0,19.0,40228.0,-1.0,38000.0,-1.0,-1.0,-1.0,36426.0,-1.0
1982,65960.0,143038.0,-1.0,-1.0,-1.0,-1.0,140000.0,278000.0,325270.0,14500.0,-1.0,-1.0,-1.0,-1.0,140000.0,373100.0,-1.0,-1.0,66357.0,3140840.0,-1.0,-1.0,9.0,156000.0,-1.0,270000.0,-1.0,-1.0,-1,3000.0,29.0,500.0,138553.0,-1.0,-1.0,23000.0,-1.0,-1.0,215000.0,-1.0,-1.0,-1.0,-1.0,-1.0,138000.0,16976.0,58.0,-1.0,222000.0,20.0,31718.0,-1.0,40000.0,-1.0,-1.0,-1.0,34639.0,-1.0
1983,28498.0,117833.0,-1.0,-1.0,-1.0,-1.0,145000.0,285000.0,264170.0,15200.0,-1.0,-1.0,-1.0,-1.0,145000.0,342200.0,-1.0,-1.0,76618.0,2694740.0,-1.0,-1.0,10.0,257000.0,-1.0,250000.0,-1.0,-1.0,-1,3100.0,30.0,500.0,172898.0,-1.0,-1.0,23500.0,-1.0,-1.0,205000.0,-1.0,-1.0,-1.0,-1.0,-1.0,142000.0,15242.0,60.0,-1.0,233000.0,20.0,44618.0,-1.0,46909.0,-1.0,-1.0,-1.0,32000.0,-1.0
1984,45905.0,130432.0,-1.0,-1.0,-1.0,-1.0,150000.0,156000.0,307770.0,15500.0,-1.0,-1.0,-1.0,-1.0,150000.0,386600.0,-1.0,-1.0,68137.0,3022400.0,-1.0,-1.0,11.0,300000.0,-1.0,260000.0,-1.0,-1.0,-1,3100.0,30.0,400.0,174670.0,-1.0,-1.0,24000.0,-1.0,-1.0,260000.0,-1.0,-1.0,-1.0,-1.0,-1.0,147000.0,22868.0,63.0,-1.0,234000.0,22.0,38137.0,-1.0,41628.0,-1.0,-1.0,-1.0,30000.0,-1.0
1985,49704.0,144516.0,-1.0,-1.0,-1.0,-1.0,155000.0,160000.0,307610.0,16000.0,-1.0,-1.0,-1.0,-1.0,155000.0,359600.0,-1.0,-1.0,78237.0,3109600.0,-1.0,-1.0,12.0,456000.0,-1.0,260000.0,-1.0,-1.0,-1,3100.0,33.0,300.0,177786.0,-1.0,-1.0,24500.0,-1.0,-1.0,240000.0,-1.0,-1.0,-1.0,-1.0,-1.0,122356.0,25000.0,68.0,-1.0,231000.0,23.0,49237.0,-1.0,41829.0,-1.0,-1.0,-1.0,29000.0,-1.0
1986,54900.0,145077.0,-1.0,-1.0,-1.0,-1.0,160000.0,161000.0,275070.0,16000.0,-1.0,-1.0,-1.0,-1.0,160000.0,386600.0,-1.0,-1.0,76720.0,3004500.0,-1.0,-1.0,13.0,434000.0,-1.0,260000.0,-1.0,-1.0,-1,3200.0,34.0,187.0,188545.0,-1.0,-1.0,25000.0,-1.0,-1.0,210000.0,-1.0,-1.0,-1.0,-1.0,-1.0,118000.0,30886.0,71.0,-1.0,243000.0,24.0,48720.0,-1.0,48000.0,-1.0,-1.0,-1.0,28000.0,-1.0
1987,55400.0,161691.0,-1.0,-1.0,-1.0,-1.0,165000.0,220000.0,340650.0,16000.0,-1.0,-1.0,-1.0,-1.0,165000.0,404300.0,-1.0,-1.0,86418.0,3311000.0,-1.0,-1.0,14.0,357000.0,-1.0,260000.0,-1.0,-1.0,-1,3300.0,35.0,130.0,139874.0,-1.0,-1.0,25500.0,-1.0,-1.0,217500.0,-1.0,-1.0,-1.0,-1.0,-1.0,109370.0,36551.0,74.0,-1.0,282638.0,25.0,52418.0,-1.0,50000.0,-1.0,-1.0,-1.0,34000.0,-1.0
1988,58000.0,165518.0,-1.0,-1.0,-1.0,-1.0,166000.0,325000.0,316360.0,16000.0,-1.0,-1.0,-1.0,-1.0,166000.0,383600.0,-1.0,-1.0,106469.0,2849000.0,-1.0,-1.0,15.0,520000.0,-1.0,260000.0,60000.0,-1.0,-1,3100.0,36.0,150.0,160405.0,-1.0,-1.0,26000.0,-1.0,-1.0,230000.0,-1.0,-1.0,-1.0,-1.0,-1.0,108280.0,56801.0,77.0,-1.0,255920.0,26.0,64469.0,260000.0,55000.0,-1.0,-1.0,-1.0,42000.0,-1.0
1989,55212.0,181215.0,-1.0,-1.0,-1.0,-1.0,170000.0,332000.0,346060.0,16000.0,-1.0,-1.0,-1.0,-1.0,170000.0,386600.0,-1.0,-1.0,106238.0,3407000.0,-1.0,-1.0,3.0,533000.0,-1.0,260000.0,80000.0,-1.0,-1,3200.0,37.0,133.0,189536.0,-1.0,-1.0,26500.0,-1.0,-1.0,240000.0,-1.0,-1.0,-1.0,-1.0,-1.0,171030.0,70000.0,67.0,-1.0,261420.0,27.0,65238.0,270000.0,65000.0,-1.0,-1.0,-1.0,41000.0,-1.0
1990,49759.0,161983.0,-1.0,-1.0,-1.0,-1.0,175000.0,338000.0,337550.0,15000.0,0.0,2500.0,-1.0,-1.0,175000.0,408500.0,-1.0,-1.0,100780.0,3622700.0,168.0,110.0,17.0,458000.0,-1.0,268139.0,116600.0,-1.0,-1,3000.0,38.0,108.0,165821.0,-1.0,-1.0,27000.0,-1.0,15000.0,250000.0,-1.0,0.0,3.0,-1.0,-1.0,167010.0,109045.0,80.0,-1.0,261719.0,25.0,49780.0,290000.0,79000.0,12400.0,15000.0,-1.0,51000.0,-1.0
1991,59266.0,169039.0,-1.0,-1.0,-1.0,-1.0,180000.0,300000.0,303080.0,15414.0,348530.0,2513.0,-1.0,-1.0,180000.0,393800.0,-1.0,-1.0,106941.0,3785150.0,168.0,120.0,18.0,475000.0,-1.0,289463.0,95000.0,-1.0,-1,3258.0,39.0,134.0,203934.0,-1.0,-1.0,27500.0,-1.0,18000.0,260000.0,-1.0,25.0,5.0,-1.0,-1.0,204375.0,131999.0,81.0,-1.0,268722.0,24.0,49941.0,291354.0,85000.0,13200.0,18000.0,-1.0,57000.0,-1.0
1992,52960.0,157466.0,-1.0,8400.0,-1.0,-1.0,184200.0,280000.0,308120.0,15617.0,334520.0,2537.0,100.0,-1.0,184200.0,376400.0,-1.0,-1.0,100116.0,3787680.0,191.0,120.0,19.0,425000.0,-1.0,289842.0,87000.0,-1.0,-1,3200.0,40.0,299.0,183611.0,-1.0,-1.0,26000.0,1000.0,27000.0,240000.0,-1.0,22.0,4.0,-1.0,-1.0,175785.0,79659.0,82.0,-1.0,266560.0,23.0,52216.0,279770.0,100000.0,10500.0,27000.0,-1.0,47900.0,1000.0
1993,57460.0,173472.0,-1.0,1800.0,-1.0,-1.0,188200.0,263000.0,277840.0,15821.0,320571.0,2560.0,900.0,-1.0,188200.0,342600.0,-1.0,-1.0,107600.0,3323540.0,72.0,138.0,20.0,575000.0,-1.0,290221.0,85000.0,-1.0,-1,3400.0,39.0,190.0,181080.0,-1.0,-1.0,27000.0,600.0,30000.0,245231.0,2000.0,4.0,7.0,-1.0,-1.0,203100.0,100000.0,84.0,-1.0,262199.0,25.0,60000.0,301460.0,125000.0,13500.0,30000.0,-1.0,47600.0,1000.0
1994,58900.0,195640.0,-1.0,7493.0,-1.0,-1.0,194000.0,267000.0,345390.0,16024.0,304027.0,2584.0,200.0,-1.0,194000.0,369000.0,-1.0,-1.0,137700.0,4388100.0,233.0,125.0,23.0,544011.0,-1.0,290599.0,90000.0,-1.0,-1,3400.0,41.0,335.0,244297.0,-1.0,-1.0,27500.0,400.0,27635.0,242709.0,1500.0,53.0,7.0,-1.0,4285.0,190134.0,122794.0,87.0,-1.0,278352.0,23.0,67000.0,342190.0,152041.0,11800.0,27635.0,-1.0,70700.0,2000.0
1995,59350.0,219443.0,35.0,8218.0,-1.0,-1.0,198000.0,250000.0,324660.0,16229.0,287144.0,2607.0,257.0,-1.0,198000.0,319600.0,-1.0,-1.0,179655.0,4004100.0,750.0,154.0,25.0,562996.0,-1.0,290978.0,96000.0,-1.0,-1,3271.0,41.0,390.0,209246.0,-1.0,-1.0,26975.0,670.0,28035.0,238991.0,2391.0,3.0,9.0,-1.0,4329.0,190000.0,146364.0,88.0,-1.0,279189.0,22.0,74055.0,414216.0,140773.0,13000.0,28000.0,-1.0,105600.0,1000.0
1996,60115.0,202732.0,40.0,5800.0,-1.0,-1.0,204000.0,236000.0,345910.0,16433.0,280000.0,2631.0,255.0,-1.0,204000.0,286000.0,-1.0,-1.0,184301.0,4039400.0,750.0,163.0,28.0,580957.0,-1.0,290175.0,95000.0,-1.0,-1,3194.0,41.0,817.0,184557.0,-1.0,-1.0,26539.0,600.0,40.0,242214.0,2642.0,7.0,10.0,-1.0,7460.0,189210.0,173258.0,89.0,-1.0,280943.0,20.0,81901.0,436451.0,149860.0,12000.0,0.0,-1.0,102400.0,1000.0
1997,55000.0,235744.0,50.0,28800.0,-1.0,-1.0,210000.0,224000.0,362580.0,16638.0,275000.0,2654.0,245.0,-1.0,210000.0,302000.0,-1.0,-1.0,164785.0,4104400.0,650.0,130.0,30.0,551871.0,-1.0,265854.0,82600.0,-1.0,-1,3138.0,41.0,905.0,192540.0,-1.0,-1.0,26000.0,741.0,50.0,241846.0,3000.0,6.0,10.0,-1.0,9045.0,170000.0,184931.0,91.0,-1.0,290177.0,20.0,64785.0,400797.0,215122.0,11500.0,-1.0,-1.0,100000.0,1000.0
1998,51787.0,297743.0,50.0,2500.0,-1.0,-1.0,215000.0,254000.0,348236.0,16843.0,270000.0,2668.0,233.0,-1.0,215000.0,286000.0,-1.0,-1.0,177670.0,4146900.0,650.0,185.0,32.0,555143.0,-1.0,260000.0,89400.0,-1.0,-1,2939.0,41.0,920.0,251762.0,-1.0,-1.0,27000.0,1000.0,50.0,241629.0,1500.0,6.0,9.0,-1.0,5388.0,225000.0,203185.0,93.0,-1.0,292028.0,20.0,77670.0,497704.0,199810.0,10000.0,-1.0,-1.0,100000.0,1000.0
1999,50000.0,348346.0,60.0,6500.0,-1.0,-1.0,220000.0,230000.0,330705.0,17049.0,260000.0,2697.0,100.0,-1.0,220000.0,294000.0,-1.0,-1.0,152172.0,4160960.0,650.0,150.0,36.0,559352.0,-1.0,271419.0,100200.0,-1.0,-1,3120.0,42.0,950.0,308770.0,-1.0,-1.0,28000.0,837.0,60.0,241483.0,2830.0,6.0,11.0,-1.0,8586.0,219608.0,255721.0,97.0,-1.0,299203.0,20.0,57172.0,443900.0,184458.0,12200.0,-1.0,-1.0,95000.0,1000.0
2000,45000.0,370451.0,95.0,17000.0,-1.0,-1.0,225000.0,240000.0,258983.0,17236.0,253090.0,2700.0,216.0,-1.0,225000.0,289000.0,-1.0,-1.0,146215.0,4340585.0,655.0,202.0,40.0,562074.0,1000.0,283261.0,90100.0,-1.0,-1,3500.0,42.0,980.0,342635.0,-1.0,-1.0,28449.0,866.0,95.0,241471.0,2000.0,6.0,13.0,-1.0,11942.0,232500.0,291186.0,102.0,-1.0,299000.0,20.0,45215.0,455166.0,177142.0,13000.0,-1.0,-1.0,101000.0,2000.0
2001,40000.0,369437.0,130.0,16100.0,-1.0,-1.0,230000.0,234000.0,283676.0,17450.0,221980.0,2789.0,209.0,-1.0,230000.0,273100.0,340.0,-1.0,140000.0,4363838.0,660.0,211.0,42.0,565003.0,1500.0,290118.0,70400.0,-1.0,-1,4171.0,42.0,1132.0,461698.0,-1.0,-1.0,28894.0,868.0,130.0,250000.0,1500.0,6.0,13.0,-1.0,9688.0,240000.0,415603.0,105.0,200.0,298000.0,20.0,40000.0,445088.0,284130.0,12200.0,-1.0,-1.0,100000.0,2000.0
2002,35000.0,399621.0,280.0,16500.0,-1.0,-1.0,200000.0,241000.0,275206.0,17661.0,134270.0,2854.0,202.0,-1.0,200000.0,278100.0,561.0,-1.0,138160.0,4268803.0,680.0,200.0,40.0,576000.0,2000.0,306724.0,78100.0,-1.0,-1,2245.0,43.0,1260.0,522850.0,-1.0,-1.0,29000.0,1200.0,12280.0,240810.0,3481.0,6.0,14.0,-1.0,9494.0,245000.0,467750.0,104.0,200.0,296000.0,20.0,41064.0,525229.0,255221.0,10300.0,12000.0,-1.0,97096.0,4000.0
2003,30965.0,407123.0,700.0,5800.0,-1.0,-1.0,210000.0,273000.0,323495.0,17872.0,154980.0,2920.0,195.0,4335.0,210000.0,267600.0,541.0,-1.0,135297.0,4513066.0,700.0,177.0,38.0,576560.0,3000.0,319352.0,96400.0,-1.0,-1,1611.0,43.0,1466.0,503407.0,-1.0,-1.0,29657.0,600.0,12700.0,239561.0,3500.0,6.0,16.0,-1.0,9241.0,250000.0,565948.0,101.0,200.0,322000.0,20.0,39668.0,508440.0,249144.0,10976.0,12000.0,54.0,95629.0,5000.0
2004,31172.0,377904.0,310.0,20600.0,-1.0,-1.0,220000.0,280000.0,286924.0,18084.0,149040.0,3000.0,189.0,4307.0,220000.0,265600.0,564.0,-1.0,139579.0,4198595.0,700.0,369.0,36.0,584333.0,4500.0,330444.0,82000.0,-1.0,-1,1800.0,43.0,1162.0,589615.0,967.0,-1.0,30000.0,698.0,13310.0,237879.0,8641.0,34.0,17.0,-1.0,11026.0,252000.0,508039.0,100.0,200.0,320000.0,21.0,44989.0,521460.0,305094.0,12874.0,13000.0,635.0,94589.0,3500.0
2005,32160.0,351341.0,0.0,30800.0,-1.0,-1.0,230000.0,313000.0,252345.0,18297.0,141130.0,2954.0,182.0,5296.0,230000.0,250900.0,582.0,-1.0,130466.0,4373010.0,720.0,475.0,40.0,576500.0,6000.0,342012.0,78000.0,24780.0,-1,1195.0,44.0,836.0,627279.0,1121.0,-1.0,32859.0,701.0,14000.0,235690.0,7796.0,57.0,34.0,-1.0,11159.0,230000.0,354210.0,106.0,200.0,318885.0,22.0,33966.0,496245.0,247979.0,15910.0,14000.0,549.0,96500.0,4800.0
2006,34321.0,360600.0,10.0,-1.0,-1.0,13000.0,220000.0,290000.0,242663.0,18000.0,139510.0,2879.0,101.0,8037.0,220000.0,231400.0,555.0,-1.0,143951.0,4253324.0,760.0,452.0,40.0,577000.0,8500.0,270000.0,70000.0,28248.0,-1,2000.0,44.0,850.0,648238.0,1316.0,-1.0,35890.0,727.0,33010.0,252543.0,7767.0,60.0,30.0,-1.0,16414.0,200000.0,513326.0,109.0,200.0,310000.0,25.0,43951.0,464264.0,221909.0,14770.0,33000.0,550.0,100000.0,5000.0
