,"China, Taiwan Province of",Réunion,Madagascar,South Africa,Argentina,Australia & New Zealand,Australia,Ethiopia PDR,Togo,Thailand,Ethiopia,"Saint Helena, Ascension and Tristan da Cunha",Republic of Korea,Bangladesh,Nigeria,Mauritius,Iran (Islamic Republic of),China,Morocco,Viet Nam,"China, mainland",Canada,Philippines,Myanmar,New Zealand
1999,49.0,43.0,9281.0,2600.0,1425.0,6002.0,-1.0,,-1.0,919.0,228441.0,-1.0,-1.0,2100.0,-1.0,107.0,,49.0,-1.0,10900.0,,56500.0,963.0,320.0,6002.0
2000,52.0,43.0,9300.0,2600.0,1400.0,6000.0,-1.0,,-1.0,900.0,230000.0,-1.0,-1.0,2014.0,-1.0,106.0,,52.0,-1.0,9300.0,,46000.0,957.0,269.0,6000.0
2001,54.0,43.0,9188.0,2600.0,1416.0,6063.0,-1.0,,-1.0,907.0,245799.0,-1.0,-1.0,2022.0,-1.0,105.0,,54.0,-1.0,9700.0,,49000.0,948.0,265.0,6063.0
2002,57.0,43.0,9151.0,2600.0,1450.0,6200.0,-1.0,,-1.0,950.0,250000.0,-1.0,-1.0,2026.0,-1.0,105.0,,57.0,-1.0,12300.0,,29150.0,937.0,330.0,6200.0
2003,59.0,43.0,9135.0,2600.0,1446.0,6133.0,-1.0,,-1.0,925.0,257994.0,-1.0,-1.0,2029.0,-1.0,105.0,,59.0,-1.0,14000.0,,28300.0,855.0,244.0,6133.0
2004,89.0,43.0,9173.0,2600.0,1442.0,6099.0,-1.0,,-1.0,960.0,254501.0,-1.0,-1.0,2030.0,-1.0,105.0,,89.0,,12700.0,,26600.0,846.0,229.0,6099.0
2005,45.0,43.0,9300.0,2600.0,1442.0,6221.0,-1.0,,-1.0,950.0,250000.0,-1.0,-1.0,1973.0,-1.0,105.0,,45.0,,12500.0,,35700.0,717.0,207.0,6221.0
2006,44.0,43.0,9300.0,2600.0,1443.0,6200.0,-1.0,,-1.0,950.0,250000.0,-1.0,-1.0,1960.0,-1.0,105.0,,44.0,,12300.0,,54150.0,724.0,189.0,6200.0
2007,42.0,43.0,9300.0,2600.0,1443.0,6200.0,-1.0,,-1.0,950.0,250000.0,-1.0,-1.0,1946.0,-1.0,105.0,,42.0,,13800.0,,32100.0,741.0,172.0,6200.0
2008,40.0,44.0,9300.0,2800.0,1442.0,6195.0,-1.0,,-1.0,950.0,250000.0,-1.0,-1.0,1931.0,-1.0,114.0,,40.0,,11700.0,,23000.0,764.0,161.0,6195.0
2009,39.0,44.0,4800.0,2800.0,1458.0,6213.0,-1.0,,-1.0,920.0,282673.0,-1.0,-1.0,1916.0,-1.0,125.0,,39.0,,10300.0,,24000.0,793.0,152.0,6213.0
2010,37.0,45.0,4900.0,2850.0,1500.0,6212.0,-1.0,,-1.0,900.0,320000.0,-1.0,-1.0,1903.0,-1.0,135.0,,37.0,,11709.0,,24000.0,786.0,144.0,6212.0
2011,36.0,45.0,6100.0,2802.0,1540.0,6212.0,-1.0,,-1.0,850.0,325000.0,-1.0,-1.0,1893.0,-1.0,135.0,,36.0,,12327.0,,24000.0,900.0,136.0,6212.0
2012,35.0,46.0,9300.0,2900.0,1590.0,6212.0,-1.0,,-1.0,850.0,327000.0,-1.0,-1.0,1800.0,-1.0,133.0,,35.0,,12389.0,,24435.0,900.0,130.0,6212.0
2013,35.0,50.0,10200.0,3000.0,1600.0,6213.0,-1.0,,-1.0,850.0,325000.0,-1.0,-1.0,1800.0,-1.0,137.0,,35.0,,12485.0,,24000.0,900.0,100.0,6213.0
2014,34.0,47.0,9961.0,2909.0,1658.0,6213.0,-1.0,,-1.0,914.0,301948.0,-1.0,-1.0,1913.0,-1.0,141.0,,34.0,,12581.0,,23837.0,900.0,124.0,6213.0
