,USSR,Burkina Faso,France,Trinidad and Tobago,Fiji,Australia,Panama,Pakistan,French Guiana,Thailand,Belize,Rwanda,Kenya,Guyana,Romania,Lao People's Democratic Republic,Zambia,Solomon Islands,Papua New Guinea,Somalia,Suriname,Togo,Albania,Brazil,Mozambique,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,Australia & New Zealand,El Salvador,Hungary,Chad,Colombia,Spain,Central African Republic,India,Jamaica,Ecuador,Swaziland,Indonesia,Argentina,Turkey,Angola,South Sudan,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Tajikistan,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Mali,Congo,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Peru,Gambia,Ghana,"China, mainland",Algeria,Kazakhstan,Uruguay,Cameroon,Guatemala,Cuba,Pacific Islands Trust Territory,United States of America,Bhutan,Turkmenistan,Micronesia (Federated States of),Philippines,Iraq,Madagascar,Timor-Leste,United Republic of Tanzania,Burundi,Nepal,Costa Rica,Bangladesh,Italy,Senegal,Mauritius,Uganda,Comoros,Benin,Uzbekistan,China,Cambodia,Sudan (former),Morocco,Chile,Honduras,Zimbabwe,Kyrgyzstan,Gabon,Malawi,"China, Taiwan Province of",Japan,Afghanistan,Guinea-Bissau,Saudi Arabia,Sudan,Azerbaijan,Nicaragua,Viet Nam,Mauritania,Russian Federation,Micronesia,Portugal,Bolivia (Plurinational State of),Paraguay,Venezuela (Bolivarian Republic of),Brunei Darussalam,Mexico,Guinea,Sierra Leone,Sri Lanka,Côte d'Ivoire,South Africa,Bulgaria,Myanmar,Ukraine,Liberia
1971,96830.0,2023.0,4000.0,351.0,801.0,7000.0,4900.0,142037.0,2.0,440940.0,270.0,41.0,482.0,9000.0,7263.0,48688.0,28.0,36.0,42.0,70.0,5200.0,1280.0,1200.0,344503.0,6080.0,1031.0,228.0,37100.0,7000.0,989.0,5800.0,2503.0,41076.0,6000.0,945.0,3934000.0,11.0,9139.0,204.0,348000.0,9520.0,18000.0,1540.0,,63000.0,879.0,,22219.0,2241.0,,3780.0,51000.0,10112.0,11850.0,16720.0,223.0,6680.0,16.0,1000.0,52780.0,9444.0,1631.0,3850.0,8075000.0,139.0,,4360.0,845.0,1000.0,11907.0,6.0,113000.0,1920.0,,,224000.0,13390.0,81428.0,360.0,13950.0,111.0,66000.0,2240.0,962971.0,42500.0,3759.0,32.0,1790.0,1183.0,175.0,,8118853.0,90000.0,202.0,543.0,4112.0,593.0,100.0,,40.0,2352.0,43625.0,121000.0,22050.0,2240.0,3.0,,,2354.0,313410.0,160.0,,6.0,7000.0,2250.0,1188.0,7187.0,120.0,9369.0,9959.0,34800.0,85850.0,31020.0,91.0,2969.0,500776.0,,8500.0
1972,106260.0,1947.0,4000.0,351.0,720.0,7000.0,4300.0,145145.0,7.0,501780.0,258.0,48.0,519.0,8000.0,6237.0,49010.0,36.0,35.0,29.0,44.0,6200.0,762.0,1440.0,364407.0,6000.0,1067.0,189.0,39900.0,7000.0,857.0,6100.0,2750.0,43629.0,8000.0,547.0,3940000.0,16.0,8476.0,159.0,296000.0,9670.0,12000.0,1540.0,,63000.0,784.0,,21798.0,2565.0,,3510.0,49000.0,10316.0,18650.0,18510.0,200.0,6570.0,3.0,1000.0,60760.0,9424.0,1316.0,3630.0,8060000.0,159.0,,4836.0,946.0,1000.0,15771.0,6.0,136100.0,1960.0,,,247000.0,7413.0,84256.0,400.0,11774.0,133.0,68750.0,4582.0,987830.0,41250.0,4519.0,24.0,980.0,1196.0,180.0,,8102564.0,54000.0,218.0,473.0,2966.0,650.0,60.0,,45.0,2240.0,42375.0,122000.0,22050.0,2450.0,10.0,,,2254.0,322446.0,65.0,,6.0,7000.0,2050.0,1179.0,12434.0,124.0,9024.0,10397.0,35100.0,89870.0,31900.0,91.0,3249.0,524167.0,,9100.0
1973,113850.0,1630.0,3000.0,512.0,802.0,7000.0,5513.0,154002.0,7.0,478920.0,325.0,63.0,459.0,8500.0,6291.0,53448.0,43.0,35.0,32.0,46.0,6200.0,812.0,1200.0,354531.0,6000.0,889.0,114.0,42000.0,7000.0,1002.0,6100.0,2160.0,55283.0,6000.0,977.0,4030500.0,18.0,10269.0,133.0,272000.0,8970.0,14000.0,1050.0,,54800.0,869.0,,21460.0,3150.0,,4050.0,49000.0,10452.0,13450.0,19790.0,267.0,6730.0,54.0,1000.0,61040.0,9260.0,1624.0,3674.0,8160000.0,133.0,,5972.0,1061.0,1000.0,14255.0,6.0,163701.0,2000.0,,,253204.0,3341.0,85082.0,400.0,14670.0,153.0,70400.0,5566.0,979219.0,41250.0,5880.0,21.0,1730.0,1235.0,234.0,,8202739.0,42000.0,247.0,665.0,2203.0,682.0,50.0,,30.0,2352.0,42625.0,118000.0,22050.0,3500.0,10.0,,,2659.0,333750.0,80.0,,6.0,6000.0,2300.0,1260.0,12904.0,164.0,10377.0,10855.0,37000.0,89740.0,34870.0,91.0,3358.0,533241.0,,10050.0
1974,115000.0,2065.0,3000.0,648.0,917.0,11863.0,3800.0,164134.0,7.0,533760.0,356.0,68.0,441.0,14000.0,5910.0,54547.0,68.0,54.0,48.0,128.0,6600.0,862.0,1200.0,403277.0,6000.0,1032.0,119.0,43750.0,11863.0,1525.0,6300.0,2034.0,57218.0,6000.0,905.0,3621000.0,157.0,12237.0,194.0,257000.0,9000.0,11000.0,1050.0,,57900.0,1019.0,,21760.0,3000.0,,3870.0,49000.0,10712.0,13050.0,22000.0,152.0,8880.0,105.0,800.0,64540.0,9798.0,1778.0,4318.0,8210000.0,75.0,,6569.0,1186.0,939.0,12474.0,6.0,181572.0,2040.0,,,264377.0,3234.0,86257.0,480.0,18360.0,148.0,70950.0,6097.0,1032987.0,37500.0,6097.0,29.0,1790.0,1235.0,292.0,,8255244.0,60000.0,290.0,1085.0,3661.0,993.0,42.0,,25.0,2240.0,45125.0,121000.0,22050.0,5250.0,11.0,,,2659.0,330699.0,83.0,,6.0,5723.0,3250.0,1353.0,12490.0,180.0,15400.0,11333.0,38000.0,102060.0,42900.0,91.0,3362.0,535950.0,,9550.0
1975,120520.0,2250.0,2000.0,612.0,811.0,13000.0,4445.0,167941.0,7.0,514500.0,343.0,70.0,490.0,14500.0,5643.0,54702.0,89.0,117.0,55.0,144.0,6750.0,928.0,1200.0,505892.0,6000.0,1302.0,110.0,44100.0,13000.0,1242.0,6049.0,2349.0,53348.0,5000.0,945.0,4460000.0,112.0,13479.0,224.0,265000.0,9500.0,11000.0,1400.0,,58000.0,983.0,,21257.0,2850.0,,3600.0,49000.0,10904.0,8600.0,17800.0,155.0,11420.0,31.0,1000.0,57869.0,10653.0,1596.0,4235.0,8320000.0,65.0,,7326.0,1284.0,939.0,11427.0,6.0,158757.0,2080.0,,,272318.0,5477.0,85114.0,480.0,24030.0,151.0,70950.0,5612.0,988205.0,38750.0,5607.0,12.0,2441.0,1300.0,408.0,,8365235.0,66000.0,378.0,928.0,4574.0,864.0,28.0,,25.0,2520.0,45125.0,125000.0,22050.0,6300.0,11.0,,,1899.0,308808.0,95.0,,6.0,5543.0,3150.0,1546.0,7355.0,180.0,9565.0,11832.0,40000.0,86100.0,43780.0,91.0,3331.0,522993.0,,10000.0
1976,125580.0,1595.0,2000.0,602.0,838.0,9500.0,4218.0,182314.0,10.0,541860.0,275.0,80.0,469.0,8700.0,5346.0,39656.0,88.0,175.0,35.0,352.0,6950.0,1244.0,1200.0,455399.0,6400.0,1380.0,44.0,45500.0,9500.0,1121.0,6609.0,840.0,50584.0,5000.0,1260.0,3915000.0,67.0,10705.0,228.0,239000.0,9000.0,9500.0,1400.0,,59314.0,1048.0,,20967.0,2745.0,,3603.0,49500.0,11072.0,12300.0,17800.0,156.0,11259.0,5.0,1000.0,56531.0,10748.0,1554.0,7095.0,8165000.0,74.0,,7958.0,1228.0,783.0,10623.0,6.0,145149.0,2120.0,,,273860.0,7004.0,94021.0,520.0,21870.0,205.0,69685.0,4972.0,1002765.0,40000.0,4431.0,6.0,1960.0,1339.0,356.0,,8209794.0,66000.0,470.0,1085.0,5674.0,1169.0,23.0,,30.0,2520.0,44750.0,127000.0,22050.0,5600.0,16.0,,,2205.0,354816.0,128.0,,6.0,4577.0,3050.0,1848.0,18239.0,140.0,10828.0,12353.0,41000.0,89580.0,44990.0,91.0,3437.0,528967.0,,10300.0
1977,133400.0,1750.0,2000.0,406.0,794.0,12000.0,4169.0,194458.0,14.0,601620.0,210.0,85.0,525.0,17500.0,5859.0,41562.0,152.0,240.0,28.0,784.0,7455.0,1280.0,1200.0,427387.0,6800.0,1524.0,11.0,45990.0,12000.0,1251.0,4000.0,2500.0,65140.0,5000.0,897.0,4820000.0,134.0,8130.0,228.0,243990.0,9500.0,11000.0,1050.0,,142847.0,1062.0,,16907.0,2760.0,,4645.0,49000.0,11148.0,14600.0,11168.0,140.0,10250.0,5.0,1800.0,54068.0,9142.0,1603.0,6765.0,7985000.0,34.0,,8173.0,1594.0,912.0,10621.0,6.0,195045.0,2160.0,,,277735.0,6059.0,90640.0,560.0,23220.0,210.0,69465.0,5302.0,1010181.0,41250.0,6404.0,4.0,2440.0,1365.0,364.0,,8029136.0,66000.0,336.0,1575.0,5222.0,745.0,29.0,,38.0,2632.0,44125.0,126000.0,22050.0,4200.0,9.0,,,2526.0,317913.0,136.0,,6.0,4609.0,2750.0,1749.0,18276.0,120.0,7279.0,12897.0,42500.0,85390.0,47080.0,91.0,3323.0,540070.0,,9700.0
1978,140300.0,2000.0,2000.0,406.0,843.0,12000.0,3531.0,195312.0,42.0,566100.0,223.0,83.0,609.0,15000.0,6102.0,43428.0,124.0,270.0,20.0,384.0,8280.0,1464.0,1200.0,414359.0,7200.0,1171.0,4.0,46200.0,12000.0,1329.0,4000.0,2500.0,64598.0,9450.0,945.0,4920000.0,67.0,11088.0,228.0,279000.0,13300.0,14000.0,980.0,,142297.0,1133.0,,21402.0,2759.0,,4860.0,50000.0,11368.0,20000.0,24253.0,120.0,10938.0,5.0,1835.0,53395.0,10516.0,1792.0,5775.0,7850000.0,52.0,,9521.0,1147.0,1100.0,10323.0,6.0,195045.0,2200.0,,,266150.0,6522.0,93040.0,560.0,23400.0,150.0,69190.0,5600.0,1015985.0,38750.0,5510.0,1.0,1200.0,1560.0,328.0,,7892379.0,48000.0,400.0,1033.0,7531.0,918.0,30.0,,40.0,2520.0,42375.0,115000.0,21630.0,4200.0,15.0,,,3235.0,293697.0,214.0,,6.0,4609.0,2250.0,1656.0,21638.0,108.0,10080.0,13465.0,40000.0,90270.0,49280.0,91.0,3283.0,517688.0,,10050.0
1979,153180.0,1829.0,1000.0,227.0,811.0,13642.0,2880.0,185578.0,29.0,577052.0,262.0,87.0,683.0,11700.0,5346.0,52016.0,204.0,348.0,14.0,472.0,8825.0,1472.0,1200.0,474478.0,7200.0,1206.0,2.0,45500.0,13642.0,1510.0,4636.0,2000.0,62130.0,10000.0,963.0,3873000.0,102.0,12661.0,228.0,266000.0,13650.0,14300.0,840.0,,143580.0,1173.0,,20787.0,2670.0,,4500.0,50000.0,11716.0,27500.0,13528.0,108.0,11200.0,2.0,1600.0,64705.0,8203.0,1918.0,5445.0,7850000.0,55.0,,9429.0,975.0,1300.0,10315.0,7.0,217724.0,2264.0,,,265700.0,6165.0,95920.0,600.0,22050.0,213.0,70400.0,4200.0,1030893.0,30000.0,4702.0,4.0,1100.0,1560.0,335.0,,7903627.0,86460.0,504.0,1033.0,6534.0,945.0,30.0,,40.0,2352.0,53625.0,113000.0,20055.0,4200.0,0.0,,,2935.0,340887.0,270.0,,7.0,4846.0,2850.0,1320.0,22133.0,100.0,9221.0,14058.0,41000.0,86480.0,39600.0,91.0,3310.0,528030.0,,9850.0
1980,145820.0,1974.0,1000.0,71.0,737.0,14424.0,3055.0,189696.0,33.0,575715.0,318.0,109.0,661.0,15800.0,5400.0,63186.0,214.0,363.0,10.0,456.0,9745.0,1448.0,1200.0,463735.0,7600.0,1242.0,1.0,46900.0,14424.0,1246.0,3658.0,2000.0,65852.0,11000.0,935.0,4908000.0,84.0,13128.0,144.0,286844.0,10000.0,10000.0,770.0,,134400.0,1109.0,,20619.0,2370.0,,4500.0,44000.0,12028.0,30000.0,11559.0,108.0,11113.0,2.0,1900.0,64275.0,8515.0,2093.0,6380.0,7820000.0,55.0,,8715.0,1071.0,1201.0,10108.0,7.0,231331.0,2240.0,,,260288.0,5897.0,94826.0,640.0,25200.0,250.0,71500.0,5600.0,1046093.0,36250.0,5309.0,3.0,1200.0,1560.0,328.0,,7856001.0,89580.0,420.0,910.0,5024.0,1018.0,31.0,,40.0,1279.0,36000.0,110000.0,18270.0,6300.0,0.0,,,3741.0,349422.0,279.0,,7.0,4851.0,2750.0,1284.0,26761.0,96.0,11602.0,14677.0,40000.0,87100.0,37400.0,91.0,3286.0,525630.0,,10500.0
1981,149040.0,1256.0,1000.0,81.0,860.0,15000.0,4114.0,189898.0,29.0,577284.0,267.0,104.0,732.0,14200.0,5670.0,69280.0,237.0,287.0,14.0,480.0,9295.0,2272.0,1200.0,457874.0,7600.0,1212.0,1.0,44800.0,15000.0,1007.0,3198.0,2067.0,71087.0,8000.0,987.0,4872000.0,64.0,13172.0,60.0,394000.0,10000.0,15000.0,770.0,,131400.0,1161.0,,19778.0,2329.0,,4500.0,44000.0,12364.0,30000.0,18162.0,84.0,10300.0,2.0,1900.0,67640.0,13638.0,2065.0,3355.0,7750000.0,55.0,,9723.0,1382.0,1050.0,10549.0,7.0,199581.0,2320.0,,,256421.0,6309.0,95048.0,660.0,27000.0,175.0,69850.0,5397.0,1058574.0,38000.0,4697.0,0.0,1500.0,1560.0,311.0,,7786001.0,100440.0,320.0,175.0,5914.0,722.0,19.0,,40.0,1260.0,36000.0,115000.0,17378.0,10010.0,0.0,,,3835.0,372456.0,320.0,,7.0,3580.0,2350.0,1727.0,25018.0,76.0,12480.0,15323.0,40000.0,90410.0,38500.0,91.0,3289.0,502867.0,,10500.0
