,Bolivia (Plurinational State of),Peru,Israel,Malta,South Sudan,Brazil,Nepal,Ethiopia,Canada,Greece,Iraq,Syrian Arab Republic,Cyprus,Japan,Eritrea,Guyana,Bulgaria,Australia & New Zealand,Guatemala,Algeria,Slovenia,Morocco,Czechia,Argentina,Paraguay,"China, mainland",Germany,Austria,Czechoslovakia,Ethiopia PDR,Lebanon,Mexico,Switzerland,Slovakia,Ecuador,Spain,Egypt,Sudan (former),China,Tunisia,Colombia,Libya,Uruguay,Jamaica,Uzbekistan,France,Occupied Palestinian Territory,Italy,Sierra Leone,Australia,Portugal,Jordan,Netherlands,Turkey,Belgium-Luxembourg
1978,1075.0,1255.0,24.0,0.0,-1.0,13840.0,0.0,-1.0,0.0,1149.0,410.0,956.0,279.0,131.0,-1.0,0.0,4.0,500.0,1182.0,2279.0,-1.0,10390.0,-1.0,120.0,941.0,241500.0,2376.0,200.0,3802.0,23672.0,30.0,981.0,19.0,-1.0,346.0,9200.0,21190.0,720.0,241500.0,7300.0,0.0,260.0,25.0,21.0,-1.0,2280.0,0.0,29300.0,17.0,500.0,2065.0,18.0,0.0,6200.0,42.0
1979,1125.0,1288.0,18.0,0.0,-1.0,11314.0,0.0,-1.0,0.0,1052.0,609.0,871.0,307.0,145.0,-1.0,0.0,4.0,500.0,1200.0,2624.0,-1.0,7790.0,-1.0,168.0,942.0,241500.0,2263.0,288.0,3848.0,26124.0,30.0,1229.0,32.0,-1.0,394.0,9000.0,22102.0,941.0,241500.0,7400.0,0.0,280.0,25.0,16.0,-1.0,2150.0,0.0,29000.0,17.0,500.0,2075.0,23.0,0.0,6000.0,38.0
1980,1650.0,597.0,21.0,0.0,-1.0,12014.0,0.0,-1.0,0.0,1069.0,458.0,922.0,335.0,126.0,-1.0,0.0,0.0,565.0,1200.0,2294.0,-1.0,6500.0,-1.0,144.0,516.0,231000.0,2222.0,363.0,2718.0,24518.0,30.0,887.0,24.0,-1.0,354.0,7000.0,21855.0,823.0,231000.0,6100.0,0.0,288.0,26.0,16.0,-1.0,2660.0,0.0,28500.0,17.0,565.0,1815.0,11.0,0.0,6000.0,32.0
1981,1365.0,580.0,21.0,0.0,-1.0,11476.0,0.0,-1.0,0.0,1052.0,345.0,924.0,279.0,115.0,-1.0,0.0,0.0,940.0,1260.0,2134.0,-1.0,5550.0,-1.0,168.0,540.0,199500.0,2651.0,450.0,1843.0,27913.0,25.0,1322.0,33.0,-1.0,343.0,6400.0,21855.0,689.0,199500.0,6580.0,0.0,302.0,26.0,14.0,-1.0,3760.0,0.0,27100.0,17.0,940.0,1830.0,12.0,51.0,7100.0,22.0
1982,500.0,562.0,24.0,0.0,-1.0,7196.0,0.0,-1.0,800.0,1035.0,241.0,821.0,224.0,108.0,-1.0,0.0,0.0,1115.0,1290.0,2495.0,-1.0,8530.0,-1.0,167.0,582.0,201600.0,2574.0,538.0,1213.0,30446.0,24.0,1437.0,56.0,-1.0,428.0,7000.0,25197.0,625.0,201600.0,5830.0,0.0,312.0,26.0,17.0,-1.0,5660.0,0.0,27200.0,17.0,1115.0,1705.0,88.0,91.0,8500.0,16.0
1983,1400.0,555.0,6.0,0.0,-1.0,11458.0,0.0,-1.0,750.0,1125.0,285.0,864.0,223.0,99.0,-1.0,0.0,0.0,1670.0,1290.0,3238.0,-1.0,9515.0,-1.0,154.0,624.0,189000.0,3055.0,625.0,1047.0,28028.0,29.0,1083.0,34.0,-1.0,430.0,7800.0,29500.0,1390.0,189000.0,3800.0,0.0,312.0,26.0,22.0,-1.0,7660.0,0.0,26300.0,15.0,1670.0,1420.0,87.0,183.0,8400.0,15.0
1984,1500.0,479.0,6.0,0.0,-1.0,11730.0,0.0,-1.0,700.0,1107.0,305.0,700.0,251.0,80.0,-1.0,0.0,0.0,970.0,1320.0,3630.0,-1.0,10615.0,-1.0,136.0,677.0,178500.0,4392.0,700.0,946.0,26144.0,30.0,1027.0,25.0,-1.0,340.0,6500.0,27100.0,1080.0,178500.0,8300.0,0.0,320.0,26.0,22.0,-1.0,4560.0,0.0,23800.0,17.0,970.0,1365.0,87.0,220.0,8400.0,19.0
1985,1500.0,682.0,6.0,0.0,-1.0,12921.0,0.0,-1.0,800.0,984.0,468.0,1016.0,363.0,75.0,-1.0,0.0,0.0,1900.0,1320.0,3648.0,-1.0,9795.0,-1.0,133.0,561.0,178500.0,7138.0,755.0,898.0,22415.0,35.0,785.0,16.0,-1.0,652.0,7000.0,30200.0,1200.0,178500.0,4800.0,0.0,332.0,26.0,18.0,-1.0,4460.0,0.0,32014.0,17.0,1900.0,1350.0,64.0,579.0,8500.0,31.0
1986,1650.0,881.0,6.0,0.0,-1.0,10257.0,0.0,-1.0,1300.0,728.0,409.0,1108.0,410.0,69.0,-1.0,0.0,0.0,2555.0,1350.0,3430.0,-1.0,10545.0,-1.0,168.0,504.0,178500.0,11265.0,1141.0,784.0,21011.0,40.0,598.0,17.0,-1.0,730.0,6500.0,28000.0,1200.0,178500.0,5040.0,0.0,352.0,26.0,18.0,-1.0,3955.0,0.0,31915.0,18.0,2555.0,1375.0,4.0,1021.0,8800.0,75.0
1987,1800.0,759.0,6.0,0.0,-1.0,10605.0,0.0,-1.0,800.0,798.0,214.0,1440.0,279.0,65.0,-1.0,0.0,0.0,2577.0,1350.0,2892.0,-1.0,10325.0,-1.0,168.0,546.0,168000.0,13447.0,1138.0,843.0,22559.0,45.0,732.0,12.0,-1.0,509.0,5900.0,32000.0,974.0,168000.0,3095.0,0.0,300.0,24.0,14.0,-1.0,4250.0,0.0,30000.0,19.0,2577.0,1285.0,1.0,1340.0,8400.0,65.0
1988,2250.0,740.0,6.0,0.0,-1.0,10658.0,0.0,-1.0,700.0,720.0,190.0,1104.0,188.0,60.0,-1.0,0.0,0.0,2284.0,1050.0,2650.0,-1.0,10590.0,-1.0,168.0,570.0,168000.0,11036.0,1125.0,885.0,18180.0,50.0,611.0,15.0,-1.0,716.0,5900.0,23000.0,1008.0,168000.0,3885.0,0.0,316.0,26.0,14.0,-1.0,3300.0,0.0,29000.0,19.0,2284.0,1300.0,8.0,1000.0,8000.0,48.0
1989,2400.0,878.0,272.0,15.0,-1.0,8580.0,0.0,-1.0,230.0,773.0,330.0,1020.0,163.0,50.0,-1.0,0.0,0.0,2850.0,1044.0,2308.0,-1.0,11220.0,-1.0,168.0,414.0,152145.0,8343.0,1225.0,995.0,17478.0,60.0,589.0,20.0,-1.0,451.0,4600.0,22000.0,968.0,152145.0,5270.0,0.0,356.0,21.0,19.0,-1.0,2340.0,0.0,27500.0,20.0,2850.0,1090.0,10.0,820.0,8000.0,69.0
1990,2100.0,741.0,256.0,15.0,-1.0,9562.0,0.0,-1.0,719.0,750.0,521.0,687.0,158.0,44.0,-1.0,0.0,0.0,2905.0,1070.0,2405.0,-1.0,8925.0,-1.0,168.0,321.0,87150.0,5055.0,1163.0,1022.0,20177.0,66.0,705.0,15.0,-1.0,453.0,3600.0,21000.0,1248.0,87150.0,5940.0,0.0,376.0,24.0,19.0,-1.0,1740.0,0.0,27000.0,20.0,2905.0,1100.0,18.0,720.0,7600.0,77.0
1991,1950.0,748.0,219.0,15.0,-1.0,8162.0,0.0,-1.0,560.0,705.0,575.0,657.0,140.0,32.0,-1.0,0.0,1.0,4100.0,1095.0,2424.0,-1.0,10840.0,-1.0,175.0,327.0,90300.0,3790.0,1125.0,794.0,23808.0,76.0,670.0,20.0,-1.0,575.0,3686.0,27000.0,920.0,90300.0,5780.0,0.0,380.0,26.0,20.0,-1.0,1350.0,0.0,24000.0,20.0,4100.0,1200.0,36.0,510.0,7300.0,66.0
1992,2100.0,863.0,272.0,15.0,-1.0,4840.0,0.0,-1.0,360.0,690.0,625.0,780.0,135.0,28.0,-1.0,0.0,1.0,4350.0,1080.0,2353.0,0.0,4975.0,-1.0,182.0,454.0,105000.0,4495.0,1330.0,794.0,23808.0,78.0,312.0,33.0,-1.0,566.0,4600.0,18000.0,1000.0,105000.0,5570.0,0.0,372.0,28.0,18.0,800.0,1340.0,0.0,22000.0,19.0,4350.0,1600.0,43.0,490.0,6880.0,163.0
1993,1800.0,916.0,168.0,15.0,-1.0,6441.0,240.0,26260.0,280.0,653.0,600.0,876.0,125.0,23.0,392.0,0.0,0.0,4300.0,1140.0,2491.0,0.0,6130.0,193.0,182.0,446.0,121800.0,6114.0,1260.0,-1.0,-1.0,79.0,326.0,34.0,341.0,666.0,5300.0,24000.0,1200.0,121800.0,4960.0,0.0,374.0,38.0,18.0,800.0,1080.0,0.0,19000.0,20.0,4300.0,1610.0,38.0,400.0,5770.0,197.0
1994,1600.0,1112.0,208.0,15.0,-1.0,6350.0,225.0,27435.0,400.0,690.0,590.0,1009.0,130.0,20.0,440.0,0.0,1.0,4020.0,1140.0,2598.0,0.0,5900.0,187.0,189.0,353.0,105000.0,5236.0,861.0,-1.0,-1.0,85.0,626.0,25.0,341.0,493.0,1751.0,19000.0,1294.0,105000.0,3870.0,0.0,383.0,40.0,16.0,800.0,1088.0,0.0,18000.0,21.0,4020.0,1600.0,92.0,143.0,5200.0,71.0
1995,1600.0,1173.0,320.0,24.0,-1.0,7022.0,233.0,27130.0,184.0,660.0,575.0,946.0,235.0,18.0,560.0,0.0,0.0,4850.0,1170.0,2278.0,0.0,6755.0,187.0,189.0,354.0,95455.0,4395.0,572.0,-1.0,-1.0,97.0,288.0,25.0,193.0,525.0,1520.0,21000.0,1646.0,95455.0,5160.0,0.0,284.0,28.0,17.0,900.0,1016.0,122.0,15000.0,22.0,4850.0,1555.0,40.0,166.0,4900.0,62.0
1996,1600.0,1302.0,272.0,33.0,-1.0,5981.0,228.0,27041.0,240.0,675.0,590.0,903.0,92.0,16.0,320.0,0.0,1.0,7740.0,1080.0,1889.0,0.0,7660.0,231.0,203.0,360.0,99750.0,5356.0,348.0,-1.0,-1.0,99.0,232.0,0.0,193.0,350.0,3200.0,22000.0,1660.0,99750.0,4080.0,0.0,256.0,25.0,14.0,1000.0,1027.0,75.0,14000.0,22.0,7740.0,1460.0,38.0,230.0,4860.0,59.0
1997,1600.0,1026.0,320.0,29.0,-1.0,2145.0,206.0,33611.0,560.0,675.0,625.0,936.0,91.0,15.0,400.0,0.0,1.0,6765.0,1062.0,1850.0,0.0,8045.0,193.0,203.0,360.0,112980.0,5443.0,255.0,-1.0,-1.0,40.0,240.0,0.0,193.0,475.0,3300.0,24000.0,1680.0,112980.0,3590.0,0.0,228.0,23.0,13.0,1250.0,1317.0,74.0,13000.0,26.0,6765.0,1350.0,38.0,165.0,4400.0,64.0
1998,1750.0,981.0,352.0,30.0,-1.0,2550.0,180.0,23801.0,280.0,585.0,625.0,887.0,90.0,14.0,320.0,0.0,0.0,7340.0,1020.0,1750.0,0.0,6925.0,193.0,231.0,497.0,113190.0,4771.0,292.0,-1.0,-1.0,20.0,565.0,0.0,220.0,450.0,2800.0,23000.0,1865.0,113190.0,4670.0,0.0,200.0,29.0,15.0,380.0,1370.0,36.0,11000.0,22.0,7340.0,1350.0,0.0,175.0,4200.0,59.0
1999,1700.0,1100.0,480.0,21.0,-1.0,3549.0,168.0,28994.0,610.0,570.0,450.0,822.0,90.0,14.0,420.0,0.0,0.0,8900.0,1020.0,1713.0,0.0,6850.0,187.0,231.0,503.0,120750.0,3560.0,369.0,-1.0,-1.0,14.0,749.0,0.0,22.0,475.0,3100.0,20000.0,2016.0,120750.0,4910.0,0.0,172.0,42.0,11.0,240.0,1860.0,37.0,11000.0,23.0,8900.0,1350.0,0.0,180.0,4000.0,38.0
2000,1700.0,1395.0,448.0,20.0,-1.0,2639.0,169.0,34668.0,520.0,555.0,300.0,1813.0,90.0,14.0,574.0,29.0,0.0,9000.0,966.0,1573.0,0.0,7125.0,187.0,238.0,602.0,139125.0,4233.0,349.0,-1.0,-1.0,14.0,755.0,0.0,22.0,475.0,3200.0,23000.0,2302.0,139125.0,4680.0,0.0,144.0,42.0,10.0,310.0,4540.0,27.0,13000.0,24.0,9000.0,1350.0,0.0,220.0,3800.0,-1.0
2001,1750.0,1290.0,560.0,21.0,-1.0,2830.0,149.0,29734.0,520.0,525.0,350.0,1860.0,90.0,9.0,492.0,26.0,0.0,8754.0,966.0,1681.0,0.0,7705.0,171.0,238.0,630.0,131250.0,3833.0,427.0,-1.0,-1.0,0.0,872.0,0.0,110.0,850.0,3700.0,26000.0,2320.0,131250.0,4360.0,0.0,112.0,47.0,8.0,450.0,7829.0,37.0,13000.0,30.0,8754.0,1350.0,0.0,210.0,3600.0,-1.0
2002,1775.0,1385.0,442.0,21.0,-1.0,3041.0,157.0,35136.0,480.0,495.0,325.0,1968.0,90.0,9.0,582.0,22.0,0.0,7750.0,930.0,1703.0,0.0,7570.0,171.0,245.0,613.0,123900.0,4031.0,433.0,-1.0,-1.0,37.0,749.0,0.0,110.0,991.0,4300.0,26000.0,2370.0,123900.0,4500.0,0.0,84.0,46.0,9.0,310.0,7864.0,41.0,13000.0,33.0,7750.0,1350.0,0.0,290.0,3400.0,-1.0
2003,1775.0,1475.0,416.0,22.0,-1.0,3165.0,154.0,37227.0,600.0,465.0,500.0,2137.0,63.0,9.0,616.0,19.0,0.0,9725.0,930.0,1839.0,0.0,7645.0,205.0,245.0,630.0,111300.0,3200.0,354.0,-1.0,-1.0,28.0,632.0,0.0,83.0,983.0,4500.0,26000.0,2420.0,111300.0,4505.0,0.0,56.0,43.0,18.0,300.0,7975.0,51.0,13000.0,36.0,9725.0,1350.0,0.0,230.0,3020.0,-1.0
2004,1775.0,1350.0,544.0,22.0,-1.0,2990.0,157.0,36846.0,480.0,453.0,375.0,1965.0,80.0,8.0,360.0,20.0,0.0,9150.0,948.0,1754.0,1.0,7280.0,297.0,245.0,897.0,109725.0,3240.0,444.0,-1.0,-1.0,30.0,622.0,0.0,138.0,827.0,5000.0,22000.0,2689.0,109725.0,4600.0,0.0,53.0,45.0,9.0,300.0,10159.0,55.0,13000.0,35.0,9150.0,1350.0,0.0,220.0,2480.0,-1.0
2005,1775.0,1510.0,896.0,22.0,-1.0,3189.0,160.0,34218.0,840.0,428.0,375.0,1715.0,75.0,7.0,206.0,18.0,15.0,9332.0,983.0,1677.0,1.0,8455.0,132.0,245.0,784.0,91875.0,3100.0,575.0,-1.0,-1.0,30.0,625.0,0.0,165.0,746.0,5500.0,20000.0,2667.0,91875.0,4990.0,0.0,40.0,46.0,10.0,240.0,7920.0,55.0,13000.0,38.0,9332.0,1350.0,0.0,220.0,2108.0,-1.0
2006,1775.0,2713.0,928.0,22.0,-1.0,2985.0,159.0,36656.0,610.0,435.0,375.0,1765.0,79.0,7.0,160.0,19.0,0.0,6650.0,1258.0,1564.0,0.0,9040.0,77.0,245.0,900.0,101010.0,2600.0,563.0,-1.0,-1.0,18.0,719.0,0.0,138.0,723.0,5000.0,25000.0,2700.0,101010.0,5350.0,0.0,40.0,46.0,9.0,200.0,5400.0,58.0,13000.0,36.0,6650.0,1350.0,0.0,220.0,2169.0,-1.0
2007,1775.0,2887.0,576.0,21.0,-1.0,3570.0,157.0,41642.0,610.0,360.0,375.0,2676.0,62.0,7.0,165.0,20.0,0.0,6450.0,1258.0,1534.0,0.0,9095.0,66.0,245.0,840.0,99225.0,2400.0,475.0,-1.0,-1.0,18.0,638.0,0.0,83.0,753.0,5500.0,25000.0,2790.0,99225.0,5770.0,0.0,40.0,50.0,9.0,250.0,6100.0,48.0,13000.0,39.0,6450.0,1350.0,0.0,220.0,2052.0,-1.0
2008,1775.0,3007.0,592.0,21.0,-1.0,3862.0,157.0,40965.0,0.0,360.0,340.0,2095.0,38.0,9.0,18.0,20.0,0.0,6700.0,1258.0,1614.0,3.0,8990.0,116.0,266.0,870.0,91875.0,2600.0,375.0,-1.0,-1.0,14.0,744.0,32.0,83.0,671.0,4800.0,25000.0,2683.0,91875.0,5470.0,0.0,41.0,49.0,11.0,250.0,9000.0,48.0,13000.0,42.0,6700.0,1350.0,0.0,220.0,1877.0,-1.0
2009,1775.0,2944.0,577.0,21.0,-1.0,2535.0,160.0,36735.0,0.0,450.0,325.0,2025.0,34.0,9.0,17.0,17.0,0.0,6450.0,1284.0,1711.0,0.0,9845.0,121.0,252.0,804.0,91350.0,3600.0,538.0,-1.0,-1.0,13.0,628.0,34.0,83.0,516.0,5000.0,25000.0,2840.0,91350.0,5870.0,0.0,42.0,41.0,13.0,260.0,15400.0,8.0,12000.0,45.0,6450.0,1350.0,0.0,220.0,1658.0,-1.0
2010,1775.0,2860.0,591.0,22.0,-1.0,3164.0,158.0,36605.0,0.0,375.0,300.0,2057.0,35.0,9.0,15.0,19.0,0.0,8130.0,1299.0,1855.0,0.0,9981.0,99.0,252.0,878.0,91560.0,3460.0,763.0,-1.0,-1.0,11.0,596.0,40.0,83.0,981.0,5000.0,18000.0,2897.0,91560.0,5657.0,0.0,35.0,45.0,14.0,140.0,9300.0,9.0,12000.0,42.0,8130.0,1200.0,0.0,220.0,1488.0,-1.0
2011,1500.0,3064.0,762.0,18.0,-1.0,2298.0,157.0,45925.0,0.0,375.0,300.0,1811.0,37.0,9.0,16.0,20.0,0.0,7570.0,1250.0,1842.0,0.0,9358.0,88.0,259.0,900.0,100065.0,3160.0,863.0,-1.0,-1.0,11.0,747.0,38.0,83.0,713.0,5000.0,13000.0,2926.0,100065.0,5450.0,0.0,36.0,42.0,15.0,200.0,6160.0,10.0,12000.0,42.0,7570.0,1200.0,0.0,220.0,1707.0,-1.0
2012,1400.0,3161.0,832.0,18.0,2897.0,2171.0,127.0,43077.0,0.0,450.0,300.0,1792.0,56.0,9.0,16.0,20.0,0.0,10145.0,1262.0,1883.0,0.0,10276.0,77.0,259.0,870.0,96810.0,3300.0,781.0,-1.0,-1.0,11.0,839.0,53.0,83.0,429.0,5000.0,6000.0,-1.0,96810.0,5593.0,118.0,36.0,42.0,15.0,250.0,6900.0,10.0,11000.0,44.0,10145.0,1200.0,0.0,220.0,1415.0,-1.0
2013,1400.0,3204.0,16.0,18.0,2897.0,2095.0,126.0,35449.0,0.0,450.0,300.0,2347.0,48.0,11.0,48.0,20.0,0.0,7605.0,1262.0,1875.0,0.0,9548.0,77.0,259.0,1437.0,73668.0,3300.0,963.0,-1.0,-1.0,18.0,804.0,62.0,83.0,429.0,5000.0,20000.0,-1.0,73668.0,5774.0,117.0,8.0,43.0,15.0,250.0,6900.0,31.0,10000.0,45.0,7605.0,1200.0,0.0,220.0,1182.0,-1.0
