,Burundi,"China, Taiwan Province of",Mozambique,Croatia,Myanmar,Burkina Faso,Syrian Arab Republic,Viet Nam,United Republic of Tanzania,Nepal,Ethiopia,Kenya,Maldives,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Iran (Islamic Republic of),Malawi,Eritrea,Rwanda,Australia & New Zealand,Yugoslav SFR,Slovenia,Senegal,Uganda,Ukraine,Guinea,Botswana,Saudi Arabia,Chad,Sri Lanka,Central African Republic,Sudan (former),China,Libya,Uzbekistan,Guinea-Bissau,Kazakhstan,Argentina,Hungary,Portugal,Togo,Poland,"China, mainland",Russian Federation,Mali,Yemen,Serbia and Montenegro,Cameroon,Tajikistan,Zambia,South Sudan,Namibia,Benin,Pakistan,Japan,Afghanistan,Iraq,Spain,Bulgaria,Bangladesh,Democratic Republic of the Congo,Czechoslovakia,Nigeria,Czechia,Ethiopia PDR,Democratic People's Republic of Korea,India,Austria,Niger,Morocco,Bhutan,Republic of Korea,Mexico,USSR,Romania,Côte d'Ivoire,Gambia,Slovakia,France,South Africa,Sierra Leone,Australia,Sudan,Ghana,Mauritania,Angola,Republic of Moldova,Turkey
1971,90.0,71.0,380.0,-1.0,3618.0,10671.0,676.0,0.0,3000.0,2416.0,-1.0,1540.0,1.0,-1.0,78.0,5550.0,900.0,0.0,-1.0,63.0,156.0,392.0,-1.0,24666.0,12425.0,-1.0,875.0,150.0,376.0,6465.0,250.0,520.0,7375.0,227571.0,24.0,-1.0,220.0,-1.0,3258.0,300.0,406.0,1793.0,375.0,227500.0,-1.0,16110.0,1113.0,-1.0,4520.0,-1.0,4425.0,-1.0,2400.0,255.0,7341.0,29.0,1080.0,108.0,8.0,22.0,1360.0,658.0,10.0,59040.0,-1.0,6136.0,1800.0,458000.0,17.0,32918.0,136.0,66.0,429.0,0.0,81720.0,0.0,696.0,1038.0,-1.0,120.0,440.0,177.0,156.0,-1.0,1756.0,520.0,930.0,-1.0,1140.0
1972,95.0,58.0,380.0,-1.0,3480.0,10796.0,432.0,0.0,3000.0,2504.0,-1.0,1540.0,16.0,-1.0,36.0,5700.0,780.0,0.0,-1.0,64.0,177.0,324.0,-1.0,28800.0,15900.0,-1.0,875.0,150.0,436.0,5805.0,250.0,560.0,9038.0,210058.0,31.0,-1.0,240.0,-1.0,4154.0,200.0,406.0,2222.0,340.0,210000.0,-1.0,17910.0,1123.0,-1.0,4760.0,-1.0,2610.0,-1.0,2500.0,620.0,8799.0,29.0,1110.0,58.0,13.0,31.0,1336.0,664.0,15.0,90416.0,-1.0,4000.0,1600.0,320000.0,23.0,30116.0,94.0,67.0,443.0,0.0,85500.0,0.0,696.0,1038.0,-1.0,120.0,440.0,177.0,177.0,-1.0,1922.0,338.0,930.0,-1.0,1137.0
1973,90.0,57.0,380.0,-1.0,3327.0,12750.0,527.0,0.0,2700.0,2502.0,-1.0,1558.0,16.0,-1.0,36.0,5250.0,300.0,0.0,-1.0,48.0,258.0,270.0,-1.0,30393.0,12750.0,-1.0,875.0,150.0,893.0,5940.0,350.0,600.0,9747.0,210057.0,60.0,-1.0,240.0,-1.0,4073.0,300.0,0.0,1529.0,325.0,210000.0,-1.0,19710.0,1153.0,-1.0,4160.0,-1.0,1500.0,-1.0,2500.0,635.0,6541.0,29.0,1140.0,32.0,15.0,30.0,1374.0,678.0,15.0,76592.0,-1.0,4040.0,1600.0,432000.0,22.0,33450.0,86.0,68.0,389.0,0.0,89100.0,0.0,696.0,672.0,-1.0,120.0,440.0,180.0,258.0,-1.0,2222.0,416.0,930.0,-1.0,900.0
1974,100.0,56.0,400.0,-1.0,3189.0,13661.0,454.0,0.0,3300.0,2510.0,-1.0,1560.0,46.0,-1.0,60.0,5400.0,300.0,0.0,-1.0,72.0,144.0,207.0,-1.0,25371.0,12105.0,-1.0,875.0,150.0,909.0,6630.0,360.0,560.0,9370.0,185556.0,60.0,-1.0,260.0,-1.0,4170.0,100.0,0.0,1562.0,294.0,185500.0,-1.0,20100.0,1163.0,-1.0,4960.0,-1.0,1650.0,-1.0,2600.0,195.0,7486.0,18.0,1200.0,16.0,25.0,18.0,1291.0,690.0,14.0,74064.0,-1.0,4112.0,1400.0,231000.0,22.0,25394.0,80.0,64.0,340.0,0.0,83220.0,0.0,882.0,672.0,-1.0,135.0,440.0,180.0,144.0,-1.0,1987.0,284.0,930.0,-1.0,750.0
1975,100.0,43.0,400.0,-1.0,3292.0,12150.0,391.0,0.0,3000.0,2436.0,-1.0,1600.0,3.0,-1.0,54.0,5550.0,600.0,0.0,-1.0,74.0,184.0,189.0,-1.0,23583.0,12458.0,-1.0,875.0,150.0,822.0,7500.0,530.0,600.0,9330.0,157543.0,60.0,-1.0,260.0,-1.0,4788.0,300.0,0.0,1595.0,0.0,157500.0,-1.0,25320.0,1194.0,-1.0,4280.0,-1.0,1500.0,-1.0,2600.0,147.0,7776.0,6.0,1260.0,22.0,23.0,24.0,1251.0,690.0,9.0,62880.0,-1.0,7568.0,1400.0,364000.0,0.0,37904.0,86.0,73.0,251.0,0.0,89940.0,0.0,883.0,447.0,-1.0,210.0,440.0,255.0,184.0,-1.0,2434.0,182.0,930.0,-1.0,720.0
1976,110.0,41.0,400.0,-1.0,3715.0,13500.0,498.0,0.0,5250.0,2423.0,-1.0,1620.0,2.0,-1.0,60.0,5700.0,600.0,0.0,-1.0,78.0,155.0,203.0,-1.0,24834.0,13186.0,-1.0,875.0,240.0,800.0,7905.0,480.0,520.0,9000.0,156841.0,60.0,-1.0,260.0,-1.0,5250.0,334.0,0.0,1694.0,0.0,156800.0,-1.0,25380.0,1250.0,-1.0,4360.0,-1.0,2025.0,-1.0,2700.0,179.0,7692.0,8.0,1290.0,22.0,13.0,45.0,1281.0,698.0,11.0,49424.0,-1.0,3980.0,1300.0,350000.0,0.0,40928.0,86.0,73.0,171.0,0.0,91440.0,0.0,896.0,582.0,-1.0,195.0,440.0,270.0,155.0,-1.0,2080.0,156.0,800.0,-1.0,600.0
1977,115.0,41.0,400.0,-1.0,3657.0,11513.0,371.0,0.0,6600.0,2468.0,-1.0,1620.0,1.0,-1.0,54.0,5850.0,600.0,150.0,-1.0,69.0,327.0,190.0,-1.0,27777.0,12750.0,-1.0,875.0,240.0,839.0,7950.0,380.0,560.0,10000.0,149526.0,60.0,-1.0,240.0,-1.0,5100.0,1175.0,0.0,1122.0,0.0,149485.0,-1.0,16380.0,1250.0,-1.0,5040.0,-1.0,1350.0,-1.0,2700.0,197.0,7903.0,8.0,1260.0,13.0,12.0,49.0,1125.0,700.0,15.0,36368.0,-1.0,4646.0,1300.0,323000.0,0.0,40901.0,88.0,76.0,66.0,0.0,87720.0,0.0,936.0,759.0,-1.0,195.0,440.0,270.0,327.0,-1.0,1570.0,284.0,800.0,-1.0,600.0
1978,100.0,40.0,400.0,-1.0,4017.0,11518.0,273.0,0.0,6750.0,2456.0,-1.0,1620.0,1.0,-1.0,84.0,6000.0,600.0,150.0,-1.0,58.0,211.0,188.0,-1.0,24363.0,7825.0,-1.0,875.0,195.0,834.0,6975.0,350.0,600.0,10000.0,146095.0,60.0,-1.0,300.0,-1.0,5175.0,1000.0,0.0,1148.0,0.0,146055.0,-1.0,17100.0,1375.0,-1.0,5120.0,-1.0,705.0,-1.0,2800.0,201.0,6736.0,8.0,1185.0,41.0,19.0,41.0,1199.0,698.0,26.0,41040.0,-1.0,4766.0,1300.0,364000.0,0.0,43831.0,88.0,84.0,35.0,0.0,83070.0,0.0,958.0,444.0,-1.0,195.0,440.0,270.0,211.0,-1.0,2500.0,286.0,800.0,-1.0,600.0
1979,90.0,35.0,400.0,-1.0,3945.0,10799.0,320.0,0.0,6750.0,2436.0,-1.0,1600.0,0.0,-1.0,114.0,5700.0,600.0,180.0,-1.0,62.0,121.0,135.0,-1.0,28542.0,6975.0,-1.0,875.0,255.0,744.0,6420.0,260.0,600.0,10000.0,135555.0,60.0,-1.0,360.0,-1.0,4170.0,644.0,0.0,1796.0,0.0,135520.0,-1.0,19800.0,1325.0,-1.0,5280.0,-1.0,525.0,-1.0,2800.0,198.0,4871.0,9.0,1185.0,25.0,17.0,41.0,1061.0,716.0,24.0,45184.0,-1.0,4317.0,1200.0,268000.0,0.0,46085.0,90.0,96.0,39.0,0.0,86640.0,0.0,648.0,654.0,-1.0,203.0,440.0,270.0,121.0,-1.0,1390.0,260.0,800.0,-1.0,450.0
1980,110.0,35.0,400.0,-1.0,3720.0,13834.0,305.0,0.0,6750.0,2442.0,-1.0,1600.0,2.0,-1.0,54.0,4180.0,216.0,180.0,-1.0,54.0,176.0,135.0,-1.0,30999.0,7500.0,-1.0,875.0,299.0,294.0,2805.0,240.0,680.0,11000.0,136185.0,63.0,-1.0,400.0,-1.0,5073.0,638.0,0.0,1062.0,0.0,136150.0,-1.0,21000.0,3343.0,-1.0,5160.0,-1.0,300.0,-1.0,2800.0,185.0,6712.0,7.0,1110.0,25.0,12.0,0.0,1401.0,736.0,26.0,27328.0,-1.0,4657.0,1200.0,330000.0,0.0,45570.0,80.0,101.0,49.0,0.0,80250.0,0.0,840.0,807.0,-1.0,210.0,440.0,300.0,176.0,-1.0,1570.0,160.0,800.0,-1.0,345.0
1981,100.0,31.0,400.0,-1.0,3843.0,13642.0,267.0,0.0,2999.0,2582.0,-1.0,933.0,1.0,-1.0,24.0,3997.0,659.0,225.0,-1.0,41.0,227.0,135.0,-1.0,26100.0,8250.0,-1.0,875.0,240.0,268.0,3000.0,220.0,680.0,11000.0,141396.0,90.0,-1.0,500.0,-1.0,3540.0,550.0,0.0,549.0,0.0,141365.0,-1.0,24390.0,3397.0,-1.0,6000.0,-1.0,300.0,-1.0,2900.0,210.0,5257.0,5.0,1050.0,7.0,7.0,0.0,875.0,758.0,36.0,27168.0,-1.0,4530.0,1100.0,352000.0,0.0,46257.0,88.0,98.0,55.0,0.0,84630.0,0.0,840.0,1149.0,-1.0,210.0,440.0,300.0,227.0,-1.0,1720.0,60.0,800.0,-1.0,332.0
1982,110.0,18.0,400.0,-1.0,5179.0,13926.0,234.0,0.0,3421.0,2477.0,-1.0,933.0,1.0,-1.0,24.0,3750.0,328.0,163.0,-1.0,26.0,234.0,135.0,-1.0,21270.0,8525.0,-1.0,950.0,248.0,259.0,4796.0,230.0,400.0,10000.0,143079.0,83.0,-1.0,546.0,-1.0,3360.0,272.0,0.0,607.0,0.0,143061.0,-1.0,24456.0,3422.0,-1.0,4000.0,-1.0,300.0,-1.0,3000.0,223.0,6636.0,2.0,1050.0,52.0,4.0,0.0,3011.0,780.0,28.0,28368.0,-1.0,4503.0,1100.0,308753.0,0.0,47033.0,100.0,108.0,18.0,0.0,86550.0,0.0,840.0,954.0,-1.0,255.0,440.0,480.0,234.0,-1.0,1750.0,34.0,800.0,-1.0,306.0
1983,100.0,15.0,400.0,-1.0,4641.0,10839.0,324.0,0.0,4116.0,2687.0,-1.0,580.0,0.0,-1.0,12.0,3750.0,360.0,230.0,-1.0,32.0,243.0,148.0,-1.0,27090.0,8300.0,-1.0,950.0,251.0,75.0,4014.0,220.0,400.0,10000.0,132922.0,75.0,-1.0,400.0,-1.0,3110.0,228.0,0.0,646.0,0.0,132907.0,-1.0,27287.0,3463.0,-1.0,1102.0,-1.0,285.0,-1.0,3000.0,209.0,7268.0,4.0,960.0,74.0,5.0,0.0,2663.0,802.0,22.0,34128.0,-1.0,4306.0,1000.0,450564.0,0.0,45385.0,100.0,134.0,25.0,0.0,79200.0,0.0,900.0,1080.0,-1.0,255.0,440.0,510.0,243.0,-1.0,2310.0,100.0,750.0,-1.0,330.0
1984,120.0,14.0,400.0,-1.0,4332.0,14612.0,216.0,0.0,5184.0,3021.0,-1.0,1120.0,0.0,-1.0,9.0,3750.0,656.0,261.0,-1.0,17.0,192.0,232.0,-1.0,34380.0,7496.0,-1.0,1075.0,233.0,61.0,7365.0,180.0,320.0,11000.0,116144.0,100.0,-1.0,400.0,-1.0,3420.0,298.0,0.0,722.0,0.0,116130.0,-1.0,25221.0,2400.0,-1.0,2424.0,-1.0,336.0,-1.0,3000.0,243.0,6730.0,3.0,930.0,59.0,11.0,0.0,2574.0,820.0,29.0,37536.0,-1.0,4587.0,900.0,224726.0,0.0,47531.0,100.0,109.0,48.0,0.0,84240.0,0.0,792.0,1590.0,-1.0,0.0,440.0,510.0,192.0,-1.0,1850.0,200.0,750.0,-1.0,240.0
1985,120.0,13.0,400.0,-1.0,4411.0,17571.0,216.0,0.0,4980.0,3016.0,-1.0,1440.0,0.0,-1.0,9.0,4425.0,779.0,261.0,-1.0,17.0,202.0,334.0,-1.0,25686.0,8542.0,-1.0,1150.0,263.0,72.0,7622.0,140.0,512.0,14000.0,104313.0,90.0,-1.0,400.0,-1.0,2640.0,245.0,0.0,1281.0,0.0,104300.0,-1.0,24656.0,2655.0,-1.0,2342.0,-1.0,278.0,-1.0,3000.0,427.0,6107.0,1.0,870.0,30.0,14.0,0.0,2559.0,864.0,122.0,62672.0,-1.0,4565.0,760.0,246000.0,0.0,48592.0,100.0,96.0,33.0,0.0,74541.0,0.0,792.0,1485.0,-1.0,0.0,440.0,510.0,202.0,-1.0,1560.0,200.0,900.0,-1.0,240.0
1986,120.0,11.0,400.0,-1.0,3841.0,17516.0,282.0,0.0,4350.0,3295.0,-1.0,2200.0,0.0,-1.0,5.0,4650.0,788.0,272.0,-1.0,14.0,272.0,94.0,-1.0,28380.0,8100.0,-1.0,1213.0,212.0,123.0,6961.0,140.0,410.0,10000.0,94091.0,84.0,-1.0,400.0,-1.0,2043.0,470.0,0.0,1405.0,0.0,94080.0,-1.0,23453.0,2462.0,-1.0,1203.0,-1.0,654.0,-1.0,3000.0,462.0,3512.0,3.0,870.0,53.0,19.0,0.0,2117.0,834.0,105.0,61264.0,-1.0,2815.0,700.0,289000.0,0.0,45251.0,102.0,97.0,26.0,0.0,82890.0,0.0,816.0,1368.0,-1.0,0.0,440.0,450.0,272.0,-1.0,2350.0,400.0,1000.0,-1.0,300.0
1987,120.0,9.0,400.0,-1.0,3547.0,19154.0,34.0,0.0,4116.0,3651.0,-1.0,2207.0,0.0,-1.0,5.0,5610.0,421.0,292.0,-1.0,30.0,253.0,96.0,-1.0,26803.0,9275.0,-1.0,1283.0,197.0,161.0,8684.0,120.0,416.0,10000.0,87964.0,78.0,-1.0,344.0,-1.0,1595.0,261.0,0.0,1304.0,0.0,87955.0,-1.0,35877.0,2497.0,-1.0,2400.0,-1.0,661.0,-1.0,3200.0,532.0,6120.0,10.0,870.0,126.0,13.0,0.0,1829.0,848.0,100.0,57008.0,-1.0,3130.0,600.0,227000.0,0.0,52770.0,104.0,91.0,23.0,0.0,78450.0,0.0,840.0,1401.0,-1.0,0.0,440.0,720.0,253.0,-1.0,2280.0,267.0,1000.0,-1.0,165.0
1988,120.0,9.0,400.0,-1.0,3747.0,19166.0,30.0,0.0,4500.0,3870.0,-1.0,2146.0,0.0,-1.0,5.0,4434.0,452.0,269.0,-1.0,30.0,168.0,144.0,-1.0,28587.0,9531.0,-1.0,1374.0,306.0,155.0,7871.0,170.0,400.0,15000.0,83904.0,75.0,-1.0,356.0,-1.0,1308.0,188.0,0.0,1386.0,0.0,83895.0,-1.0,32493.0,3494.0,-1.0,2400.0,-1.0,711.0,-1.0,3300.0,509.0,6139.0,10.0,870.0,84.0,7.0,0.0,1826.0,858.0,76.0,65072.0,-1.0,2665.0,600.0,433000.0,0.0,53486.0,74.0,90.0,31.0,0.0,82962.0,0.0,888.0,1638.0,-1.0,0.0,440.0,720.0,168.0,-1.0,2440.0,562.0,1100.0,-1.0,135.0
1989,120.0,6.0,381.0,-1.0,3603.0,15330.0,28.0,0.0,2670.0,3971.0,-1.0,1939.0,0.0,-1.0,0.0,3499.0,450.0,294.0,-1.0,90.0,224.0,150.0,-1.0,25945.0,9325.0,-1.0,1472.0,183.0,198.0,7327.0,110.0,384.0,5000.0,79752.0,71.0,-1.0,402.0,-1.0,1580.0,422.0,0.0,1568.0,0.0,79746.0,-1.0,36401.0,3408.0,-1.0,2029.0,-1.0,883.0,-1.0,3200.0,554.0,5886.0,7.0,900.0,40.0,6.0,0.0,1806.0,1123.0,88.0,76448.0,-1.0,3095.0,952.0,391000.0,0.0,69091.0,104.0,91.0,37.0,0.0,87330.0,0.0,912.0,1533.0,-1.0,0.0,403.0,774.0,224.0,-1.0,1240.0,234.0,1100.0,-1.0,135.0
1990,120.0,5.0,405.0,-1.0,3811.0,18128.0,24.0,0.0,3840.0,3965.0,-1.0,2008.0,0.0,-1.0,0.0,4241.0,301.0,225.0,-1.0,30.0,210.0,152.0,-1.0,26375.0,9600.0,-1.0,1577.0,135.0,146.0,8503.0,120.0,361.0,8600.0,72838.0,75.0,-1.0,465.0,-1.0,2220.0,328.0,0.0,1463.0,0.0,72833.0,-1.0,32242.0,2270.0,-1.0,2549.0,-1.0,679.0,-1.0,2640.0,657.0,3754.0,3.0,938.0,55.0,6.0,0.0,1803.0,984.0,137.0,72960.0,-1.0,3354.0,933.0,391000.0,0.0,65846.0,106.0,92.0,21.0,0.0,90840.0,0.0,960.0,1811.0,-1.0,0.0,372.0,834.0,210.0,-1.0,2085.0,157.0,1390.0,-1.0,109.0
1991,125.0,5.0,340.0,-1.0,4193.0,18054.0,24.0,0.0,4628.0,4035.0,-1.0,1805.0,0.0,-1.0,0.0,3008.0,300.0,222.0,-1.0,28.0,223.0,152.0,-1.0,23211.0,9900.0,-1.0,1690.0,66.0,152.0,8507.0,50.0,333.0,10160.0,65364.0,77.0,-1.0,533.0,-1.0,1830.0,371.0,0.0,1488.0,0.0,65359.0,-1.0,31816.0,2612.0,-1.0,2200.0,-1.0,999.0,-1.0,3080.0,602.0,5848.0,3.0,750.0,72.0,6.0,0.0,1762.0,1012.0,85.0,69872.0,-1.0,3042.0,1040.0,287000.0,0.0,74832.0,97.0,94.0,15.0,0.0,90840.0,15.0,984.0,1476.0,-1.0,0.0,400.0,836.0,223.0,-1.0,2097.0,121.0,1570.0,-1.0,105.0
