,Ecuador,Brazil,Peru,Occupied Palestinian Territory,Sri Lanka,Guatemala,Samoa,Wallis and Futuna Islands,Canada,Kazakhstan,Polynesia,Lithuania,Mali,Italy
1982,8121.0,7823.0,5250.0,0.0,22000.0,23.0,1.0,12.0,11686.0,,13.0,,0.0,11000.0
1983,10087.0,5916.0,5400.0,0.0,24000.0,25.0,1.0,12.0,10516.0,,13.0,,0.0,13000.0
1984,11226.0,5717.0,5700.0,0.0,9000.0,29.0,1.0,12.0,11436.0,,13.0,,0.0,15000.0
1985,15300.0,7314.0,5850.0,0.0,14000.0,30.0,1.0,13.0,10217.0,,14.0,,0.0,11000.0
1986,13608.0,8949.0,5850.0,0.0,16500.0,32.0,1.0,14.0,10305.0,,15.0,,0.0,14000.0
1987,13691.0,7339.0,6300.0,0.0,17000.0,33.0,1.0,14.0,12050.0,,15.0,,0.0,11000.0
1988,15535.0,7013.0,6450.0,0.0,19000.0,38.0,1.0,14.0,11228.0,,16.0,,0.0,11000.0
1989,14419.0,8768.0,6750.0,0.0,22000.0,40.0,1.0,15.0,11652.0,,16.0,,0.0,12000.0
1990,16474.0,9412.0,6750.0,0.0,19000.0,43.0,1.0,15.0,13053.0,,16.0,,0.0,12000.0
1991,19061.0,8511.0,6900.0,0.0,15000.0,46.0,1.0,16.0,12691.0,,17.0,,0.0,12000.0
1992,21176.0,8807.0,5850.0,0.0,19070.0,46.0,1.0,16.0,12722.0,9994.0,17.0,5000.0,0.0,11000.0
1993,20302.0,8830.0,7350.0,0.0,17570.0,46.0,1.0,14.0,12907.0,9424.0,16.0,8000.0,0.0,11000.0
1994,23770.0,6381.0,7500.0,0.0,20180.0,48.0,1.0,21.0,13948.0,10526.0,22.0,9000.0,0.0,12000.0
1995,24550.0,5999.0,9074.0,800.0,20110.0,53.0,1.0,22.0,12890.0,12008.0,23.0,11600.0,0.0,12000.0
1996,41260.0,6453.0,9209.0,645.0,17410.0,56.0,1.0,23.0,14135.0,12122.0,24.0,12800.0,0.0,12000.0
1997,34174.0,5442.0,10500.0,534.0,17710.0,59.0,1.0,22.0,13446.0,15770.0,23.0,11900.0,0.0,12000.0
1998,17290.0,6049.0,11282.0,274.0,13320.0,45.0,1.0,23.0,14917.0,14744.0,24.0,10500.0,0.0,12000.0
1999,24090.0,6692.0,5038.0,595.0,20240.0,50.0,1.0,23.0,13922.0,14744.0,24.0,9200.0,55.0,12000.0
2000,24090.0,7149.0,6246.0,641.0,16740.0,60.0,1.0,24.0,12998.0,15732.0,25.0,11000.0,125.0,12000.0
2001,23430.0,7880.0,6522.0,419.0,16830.0,60.0,1.0,26.0,13977.0,17860.0,27.0,10800.0,170.0,12000.0
2002,18105.0,7550.0,6745.0,313.0,14820.0,60.0,1.0,24.0,14991.0,16036.0,25.0,15800.0,231.0,12000.0
2003,18955.0,5259.0,5142.0,499.0,14440.0,70.0,1.0,23.0,15604.0,16568.0,24.0,11000.0,293.0,12000.0
2004,21656.0,5252.0,4893.0,687.0,14070.0,62.0,1.0,25.0,14089.0,16492.0,26.0,11000.0,354.0,12000.0
2005,22506.0,5245.0,5339.0,703.0,10900.0,67.0,1.0,23.0,13956.0,15960.0,24.0,9500.0,416.0,12000.0
2006,22906.0,5629.0,6475.0,688.0,11730.0,89.0,1.0,24.0,14512.0,14744.0,25.0,8800.0,477.0,12000.0
2007,23022.0,5114.0,6533.0,724.0,10560.0,64.0,1.0,16.0,14882.0,21242.0,17.0,7800.0,539.0,12000.0
2008,23196.0,5082.0,5700.0,543.0,9400.0,60.0,1.0,16.0,13890.0,19912.0,17.0,7600.0,600.0,12000.0
2009,23196.0,5226.0,6200.0,168.0,9190.0,62.0,1.0,24.0,16345.0,20000.0,25.0,6300.0,310.0,14000.0
2010,23754.0,6465.0,7300.0,417.0,9400.0,59.0,1.0,24.0,18186.0,25726.0,25.0,7400.0,532.0,14000.0
2011,24254.0,5032.0,6600.0,417.0,10950.0,61.0,2.0,23.0,18739.0,31084.0,25.0,7300.0,426.0,14000.0
2012,27950.0,4784.0,6700.0,450.0,8600.0,65.0,1.0,24.0,17995.0,31274.0,25.0,7300.0,430.0,14000.0
2013,27950.0,4819.0,6600.0,489.0,8300.0,67.0,1.0,25.0,16374.0,30000.0,26.0,6300.0,425.0,14000.0
2014,27950.0,4819.0,6600.0,489.0,8300.0,65.0,1.0,21.0,14688.0,30000.0,23.0,6300.0,425.0,14000.0
