,Estonia,Belarus,Croatia,Serbia,Israel,Armenia,Tunisia,Syrian Arab Republic,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Belgium,Greece,Bulgaria,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Pakistan,Czechoslovakia,Republic of Moldova,Kyrgyzstan,Netherlands,Yugoslav SFR,Ukraine,Georgia,Germany,Slovenia,Austria,Turkmenistan,Morocco,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Egypt,Bosnia and Herzegovina,China,Ireland,Uzbekistan,Colombia,Latvia,Albania,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Azerbaijan,Hungary,Kazakhstan,Chile,Uruguay,France,Lithuania,Finland,"China, mainland",Russian Federation,Mali,Turkey,Italy,Belgium-Luxembourg
1971,-1.0,-1.0,-1.0,-1.0,456085.0,-1.0,259985.0,269087.0,415508.0,409363.0,336127.0,-1.0,404604.0,136364.0,175555.0,-1.0,-1.0,547800.0,345002.0,448825.0,252190.0,-1.0,282259.0,150090.0,309885.0,-1.0,-1.0,491186.0,349489.0,-1.0,-1.0,376867.0,-1.0,408448.0,-1.0,368349.0,298479.0,425194.0,529372.0,-1.0,217359.0,223315.0,71905.0,322211.0,-1.0,-1.0,96904.0,411771.0,-1.0,-1.0,-1.0,262662.0,433865.0,-1.0,531374.0,-1.0,-1.0,-1.0,277564.0,-1.0,395748.0,320559.0,471275.0,-1.0,269477.0,96904.0,-1.0,-1.0,374574.0,345720.0,590301.0
1972,-1.0,-1.0,-1.0,-1.0,439434.0,-1.0,202745.0,259915.0,329621.0,383937.0,308993.0,-1.0,477509.0,137609.0,239356.0,-1.0,-1.0,525182.0,351963.0,480270.0,249076.0,-1.0,132508.0,150107.0,358436.0,-1.0,-1.0,439743.0,412979.0,-1.0,-1.0,397611.0,-1.0,443632.0,-1.0,277649.0,327420.0,431018.0,402134.0,-1.0,219217.0,283896.0,61296.0,251787.0,-1.0,-1.0,87308.0,321593.0,-1.0,-1.0,-1.0,250000.0,415351.0,-1.0,500000.0,-1.0,-1.0,-1.0,370609.0,-1.0,382177.0,216783.0,429876.0,-1.0,343005.0,87308.0,-1.0,-1.0,397605.0,447309.0,467578.0
1973,-1.0,-1.0,-1.0,-1.0,585714.0,-1.0,219608.0,198062.0,382340.0,399065.0,324693.0,-1.0,477508.0,126667.0,209398.0,-1.0,-1.0,542901.0,290244.0,452366.0,244088.0,-1.0,140903.0,155514.0,308701.0,-1.0,-1.0,476709.0,386891.0,-1.0,-1.0,399962.0,-1.0,432800.0,-1.0,287262.0,306849.0,430182.0,543906.0,-1.0,244996.0,186312.0,70539.0,289831.0,-1.0,-1.0,93884.0,437761.0,-1.0,-1.0,-1.0,265574.0,312722.0,-1.0,554177.0,-1.0,-1.0,-1.0,298122.0,-1.0,371667.0,248947.0,443136.0,-1.0,289048.0,93884.0,-1.0,-1.0,332573.0,391852.0,533493.0
1974,-1.0,-1.0,-1.0,-1.0,528054.0,-1.0,236291.0,213462.0,235157.0,404146.0,274956.0,-1.0,395368.0,148000.0,209125.0,-1.0,-1.0,555473.0,273336.0,408986.0,232857.0,-1.0,187967.0,147492.0,394870.0,-1.0,-1.0,452043.0,412028.0,-1.0,-1.0,397325.0,-1.0,444641.0,-1.0,336849.0,294862.0,462145.0,497648.0,-1.0,215922.0,226412.0,40759.0,281312.0,-1.0,-1.0,85808.0,359168.0,-1.0,-1.0,-1.0,280000.0,555689.0,-1.0,432432.0,-1.0,-1.0,-1.0,377053.0,-1.0,373924.0,311858.0,403523.0,-1.0,273522.0,85808.0,-1.0,-1.0,308563.0,386887.0,447802.0
1975,-1.0,-1.0,-1.0,-1.0,551064.0,-1.0,174488.0,231672.0,241768.0,364856.0,293040.0,-1.0,365696.0,217000.0,243588.0,-1.0,-1.0,604477.0,231477.0,439062.0,233500.0,-1.0,209243.0,387984.0,353877.0,-1.0,-1.0,450134.0,392030.0,-1.0,-1.0,368844.0,-1.0,523340.0,-1.0,288554.0,316762.0,380819.0,421131.0,-1.0,180884.0,198644.0,89504.0,316533.0,-1.0,-1.0,81810.0,429778.0,-1.0,-1.0,-1.0,250000.0,520900.0,-1.0,333333.0,-1.0,-1.0,-1.0,322231.0,-1.0,380763.0,259067.0,395513.0,-1.0,263389.0,81810.0,-1.0,-1.0,326949.0,454785.0,443683.0
1976,-1.0,-1.0,-1.0,-1.0,551278.0,-1.0,219868.0,284740.0,307039.0,356020.0,360872.0,-1.0,511557.0,191368.0,236649.0,-1.0,-1.0,627812.0,330215.0,444862.0,262342.0,-1.0,184211.0,263290.0,244440.0,-1.0,-1.0,491343.0,441862.0,-1.0,-1.0,339651.0,-1.0,460735.0,-1.0,352479.0,272177.0,390623.0,519680.0,-1.0,266042.0,294444.0,63628.0,347115.0,-1.0,-1.0,82244.0,426744.0,-1.0,-1.0,-1.0,233333.0,471041.0,-1.0,400000.0,-1.0,-1.0,-1.0,304837.0,-1.0,356766.0,301860.0,372820.0,-1.0,217778.0,82244.0,-1.0,-1.0,375637.0,496010.0,522968.0
1977,-1.0,-1.0,-1.0,-1.0,558464.0,-1.0,327778.0,223200.0,315941.0,417012.0,394860.0,-1.0,473225.0,194000.0,260846.0,-1.0,-1.0,539574.0,248657.0,460928.0,252625.0,-1.0,222004.0,277022.0,379029.0,-1.0,-1.0,487905.0,431624.0,-1.0,-1.0,422277.0,-1.0,482306.0,-1.0,305745.0,294011.0,413019.0,456442.0,-1.0,247538.0,245368.0,89507.0,328600.0,-1.0,-1.0,69812.0,397069.0,-1.0,-1.0,-1.0,230000.0,210356.0,-1.0,410000.0,-1.0,-1.0,-1.0,318739.0,-1.0,392744.0,296887.0,466358.0,-1.0,176254.0,69812.0,-1.0,-1.0,361333.0,446206.0,513760.0
1978,-1.0,-1.0,-1.0,-1.0,509607.0,-1.0,303605.0,164904.0,337500.0,383981.0,383064.0,-1.0,498962.0,146000.0,246291.0,-1.0,-1.0,584717.0,263661.0,455471.0,243847.0,-1.0,155276.0,225472.0,330255.0,-1.0,-1.0,484180.0,408149.0,-1.0,-1.0,397025.0,-1.0,430115.0,-1.0,406000.0,300137.0,432080.0,484110.0,-1.0,248427.0,234666.0,60233.0,352509.0,-1.0,-1.0,81656.0,399758.0,-1.0,-1.0,-1.0,214286.0,414593.0,-1.0,393333.0,-1.0,-1.0,-1.0,341608.0,-1.0,390679.0,206602.0,440109.0,-1.0,236754.0,81656.0,-1.0,-1.0,320285.0,426893.0,514871.0
1979,-1.0,-1.0,-1.0,-1.0,493939.0,-1.0,236364.0,157428.0,357608.0,396906.0,360017.0,-1.0,567742.0,218750.0,183704.0,-1.0,-1.0,601580.0,335468.0,440369.0,270836.0,-1.0,238115.0,238062.0,361470.0,-1.0,-1.0,444358.0,422823.0,-1.0,-1.0,386688.0,-1.0,474103.0,-1.0,347928.0,311192.0,428453.0,570782.0,-1.0,203830.0,236146.0,47150.0,309420.0,286111.0,-1.0,95569.0,379090.0,-1.0,-1.0,-1.0,328569.0,414593.0,-1.0,360000.0,-1.0,-1.0,-1.0,383211.0,-1.0,444729.0,210706.0,478160.0,-1.0,210843.0,95569.0,-1.0,-1.0,327357.0,463914.0,558388.0
1980,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,331366.0,228216.0,346479.0,396040.0,331615.0,-1.0,547840.0,218750.0,193939.0,-1.0,-1.0,575936.0,265792.0,442917.0,236350.0,-1.0,150003.0,256974.0,337605.0,-1.0,-1.0,491586.0,406954.0,-1.0,-1.0,405118.0,-1.0,509992.0,-1.0,353547.0,220526.0,448981.0,505164.0,-1.0,219954.0,222842.0,59174.0,376923.0,287671.0,-1.0,142550.0,350303.0,-1.0,-1.0,-1.0,278100.0,414787.0,-1.0,597222.0,-1.0,-1.0,-1.0,377663.0,-1.0,408849.0,368497.0,517786.0,-1.0,283975.0,142550.0,-1.0,-1.0,256888.0,462683.0,500832.0
1981,-1.0,-1.0,-1.0,-1.0,671918.0,-1.0,350679.0,255204.0,352143.0,411494.0,414988.0,-1.0,454607.0,83333.0,176667.0,-1.0,-1.0,612117.0,221725.0,502666.0,208245.0,-1.0,256310.0,287699.0,318142.0,-1.0,-1.0,541621.0,422751.0,-1.0,-1.0,459289.0,-1.0,513109.0,-1.0,370269.0,337857.0,478570.0,625780.0,-1.0,168170.0,192711.0,61760.0,364601.0,276923.0,-1.0,146006.0,377937.0,-1.0,-1.0,-1.0,320421.0,415445.0,-1.0,500000.0,-1.0,-1.0,-1.0,387555.0,-1.0,397404.0,340213.0,575498.0,-1.0,214669.0,146006.0,-1.0,-1.0,311674.0,530300.0,584728.0
1982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,375455.0,297692.0,490441.0,470174.0,356794.0,-1.0,589383.0,90909.0,70476.0,-1.0,-1.0,607010.0,261614.0,456188.0,235877.0,-1.0,207095.0,289058.0,386356.0,-1.0,-1.0,593045.0,407127.0,-1.0,-1.0,443415.0,-1.0,600288.0,-1.0,403734.0,305980.0,457002.0,559384.0,-1.0,202414.0,247412.0,76862.0,350366.0,294643.0,-1.0,145439.0,467606.0,-1.0,-1.0,-1.0,346957.0,415595.0,-1.0,549730.0,-1.0,-1.0,-1.0,425612.0,-1.0,438733.0,363883.0,575490.0,-1.0,233364.0,145439.0,-1.0,-1.0,342823.0,417381.0,678254.0
1983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,231034.0,391115.0,376633.0,361363.0,377799.0,-1.0,462603.0,200000.0,83333.0,-1.0,-1.0,629938.0,230256.0,445712.0,216627.0,-1.0,211764.0,236495.0,285924.0,-1.0,-1.0,466468.0,401320.0,-1.0,-1.0,348857.0,-1.0,480637.0,-1.0,390431.0,336450.0,368199.0,550010.0,-1.0,234446.0,187862.0,79357.0,386305.0,325354.0,-1.0,169012.0,447802.0,-1.0,-1.0,-1.0,380952.0,415828.0,-1.0,554545.0,-1.0,-1.0,-1.0,347050.0,-1.0,461325.0,313466.0,537123.0,-1.0,290274.0,169012.0,-1.0,-1.0,355866.0,435500.0,525321.0
1984,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,390751.0,355238.0,453015.0,489566.0,337591.0,-1.0,537234.0,200000.0,250000.0,-1.0,-1.0,622807.0,223399.0,452609.0,254002.0,-1.0,220000.0,217561.0,358691.0,-1.0,-1.0,537899.0,467888.0,-1.0,-1.0,431721.0,-1.0,508365.0,-1.0,475593.0,339583.0,478626.0,567357.0,-1.0,246731.0,250673.0,82700.0,367742.0,365306.0,-1.0,165184.0,485387.0,-1.0,-1.0,-1.0,390244.0,599083.0,-1.0,551471.0,-1.0,-1.0,-1.0,400054.0,-1.0,458706.0,284692.0,547657.0,-1.0,262229.0,165184.0,-1.0,-1.0,317209.0,510424.0,536410.0
1985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,412934.0,284276.0,376341.0,483129.0,333333.0,-1.0,540828.0,33333.0,250000.0,-1.0,-1.0,606024.0,168027.0,458046.0,270933.0,-1.0,186667.0,272368.0,373683.0,-1.0,-1.0,485394.0,417776.0,-1.0,-1.0,443717.0,-1.0,563202.0,-1.0,405227.0,336036.0,418138.0,528222.0,-1.0,241053.0,223034.0,75020.0,366907.0,336237.0,-1.0,159261.0,386136.0,-1.0,-1.0,-1.0,274699.0,499920.0,-1.0,516129.0,-1.0,-1.0,-1.0,379065.0,-1.0,481510.0,242512.0,611776.0,-1.0,236987.0,159261.0,-1.0,-1.0,307576.0,411969.0,540703.0
1986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,431852.0,333333.0,396924.0,457909.0,403974.0,-1.0,535645.0,125000.0,250000.0,-1.0,-1.0,593396.0,202690.0,473470.0,281171.0,-1.0,186667.0,398235.0,364276.0,-1.0,-1.0,559693.0,405784.0,-1.0,-1.0,455851.0,-1.0,557499.0,-1.0,475507.0,336248.0,422259.0,550908.0,-1.0,233357.0,201459.0,83916.0,394339.0,390605.0,-1.0,159792.0,344324.0,-1.0,-1.0,-1.0,247436.0,500127.0,-1.0,500000.0,-1.0,-1.0,-1.0,361859.0,-1.0,514503.0,315441.0,575278.0,-1.0,275490.0,159792.0,-1.0,-1.0,306950.0,479237.0,555058.0
1987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,532456.0,256966.0,393596.0,392417.0,437611.0,-1.0,535245.0,150000.0,254902.0,-1.0,-1.0,677824.0,180796.0,502486.0,259734.0,-1.0,-1.0,329691.0,351383.0,-1.0,-1.0,541787.0,380366.0,-1.0,-1.0,449248.0,-1.0,543926.0,-1.0,451083.0,331717.0,330496.0,549616.0,-1.0,265585.0,200662.0,87040.0,442390.0,410315.0,-1.0,163717.0,437466.0,-1.0,-1.0,-1.0,249351.0,309886.0,-1.0,594502.0,-1.0,-1.0,-1.0,363171.0,-1.0,493575.0,287289.0,594053.0,-1.0,155400.0,163717.0,-1.0,-1.0,330418.0,507946.0,560887.0
1988,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,449991.0,213558.0,412759.0,498997.0,348058.0,-1.0,535788.0,150000.0,250000.0,-1.0,-1.0,555556.0,153942.0,427565.0,258798.0,-1.0,-1.0,386695.0,333044.0,-1.0,-1.0,546081.0,348600.0,-1.0,-1.0,402682.0,-1.0,514214.0,-1.0,488272.0,341272.0,475357.0,628820.0,-1.0,261231.0,196156.0,87455.0,466353.0,411225.0,-1.0,171951.0,400601.0,-1.0,-1.0,-1.0,171233.0,312792.0,-1.0,586995.0,-1.0,-1.0,-1.0,393313.0,-1.0,511567.0,397036.0,660312.0,-1.0,332649.0,171951.0,-1.0,-1.0,365124.0,490986.0,584818.0
1989,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,471028.0,190556.0,411827.0,495043.0,366372.0,-1.0,509494.0,166667.0,272727.0,-1.0,-1.0,701020.0,238618.0,435159.0,236610.0,-1.0,-1.0,302389.0,348523.0,-1.0,-1.0,620430.0,478215.0,-1.0,-1.0,449408.0,-1.0,556070.0,-1.0,456055.0,340077.0,524568.0,613010.0,350000.0,291242.0,264599.0,84310.0,420953.0,410437.0,-1.0,162419.0,452025.0,-1.0,-1.0,-1.0,396970.0,512894.0,-1.0,600000.0,-1.0,-1.0,-1.0,440054.0,-1.0,544507.0,365173.0,653903.0,-1.0,320324.0,162419.0,-1.0,-1.0,321693.0,559634.0,629868.0
1990,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,549873.0,197103.0,407320.0,549909.0,390747.0,-1.0,555025.0,50000.0,230769.0,-1.0,-1.0,605263.0,160011.0,447856.0,245088.0,-1.0,-1.0,312912.0,327762.0,-1.0,-1.0,689840.0,377716.0,-1.0,-1.0,496587.0,-1.0,501299.0,-1.0,464011.0,379831.0,555745.0,604346.0,400000.0,252573.0,201488.0,117667.0,436595.0,401274.0,-1.0,216687.0,458204.0,-1.0,-1.0,-1.0,281667.0,478943.0,-1.0,600000.0,-1.0,-1.0,-1.0,360985.0,-1.0,537293.0,496594.0,668343.0,-1.0,356013.0,216687.0,-1.0,-1.0,370441.0,429504.0,636702.0
1991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,477412.0,331448.0,451353.0,498947.0,436181.0,-1.0,572293.0,50000.0,250000.0,-1.0,-1.0,619264.0,226901.0,455898.0,288305.0,-1.0,-1.0,304095.0,328139.0,-1.0,-1.0,582976.0,446976.0,-1.0,-1.0,467863.0,-1.0,490298.0,-1.0,438651.0,315812.0,422835.0,627763.0,190000.0,208247.0,233298.0,134357.0,404053.0,533994.0,-1.0,207900.0,423123.0,-1.0,-1.0,-1.0,128889.0,477240.0,-1.0,512097.0,-1.0,-1.0,-1.0,371599.0,-1.0,554649.0,496590.0,645533.0,-1.0,328959.0,207900.0,-1.0,-1.0,386774.0,432806.0,587834.0
1992,276667.0,218750.0,299786.0,-1.0,-1.0,160000.0,527677.0,456234.0,515127.0,456232.0,342321.0,258147.0,507224.0,50000.0,250000.0,135211.0,-1.0,605339.0,174053.0,462850.0,293360.0,305705.0,-1.0,353206.0,318740.0,239056.0,213651.0,682802.0,-1.0,193814.0,150000.0,508760.0,306369.0,483863.0,-1.0,528612.0,294129.0,445343.0,639598.0,159677.0,-1.0,160978.0,68192.0,444052.0,460326.0,223636.0,228318.0,446326.0,99373.0,-1.0,186532.0,129086.0,524768.0,-1.0,562486.0,-1.0,-1.0,-1.0,271900.0,136482.0,691154.0,331064.0,687911.0,190644.0,323765.0,228318.0,177553.0,-1.0,381738.0,493813.0,607985.0
1993,250000.0,285182.0,365017.0,-1.0,-1.0,160000.0,449415.0,388222.0,490660.0,547229.0,351707.0,243922.0,483310.0,50000.0,250000.0,173529.0,-1.0,564729.0,91079.0,417465.0,319677.0,242703.0,-1.0,277976.0,-1.0,246907.0,188205.0,640840.0,-1.0,221968.0,103734.0,548293.0,379068.0,560678.0,-1.0,490628.0,391581.0,496032.0,693494.0,247399.0,-1.0,182765.0,69268.0,512283.0,473342.0,400000.0,201135.0,346894.0,157333.0,-1.0,246281.0,121435.0,509761.0,342642.0,562839.0,403757.0,-1.0,48333.0,229604.0,122130.0,650190.0,400000.0,721204.0,246484.0,302736.0,201135.0,191014.0,-1.0,370521.0,400613.0,668907.0
1994,212000.0,185862.0,368895.0,-1.0,-1.0,160000.0,443997.0,433960.0,447179.0,475311.0,427961.0,334796.0,552006.0,50000.0,250000.0,140360.0,-1.0,605402.0,138489.0,494812.0,259703.0,315052.0,-1.0,349588.0,-1.0,184001.0,116531.0,537066.0,-1.0,191806.0,74545.0,481603.0,451906.0,492239.0,-1.0,499824.0,291562.0,440425.0,610642.0,275523.0,-1.0,251665.0,67828.0,455838.0,464903.0,400000.0,179347.0,392655.0,140625.0,-1.0,190167.0,287770.0,477455.0,345338.0,562950.0,355682.0,-1.0,47215.0,317955.0,76993.0,669999.0,-1.0,664439.0,173496.0,323569.0,179347.0,126267.0,-1.0,314166.0,447676.0,599088.0
1995,317500.0,213091.0,367319.0,-1.0,-1.0,160000.0,472028.0,449229.0,430153.0,461797.0,415749.0,403301.0,544714.0,50000.0,253333.0,173708.0,-1.0,632903.0,167944.0,443014.0,272397.0,274017.0,-1.0,255921.0,-1.0,230728.0,79556.0,555504.0,-1.0,204695.0,138889.0,497495.0,432290.0,558810.0,-1.0,467711.0,346160.0,430909.0,597329.0,305763.0,-1.0,199282.0,62059.0,431288.0,437352.0,350000.0,201209.0,440741.0,109231.0,-1.0,277008.0,329287.0,411190.0,342586.0,580542.0,398651.0,-1.0,59021.0,335896.0,107225.0,702703.0,-1.0,667489.0,284938.0,318966.0,201209.0,175697.0,-1.0,357744.0,464389.0,612387.0
1996,260989.0,224578.0,433694.0,-1.0,-1.0,160000.0,511725.0,434405.0,523618.0,437714.0,442912.0,389249.0,472740.0,50000.0,248387.0,177763.0,-1.0,566792.0,102301.0,451963.0,247104.0,346131.0,-1.0,269977.0,-1.0,228348.0,132749.0,548350.0,-1.0,182610.0,72000.0,505609.0,485736.0,589900.0,-1.0,487119.0,394265.0,410473.0,679880.0,451667.0,-1.0,209600.0,59457.0,524252.0,393996.0,300000.0,254708.0,432012.0,18462.0,-1.0,257800.0,348659.0,483582.0,406814.0,582431.0,416287.0,360000.0,55798.0,395873.0,105139.0,621092.0,-1.0,678500.0,254968.0,258386.0,254708.0,152521.0,-1.0,344231.0,469543.0,625064.0
