,Bahamas,Costa Rica,Cyprus,Egypt,French Polynesia,China,South Korea,France,Slovakia,Armenia,Cambodia,Panama,Guyana,Japan,Vanuatu,New Zealand,Bulgaria,Lebanon,Saudi Arabia,Afghanistan,Norway,South Africa,Germany,Solomon Islands,Montenegro,Nicaragua,Burundi,Bahrain,Serbia,New Caledonia,Cameroon,Nepal,Georgia,Oman,Papua New Guinea,Switzerland,Laos,Comoros,Liberia,Lithuania,Morocco,Philippines,Mauritius,Zambia,Faeroe Islands,Iran,Czech Republic,Syria,Fiji,Jordan,Pakistan,Turkmenistan,Sao Tome and Principe,Cote d'Ivoire,Tunisia,Argentina,Grenada,Swaziland,Ghana,Thailand,Yemen,Canada,Botswana,Namibia,Macao,Latvia,Guatemala,Qatar,Poland,Azerbaijan,Nigeria,Moldova,Saint Lucia,United States Virgin Islands,Mongolia,Equatorial Guinea,Israel,Sri Lanka,Saint Kitts and Nevis,Democratic Republic of Congo,Bhutan,Russia,Tanzania,Haiti,Guinea,Palestine,Belize,Niger,Iraq,Saint Vincent and the Grenadines,Central African Republic,Estonia,Croatia,Chile,Gabon,Colombia,Belgium,Tonga,High income: nonOECD,United Arab Emirates,Kuwait,Aruba,Sweden,Congo,Guinea-Bissau,Venezuela,Paraguay,Ireland,Malawi,Barbados,Bosnia and Herzegovina,Maldives,Brunei,Cape Verde,Italy,Sudan,Belarus,Uzbekistan,Somalia,Finland,Suriname,Mozambique,Zimbabwe,Peru,Mauritania,Ukraine,Benin,Madagascar,Vietnam,Hungary,Uganda,Austria,Samoa,Indonesia,Bolivia,Albania,Dominican Republic,United Kingdom,Gambia,Senegal,Trinidad and Tobago,Macedonia,Togo,India,Libya,Ecuador,Bangladesh,Slovenia,Iceland,Honduras,Romania,Djibouti,Brazil,Angola,Algeria,Australia,Spain,Burkina Faso,Kenya,Luxembourg,Denmark,Chad,Jamaica,Singapore,United States,Hong Kong,Lesotho,Uruguay,Cuba,Eritrea,Malta,Sierra Leone,Portugal,Netherlands,Ethiopia,Greece,Turkey,Kazakhstan,Mali,Micronesia (country),Tajikistan,Puerto Rico,El Salvador,Mexico,Timor,Rwanda,North Korea,Guam,Kyrgyzstan,Myanmar,Malaysia
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,0.005883948407847223,0.0023219985915531823,0.003184124935037013,0.00020118131485910026,0.007355971906527241,1.673648954276426e-05,0.0007451239303215343,0.005691548711557423,,,8.869470024728445e-05,0.0013291668331979188,0.00036235391383442615,0.0003825923216371224,0.001149303165407412,0.00802800313801769,0.00013239160964284994,0.007055642701309178,0.013822418774780236,0.0002620154676004394,0.0019309659049147425,0.003136283982057141,,0.0008562248684064207,,0.0006179018165023996,0.003905935347089277,0.01774410588472184,,0.012181851866466531,0.0012954999102044171,0.001019895572023488,,0.01022883430212877,0.0005961006460583428,0.01009794081186421,0.00033791896945913763,0.0021804408200409493,0.0020503192569614674,,0.00014412438469775928,0.0001454524284665326,0.0004894310709383858,0.0021815131074490665,0.0035882089103394703,0.0032785945270341283,,0.0031955305866826107,0.0009998144514963957,0.019363339392151447,0.003704962009637651,,0.0032784047074317195,0.008884707805163384,0.00028443284567881305,0.0031815433939831558,0.001697458330825822,0.0031527599903435647,0.002111474841624742,0.0004243291210094908,0.0015335940465872099,0.008164814852004366,0.0009196599499674599,0.004183026655176229,0.028325972185054064,,0.0005457651583096429,0.041254554466466704,0.0019266511558072336,,0.0002251742015564796,,0.0018655669566556023,0.02538990643304497,0.00017173402726449878,0.0006554546211009014,0.019533664137959646,0.0016953049926069276,0.003758308423992421,0.0013134962732792622,0.00237237266694552,,0.0013614406303921096,0.0001395211763916711,0.00032884191485414325,,0.008453506369267706,0.0009247861191330984,0.0003892724780948221,0.001517697482869042,0.0012177223032620009,,,0.00040405035637454173,0.0071977477483492905,0.00017043110619126818,0.004802285760819422,0.001957038446763502,,0.040526613269033694,0.03882820989607973,0.008495059880047938,0.0042540164164858105,0.002589362184923331,0.0007248884662792683,0.003202601296685818,0.0025777502756432315,0.0034577010211955628,0.0021461661085353787,0.00424040862134325,,0.0006938588224694567,0.014941947439583944,0.0014692306742578845,0.001202116041239947,0.003391204920228528,,,0.0069311800215994855,0.0005408129284051443,0.002133997167124624,0.0002523640071936586,0.0031480313803410893,0.00017182766393411682,0.001339981105039973,,0.000857659664082205,0.0002638130457735565,2.596979097972063e-05,0.0017288411704982805,0.002350442979990498,0.005228062833469268,0.0008218561124164229,0.00019517917305811007,0.0005160811475222646,0.0011501234352098188,0.0022046761958134605,0.0033954057423863106,0.006999002068071082,0.0014341210235634002,0.00258479476820435,,0.0026075116077926967,0.0005645649317642656,0.005852814505719757,0.0004632446895675755,0.0004916558907850637,,0.0015966612667002982,0.0010620334732804808,0.00040456157260199783,0.008615730794316892,0.0003748450647847031,0.0006065635248941656,0.0006946473326753844,0.010832598865829615,0.0010132722250919186,0.0019201298304567013,0.00041889608178867483,0.014539671944305626,0.0020791495804822983,0.0007540443905559805,0.000514950649573092,0.012292184789347549,0.0044487237179425855,0.02173960364142084,0.000648443241364632,0.0018707675680433539,0.0002591548481746826,0.00021748796813554709,0.0007939200393454278,0.0014482836211593758,0.0018757111914805853,0.002853189449369292,0.0007772789562039253,0.0016904835186651588,0.0010302429616150337,,0.0011095017036164294,0.0025969879553187467,,0.004757638710796056,0.0003118294389468377,0.0003364698557366351,0.000686578182326345,0.0007199390861911758,9.502234125772546e-05,0.02787253438329441,,0.0001876236174037254,0.003129118411939887
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,0.004585504701241471,0.00590424643405936,0.002501057151761853,0.0001362627271537234,0.005699324578174196,1.4511521225541754e-05,0.0005840701688360242,0.00441138364370585,0.0003410854574779431,0.008134716914909766,0.00018644627953542768,0.001092576564965999,0.00024884351216494636,0.0003811002369287975,0.0006438629024100143,0.006877272985449314,0.00010799014577925332,0.008480132701865161,0.012688373628711313,0.00020923078147222705,0.002014509090422727,0.0015224543689103466,0.003271003348249747,0.0006551812639763643,,0.0004307954684431956,0.0025975068210973714,0.015285872227643882,0.0005727640965281834,0.009648630206699465,0.0009621971414143329,0.0010057539204742123,0.0030835771582479144,0.01023071345931975,0.00034794572758683963,0.008971094339419436,0.00023561185000454702,0.0014843900046909776,0.0016824379601007786,0.004134028435082458,0.00010104203003536948,0.00011264770822408557,0.0003611469281257713,0.0015048489715956852,0.002625406810379604,0.0033442297671909963,0.0017980811021002735,0.002426725450207564,0.0008212409500406602,0.015828238007902094,0.0026665908136170326,0.0036574309001754226,0.0022383028108668664,0.006535038101721984,0.00020389497862760865,0.0022064548562543227,0.0019378812702339886,0.0036221197089089476,0.0021439510580661355,0.00029971640016365915,0.0012570194946166801,0.0070834364735705,0.0008726599022706006,0.003466342573728718,0.024392651155445675,0.010617356751920735,0.0012629172628383885,0.03397174234972928,0.0012952334164465227,0.002204694089619996,0.00020480707472717025,0.006850880287270002,0.0016902292396956185,0.021926811807615625,0.00013462741626643046,0.00031780902409957965,0.015335449771682788,0.0011803348826203827,0.00348053477907588,0.0009441769311802424,0.001945880292440929,0.0034017017226393113,0.0009902325738461231,0.00011765282772468562,0.0017490362326602624,0.02014835223453982,0.007095516297763223,0.0007507036258791666,0.00020944769080231555,0.0016301374486768722,0.0009343414104454316,0.010655254479975021,0.0043535242870769925,0.000358057183472028,0.0058680524164619954,0.00013317711262226145,0.00391501452231228,0.0013868975250000593,0.004883130745235134,0.03214431201393278,0.03370233946308001,0.010172678063012973,0.003976494433160813,0.0023769196057372177,0.0005746146854435575,0.002256123824112789,0.0019043756768624032,0.0028394680578654077,0.005381696027199821,0.003596075099151285,0.0005414431881505627,0.0005201099597976288,0.012469700693514269,0.0011454991500154748,0.0011021466404307408,0.002162321728171908,0.005365347514160289,0.0035276230451041593,0.004383544527331236,0.0005552390777134816,0.001933040441272645,0.0003990487989955926,0.002617890301219649,0.00011228492976809995,0.0020304868729013963,0.005814037205724661,0.0006669878899469246,0.00017485900525213372,1.950447708707884e-05,0.0014662112351407294,0.0013858535967628965,0.004522092201742661,0.000859997507610015,0.00011232429855239353,0.00038041880045515603,0.0008791546171647415,0.001773978455617625,0.0028413528931804785,0.0056393575487127924,0.001564430006201566,0.001809104557353673,0.0020861105964403237,0.0018789997831869293,0.0003767237368336226,0.004552525534761547,0.0003369581552875252,0.00036409789480570313,0.003900787842086847,0.0016461827470120633,0.0024139293693188745,0.0002693330216653291,0.009092443770588694,0.0002323973162184622,0.00013183419565899438,0.00046274910577669717,0.009185747067162115,0.0009347657669411873,0.0017125314960191667,0.00030425586150799165,0.013043837001723202,0.0020023939877374347,0.0005461439361099019,0.0003801932710924045,0.010447261259268124,0.004076922927753672,0.017022037418308832,0.0002257626424401754,0.0013813594660930222,0.00014292715610822977,0.00016520273164925345,0.0007135755909323247,0.0017197486824891235,0.001910617321971573,0.003488452455907053,0.0010523157648632108,0.0017758609326136141,0.0009326039818908043,0.009689981147676186,0.0008528644957984056,0.0016798030278741792,0.0035190804618632494,0.003983575356234375,0.0003946891371585953,0.0003584478980296039,0.0005294498128971709,0.0004392937242144232,7.391585391579842e-05,0.02339913031226241,0.006210658678543847,0.00013914095623499516,0.002437494445108115
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,0.00440975188850429,0.002832966458291107,0.0028111486486939235,0.0001216073557432677,0.005705874232270276,1.580879245347407e-05,0.0005645749775000263,0.004451670084982144,0.0009220569619063893,0.009210927380862013,0.00047427681929613,0.0011612948042683702,0.00032506650705316063,0.0004731431369517792,0.00043757506179805403,0.007046438764767363,0.00024152998118943735,0.009417743414905278,0.010652589478623513,0.00018232846055753297,0.002365733991590303,0.0012223771308708235,0.004795416731302532,0.000641810523905212,,0.0002515230042775023,0.002059883834890708,0.01591594292967619,0.004991472685281258,0.010045545856509831,0.0007698104742850784,0.0012724837878648385,0.0022994437732906732,0.01157549391740821,0.0002886196273268368,0.009102128165993218,0.00021023146797111565,0.0012659880965867802,0.00416419238672039,0.003267161082017193,8.87090113727249e-05,0.000131164884284928,0.0007147943765603113,0.0012754923869094919,0.0017256350590657474,0.0021777010383832248,0.001913732350807875,0.0024825290625735963,0.0008286192411395523,0.016693496223572163,0.0014484156362754561,0.002700111944986212,0.0019628788228362665,0.006003402264670167,0.00018290450523905682,0.0019764091254559145,0.0025283417245658343,0.0015892902261899302,0.0026985374411808236,0.0004033774516291238,0.0010783216698670806,0.007489603201405531,0.0010788152591024018,0.0031141413366973718,0.024537288309364073,0.00924040617099352,0.0001914971156190518,0.03529114073633146,0.0010875533253099352,0.0029730438636043077,0.0002336808014450233,0.005605121916762091,0.0018690022551691927,0.02196104633723909,0.00014074210572736842,0.00034180695026096134,0.01507749776129509,0.0010224278064683491,0.0036817730013987133,0.0019815459708611995,0.0023675931627690394,0.0034368908166579303,0.0016524459370287794,0.00012368028347410019,0.004508035179733512,0.02113981014794473,0.008092856102378894,0.0007950672200058861,0.00028813125044416065,0.002212591552995159,0.0008716404099438866,0.009360836742513621,0.006726366414203532,0.0004168832889482275,0.006572429532218481,0.0001271203277562677,0.0039342177587975155,0.0009957643009568713,0.004817532095407696,0.03180487332745945,0.02899165850278683,0.01123346117940845,0.004469145645022868,0.0020911165511955207,0.0011711436796264226,0.002001331382406601,0.0016739112716237616,0.003182785787728621,0.001442996155120819,0.003764261474123387,0.0008233078720892153,0.0004920546056217132,0.012891016702187782,0.0010774742962252409,0.0013206476377662837,0.0016056215550358944,0.005061983088428368,0.002817376206986207,0.00012796573859842316,0.0008810966412949296,0.0021759816119209176,0.0006726785728502653,0.0016125585347348793,9.186422319031473e-05,0.0021944400593671078,0.005219436635756754,0.0010634964691792783,0.00014206859371915416,2.352491345845608e-05,0.0012367721634912571,0.0014114958930148687,0.005421386111407236,0.0011650357580259318,4.8465552163218296e-05,0.0004006640326536846,0.0009722886700618087,0.0017759122535574753,0.0031462432639884,0.00604393749758104,0.0014536989393811766,0.0015918885129812405,0.002553608473334122,0.0017204217698872381,0.00031833833160498293,0.0045146973426477095,0.00033638648552849755,0.000370188215205365,0.004381533075507725,0.0017535076896930974,0.00024037882661736225,0.00025921010581622824,0.006931322623672692,0.00019551524883904963,0.00012524859091341998,0.0004504125383821417,0.009288819722904207,0.0011514951335018645,0.0020020349171566377,0.0008399404649864597,0.013533485696164534,0.0024753924771237887,0.0004868774731648576,0.0003927573606508825,0.012254665405477412,0.004665854284346147,0.017204397495853646,0.00015190296805601652,0.001259308370405104,9.910525040484521e-05,0.0001648995938921583,0.000834192550729967,0.0011474889739697747,0.0022935864562562305,0.003907406193024564,0.0006047716061211553,0.0022492518839201435,0.0009020227692036118,0.009076251945272002,0.0007859288846674047,0.0013563297791984947,0.00229609130838118,0.0040040443301140975,0.00022007657890065708,0.0002112028312246861,0.0004909142847804284,0.002484810210419777,7.063445940516868e-05,0.021526379307355497,0.004601897406243461,0.0001107324501548263,0.0025068365319822396
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,0.004356479488849929,0.0034321222871827595,0.003678118784877315,0.00010724920188521868,0.0055384467047714745,1.7433265615040407e-05,0.0005235968781803932,0.004466134487868405,0.0009524583793169099,0.008088290130122288,0.0008406160287984246,0.001235868205493108,0.00046543336273549687,0.0005761085521553431,0.00031022389258271427,0.007694729889855463,0.0005356207624245641,0.009279415936877674,0.010403256420973466,0.00016695417133773564,0.0028811839000036327,0.0010067582529570877,0.005260131164611026,0.0006305791431924503,,0.00026327913530775296,0.0004923904821342747,0.015552430870368091,0.004938796914095599,0.010088972120047016,0.0006212659919202856,0.001309958894577515,0.0021436910052759443,0.012065536874793687,0.00020571265912836632,0.009424000053351944,0.000176250984974122,0.001091629527740145,0.0023909392153529533,0.002626511628972393,7.950622474436325e-05,0.00017939262390218602,0.0014176333498663114,0.0014632068501629954,0.00209039142328463,0.0018448405955140727,0.001916000655809787,0.00244824174298161,0.0008501889851781657,0.017412840580694894,0.0013296635304769914,0.002319716074027377,0.0017449410407184337,0.006128458767817967,0.00016428980697383292,0.0018008358964697504,0.0033866678184800497,0.0014977777900736695,0.003463272248259302,0.0005470534809277867,0.0010068642324668282,0.007822210801945574,0.0013956350081711039,0.0028482723118044857,0.02410761522784911,0.007872565187455455,0.00017836888451588798,0.03436795563758718,0.000932417001463978,0.0018709047663014497,0.0002648563586293394,0.005647538593270957,0.0020428684241024907,0.0226260927913502,0.00014830348517421788,0.00036864459136644085,0.0155442707137178,0.0008957879466578901,0.0038500756458371217,0.0005558654471568224,0.002468024615129457,0.0035147311796124435,0.001147280529535162,0.0001309180964100513,0.003495383254610061,0.02087147299671929,0.006392520044637334,0.0006386971518013803,0.0002700047927702703,0.0025619965353676165,0.0008261723208932148,0.007738680621451777,0.0060292487637658996,0.0005064746130045205,0.007405239358295255,0.00011754103850281917,0.003715251108796548,0.0007054751598256381,0.005015307084550959,0.03247569434429876,0.033693677206062485,0.014065411961335405,0.004847576753545815,0.0014612306912126429,0.0006334878134222218,0.0017970950553494575,0.00143342108665667,0.004382369830000267,0.001084223229908252,0.003935407523490769,0.0010966653259123628,0.0004676090690068535,0.013648733028393721,0.0010245922653053985,0.0016144150900283705,0.0010639458057792052,0.004865824662632593,0.0024025918613021988,0.00011658849545436665,0.0011185602808369088,0.0024790783929442665,0.0008693784363700043,0.0014260433241194102,7.673991859389597e-05,0.0010002211665690636,0.004869806128917136,0.0008337788770562775,0.00011484978746931645,3.130028968288073e-05,0.001260067334657389,0.0011461030767701836,0.0053894891305398505,0.0014163550398110785,5.987052476833009e-05,0.0004627000312520923,0.0010757530260316894,0.0017994326332020577,0.003523817863531553,0.006526911412274497,0.0010150911374169648,0.0014232127679534461,0.002706092140197503,0.0015653717661023114,0.0002636845562504482,0.00453608960387263,0.00034773185864045685,0.00032603073219281023,0.0038000335528031635,0.002448627636924829,0.0001975233688257088,0.00025915857836365086,0.006608115822623818,0.00016873928822579802,0.00013266544570329276,0.00034751313657546934,0.009110948611989956,0.001886288984242121,0.0021381438538786565,0.0010534967882543716,0.013983785936256104,0.003010658856350997,0.0005443687009100198,0.00041249822999688733,0.014541289436015547,0.005345922487414873,0.017351439094626546,0.00014394963240648798,0.0011552471103099715,6.944594606996763e-05,0.00015874332802491635,0.0010136566936888498,0.0010314391259541816,0.0026737006765151943,0.00431338407475295,0.00043197958747372795,0.0029038980205285552,0.000865417708531875,0.008358667534247334,0.0006432114147016716,0.001252285228308008,0.002313423888396725,0.004036901329456567,0.00023642380691459047,0.00021945539160015407,0.0004743032089182051,0.0021139215100808217,6.863909641350174e-05,0.0206923665117308,0.0032951604514181274,8.9095629679202e-05,0.002874452262863301
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0040346985523078294,0.0043761383168512795,0.00472411156479944,0.00013826854948522383,0.0053529694009094644,1.901315225353454e-05,0.00048085700471107285,0.004306325919799562,0.0009727117949663137,0.006861097451416438,0.0009580410760865006,0.0012935640519163324,0.0005646925131896296,0.0006569759789047507,0.00020819654581996693,0.008711742561309918,0.0005646979793016874,0.007596608742308622,0.010754006941271177,0.00014879286666863418,0.003366118449216013,0.001107539696941018,0.005396692245846207,0.000578781839072084,0.0037316890663413775,0.0002729023028531737,0.0004317241077013668,0.013473453443106064,0.003807476494588971,0.00987015890842008,0.000490868365325612,0.0013479384598841775,0.001841231454102096,0.011161208868794159,0.00017588362690904851,0.00937178732160421,0.0001482150596524421,0.0009273658544905703,0.0012431559453156835,0.0020897508673049653,7.05140012591623e-05,0.0001827143095792028,0.0013958165998682024,0.0010019280732062057,0.0026298665971491854,0.0012350386740001668,0.0018641279278918594,0.0030718231007415045,0.0008777004399075719,0.01820161080013171,0.0009732348614907537,0.0019789422111251053,0.0014772102357523006,0.005491876410844993,0.0001460603330615497,0.0016028336350535695,0.004423029940355857,0.001466473147973277,0.003277373076553499,0.0006261045555504182,0.0009323631869662877,0.008193227394066955,0.0018057061335551077,0.002727071676501487,0.02494141258347577,0.007121088964310164,0.00017022062100965828,0.0357700728157935,0.000908214193242033,0.0012736392163403929,0.0002924172367184605,0.0051410472705297324,0.0022035189729742817,0.02305279332307465,0.00015074752835078444,0.0003891774112531624,0.016126828181055288,0.0007832757428006194,0.0038620422265577244,0.00035946397508727104,0.002408032404110975,0.003534650864288261,0.0008575246805594229,0.00013624872071097018,0.0017426000563052063,0.021002445459559992,0.006023730012784674,0.0005697602541944963,0.0001991372033617847,0.0028622734973288645,0.00078306699913713,0.0062508727497256064,0.006252643167819364,0.000603964082938058,0.007454005815833645,0.00010667539776165977,0.0035351268246518576,0.0004842508076916498,0.005162496548736868,0.026826061000714847,0.034686807983917316,0.014031329236652566,0.005176027817586532,0.001544522239298267,0.0005517617317736358,0.0015866617213169387,0.001218956573574482,0.0062350118949729355,0.0009184727971581244,0.004020632116399549,0.00038497592764298084,0.0004339054673101299,0.014411949321813191,0.0009903205389984015,0.0022223282824192533,0.0006700893946481193,0.0048103926486006395,0.0020347504975367125,0.0001055024434378662,0.0013720277824450706,0.002900073592315,0.0008071905554505379,0.0012657218931866033,6.320804904857806e-05,0.000879467650818033,0.004805864027674733,0.0009627601231531744,9.115017304015154e-05,2.777870000762053e-05,0.0013865780003470252,0.0009770232248682473,0.005901640322223636,0.0016706825337659524,2.517310106283836e-05,0.0005244328046821846,0.0011528091870195894,0.0017866812692241927,0.00405883010789156,0.0067557597144998795,0.0008206329214479957,0.0012247273676256533,0.0024727343500680504,0.0013763733700879733,0.00021604069169254813,0.004470125904733604,0.0003779882693716833,0.00030318616619604433,0.003512706711861132,0.0031952137234526174,0.0001607011542065945,0.00026295925478090053,0.005952511498721562,0.00015291749084713654,0.00013141605570090583,0.0003060488811243372,0.008928024810556387,0.004432939372426909,0.002418026380339009,0.0009386193172582682,0.014100581966150619,0.0032610311216288816,0.0014951489337268475,0.0004317402885017351,0.014707678288780371,0.005580084315944754,0.01677260733377321,0.00013622329841844242,0.0010621802469878015,5.719184773165039e-05,0.00014640796535781857,0.0012119176873007724,0.0012595524034584426,0.003053667813956007,0.004465714446576832,0.00030370409627176125,0.0036911545252808617,0.0008254692967454013,0.008244271482133622,0.0005393863919213243,0.0011380869474299194,0.0018908914328096735,0.0038728092255100213,0.0002532272302985429,0.00023137858994854208,0.0005107453690614178,0.00203141157951182,6.483589929875887e-05,0.020281176876191125,0.0023431760320891965,7.833937521955917e-05,0.00330349079283605
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
