,USSR,Turkmenistan,Australia & New Zealand,Australia,Iraq,Pakistan,Nepal,Bulgaria,Libya,Italy,Lebanon,Yemen,Uzbekistan,Occupied Palestinian Territory,Burkina Faso,Morocco,Slovenia,Chile,Argentina,Spain,Syrian Arab Republic,Cyprus,Israel,Swaziland,Republic of Moldova,Jordan,Afghanistan,The former Yugoslav Republic of Macedonia,Georgia,Greece,Azerbaijan,France,Bosnia and Herzegovina,Hungary,Turkey,Kyrgyzstan,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,United States of America,Mexico,Ukraine,"China, mainland",Tajikistan,Algeria,United Arab Emirates,Côte d'Ivoire,Croatia,Portugal,China
1989,7083.0,,17241.0,17241.0,15745.0,40133.0,,7996.0,5512.0,8113.0,60526.0,5926.0,,,,5351.0,,5541.0,17872.0,5578.0,23608.0,4902.0,9333.0,,,22567.0,16296.0,,,15828.0,,21071.0,,16833.0,22772.0,,2288.0,15103.0,17422.0,,,22317.0,77222.0,,17021.0,,5268.0,43077.0,,,5231.0,17021.0
1990,7200.0,,16667.0,16667.0,15464.0,41200.0,,7862.0,5337.0,7886.0,65000.0,6818.0,,,5000.0,5393.0,,5600.0,17549.0,4284.0,7813.0,4634.0,12141.0,,,24138.0,15736.0,,,13691.0,,24706.0,,16713.0,22772.0,,3575.0,15068.0,16036.0,,,30049.0,69661.0,,17000.0,,4691.0,45686.0,,,4300.0,17000.0
1991,7308.0,,29032.0,29032.0,11765.0,42903.0,,7960.0,5172.0,10596.0,69212.0,6818.0,,,4951.0,6306.0,,5581.0,19015.0,4333.0,18000.0,3171.0,11343.0,,,36226.0,16364.0,,,14983.0,,27630.0,,16680.0,22891.0,,2703.0,14983.0,15793.0,,,22648.0,16081.0,,17143.0,,6505.0,41522.0,,,4945.0,17143.0
1992,,7143.0,24359.0,24359.0,11779.0,44421.0,,7964.0,5035.0,8599.0,47259.0,6818.0,23333.0,,4960.0,4701.0,10571.0,5924.0,19014.0,4859.0,16831.0,2963.0,11152.0,,21667.0,37353.0,18000.0,10527.0,9444.0,17355.0,2500.0,29126.0,3226.0,12401.0,23618.0,5000.0,2775.0,,15867.0,,,25401.0,30698.0,429.0,16972.0,7500.0,7169.0,67692.0,,14378.0,4585.0,16972.0
1993,,7563.0,21739.0,21739.0,11794.0,44066.0,,7969.0,5000.0,8816.0,55357.0,6818.0,17143.0,,4968.0,4017.0,26400.0,6353.0,19014.0,4710.0,20294.0,6914.0,12782.0,,21667.0,42704.0,16364.0,12646.0,8086.0,16653.0,2986.0,30599.0,4000.0,11833.0,24212.0,5479.0,2938.0,,15720.0,,,21767.0,28800.0,435.0,17268.0,7178.0,9538.0,68947.0,,15839.0,4491.0,17268.0
1994,,8125.0,23555.0,23555.0,11808.0,44056.0,,7975.0,5032.0,8779.0,60000.0,6989.0,15635.0,,5000.0,2456.0,9200.0,6316.0,19013.0,3996.0,18841.0,1833.0,10833.0,,21667.0,34186.0,16364.0,14256.0,2143.0,13919.0,1765.0,32038.0,4939.0,11274.0,24066.0,6207.0,3171.0,,17544.0,,,30246.0,11573.0,481.0,17448.0,7050.0,7312.0,76053.0,,15884.0,2340.0,17448.0
1995,,8333.0,26596.0,26596.0,11822.0,47477.0,,8780.0,5094.0,9540.0,73684.0,6874.0,15556.0,,4985.0,3570.0,6000.0,6312.0,19012.0,2636.0,22001.0,11475.0,12971.0,,21667.0,38538.0,16364.0,8930.0,12500.0,13873.0,1444.0,33436.0,4817.0,10721.0,19146.0,6967.0,2081.0,,8372.0,20000.0,,16316.0,12603.0,520.0,17273.0,6978.0,7992.0,76579.0,5404.0,16065.0,1728.0,17273.0
1996,,8000.0,27484.0,27484.0,11736.0,47213.0,,7990.0,5049.0,9049.0,87124.0,6874.0,14943.0,9629.0,4994.0,2540.0,7200.0,10612.0,19011.0,4009.0,20836.0,4032.0,12425.0,,21667.0,37038.0,16364.0,21250.0,10000.0,12557.0,1313.0,36342.0,4000.0,9838.0,22484.0,7762.0,2500.0,,13076.0,19030.0,,22258.0,17937.0,468.0,18127.0,6364.0,13323.0,74474.0,5420.0,18445.0,2018.0,18127.0
1997,,6667.0,31250.0,31250.0,11801.0,46226.0,,8000.0,5047.0,11462.0,54017.0,6882.0,14565.0,8034.0,5000.0,3844.0,,10943.0,19112.0,6181.0,17561.0,4387.0,19917.0,9722.0,21667.0,20085.0,16364.0,24340.0,8896.0,13034.0,1478.0,37386.0,4000.0,9494.0,17483.0,8597.0,3032.0,,9670.0,18975.0,,30295.0,17031.0,470.0,19167.0,5769.0,7069.0,110526.0,5436.0,14142.0,2975.0,19167.0
1998,,8667.0,36082.0,36082.0,12842.0,46053.0,10000.0,2381.0,5043.0,9840.0,47794.0,7222.0,12727.0,7364.0,5015.0,3847.0,,10517.0,19281.0,3498.0,40697.0,5000.0,12594.0,9420.0,21667.0,21649.0,16364.0,13218.0,9019.0,10111.0,3216.0,38193.0,4800.0,7833.0,19565.0,9474.0,3453.0,,12901.0,18914.0,,20838.0,24918.0,528.0,16000.0,7273.0,8169.0,50732.0,5428.0,18343.0,1837.0,16000.0
