,Austria,Slovakia,Poland,USSR,Norway,Denmark,Estonia,Belgium,Latvia,Czechoslovakia,Czechia,Republic of Moldova,Hungary,Germany,Russian Federation,Finland,Australia & New Zealand,Switzerland,United Kingdom,Lithuania,Kyrgyzstan,Netherlands,Ukraine,New Zealand
1988,250.0,,6000.0,12500.0,525.0,-1.0,,,,2365.0,,,2800.0,11865.0,,-1.0,10.0,5.0,700.0,,,,,10.0
1989,305.0,,6000.0,12500.0,525.0,-1.0,,,,2560.0,,,2800.0,12773.0,,-1.0,8.0,5.0,584.0,,,,,8.0
1990,350.0,,6207.0,8500.0,477.0,-1.0,,,,2365.0,,,2600.0,12365.0,,22.0,6.0,5.0,531.0,,,-1.0,,6.0
1991,350.0,,5929.0,8500.0,50.0,-1.0,,,,2405.0,,,2000.0,13045.0,,19.0,10.0,3.0,505.0,,,-1.0,,10.0
1992,350.0,,6007.0,,122.0,-1.0,1000.0,,-1.0,2400.0,,650.0,2600.0,10575.0,4000.0,21.0,10.0,4.0,453.0,-1.0,15.0,-1.0,-1.0,10.0
1993,350.0,32.0,6160.0,,45.0,-1.0,820.0,,-1.0,,1980.0,1000.0,2500.0,11225.0,4500.0,22.0,10.0,4.0,410.0,200.0,15.0,-1.0,-1.0,10.0
1994,350.0,31.0,5760.0,,47.0,-1.0,970.0,,-1.0,,2080.0,650.0,1600.0,11635.0,4600.0,28.0,20.0,3.0,412.0,200.0,20.0,,-1.0,20.0
1995,350.0,30.0,5750.0,,49.0,-1.0,900.0,,-1.0,,1970.0,650.0,1084.0,12306.0,4800.0,36.0,20.0,3.0,400.0,200.0,20.0,,2000.0,20.0
1996,350.0,30.0,5800.0,,47.0,-1.0,390.0,,-1.0,,2027.0,700.0,1465.0,11846.0,5400.0,35.0,25.0,4.0,300.0,200.0,15.0,,2000.0,25.0
1997,350.0,30.0,5500.0,,40.0,-1.0,312.0,,-1.0,,1940.0,80.0,2600.0,11400.0,5300.0,35.0,2.0,4.0,360.0,200.0,15.0,,2200.0,2.0
1998,350.0,18.0,6295.0,,35.0,-1.0,317.0,,-1.0,,1900.0,60.0,1500.0,12600.0,5400.0,36.0,2.0,5.0,240.0,200.0,15.0,,900.0,2.0
1999,350.0,15.0,5944.0,,50.0,-1.0,292.0,,100.0,,1850.0,40.0,1000.0,12500.0,7000.0,36.0,2.0,5.0,230.0,100.0,15.0,,900.0,2.0
2000,350.0,15.0,5879.0,,51.0,-1.0,291.0,180.0,100.0,,1300.0,70.0,1177.0,13192.0,10000.0,37.0,2.0,5.0,220.0,100.0,15.0,,1000.0,2.0
2001,350.0,20.0,5755.0,,58.0,-1.0,705.0,90.0,100.0,,1200.0,18.0,800.0,13414.0,12000.0,31.0,2.0,5.0,215.0,100.0,15.0,,1100.0,2.0
2002,350.0,20.0,3640.0,,58.0,-1.0,668.0,90.0,100.0,,1060.0,11.0,500.0,9725.0,16000.0,31.0,2.0,6.0,212.0,200.0,17.0,,1100.0,2.0
2003,350.0,21.0,3613.0,,58.0,17.0,582.0,90.0,67.0,,1170.0,8.0,457.0,11114.0,16000.0,33.0,2.0,6.0,215.0,130.0,20.0,,1000.0,2.0
2004,350.0,25.0,3636.0,,0.0,17.0,589.0,90.0,64.0,,1135.0,10.0,429.0,12652.0,16350.0,32.0,2.0,7.0,215.0,130.0,20.0,,1000.0,2.0
2005,350.0,26.0,3131.0,,0.0,17.0,362.0,90.0,90.0,,660.0,11.0,451.0,12300.0,16600.0,32.0,2.0,6.0,215.0,137.0,20.0,,1000.0,2.0
2006,350.0,27.0,2980.0,,0.0,17.0,264.0,90.0,69.0,,650.0,10.0,363.0,12300.0,16000.0,33.0,2.0,7.0,295.0,189.0,20.0,,1000.0,2.0
2007,350.0,20.0,3122.0,,0.0,20.0,230.0,90.0,38.0,,640.0,14.0,408.0,12400.0,16000.0,34.0,2.0,6.0,268.0,189.0,20.0,,1000.0,2.0
2008,350.0,20.0,2902.0,,0.0,24.0,231.0,90.0,18.0,,650.0,13.0,420.0,12300.0,12400.0,33.0,2.0,6.0,265.0,139.0,20.0,,1000.0,2.0
2009,326.0,150.0,2824.0,,0.0,29.0,231.0,90.0,7.0,,819.0,20.0,435.0,12479.0,12300.0,32.0,2.0,6.0,290.0,146.0,20.0,,1000.0,2.0
2010,365.0,70.0,3159.0,,15.0,33.0,183.0,89.0,8.0,,702.0,11.0,282.0,12462.0,12300.0,31.0,2.0,5.0,277.0,347.0,20.0,,1000.0,2.0
2011,458.0,27.0,3096.0,,19.0,35.0,183.0,87.0,3.0,,703.0,9.0,261.0,12491.0,12000.0,31.0,2.0,5.0,270.0,300.0,20.0,,1000.0,2.0
2012,350.0,19.0,3108.0,,27.0,44.0,166.0,81.0,3.0,,656.0,10.0,240.0,12500.0,11000.0,28.0,2.0,5.0,285.0,300.0,20.0,,1000.0,2.0
2013,364.0,18.0,2661.0,,27.0,40.0,158.0,90.0,6.0,,569.0,33.0,230.0,12717.0,11000.0,29.0,2.0,5.0,305.0,300.0,20.0,,1000.0,2.0
2014,353.0,1.0,2373.0,,27.0,37.0,154.0,90.0,31.0,,543.0,53.0,220.0,13600.0,11400.0,26.0,2.0,4.0,311.0,600.0,20.0,,900.0,2.0
