,Turkey,Canada,Australia & New Zealand,Australia,Morocco,Thailand,Mexico,Uruguay,Spain,Argentina,Czechia,Bangladesh,Portugal,Netherlands,Hungary
1991,100.0,95165.0,11021.0,11021.0,0.0,5000.0,2821.0,2100.0,425.0,39200.0,,,-1.0,-1.0,26000.0
1992,95.0,92000.0,4763.0,4763.0,0.0,5414.0,1291.0,2000.0,340.0,33100.0,,,-1.0,-1.0,30000.0
1993,305.0,123000.0,7382.0,7382.0,0.0,5428.0,1254.0,2150.0,267.0,28775.0,-1.0,,-1.0,-1.0,28000.0
1994,200.0,204300.0,7000.0,7000.0,0.0,5500.0,615.0,2200.0,265.0,21220.0,-1.0,,-1.0,-1.0,27000.0
1995,370.0,145600.0,6000.0,6000.0,0.0,5601.0,1523.0,2300.0,148.0,20305.0,-1.0,,-1.0,-1.0,30000.0
1996,230.0,234700.0,4442.0,4442.0,0.0,5709.0,1338.0,2500.0,85.0,18685.0,-1.0,,,-1.0,29437.0
1997,223.0,113300.0,7262.0,7262.0,0.0,5790.0,852.0,2400.0,80.0,23985.0,-1.0,,,-1.0,18415.0
1998,200.0,208400.0,7500.0,7500.0,0.0,5788.0,485.0,2470.0,76.0,24330.0,-1.0,-1.0,,-1.0,26851.0
1999,210.0,145700.0,8000.0,8000.0,0.0,6000.0,342.0,2600.0,49.0,26110.0,-1.0,,,-1.0,18348.0
2000,173.0,163900.0,8500.0,8500.0,0.0,5984.0,298.0,2800.0,50.0,23415.0,-1.0,,,-1.0,20081.0
2001,155.0,163400.0,7894.0,7894.0,0.0,9000.0,164.0,3000.0,46.0,19825.0,-1.0,,,-1.0,5668.0
2002,300.0,226600.0,8331.0,8331.0,0.0,35000.0,446.0,3100.0,42.0,15575.0,-1.0,,,-1.0,8949.0
2003,500.0,246800.0,8373.0,8373.0,0.0,75000.0,643.0,2900.0,38.0,18460.0,-1.0,,,-1.0,15573.0
2004,335.0,317600.0,8352.0,8352.0,0.0,84822.0,545.0,3600.0,34.0,16125.0,200.0,,,-1.0,11449.0
2005,75.0,182200.0,8382.0,8382.0,0.0,86975.0,393.0,3700.0,30.0,15395.0,146.0,,,-1.0,10055.0
2006,35.0,131100.0,5000.0,5000.0,0.0,87925.0,300.0,3750.0,26.0,13260.0,114.0,,,-1.0,7883.0
2007,58.0,174000.0,7000.0,7000.0,0.0,86732.0,187.0,3800.0,22.0,10215.0,123.0,,,-1.0,6083.0
2008,13.0,163900.0,8000.0,8000.0,49.0,86525.0,173.0,4000.0,18.0,11065.0,116.0,,,-1.0,6193.0
2009,41.0,143700.0,7463.0,7463.0,58.0,86144.0,179.0,4500.0,13.0,10480.0,111.0,,,-1.0,6570.0
2010,55.0,153800.0,7435.0,7435.0,73.0,85739.0,184.0,4119.0,12.0,16685.0,106.0,,,-1.0,4101.0
2011,20.0,109300.0,7500.0,7500.0,73.0,85432.0,169.0,3948.0,6.0,14270.0,103.0,,,-1.0,3161.0
2012,2.0,131600.0,8000.0,8000.0,73.0,85000.0,164.0,3650.0,47.0,13940.0,100.0,,,-1.0,5030.0
2013,213.0,85000.0,7800.0,7800.0,73.0,86000.0,166.0,3500.0,19.0,28270.0,100.0,,,-1.0,1790.0
2014,239.0,107200.0,7454.0,7454.0,72.0,85771.0,55.0,3600.0,23.0,24235.0,94.0,,,-1.0,2950.0
