,Slovakia,Eritrea,USSR,Australia & New Zealand,Australia,Iraq,Mexico,The former Yugoslav Republic of Macedonia,Ethiopia,Czechia,Republic of Moldova,Italy,Morocco,Germany,Croatia,Albania,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Serbia,Slovenia,Malta,Spain,Lebanon,Cyprus,Austria,Israel,Poland,Turkey,Belarus,Ethiopia PDR,Egypt,Greece,Czechoslovakia,Bosnia and Herzegovina,Hungary,Jordan,Russian Federation,Syrian Arab Republic,Tunisia,Yugoslav SFR,Kazakhstan,Latvia,Sweden,Algeria,Lithuania,Bulgaria,Ukraine
2003,300.0,4000.0,,51464.0,51464.0,1129.0,102053.0,7500.0,79000.0,176.0,1100.0,7000.0,7140.0,-1.0,2309.0,1600.0,1964.0,23000.0,-1.0,,-1.0,706.0,146100.0,5000.0,61.0,1181.0,-1.0,781.0,123300.0,109134.0,,1740.0,10000.0,,1916.0,52.0,180.0,473670.0,28700.0,199.0,,,400.0,-1.0,18.0,4200.0,1250.0,104100.0
2004,100.0,3866.0,,20073.0,20073.0,1096.0,95084.0,5200.0,78955.0,198.0,1200.0,7459.0,7100.0,-1.0,2314.0,1700.0,1908.0,28282.0,-1.0,,-1.0,701.0,129008.0,4000.0,49.0,1535.0,-1.0,1083.0,132500.0,121067.0,,1735.0,11203.0,,1457.0,277.0,1559.0,502050.0,25000.0,201.0,,,600.0,-1.0,15.0,2000.0,1056.0,83900.0
2005,123.0,4500.0,,6374.0,6374.0,1000.0,105627.0,3800.0,125028.0,198.0,800.0,8000.0,6090.0,-1.0,2366.0,1728.0,2062.0,28473.0,-1.0,,-1.0,696.0,44435.0,3600.0,66.0,2142.0,-1.0,3848.0,134300.0,90499.0,,1698.0,15549.0,,1205.0,100.0,1506.0,388620.0,25200.0,203.0,,,200.0,-1.0,65.0,4500.0,910.0,66500.0
2006,31.0,2068.0,,4000.0,4000.0,1025.0,107927.0,4000.0,145945.0,120.0,314.0,8500.0,7560.0,-1.0,2400.0,1800.0,1394.0,,,29036.0,-1.0,720.0,39622.0,3150.0,66.0,1917.0,-1.0,980.0,190385.0,54319.0,,1773.0,15549.0,,1300.0,80.0,1474.0,496827.0,31100.0,205.0,,,100.0,-1.0,111.0,1500.0,516.0,38100.0
2007,50.0,1735.0,,5000.0,5000.0,995.0,110522.0,3800.0,183784.0,100.0,119.0,8000.0,2310.0,-1.0,2300.0,1600.0,1391.0,,,22537.0,-1.0,650.0,31948.0,2800.0,71.0,2210.0,-1.0,2943.0,144418.0,39033.0,,1812.0,12295.0,,735.0,50.0,428.0,325283.0,24500.0,208.0,,,100.0,-1.0,80.0,3300.0,477.0,37000.0
2008,35.0,5.0,,10457.0,10457.0,967.0,88179.0,4237.0,185490.0,109.0,300.0,8225.0,5810.0,-1.0,2083.0,1745.0,873.0,,,28939.0,-1.0,700.0,23563.0,2000.0,88.0,2198.0,-1.0,2940.0,111067.0,47720.0,,1800.0,9700.0,,992.0,25.0,1086.0,377750.0,10024.0,210.0,,,100.0,-1.0,82.0,1600.0,395.0,35000.0
2009,230.0,2342.0,,3895.0,3895.0,850.0,124374.0,4800.0,204020.0,103.0,250.0,8500.0,7680.0,-1.0,2000.0,1780.0,800.0,,,31113.0,-1.0,675.0,40979.0,1300.0,90.0,3185.0,-1.0,5125.0,156401.0,60410.0,,2000.0,9700.0,,1109.0,25.0,775.0,89340.0,15990.0,212.0,,,90.0,-1.0,83.0,1500.0,357.0,49200.0
2010,114.0,2203.0,,14000.0,14000.0,920.0,115483.0,4617.0,200949.0,98.0,131.0,8560.0,5900.0,-1.0,2061.0,1800.0,316.0,,,33115.0,-1.0,672.0,55207.0,700.0,58.0,4214.0,-1.0,9235.0,121676.0,39070.0,,1950.0,10527.0,,1210.0,63.0,1839.0,59034.0,11655.0,190.0,,,50.0,-1.0,89.0,3100.0,300.0,33100.0
2011,147.0,2149.0,,16833.0,16833.0,907.0,118969.0,3800.0,305575.0,86.0,157.0,8636.0,6900.0,-1.0,1700.0,1950.0,719.0,,,29947.0,-1.0,720.0,51807.0,720.0,51.0,2903.0,-1.0,4009.0,107844.0,55852.0,,1976.0,11174.0,,1038.0,0.0,1992.0,143434.0,16182.0,227.0,,,25.0,-1.0,86.0,3200.0,375.0,32200.0
2012,231.0,2300.0,,17000.0,17000.0,900.0,116111.0,3539.0,325581.0,80.0,84.0,8628.0,5800.0,-1.0,0.0,2100.0,792.0,,,24101.0,-1.0,600.0,60067.0,800.0,52.0,2460.0,-1.0,5256.0,104342.0,66912.0,,2000.0,11854.0,,901.0,4.0,588.0,121684.0,13662.0,260.0,,,30.0,-1.0,82.0,3200.0,232.0,31700.0
2013,139.0,2400.0,,14680.0,14680.0,950.0,115598.0,3297.0,317322.0,80.0,267.0,8719.0,8400.0,-1.0,0.0,2100.0,726.0,,,28335.0,-1.0,580.0,82200.0,825.0,52.0,2861.0,-1.0,5437.0,114218.0,58200.0,,2000.0,12468.0,,1088.0,26.0,1753.0,93422.0,10345.0,260.0,,,60.0,-1.0,79.0,4800.0,924.0,16540.0
2014,69.0,1918.0,,14800.0,14800.0,859.0,116684.0,3055.0,251439.0,66.0,181.0,8810.0,15700.0,-1.0,0.0,2006.0,665.0,,,28379.0,-1.0,612.0,107000.0,841.0,52.0,4133.0,-1.0,11761.0,65962.0,86797.0,,2131.0,12085.0,,947.0,33.0,1308.0,127003.0,9879.0,238.0,,,39.0,-1.0,75.0,4300.0,74.0,25100.0
