,Ukraine,Germany,Netherlands,Austria,"China, Taiwan Province of",Belarus,Croatia,Poland,Sweden,USSR,Romania,Italy,Spain,Egypt,Bosnia and Herzegovina,United Kingdom,China,Denmark,Greece,Latvia,Yugoslav SFR,Portugal,Slovakia,Republic of Korea,Belgium,Chile,Hungary,Japan,New Zealand,Estonia,Bulgaria,Australia & New Zealand,Australia,France,Togo,Lithuania,Czechoslovakia,"China, mainland",Russian Federation,Angola,Czechia,Argentina,Belgium-Luxembourg
1981,-1.0,-1.0,2905.0,-1.0,3000.0,-1.0,-1.0,58668.0,-1.0,946000.0,73300.0,1397.0,1.0,21840.0,-1,-1.0,118000.0,-1.0,-1.0,-1.0,291.0,48.0,-1.0,-1.0,-1.0,2000.0,4214.0,100.0,0.0,-1.0,6236.0,0.0,-1.0,44000.0,-1,-1.0,28003.0,115000.0,-1.0,-1,-1.0,2250.0,6352.0
1982,-1.0,-1.0,3179.0,-1.0,3000.0,-1.0,-1.0,42092.0,-1.0,1012000.0,68400.0,1039.0,1.0,15840.0,-1,-1.0,123000.0,-1.0,-1.0,-1.0,201.0,55.0,-1.0,-1.0,-1.0,2000.0,4332.0,50.0,-1.0,-1.0,6120.0,0.0,-1.0,44000.0,-1,-1.0,27532.0,120000.0,-1.0,-1,-1.0,2250.0,7678.0
1983,-1.0,-1.0,3000.0,-1.0,3000.0,-1.0,-1.0,47527.0,-1.0,1063000.0,65800.0,480.0,1.0,16185.0,-1,-1.0,128000.0,-1.0,-1.0,-1.0,296.0,30.0,-1.0,-1.0,-1.0,2000.0,4175.0,50.0,-1.0,-1.0,5618.0,0.0,-1.0,40800.0,-1,-1.0,30089.0,125000.0,-1.0,-1,-1.0,2250.0,7313.0
1984,-1.0,-1.0,4112.0,-1.0,3000.0,-1.0,-1.0,44476.0,-1.0,1067000.0,67500.0,631.0,1.0,18400.0,-1,-1.0,131000.0,-1.0,-1.0,-1.0,288.0,-1.0,-1.0,-1.0,-1.0,2000.0,3762.0,0.0,-1.0,-1.0,6034.0,0.0,-1.0,45800.0,-1,-1.0,28906.0,128000.0,-1.0,-1,-1.0,2250.0,9662.0
1985,-1.0,-1.0,4368.0,-1.0,3000.0,-1.0,-1.0,43053.0,-1.0,1014000.0,76300.0,564.0,1.0,16380.0,-1,-1.0,135000.0,-1.0,-1.0,-1.0,303.0,-1.0,-1.0,-1.0,-1.0,2000.0,4182.0,-1.0,-1.0,-1.0,5853.0,0.0,-1.0,58900.0,-1,-1.0,28059.0,132000.0,-1.0,-1,-1.0,2250.0,10610.0
1986,-1.0,-1.0,3000.0,-1.0,3000.0,-1.0,-1.0,36486.0,-1.0,975000.0,71900.0,642.0,15.0,18060.0,-1,-1.0,139000.0,-1.0,-1.0,-1.0,474.0,-1.0,-1.0,-1.0,-1.0,2000.0,4177.0,-1.0,-1.0,-1.0,4525.0,0.0,-1.0,47000.0,-1,-1.0,24343.0,136000.0,-1.0,-1,-1.0,2200.0,7639.0
1987,-1.0,-1.0,4000.0,-1.0,3000.0,-1.0,-1.0,27713.0,-1.0,971000.0,67100.0,367.0,0.0,14700.0,-1,-1.0,141000.0,-1.0,-1.0,-1.0,674.0,-1.0,-1.0,-1.0,-1.0,2000.0,4502.0,-1.0,-1.0,-1.0,3864.0,0.0,-1.0,51300.0,-1,-1.0,22861.0,138000.0,-1.0,-1,-1.0,2200.0,9835.0
1988,-1.0,-1.0,4451.0,-1.0,3000.0,-1.0,-1.0,31258.0,-1.0,931000.0,69100.0,392.0,-1.0,17220.0,-1,-1.0,145000.0,-1.0,-1.0,-1.0,222.0,-1.0,-1.0,-1.0,-1.0,2000.0,2842.0,-1.0,-1.0,-1.0,3138.0,0.0,-1.0,55200.0,-1,-1.0,24401.0,142000.0,-1.0,-1,-1.0,2400.0,10649.0
1989,-1.0,-1.0,5176.0,-1.0,3000.0,-1.0,-1.0,34289.0,-1.0,871350.0,70100.0,517.0,-1.0,17071.0,-1,-1.0,99900.0,-1.0,-1.0,-1.0,122.0,-1.0,-1.0,-1.0,-1.0,2000.0,1876.0,-1.0,-1.0,-1.0,2165.0,0.0,-1.0,59000.0,-1,-1.0,25990.0,96900.0,-1.0,-1,-1.0,2400.0,11486.0
1990,-1.0,0.0,5535.0,0.0,2800.0,-1.0,-1.0,29630.0,-1.0,772600.0,21300.0,530.0,0.0,12910.0,-1,-1.0,89867.0,-1.0,-1.0,-1.0,35.0,0.0,-1.0,0.0,-1.0,2070.0,1380.0,0.0,-1.0,-1.0,2806.0,-1.0,-1.0,60927.0,-1,-1.0,25402.0,87067.0,-1.0,-1,-1.0,2500.0,11722.0
1991,-1.0,8000.0,4500.0,0.0,2700.0,-1.0,-1.0,9672.0,-1.0,632000.0,10800.0,800.0,0.0,18313.0,-1,-1.0,108233.0,-1.0,-1.0,-1.0,30.0,0.0,-1.0,0.0,-1.0,1484.0,3689.0,0.0,-1.0,-1.0,2007.0,-1.0,-1.0,42281.0,-1,-1.0,17206.0,105533.0,-1.0,-1,-1.0,2600.0,9675.0
1992,158407.0,77600.0,2593.0,0.0,2500.0,125000.0,15.0,5505.0,-1.0,-1.0,11400.0,1548.0,0.0,12383.0,-1,143.0,81500.0,-1.0,-1.0,7600.0,-1.0,0.0,-1.0,0.0,-1.0,1557.0,0.0,0.0,-1.0,783.0,251.0,-1.0,-1.0,41124.0,-1,21200.0,11433.0,79000.0,327240.0,-1,-1.0,2700.0,7142.0
1993,128000.0,30100.0,3800.0,-1.0,2300.0,96000.0,18.0,4003.0,-1.0,-1.0,3200.0,1121.0,185.0,13000.0,-1,2188.0,70700.0,-1.0,-1.0,600.0,-1.0,-1.0,1276.0,-1.0,-1.0,1630.0,0.0,-1.0,-1.0,400.0,1.0,-1.0,-1.0,49351.0,-1,4500.0,-1.0,68400.0,262890.0,-1,7571.0,2800.0,9218.0
1994,80000.0,28300.0,4700.0,-1.0,2000.0,83000.0,18.0,8120.0,-1.0,-1.0,2700.0,1120.0,3231.0,12884.0,-1,17700.0,94480.0,-1.0,-1.0,1500.0,-1.0,-1.0,1193.0,-1.0,-1.0,1703.0,0.0,-1.0,-1.0,300.0,2.0,-1.0,-1.0,49491.0,-1,9800.0,-1.0,92480.0,134770.0,-1,11047.0,2841.0,11107.0
1995,95800.0,53500.0,4300.0,1400.0,1850.0,98000.0,15.0,13742.0,-1.0,-1.0,2300.0,3520.0,8134.0,13171.0,-1,11000.0,114960.0,-1.0,-1.0,1400.0,-1.0,-1.0,1111.0,-1.0,-1.0,1776.0,0.0,-1.0,-1.0,200.0,346.0,-1.0,-1.0,54016.0,-1,13200.0,-1.0,113110.0,177000.0,-1,10626.0,2863.0,11011.0
1996,53000.0,81600.0,3900.0,5250.0,1600.0,79000.0,10.0,5859.0,-1.0,-1.0,2300.0,950.0,39848.0,13200.0,-1,17000.0,93920.0,-1.0,-1.0,1300.0,-1.0,-1.0,1035.0,-1.0,-1.0,1848.0,0.0,-1.0,-1.0,139.0,179.0,-1.0,-1.0,51764.0,-1,5600.0,-1.0,92320.0,153460.0,-1,6836.0,2919.0,11261.0
1997,32000.0,89200.0,4300.0,9100.0,1450.0,72200.0,5.0,3724.0,-1.0,-1.0,800.0,3000.0,42834.0,13500.0,-1,19000.0,62850.0,-1.0,-1.0,1600.0,-1.0,-1.0,931.0,-1.0,-1.0,1921.0,0.0,-1.0,-1.0,323.0,11.0,-1.0,-1.0,55816.0,-1,6100.0,-1.0,61400.0,113860.0,-1,2191.0,2851.0,11303.0
1998,26000.0,103700.0,3500.0,7600.0,1400.0,75100.0,2.0,2373.0,-1.0,-1.0,300.0,3000.0,86613.0,14000.0,-1,16700.0,40700.0,-1.0,-1.0,2200.0,-1.0,-1.0,322.0,-1.0,-1.0,2021.0,0.0,-1.0,-1.0,84.0,58.0,-1.0,-1.0,53473.0,-1,6200.0,-1.0,39300.0,107340.0,-1,4744.0,2797.0,10833.0
1999,21000.0,186800.0,3800.0,6100.0,1350.0,76400.0,0.0,3109.0,-1.0,-1.0,300.0,3000.0,126582.0,14500.0,-1,15000.0,55050.0,-1.0,0.0,2000.0,-1.0,-1.0,189.0,-1.0,-1.0,2077.0,0.0,-1.0,-1.0,115.0,93.0,-1.0,-1.0,59710.0,-1,8800.0,-1.0,53700.0,66700.0,-1,7315.0,2700.0,12003.0
2000,19800.0,-1.0,4400.0,4600.0,1300.0,82000.0,0.0,4100.0,-1.0,-1.0,400.0,3000.0,13547.0,15000.0,-1,18000.0,97520.0,-1.0,0.0,1600.0,-1.0,-1.0,117.0,-1.0,13561.0,2100.0,0.0,-1.0,-1.0,65.0,126.0,-1.0,-1.0,62925.0,-1,8600.0,-1.0,96220.0,92720.0,-1,8484.0,2724.0,-1.0
2001,23600.0,-1.0,4755.0,3100.0,1402.0,80000.0,0.0,5200.0,-1.0,-1.0,300.0,3000.0,584.0,7647.0,-1,17017.0,142702.0,-1.0,0.0,1400.0,-1.0,-1.0,475.0,-1.0,17401.0,2200.0,0.0,-1.0,-1.0,101.0,129.0,-1.0,-1.0,74993.0,-1,10200.0,-1.0,141300.0,116000.0,-1,6977.0,2725.0,-1.0
2002,24600.0,-1.0,4096.0,1600.0,1367.0,68000.0,0.0,5100.0,-1.0,-1.0,400.0,1699.0,84.0,8000.0,-1,18002.0,139867.0,-1.0,0.0,2100.0,-1.0,-1.0,535.0,-1.0,16015.0,2250.0,0.0,-1.0,-1.0,107.0,155.0,-1.0,-1.0,68416.0,-1,9300.0,-1.0,138500.0,80800.0,-1,5843.0,2733.0,-1.0
2003,26600.0,-1.0,4553.0,100.0,1411.0,72000.0,0.0,2927.0,-1.0,-1.0,400.0,1358.0,54.0,9600.0,-1,15176.0,156511.0,-1.0,0.0,1800.0,-1.0,-1.0,435.0,-1.0,20047.0,2300.0,0.0,-1.0,-1.0,109.0,117.0,-1.0,-1.0,86034.0,-1,8900.0,-1.0,155100.0,84180.0,-1,5684.0,2742.0,-1.0
2004,32200.0,-1.0,4485.0,100.0,1350.0,77081.0,0.0,3456.0,-1.0,-1.0,200.0,992.0,24.0,10700.0,-1,14360.0,154250.0,-1.0,0.0,2600.0,-1.0,-1.0,171.0,-1.0,20407.0,2400.0,0.0,-1.0,-1.0,130.0,125.0,-1.0,-1.0,80536.0,-1,5800.0,-1.0,152900.0,99930.0,-1,5365.0,2751.0,-1.0
2005,23600.0,-1.0,4600.0,100.0,1291.0,72132.0,0.0,5972.0,-1.0,-1.0,219.0,1300.0,23.0,11200.0,-1,13541.0,158991.0,-1.0,0.0,2100.0,-1.0,-1.0,287.0,-1.0,19031.0,2500.0,74.0,-1.0,-1.0,163.0,120.0,-1.0,-1.0,78644.0,-1,4300.0,-1.0,157700.0,89210.0,-1,4500.0,2764.0,-1.0
2006,10300.0,-1.0,3900.0,100.0,1220.0,65807.0,0.0,2586.0,-1.0,-1.0,804.0,1700.0,4.0,8900.0,-1,12000.0,87820.0,-1.0,0.0,900.0,-1.0,-1.0,67.0,-1.0,15500.0,2600.0,141.0,-1.0,-1.0,207.0,0.0,-1.0,-1.0,74500.0,-1,2600.0,-1.0,86600.0,59470.0,-1,2903.0,2800.0,-1.0
2007,11500.0,-1.0,3500.0,19.0,1161.0,65476.0,0.0,2041.0,-1.0,-1.0,24.0,1600.0,0.0,9633.0,-1,11912.0,67861.0,-1.0,0.0,400.0,-1.0,-1.0,40.0,-1.0,14297.0,2563.0,161.0,-1.0,-1.0,136.0,50.0,-1.0,-1.0,76200.0,-1,400.0,-1.0,66700.0,65780.0,-1,704.0,2900.0,-1.0
2008,5800.0,-1.0,2618.0,1.0,901.0,78155.0,0.0,2428.0,-1.0,-1.0,32.0,2000.0,2.0,9462.0,-1,11826.0,57601.0,-1.0,0.0,500.0,-1.0,-1.0,0.0,-1.0,11914.0,2607.0,158.0,-1.0,-1.0,100.0,83.0,-1.0,-1.0,67904.0,-1,300.0,-1.0,56700.0,67420.0,-1,162.0,2898.0,-1.0
2009,1800.0,-1.0,2159.0,3.0,900.0,64785.0,0.0,1897.0,-1.0,-1.0,35.0,1800.0,0.0,9781.0,-1,11376.0,18600.0,-1.0,0.0,50.0,-1.0,-1.0,118.0,-1.0,11277.0,2608.0,155.0,-1.0,-1.0,70.0,121.0,-1.0,-1.0,56448.0,-1,34.0,-1.0,17700.0,63600.0,-1,153.0,2948.0,-1.0
2010,1000.0,-1.0,1896.0,4.0,850.0,59191.0,0.0,546.0,-1.0,-1.0,156.0,110.0,7.0,9835.0,-1,10935.0,9550.0,-1.0,0.0,11.0,-1.0,-1.0,161.0,-1.0,11000.0,2580.0,153.0,-1.0,-1.0,51.0,88.0,-1.0,-1.0,55164.0,-1,13.0,-1.0,8700.0,43200.0,-1,13.0,2990.0,-1.0
2011,1300.0,-1.0,2156.0,1.0,639.0,61177.0,0.0,848.0,-1.0,-1.0,195.0,700.0,0.0,10100.0,-1,10315.0,6739.0,-1.0,0.0,141.0,-1.0,-1.0,158.0,-1.0,11286.0,2642.0,150.0,-1.0,-1.0,30.0,71.0,-1.0,-1.0,60869.0,-1,19.0,-1.0,6100.0,48200.0,-1,0.0,3045.0,-1.0
2012,2100.0,-1.0,2077.0,7.0,425.0,57189.0,0.0,640.0,-1.0,-1.0,26.0,93.0,14.0,10000.0,-1,9350.0,7325.0,-1.0,0.0,400.0,-1.0,-1.0,152.0,-1.0,10581.0,2610.0,147.0,-1.0,-1.0,0.0,52.0,-1.0,-1.0,67432.0,-1,8.0,-1.0,6900.0,50200.0,-1,0.0,3000.0,-1.0
2013,1450.0,-1.0,1881.0,2.0,500.0,53359.0,0.0,667.0,-1.0,-1.0,24.0,92.0,18.0,10000.0,-1,10000.0,5210.0,-1.0,0.0,200.0,-1.0,-1.0,146.0,-1.0,10000.0,2600.0,145.0,-1.0,-1.0,0.0,40.0,-1.0,-1.0,60776.0,-1,10.0,-1.0,4710.0,46042.0,-1,0.0,3000.0,-1.0
2014,1400.0,-1.0,1983.0,3.0,500.0,45230.0,0.0,249.0,-1.0,-1.0,0.0,102.0,15.0,9000.0,-1,10500.0,9322.0,-1.0,0.0,40.0,-1.0,-1.0,145.0,-1.0,11600.0,2600.0,142.0,-1.0,-1.0,0.0,32.0,-1.0,-1.0,57000.0,-1,7.0,-1.0,8822.0,41145.0,-1,0.0,2900.0,-1.0
