,Burkina Faso,Philippines,Angola,Madagascar,Togo,United Republic of Tanzania,Malaysia,Thailand,Belize,Indonesia,Kenya,Viet Nam,Nigeria,Senegal,Mali,Dominican Republic,Brazil,Benin,Peru,China,Ghana,Mozambique,Mexico,Guinea,"China, mainland",El Salvador,Sri Lanka,Honduras,Guinea-Bissau,Côte d'Ivoire,Myanmar,Gambia,India
1977,,12435.0,5000.0,2743.0,,5758.0,17956.0,10000.0,,1025.0,4118.0,7000.0,6250.0,,,,,1351.0,,,,6100.0,,,,8105.0,,,2143.0,556.0,,,4324.0
1978,2000.0,11477.0,4000.0,2957.0,,6225.0,18065.0,10000.0,,1066.0,4235.0,7000.0,6250.0,,,,,1300.0,,,,5545.0,,,,7884.0,,,2143.0,556.0,,,4284.0
1979,2000.0,10131.0,4000.0,2870.0,,5951.0,16856.0,10000.0,,1115.0,3517.0,7000.0,6250.0,,,,,1020.0,,,,5500.0,,,,7886.0,,,2143.0,611.0,,,4094.0
1980,2000.0,9738.0,4000.0,2957.0,,5917.0,17735.0,10000.0,,777.0,3488.0,7000.0,6250.0,,4000.0,,,1086.0,,,,5469.0,11408.0,,,7886.0,3177.0,,2188.0,632.0,,,4029.0
1981,2000.0,5559.0,4000.0,3103.0,,6598.0,18109.0,12000.0,,827.0,3500.0,6842.0,6250.0,,4000.0,,,1154.0,,,,5469.0,11408.0,,,7886.0,3236.0,,2273.0,846.0,,,3988.0
1982,1600.0,5569.0,4000.0,3167.0,,5918.0,17544.0,13077.0,,897.0,3511.0,5882.0,6250.0,,4000.0,,,1500.0,,,,5545.0,,,,7886.0,3236.0,,2273.0,867.0,,,4069.0
1983,2000.0,5108.0,4000.0,3167.0,,5702.0,18004.0,10000.0,,932.0,3500.0,6667.0,6250.0,,4000.0,,,1200.0,,,,5651.0,60952.0,,,7950.0,2070.0,,2273.0,1100.0,,,4090.0
1984,1667.0,5182.0,4000.0,3250.0,,4763.0,17981.0,14118.0,,988.0,4688.0,6780.0,6250.0,,4000.0,,,1300.0,,,,5639.0,,,,7839.0,2055.0,,2667.0,1100.0,,,4201.0
1985,2150.0,3454.0,4000.0,3279.0,,5647.0,17143.0,10000.0,,2346.0,3542.0,6667.0,6250.0,,4000.0,1820.0,,1200.0,,5417.0,,5721.0,28995.0,7000.0,5417.0,7721.0,3519.0,,2766.0,1591.0,,,4342.0
1986,2313.0,3777.0,4000.0,3600.0,,4800.0,18850.0,14286.0,,2252.0,3517.0,6957.0,6250.0,,4000.0,1840.0,,1200.0,,5143.0,,5769.0,24732.0,7000.0,5143.0,7886.0,3439.0,2500.0,3000.0,2000.0,,,4523.0
1987,2447.0,4743.0,4000.0,3538.0,7720.0,5283.0,18557.0,13043.0,,2504.0,3542.0,7692.0,6250.0,,4000.0,1840.0,,1200.0,,4875.0,5000.0,5738.0,32168.0,7000.0,4875.0,6768.0,3401.0,2667.0,3273.0,1667.0,,,4696.0
1988,3872.0,5392.0,4000.0,3759.0,8000.0,6420.0,18849.0,9971.0,,2027.0,3543.0,8247.0,6250.0,2703.0,,1840.0,,1200.0,,5000.0,5000.0,6000.0,28974.0,7000.0,5000.0,6636.0,3692.0,2727.0,3273.0,1500.0,,,4935.0
1989,3908.0,4221.0,4000.0,3885.0,8900.0,5503.0,18851.0,10000.0,,2333.0,3543.0,9091.0,6250.0,2727.0,,1860.0,,1200.0,53000.0,15000.0,5000.0,5909.0,23032.0,7000.0,15000.0,7229.0,3490.0,2730.0,3750.0,2250.0,,,5183.0
1990,2148.0,38085.0,2720.0,3841.0,9031.0,4874.0,18868.0,11302.0,,2393.0,3182.0,10000.0,6000.0,1667.0,,1921.0,1847.0,1500.0,52941.0,6667.0,4800.0,5631.0,27541.0,6723.0,6667.0,7493.0,3462.0,14286.0,3750.0,2167.0,,,5380.0
1991,3333.0,38350.0,3606.0,3973.0,8900.0,5427.0,18966.0,10000.0,,3578.0,3529.0,10323.0,6000.0,2857.0,,1628.0,2885.0,1429.0,47000.0,2667.0,5044.0,5766.0,30000.0,8482.0,2667.0,7143.0,3400.0,14131.0,3225.0,1875.0,,,5539.0
1992,3250.0,38528.0,3827.0,3924.0,8867.0,7509.0,18750.0,10147.0,,3913.0,3571.0,29625.0,6111.0,2308.0,,1628.0,1552.0,1500.0,47000.0,2934.0,5106.0,6378.0,,8453.0,2934.0,6857.0,3333.0,14129.0,3750.0,1711.0,,,5722.0
1993,3465.0,38293.0,3929.0,3571.0,9089.0,7145.0,18798.0,10287.0,,4152.0,3636.0,26975.0,6250.0,2941.0,,1627.0,1062.0,1545.0,46429.0,2429.0,5089.0,5319.0,,8000.0,2429.0,7018.0,3061.0,14127.0,3530.0,2414.0,,,6250.0
1994,3686.0,44340.0,3478.0,4000.0,8833.0,8491.0,18818.0,10000.0,,3854.0,3529.0,23636.0,6296.0,2143.0,,1627.0,2201.0,1538.0,43079.0,2500.0,5000.0,5111.0,4000.0,8458.0,2500.0,7000.0,2957.0,14127.0,3099.0,2343.0,,,6195.0
1995,3846.0,54163.0,3760.0,3896.0,8824.0,10567.0,18571.0,10520.0,,3947.0,3333.0,21857.0,6129.0,2485.0,2894.0,1627.0,2646.0,1500.0,47486.0,1884.0,5118.0,6077.0,885.0,8604.0,1884.0,6977.0,2604.0,14129.0,3223.0,2720.0,,,5574.0
1996,4129.0,21347.0,4000.0,4063.0,8821.0,12585.0,18850.0,10000.0,,2920.0,3259.0,22302.0,6286.0,2632.0,2887.0,1626.0,3053.0,1538.0,53059.0,2400.0,5000.0,8868.0,1476.0,8751.0,2400.0,7229.0,2595.0,14134.0,3674.0,3027.0,,,6580.0
1997,4364.0,59945.0,3929.0,4242.0,9412.0,10900.0,18868.0,10894.0,,1477.0,2833.0,21881.0,5144.0,2672.0,2880.0,1705.0,2154.0,1515.0,48117.0,2608.0,5769.0,7221.0,1505.0,8897.0,2608.0,7491.0,2270.0,14103.0,3859.0,3390.0,,,6525.0
1998,4577.0,58542.0,4000.0,4063.0,10000.0,11650.0,18882.0,10000.0,,1652.0,4707.0,14948.0,6250.0,2800.0,2872.0,1707.0,871.0,1668.0,37062.0,2202.0,5498.0,7954.0,3576.0,9009.0,2202.0,7491.0,3406.0,14110.0,4000.0,4134.0,,,5333.0
1999,4871.0,38618.0,4000.0,4242.0,11538.0,12466.0,18899.0,10000.0,23333.0,1618.0,3958.0,11468.0,17521.0,2727.0,2825.0,1727.0,2374.0,1667.0,50154.0,2919.0,5350.0,8389.0,5991.0,9177.0,2919.0,7229.0,2453.0,14131.0,3850.0,3584.0,,,6516.0
2000,5136.0,39677.0,3929.0,4063.0,10321.0,9007.0,18941.0,16105.0,22430.0,1246.0,3571.0,18546.0,17992.0,2800.0,3564.0,1722.0,2129.0,2162.0,52963.0,3684.0,5326.0,8390.0,7015.0,9000.0,3684.0,7229.0,1999.0,14156.0,3463.0,3602.0,,,7580.0
2001,5400.0,39727.0,4216.0,4101.0,9000.0,6437.0,18962.0,17160.0,18659.0,1610.0,3619.0,19533.0,18302.0,2667.0,4000.0,1715.0,1943.0,2204.0,61166.0,4861.0,5254.0,8286.0,7800.0,10000.0,4861.0,7222.0,2252.0,11333.0,3886.0,6571.0,6429.0,,6429.0
2002,5702.0,39918.0,4336.0,4091.0,9200.0,2930.0,18987.0,17307.0,17082.0,1904.0,3569.0,29746.0,18828.0,2813.0,3889.0,1708.0,2474.0,2255.0,58049.0,3841.0,5294.0,7720.0,30659.0,10000.0,3841.0,7551.0,2248.0,16679.0,4057.0,3600.0,6250.0,,6267.0
2003,6107.0,39982.0,4477.0,4148.0,10000.0,3513.0,19043.0,17113.0,15723.0,1865.0,3571.0,35700.0,18917.0,2923.0,3594.0,1724.0,2683.0,2343.0,62443.0,4832.0,5500.0,8509.0,12388.0,10000.0,4832.0,7641.0,2452.0,15769.0,4156.0,2908.0,6667.0,,6494.0
2004,6347.0,42051.0,4629.0,4178.0,13750.0,3217.0,19127.0,15930.0,15360.0,2314.0,3859.0,40078.0,19007.0,2980.0,3642.0,1679.0,2718.0,2457.0,67451.0,2933.0,5556.0,7165.0,21208.0,10000.0,2933.0,7790.0,2708.0,14865.0,4221.0,3516.0,6667.0,,6859.0
2005,6585.0,42096.0,4974.0,4207.0,14660.0,5576.0,19221.0,17813.0,19868.0,2330.0,4263.0,42950.0,19223.0,3043.0,3691.0,1663.0,2181.0,2763.0,66858.0,2438.0,5577.0,8695.0,30496.0,11273.0,2438.0,7943.0,2720.0,13943.0,4178.0,3558.0,7051.0,,6634.0
2006,6819.0,40953.0,5185.0,4136.0,15556.0,2825.0,19328.0,17000.0,15344.0,2618.0,4604.0,39465.0,19875.0,3092.0,3726.0,1646.0,3433.0,2619.0,67164.0,2613.0,5763.0,8376.0,23479.0,10833.0,2613.0,8110.0,3414.0,14615.0,4481.0,3615.0,7500.0,,6846.0
2007,7143.0,40820.0,5358.0,4182.0,14000.0,2356.0,18571.0,16625.0,15438.0,2562.0,4977.0,41268.0,20000.0,3086.0,3852.0,1737.0,1923.0,2414.0,67143.0,3069.0,5191.0,8266.0,22575.0,10484.0,3069.0,7297.0,3221.0,14527.0,4658.0,3660.0,7882.0,,7260.0
2008,7368.0,40825.0,5628.0,4312.0,14000.0,6764.0,19642.0,16187.0,15417.0,2730.0,5313.0,38430.0,20969.0,3117.0,4000.0,1739.0,3255.0,1911.0,57457.0,3030.0,4231.0,8333.0,27788.0,10000.0,3030.0,8662.0,3169.0,14544.0,5163.0,3882.0,7778.0,16500.0,7661.0
2009,6700.0,40832.0,5886.0,4367.0,14000.0,2021.0,19867.0,15562.0,15473.0,2573.0,5837.0,34232.0,22222.0,3374.0,3495.0,1500.0,2909.0,1950.0,57614.0,3642.0,4576.0,8312.0,32069.0,10469.0,3642.0,9033.0,3100.0,14551.0,5642.0,4001.0,7500.0,16522.0,7783.0
2010,6933.0,47905.0,6250.0,4419.0,14000.0,2978.0,20104.0,15875.0,24340.0,2021.0,5888.0,36594.0,23012.0,3659.0,3222.0,1394.0,1375.0,3000.0,52705.0,3499.0,4944.0,8778.0,28262.0,9861.0,3499.0,9419.0,3069.0,14563.0,5298.0,3919.0,7200.0,16000.0,6641.0
2011,9500.0,47294.0,6456.0,4471.0,14255.0,2978.0,20350.0,15941.0,12029.0,1997.0,6871.0,37347.0,23799.0,3939.0,3913.0,1281.0,3019.0,3500.0,50547.0,3271.0,4390.0,8057.0,35294.0,10718.0,3271.0,9819.0,2984.0,14574.0,5151.0,3791.0,8667.0,17188.0,7077.0
2012,8571.0,46808.0,7143.0,4667.0,14316.0,3896.0,22222.0,16375.0,24245.0,2034.0,9422.0,38971.0,22820.0,3912.0,4000.0,933.0,1065.0,3250.0,50769.0,3303.0,5333.0,8091.0,30088.0,11486.0,3303.0,10231.0,2864.0,14286.0,5224.0,3793.0,8667.0,16970.0,7406.0
2013,9583.0,51038.0,7071.0,4667.0,14411.0,3116.0,20821.0,16625.0,26670.0,2097.0,9757.0,9155.0,23155.0,3735.0,13595.0,933.0,1577.0,3250.0,49916.0,3311.0,5316.0,8737.0,30131.0,11544.0,3311.0,10650.0,2980.0,14598.0,5294.0,3796.0,8516.0,16843.0,7591.0
2014,9377.0,59735.0,7102.0,4597.0,14807.0,3000.0,20367.0,16748.0,27059.0,2476.0,10245.0,8498.0,23490.0,3770.0,19906.0,982.0,1718.0,3250.0,47865.0,3319.0,5882.0,7885.0,29436.0,11228.0,3319.0,13673.0,2968.0,14611.0,5363.0,3799.0,8592.0,16975.0,7448.0
