,Ukraine,Democratic People's Republic of Korea,Germany,Serbia,Belgium,Georgia,Serbia and Montenegro,Croatia,Poland,Switzerland,USSR,Romania,China,Spain,United Kingdom,Ethiopia,Yugoslav SFR,Ireland,Greece,Canada,Albania,Portugal,Slovakia,Republic of Korea,Austria,South Africa,Hungary,Japan,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Australia,France,Slovenia,Czechoslovakia,"China, mainland",Russian Federation,Czechia,Argentina,Belgium-Luxembourg
1988,-1.0,2000.0,34359.0,-1.0,-1.0,-1.0,-1.0,-1.0,2442.0,42.0,10000.0,300.0,6000.0,1625.0,4915.0,-1.0,4777.0,40.0,-1.0,-1.0,-1.0,154.0,-1.0,536.0,254.0,160.0,636.0,1896.0,412.0,706.0,2670.0,24810.0,2258.0,826.0,-1.0,15396.0,6000.0,-1.0,-1.0,283.0,606.0
1989,-1.0,2000.0,35025.0,-1.0,-1.0,-1.0,-1.0,-1.0,1839.0,46.0,10000.0,250.0,8500.0,2224.0,4709.0,-1.0,4183.0,40.0,-1.0,-1.0,-1.0,248.0,-1.0,534.0,262.0,165.0,555.0,1500.0,442.0,584.0,2874.0,26910.0,2432.0,881.0,-1.0,12334.0,8500.0,-1.0,-1.0,326.0,621.0
1990,-1.0,2000.0,30425.0,-1.0,-1.0,-1.0,-1.0,-1.0,2015.0,43.0,9400.0,2000.0,10500.0,2127.0,4582.0,-1.0,4079.0,39.0,-1.0,0.0,-1.0,171.0,-1.0,296.0,260.0,216.0,431.0,1656.0,470.0,473.0,2536.0,25790.0,2066.0,787.0,-1.0,10617.0,10500.0,-1.0,-1.0,300.0,621.0
1991,-1.0,2000.0,36461.0,-1.0,-1.0,-1.0,-1.0,-1.0,1722.0,48.0,8900.0,2200.0,11000.0,1921.0,5983.0,-1.0,4606.0,37.0,-1.0,0.0,-1.0,164.0,-1.0,250.0,261.0,203.0,534.0,1256.0,455.0,492.0,3117.0,31370.0,2662.0,734.0,-1.0,11125.0,11000.0,-1.0,-1.0,310.0,711.0
1992,3502.0,2000.0,27000.0,-1.0,-1.0,200.0,433.0,0.0,2286.0,43.0,-1.0,2300.0,12000.0,1284.0,4789.0,-1.0,-1.0,37.0,-1.0,0.0,-1.0,150.0,-1.0,200.0,264.0,211.0,260.0,1270.0,588.0,542.0,3460.0,33720.0,2872.0,937.0,3431.0,11300.0,12000.0,2920.0,-1.0,320.0,798.0
1993,3479.0,2200.0,42469.0,-1.0,-1.0,191.0,709.0,-1.0,2373.0,50.0,-1.0,2470.0,12000.0,2092.0,5519.0,15000.0,-1.0,37.0,-1.0,0.0,-1.0,39.0,1080.0,150.0,341.0,200.0,126.0,1100.0,600.0,550.0,3348.0,34540.0,2748.0,1077.0,3429.0,-1.0,12000.0,3870.0,9417.0,330.0,769.0
1994,1367.0,2200.0,28754.0,-1.0,-1.0,180.0,754.0,-1.0,2170.0,38.0,-1.0,1559.0,12000.0,2071.0,4400.0,15000.0,-1.0,38.0,-1.0,0.0,-1.0,97.0,1506.0,80.0,314.0,170.0,51.0,1000.0,650.0,1164.0,3126.0,33820.0,2476.0,1104.0,3372.0,-1.0,12000.0,1570.0,9489.0,332.0,686.0
1995,2649.0,2000.0,34129.0,-1.0,-1.0,160.0,811.0,-1.0,2962.0,48.0,-1.0,1823.0,12416.0,1727.0,4400.0,15000.0,-1.0,38.0,-1.0,0.0,-1.0,127.0,1007.0,63.0,320.0,280.0,38.0,955.0,700.0,450.0,3318.0,35770.0,2618.0,1109.0,3507.0,-1.0,12416.0,2130.0,9889.0,332.0,919.0
1996,1353.0,2075.0,39513.0,-1.0,-1.0,149.0,774.0,-1.0,2961.0,53.0,-1.0,1455.0,13000.0,1387.0,5600.0,16000.0,-1.0,39.0,-1.0,0.0,100.0,160.0,753.0,12.0,340.0,280.0,35.0,861.0,833.0,421.0,3333.0,34010.0,2500.0,1149.0,3348.0,-1.0,13000.0,1540.0,10125.0,333.0,807.0
1997,730.0,2114.0,34085.0,-1.0,-1.0,150.0,818.0,-1.0,2736.0,45.0,-1.0,552.0,13519.0,1170.0,5200.0,17000.0,-1.0,39.0,-1.0,0.0,88.0,102.0,742.0,12.0,300.0,280.0,0.0,763.0,833.0,456.0,2833.0,33960.0,2000.0,1150.0,4134.0,-1.0,13519.0,870.0,7415.0,334.0,742.0
1998,406.0,2200.0,30921.0,-1.0,-1.0,120.0,818.0,-1.0,2341.0,45.0,-1.0,206.0,14500.0,1438.0,3600.0,19000.0,-1.0,39.0,-1.0,0.0,132.0,56.0,261.0,20.0,400.0,270.0,0.0,619.0,641.0,400.0,2141.0,27010.0,1500.0,1274.0,3384.0,-1.0,14500.0,640.0,4896.0,335.0,765.0
1999,488.0,2144.0,27914.0,-1.0,-1.0,0.0,717.0,-1.0,2524.0,45.0,-1.0,184.0,15000.0,1585.0,3000.0,20000.0,-1.0,40.0,-1.0,0.0,130.0,79.0,234.0,20.0,300.0,280.0,0.0,721.0,641.0,421.0,2341.0,29240.0,1700.0,1328.0,2691.0,-1.0,15000.0,960.0,6434.0,300.0,486.0
2000,682.0,2158.0,29301.0,-1.0,500.0,0.0,358.0,-1.0,2476.0,50.0,-1.0,142.0,13500.0,1420.0,2700.0,23000.0,-1.0,40.0,-1.0,0.0,150.0,86.0,96.0,0.0,300.0,300.0,0.0,692.0,740.0,300.0,2735.0,30652.0,1995.0,1691.0,1986.0,-1.0,13500.0,930.0,4865.0,300.0,-1.0
2001,688.0,2300.0,31742.0,-1.0,500.0,0.0,878.0,-1.0,2382.0,52.0,-1.0,155.0,12500.0,1399.0,2500.0,24651.0,-1.0,40.0,-1.0,0.0,200.0,80.0,188.0,4.0,300.0,350.0,0.0,692.0,830.0,252.0,2830.0,30315.0,2000.0,1230.0,2158.0,-1.0,12500.0,600.0,6622.0,300.0,-1.0
2002,522.0,2181.0,32273.0,-1.0,500.0,0.0,626.0,-1.0,2405.0,46.0,-1.0,142.0,16619.0,1219.0,2550.0,24000.0,-1.0,41.0,-1.0,0.0,700.0,91.0,298.0,2.0,300.0,323.0,0.0,700.0,724.0,189.0,2434.0,26461.0,1710.0,1567.0,2199.0,-1.0,16619.0,590.0,6442.0,290.0,-1.0
2003,547.0,2185.0,25355.0,-1.0,451.0,0.0,380.0,-1.0,3057.0,24.0,-1.0,209.0,14927.0,1312.0,1950.0,24920.0,-1.0,41.0,-1.0,0.0,700.0,97.0,323.0,1.0,290.0,327.0,0.0,709.0,885.0,268.0,1971.0,24750.0,1086.0,1395.0,1422.0,-1.0,14927.0,520.0,5527.0,297.0,-1.0
2004,600.0,2109.0,33202.0,-1.0,395.0,0.0,340.0,-1.0,2898.0,49.0,-1.0,37.0,9658.0,1346.0,2110.0,26050.0,-1.0,41.0,-1.0,0.0,900.0,102.0,364.0,0.0,300.0,320.0,0.0,709.0,780.0,276.0,1708.0,25040.0,928.0,1191.0,2398.0,-1.0,9658.0,470.0,6311.0,293.0,-1.0
2005,640.0,2074.0,34456.0,-1.0,435.0,1.0,386.0,-1.0,3414.0,38.0,-1.0,194.0,9772.0,1303.0,2110.0,22780.0,-1.0,42.0,-1.0,0.0,800.0,107.0,426.0,0.0,313.0,335.0,1.0,708.0,790.0,216.0,1901.0,24002.0,1111.0,1374.0,2501.0,-1.0,9772.0,390.0,7831.0,293.0,-1.0
2006,670.0,2000.0,28500.0,82.0,388.0,0.0,-1.0,-1.0,2889.0,28.0,-1.0,435.0,9882.0,1135.0,1381.0,24053.0,-1.0,45.0,-1.0,0.0,1000.0,120.0,314.0,0.0,304.0,350.0,2.0,703.0,788.0,174.0,1699.0,26159.0,911.0,1209.0,1916.0,-1.0,9882.0,350.0,5453.0,295.0,-1.0
2007,700.0,1900.0,32100.0,82.0,384.0,0.0,-1.0,-1.0,3392.0,36.0,-1.0,374.0,10000.0,948.0,1500.0,32361.0,-1.0,40.0,-1.0,0.0,1028.0,129.0,294.0,2.0,368.0,360.0,3.0,715.0,800.0,647.0,1659.0,27330.0,859.0,1493.0,2157.0,-1.0,10000.0,280.0,5631.0,450.0,-1.0
2008,910.0,2000.0,39675.0,118.0,350.0,1.0,-1.0,-1.0,3491.0,35.0,-1.0,257.0,10000.0,819.0,1329.0,30281.0,-1.0,42.0,-1.0,0.0,1036.0,118.0,329.0,0.0,384.0,370.0,3.0,700.0,800.0,384.0,1660.0,36573.0,860.0,1469.0,2400.0,-1.0,10000.0,300.0,6753.0,450.0,-1.0
2009,1330.0,2100.0,31346.0,110.0,386.0,4.0,-1.0,-1.0,3924.0,40.0,-1.0,245.0,10000.0,1028.0,1254.0,30938.0,-1.0,43.0,-1.0,0.0,1500.0,101.0,249.0,0.0,347.0,379.0,3.0,780.0,800.0,129.0,1695.0,42945.0,895.0,820.0,2669.0,-1.0,10000.0,320.0,6616.0,450.0,-1.0
2010,770.0,2000.0,34249.0,95.0,400.0,4.0,-1.0,-1.0,2193.0,40.0,-1.0,232.0,9946.0,1048.0,1086.0,28086.0,-1.0,43.0,-1.0,0.0,1550.0,102.0,205.0,0.0,370.0,368.0,3.0,736.0,820.0,84.0,1732.0,29707.0,912.0,791.0,2073.0,-1.0,9946.0,200.0,7800.0,450.0,-1.0
2011,680.0,2000.0,38068.0,89.0,229.0,4.0,-1.0,-1.0,2580.0,41.0,-1.0,117.0,9052.0,956.0,930.0,28901.0,-1.0,43.0,-1.0,0.0,1600.0,101.0,249.0,0.0,451.0,400.0,3.0,690.0,835.0,44.0,1801.0,29384.0,966.0,648.0,2154.0,-1.0,9052.0,350.0,6088.0,450.0,-1.0
2012,400.0,2000.0,34434.0,10.0,361.0,4.0,-1.0,-1.0,2206.0,42.0,-1.0,173.0,8422.0,1037.0,774.0,21792.0,-1.0,44.0,-1.0,0.0,1650.0,100.0,224.0,0.0,445.0,442.0,3.0,694.0,827.0,127.0,1775.0,27780.0,948.0,746.0,1338.0,-1.0,8422.0,347.0,4338.0,450.0,-1.0
2013,500.0,2000.0,27533.0,21.0,343.0,4.0,-1.0,-1.0,2431.0,31.0,-1.0,172.0,8026.0,868.0,686.0,30588.0,-1.0,44.0,-1.0,0.0,1700.0,99.0,178.0,0.0,372.0,429.0,3.0,692.0,832.0,130.0,1536.0,31410.0,704.0,611.0,1227.0,-1.0,8026.0,330.0,5330.0,451.0,-1.0
2014,300.0,2010.0,38487.0,20.0,298.0,4.0,-1.0,-1.0,2713.0,34.0,-1.0,268.0,7656.0,958.0,608.0,32271.0,-1.0,44.0,-1.0,0.0,1700.0,99.0,182.0,0.0,492.0,434.0,3.0,690.0,838.0,106.0,1494.0,32203.0,657.0,626.0,1960.0,-1.0,7656.0,304.0,6202.0,464.0,-1.0
