,Kenya,"China, Taiwan Province of",Belarus,Croatia,Zambia,Syrian Arab Republic,Brazil,United Republic of Tanzania,Nepal,Uzbekistan,Denmark,The former Yugoslav Republic of Macedonia,Greece,Ireland,Zimbabwe,Republic of Korea,Norway,Yemen,Australia & New Zealand,Yugoslav SFR,Algeria,Slovenia,Madagascar,Latvia,Ukraine,Israel,Belgium,Switzerland,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Saint Vincent and the Grenadines,Portugal,Poland,"China, mainland",Russian Federation,Italy,Luxembourg,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Serbia,Germany,Armenia,United Kingdom,Canada,Japan,Afghanistan,Iraq,Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Pakistan,Czechoslovakia,Czechia,Argentina,Paraguay,Georgia,India,Austria,Morocco,Bhutan,Sweden,USSR,Mexico,Romania,Ecuador,Jordan,Tunisia,Albania,Slovakia,France,South Africa,Australia,Lithuania,Netherlands,Belgium-Luxembourg,Republic of Moldova,Turkey
1972,-1.0,3279.0,-1.0,-1.0,-1,1782.0,4611.0,-1.0,-1.0,-1.0,-1.0,-1.0,9600.0,-1,-1.0,7359.0,-1.0,-1.0,8584.0,-1.0,2000.0,-1.0,150.0,-1.0,-1.0,1000.0,-1.0,879.0,-1.0,-1.0,1680.0,-1.0,228279.0,-1.0,-1.0,-1.0,1383.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,5740.0,-1.0,225000.0,-1.0,70500.0,-1.0,930.0,659.0,4500.0,-1.0,-1.0,-1.0,-1.0,4200.0,4450.0,19570.0,430.0,-1.0,803.0,36100.0,604.0,7452.0,38160.0,7200.0,2200.0,-1.0,-1.0,-1.0,-1.0,-1.0,8700.0,-1.0,-1.0,-1.0,-1.0,196000.0,4443.0,-1.0,1275.0,6.0,1000.0,-1.0,-1.0,26829.0,6000.0,7980.0,-1.0,-1.0,1800.0,-1.0,34000.0
1973,-1.0,5108.0,-1.0,-1.0,-1,1585.0,4008.0,-1.0,-1.0,-1.0,-1.0,-1.0,9100.0,-1,-1.0,7786.0,-1.0,-1.0,8346.0,-1.0,2900.0,-1.0,140.0,-1.0,-1.0,850.0,-1.0,879.0,-1.0,-1.0,1680.0,-1.0,245108.0,-1.0,-1.0,-1.0,1273.0,-1.0,-1.0,2600.0,-1.0,-1.0,-1.0,-1.0,6240.0,-1.0,240000.0,-1.0,66300.0,-1.0,930.0,681.0,4500.0,-1.0,-1.0,-1.0,-1.0,4200.0,3550.0,19940.0,440.0,-1.0,843.0,36700.0,516.0,7058.0,37470.0,7200.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,230000.0,4517.0,-1.0,1016.0,4.0,2000.0,-1.0,-1.0,26576.0,6000.0,7830.0,-1.0,-1.0,1800.0,-1.0,35667.0
1974,-1.0,7018.0,-1.0,-1.0,-1,1786.0,5037.0,-1.0,-1.0,-1.0,-1.0,-1.0,9200.0,-1,-1.0,9396.0,-1.0,-1.0,7708.0,-1.0,3400.0,-1.0,150.0,-1.0,-1.0,700.0,-1.0,882.0,-1.0,-1.0,2100.0,-1.0,272018.0,-1.0,-1.0,-1.0,1347.0,-1.0,-1.0,2596.0,-1.0,-1.0,-1.0,-1.0,6951.0,-1.0,265000.0,-1.0,67000.0,-1.0,930.0,701.0,5000.0,-1.0,-1.0,-1.0,-1.0,4100.0,4300.0,20240.0,440.0,-1.0,843.0,38700.0,518.0,7059.0,36700.0,7200.0,2800.0,-1.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,200000.0,4266.0,-1.0,715.0,5.0,2000.0,-1.0,-1.0,27073.0,6000.0,7190.0,-1.0,-1.0,1800.0,-1.0,35333.0
1975,20.0,6934.0,-1.0,-1.0,-1,1916.0,5079.0,-1.0,-1.0,-1.0,-1.0,-1.0,8900.0,-1,40.0,9274.0,-1.0,-1.0,7716.0,-1.0,4900.0,-1.0,85.0,-1.0,-1.0,700.0,-1.0,887.0,-1.0,-1.0,2520.0,-1.0,281934.0,-1.0,-1.0,-1.0,1400.0,-1.0,-1.0,2630.0,-1.0,-1.0,-1.0,-1.0,7392.0,-1.0,275000.0,-1.0,65000.0,-1.0,960.0,721.0,5000.0,-1.0,-1.0,-1.0,-1.0,4000.0,4350.0,20250.0,450.0,-1.0,843.0,38700.0,496.0,6289.0,36340.0,7200.0,3100.0,-1.0,-1.0,-1.0,-1.0,-1.0,9300.0,-1.0,-1.0,-1.0,-1.0,245000.0,4631.0,-1.0,697.0,35.0,2000.0,-1.0,-1.0,26803.0,6000.0,7220.0,-1.0,-1.0,1800.0,-1.0,35833.0
1976,30.0,7481.0,-1.0,-1.0,-1,2227.0,5402.0,-1.0,-1.0,-1.0,-1.0,-1.0,8200.0,-1,40.0,10532.0,-1.0,-1.0,6416.0,-1.0,3600.0,-1.0,85.0,-1.0,-1.0,710.0,-1.0,888.0,-1.0,-1.0,2874.0,-1.0,287481.0,-1.0,-1.0,-1.0,1400.0,-1.0,-1.0,2680.0,-1.0,-1.0,-1.0,-1.0,7846.0,-1.0,280000.0,-1.0,59800.0,-1.0,960.0,753.0,5000.0,-1.0,-1.0,-1.0,-1.0,4300.0,3330.0,20210.0,450.0,-1.0,936.0,38800.0,486.0,5622.0,35850.0,7200.0,3174.0,-1.0,-1.0,-1.0,-1.0,-1.0,9700.0,-1.0,-1.0,-1.0,-1.0,150000.0,4864.0,-1.0,741.0,65.0,2600.0,-1.0,-1.0,26404.0,7000.0,5930.0,-1.0,-1.0,2500.0,-1.0,36667.0
1977,30.0,7117.0,-1.0,-1.0,-1,2562.0,5528.0,-1.0,-1.0,-1.0,-1.0,-1.0,7600.0,-1,50.0,10869.0,-1.0,-1.0,5813.0,-1.0,3400.0,-1.0,265.0,-1.0,-1.0,690.0,-1.0,887.0,-1.0,-1.0,3227.0,-1.0,302117.0,-1.0,-1.0,-1.0,1400.0,-1.0,-1.0,2730.0,-1.0,-1.0,-1.0,-1.0,8145.0,-1.0,295000.0,-1.0,55300.0,-1.0,960.0,819.0,6000.0,-1.0,-1.0,-1.0,-1.0,4100.0,4390.0,20194.0,450.0,-1.0,950.0,34000.0,443.0,5339.0,35250.0,7200.0,3296.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,150000.0,4772.0,-1.0,665.0,20.0,3700.0,-1.0,-1.0,25619.0,7000.0,5370.0,-1.0,-1.0,2500.0,-1.0,37167.0
1978,35.0,6881.0,-1.0,-1.0,-1,2667.0,4780.0,-1.0,-1.0,-1.0,-1.0,-1.0,7400.0,-1,90.0,9580.0,-1.0,-1.0,5636.0,-1.0,3300.0,-1.0,275.0,-1.0,-1.0,710.0,-1.0,885.0,-1.0,-1.0,3339.0,-1.0,306881.0,-1.0,-1.0,-1.0,1400.0,-1.0,-1.0,2877.0,-1.0,-1.0,-1.0,-1.0,8502.0,-1.0,300000.0,-1.0,53600.0,-1.0,570.0,846.0,6000.0,-1.0,-1.0,-1.0,-1.0,4000.0,4000.0,20337.0,440.0,-1.0,575.0,33400.0,446.0,5093.0,34400.0,7200.0,3303.0,-1.0,-1.0,-1.0,-1.0,-1.0,10300.0,-1.0,-1.0,-1.0,-1.0,155000.0,4246.0,-1.0,597.0,18.0,5000.0,-1.0,-1.0,25144.0,6000.0,5190.0,-1.0,-1.0,2500.0,-1.0,35833.0
1979,35.0,7621.0,-1.0,-1.0,-1,2819.0,4571.0,-1.0,-1.0,-1.0,-1.0,-1.0,7200.0,-1,45.0,9206.0,-1.0,56.0,5574.0,-1.0,3200.0,-1.0,275.0,-1.0,-1.0,730.0,-1.0,875.0,-1.0,-1.0,3675.0,-1.0,323921.0,-1.0,-1.0,-1.0,1350.0,-1.0,-1.0,2750.0,-1.0,-1.0,-1.0,-1.0,8810.0,-1.0,316300.0,-1.0,52300.0,-1.0,580.0,858.0,7000.0,-1.0,-1.0,-1.0,-1.0,5000.0,3820.0,20586.0,430.0,-1.0,595.0,33320.0,444.0,4897.0,33470.0,7200.0,2565.0,-1.0,-1.0,-1.0,-1.0,-1.0,10300.0,-1.0,-1.0,-1.0,-1.0,165000.0,4322.0,-1.0,618.0,40.0,3635.0,-1.0,-1.0,24010.0,7000.0,5130.0,-1.0,-1.0,2500.0,-1.0,36000.0
1980,35.0,7557.0,-1.0,-1.0,-1,3110.0,4411.0,-1.0,-1.0,-1.0,-1.0,-1.0,6800.0,-1,90.0,9164.0,-1.0,58.0,5573.0,-1.0,3600.0,-1.0,305.0,-1.0,-1.0,780.0,-1.0,884.0,-1.0,-1.0,4383.0,-1.0,306557.0,-1.0,-1.0,-1.0,1300.0,-1.0,-1.0,3300.0,-1.0,-1.0,-1.0,-1.0,9188.0,-1.0,299000.0,-1.0,50200.0,-1.0,580.0,925.0,7000.0,-1.0,-1.0,-1.0,-1.0,4200.0,4500.0,20751.0,430.0,-1.0,595.0,34600.0,453.0,4675.0,32780.0,7200.0,3074.0,-1.0,-1.0,16400.0,-1.0,-1.0,10600.0,-1.0,-1.0,-1.0,-1.0,167000.0,6072.0,-1.0,661.0,15.0,3200.0,-1.0,-1.0,23010.0,7000.0,5120.0,-1.0,-1.0,2500.0,-1.0,37333.0
1981,35.0,8708.0,-1.0,-1.0,-1,3108.0,4043.0,-1.0,-1.0,-1.0,-1.0,-1.0,6700.0,-1,90.0,9311.0,-1.0,53.0,5816.0,-1.0,4500.0,-1.0,216.0,-1.0,-1.0,780.0,-1.0,869.0,-1.0,-1.0,4754.0,-1.0,304708.0,-1.0,-1.0,-1.0,1350.0,-1.0,-1.0,4100.0,-1.0,-1.0,-1.0,-1.0,9369.0,-1.0,296000.0,-1.0,48800.0,-1.0,580.0,917.0,8000.0,-1.0,-1.0,-1.0,-1.0,4200.0,3096.0,20883.0,420.0,-1.0,602.0,34100.0,626.0,4275.0,30800.0,7200.0,3064.0,-1.0,-1.0,15442.0,-1.0,-1.0,11000.0,-1.0,-1.0,-1.0,-1.0,156000.0,5357.0,-1.0,666.0,11.0,5500.0,-1.0,-1.0,22693.0,7000.0,5190.0,-1.0,-1.0,2500.0,-1.0,37667.0
1982,35.0,8506.0,-1.0,-1.0,-1,3401.0,3788.0,-1.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1,90.0,9713.0,-1.0,55.0,6125.0,-1.0,4000.0,-1.0,216.0,-1.0,-1.0,780.0,-1.0,869.0,-1.0,-1.0,5000.0,-1.0,305506.0,-1.0,-1.0,-1.0,1350.0,-1.0,-1.0,4800.0,-1.0,-1.0,-1.0,-1.0,9400.0,-1.0,297000.0,-1.0,47600.0,-1.0,580.0,928.0,10000.0,-1.0,-1.0,-1.0,-1.0,4200.0,3000.0,21043.0,400.0,-1.0,602.0,34800.0,675.0,4008.0,30110.0,10688.0,3128.0,-1.0,-1.0,16200.0,-1.0,-1.0,11000.0,-1.0,-1.0,-1.0,-1.0,130000.0,5750.0,-1.0,656.0,12.0,4300.0,-1.0,-1.0,22010.0,7000.0,5450.0,-1.0,-1.0,2900.0,-1.0,38667.0
1983,35.0,8639.0,-1.0,-1.0,-1,3600.0,3668.0,-1.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1,90.0,9802.0,-1.0,55.0,5632.0,-1.0,4700.0,-1.0,235.0,-1.0,-1.0,680.0,-1.0,869.0,-1.0,-1.0,5400.0,-1.0,302939.0,-1.0,-1.0,-1.0,1400.0,-1.0,-1.0,5400.0,-1.0,-1.0,-1.0,-1.0,9480.0,-1.0,294300.0,-1.0,46429.0,-1.0,580.0,911.0,11000.0,-1.0,-1.0,-1.0,-1.0,4300.0,2800.0,21126.0,390.0,-1.0,615.0,34300.0,652.0,3696.0,28530.0,11628.0,2835.0,-1.0,-1.0,16500.0,-1.0,-1.0,11700.0,-1.0,-1.0,-1.0,-1.0,148000.0,6671.0,-1.0,660.0,95.0,5400.0,-1.0,-1.0,21010.0,8000.0,4980.0,-1.0,-1.0,2900.0,-1.0,38667.0
1984,35.0,8644.0,-1.0,-1.0,-1,4000.0,3192.0,-1.0,-1.0,-1.0,-1.0,-1.0,7200.0,-1,110.0,9041.0,-1.0,56.0,5730.0,-1.0,5800.0,-1.0,260.0,-1.0,-1.0,720.0,-1.0,879.0,-1.0,-1.0,6300.0,-1.0,309644.0,-1.0,-1.0,-1.0,1500.0,-1.0,-1.0,6050.0,-1.0,-1.0,-1.0,-1.0,9548.0,-1.0,301000.0,-1.0,45534.0,-1.0,570.0,917.0,11500.0,-1.0,-1.0,-1.0,-1.0,4300.0,2400.0,21116.0,370.0,-1.0,615.0,33600.0,660.0,3539.0,27960.0,12274.0,2900.0,-1.0,-1.0,17420.0,-1.0,-1.0,13000.0,-1.0,-1.0,-1.0,-1.0,133000.0,5633.0,-1.0,627.0,76.0,6200.0,-1.0,-1.0,20373.0,8000.0,5070.0,-1.0,-1.0,2800.0,-1.0,38000.0
1985,35.0,8619.0,-1.0,-1.0,-1,2200.0,2990.0,-1.0,-1.0,-1.0,420.0,-1.0,13500.0,-1,100.0,9022.0,1000.0,57.0,5561.0,25000.0,6600.0,-1.0,700.0,-1.0,-1.0,690.0,-1.0,900.0,1750.0,-1.0,6720.0,-1.0,346619.0,-1.0,-1.0,135.0,1600.0,-1.0,-1.0,6750.0,10900.0,-1.0,-1.0,55.0,9605.0,27300.0,338000.0,-1.0,44626.0,-1.0,590.0,877.0,12600.0,-1.0,-1.0,33000.0,-1.0,4250.0,2650.0,21215.0,360.0,1500.0,294.0,38500.0,611.0,3363.0,27760.0,13037.0,2900.0,8970.0,-1.0,17450.0,35.0,-1.0,14000.0,8780.0,2500.0,-1.0,1180.0,132000.0,6585.0,10000.0,560.0,175.0,8900.0,600.0,-1.0,21000.0,8000.0,4950.0,-1.0,5608.0,2800.0,-1.0,38483.0
1986,35.0,8950.0,-1.0,-1.0,-1,2400.0,2873.0,-1.0,-1.0,-1.0,420.0,-1.0,13200.0,-1,140.0,9017.0,705.0,59.0,5724.0,25000.0,5900.0,-1.0,600.0,-1.0,-1.0,700.0,-1.0,900.0,1750.0,-1.0,7560.0,-1.0,402950.0,-1.0,-1.0,135.0,1700.0,-1.0,-1.0,7555.0,10900.0,-1.0,-1.0,55.0,13239.0,20400.0,394000.0,-1.0,44214.0,-1.0,615.0,932.0,12600.0,-1.0,-1.0,30000.0,-1.0,4250.0,2250.0,21209.0,350.0,1500.0,294.0,36800.0,634.0,3040.0,27360.0,13424.0,2900.0,8950.0,-1.0,17650.0,35.0,-1.0,13700.0,9420.0,2500.0,-1.0,1180.0,124000.0,5677.0,9900.0,546.0,66.0,8500.0,900.0,-1.0,24500.0,8000.0,5090.0,-1.0,5500.0,2800.0,-1.0,38433.0
1987,35.0,9347.0,-1.0,-1.0,-1,2700.0,2618.0,-1.0,-1.0,-1.0,420.0,-1.0,13060.0,-1,160.0,8088.0,750.0,61.0,5645.0,24930.0,7500.0,-1.0,700.0,-1.0,-1.0,750.0,-1.0,900.0,2000.0,-1.0,7560.0,-1.0,541107.0,-1.0,-1.0,135.0,1800.0,-1.0,-1.0,9450.0,10900.0,-1.0,-1.0,55.0,14494.0,7800.0,531760.0,-1.0,43843.0,-1.0,640.0,941.0,12600.0,-1.0,-1.0,30000.0,-1.0,5000.0,2600.0,21237.0,300.0,1600.0,295.0,35800.0,675.0,2880.0,27800.0,13902.0,2900.0,8950.0,-1.0,17650.0,35.0,-1.0,21471.0,8820.0,2600.0,-1.0,1050.0,117000.0,5272.0,9900.0,588.0,246.0,7800.0,700.0,-1.0,20200.0,9100.0,4970.0,-1.0,5500.0,2700.0,-1.0,38657.0
