,USSR,Burkina Faso,Eritrea,Israel,Paraguay,Iraq,Sri Lanka,Pakistan,Yemen,United Republic of Tanzania,South Sudan,Indonesia,Ethiopia,Kenya,Costa Rica,Bangladesh,Italy,Lao People's Democratic Republic,Senegal,Lebanon,Uganda,Somalia,Thailand,Togo,Benin,Uzbekistan,China,Cambodia,Mozambique,Niger,Sudan (former),Morocco,El Salvador,Brazil,Honduras,Chad,Colombia,Central African Republic,Panama,India,Syrian Arab Republic,"China, Taiwan Province of",Ecuador,Japan,Jordan,Afghanistan,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Saudi Arabia,Sudan,Greece,Tajikistan,Viet Nam,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Nicaragua,Mali,Congo,Turkey,Dominican Republic,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Peru,Gambia,United States of America,Mexico,Guinea,"China, mainland",Sierra Leone,Cyprus,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Cameroon,Myanmar,Guatemala
1971,40.0,4008.0,,450.0,-1.0,14000.0,8000.0,13474.0,7455.0,10526.0,,,,3500.0,80.0,28977.0,1230.0,,-1.0,105.0,31000.0,13300.0,21300.0,1200.0,2164.0,,281511.0,7700.0,3200.0,70.0,296000.0,50.0,1400.0,3500.0,810.0,11100.0,31400.0,12000.0,109.0,449500.0,4258.0,1511.0,1890.0,450.0,210.0,16800.0,2000.0,93100.0,20567.0,,1597.0,,5388.0,,3000.0,1000.0,13393.0,5200.0,32000.0,4655.0,,100.0,43000.0,261.0,168.0,,400.0,-1.0,4500.0,106.0,-1.0,,180294.0,400.0,280000.0,800.0,234.0,93937.0,2000.0,6787.0,132108.0,6745.0
1972,60.0,5646.0,,400.0,-1.0,7078.0,6706.0,10262.0,7955.0,8015.0,,,,3900.0,80.0,25869.0,1180.0,,-1.0,124.0,28500.0,17200.0,21300.0,1200.0,1089.0,,260300.0,6600.0,3000.0,30.0,340000.0,50.0,2086.0,2500.0,832.0,11150.0,28300.0,12000.0,125.0,385400.0,9541.0,1300.0,2090.0,330.0,307.0,20400.0,2000.0,80000.0,24000.0,,408.0,,4228.0,,3000.0,1500.0,14337.0,4700.0,33000.0,2212.0,,100.0,33000.0,254.0,200.0,,400.0,-1.0,3000.0,147.0,-1.0,,160572.0,400.0,259000.0,800.0,203.0,59245.0,2000.0,5700.0,113439.0,10635.0
1973,50.0,5298.0,,500.0,-1.0,5693.0,6913.0,12396.0,7556.0,11515.0,,,,4200.0,80.0,25447.0,845.0,,-1.0,105.0,30700.0,23200.0,23400.0,1300.0,601.0,,258659.0,6500.0,3000.0,80.0,244000.0,50.0,3100.0,2500.0,946.0,15000.0,18100.0,11000.0,121.0,484600.0,5108.0,1659.0,893.0,240.0,107.0,22800.0,2000.0,93000.0,21000.0,,85.0,,3655.0,,3000.0,2000.0,16882.0,4600.0,35000.0,3481.0,,100.0,26000.0,248.0,197.0,,200.0,-1.0,4500.0,111.0,-1.0,,178169.0,400.0,257000.0,800.0,10.0,78438.0,2000.0,5055.0,70702.0,12811.0
1974,20.0,8000.0,,150.0,-1.0,6391.0,8319.0,8128.0,7256.0,9747.0,,,,4700.0,80.0,28439.0,540.0,,-1.0,157.0,30000.0,26500.0,31100.0,1500.0,590.0,,227640.0,6000.0,4000.0,100.0,224000.0,50.0,3835.0,2500.0,876.0,12000.0,17200.0,12851.0,82.0,392200.0,13186.0,1640.0,1673.0,300.0,133.0,24000.0,2000.0,105000.0,13910.0,,909.0,,2321.0,,3200.0,3000.0,16877.0,5100.0,36000.0,3864.0,,158.0,29000.0,250.0,269.0,,200.0,-1.0,4000.0,118.0,-1.0,,159865.0,400.0,226000.0,900.0,150.0,71824.0,2000.0,5698.0,154795.0,10060.0
1975,10.0,7000.0,,150.0,-1.0,7600.0,8474.0,10691.0,8658.0,10000.0,,,,5300.0,80.0,28876.0,460.0,,-1.0,120.0,39100.0,37300.0,20900.0,1500.0,550.0,,209018.0,5500.0,3000.0,200.0,233000.0,70.0,2887.0,2500.0,898.0,10000.0,20700.0,12407.0,84.0,479200.0,13494.0,1018.0,2832.0,300.0,49.0,24000.0,2000.0,70000.0,17000.0,,460.0,,2688.0,,3700.0,3500.0,25136.0,5000.0,36000.0,3947.0,,173.0,33000.0,260.0,163.0,,180.0,-1.0,4000.0,138.0,-1.0,,110725.0,400.0,208000.0,900.0,203.0,65036.0,2000.0,8333.0,95144.0,12705.0
1976,60.0,7000.0,,100.0,-1.0,7030.0,11469.0,11951.0,9259.0,5809.0,,,,6000.0,80.0,27743.0,330.0,,-1.0,120.0,39720.0,38800.0,20600.0,1500.0,580.0,,230028.0,5000.0,3000.0,200.0,237000.0,70.0,2851.0,2500.0,919.0,8000.0,20300.0,13000.0,87.0,421800.0,19028.0,1028.0,3454.0,300.0,110.0,24000.0,2000.0,60000.0,13009.0,,1614.0,,2072.0,,4820.0,4000.0,35543.0,4200.0,37000.0,5520.0,,190.0,25000.0,270.0,29.0,,113.0,-1.0,4000.0,138.0,-1.0,,84777.0,400.0,229000.0,1000.0,102.0,62800.0,3000.0,14141.0,134345.0,15525.0
1977,50.0,6000.0,,100.0,-1.0,4633.0,11533.0,12612.0,10900.0,11379.0,,,,6500.0,80.0,29958.0,280.0,,-1.0,100.0,38100.0,40600.0,23400.0,1550.0,600.0,,241642.0,4500.0,3000.0,200.0,263000.0,80.0,3685.0,2500.0,941.0,9000.0,13300.0,10800.0,89.0,520200.0,18283.0,642.0,708.0,300.0,129.0,21600.0,2500.0,45000.0,17693.0,,1862.0,,1655.0,,5640.0,4200.0,29950.0,3200.0,38000.0,5240.0,,200.0,23500.0,270.0,39.0,,107.0,-1.0,4000.0,93.0,-1.0,,121318.0,400.0,241000.0,1000.0,81.0,82070.0,5000.0,15624.0,92523.0,13349.0
1978,55.0,9500.0,,100.0,-1.0,8634.0,5400.0,18734.0,9300.0,15069.0,,,,7000.0,80.0,52000.0,250.0,,-1.0,100.0,39600.0,40000.0,29900.0,1600.0,600.0,,323173.0,3000.0,3000.0,165.0,216000.0,80.0,4094.0,3000.0,3000.0,9900.0,13700.0,7599.0,90.0,514100.0,19018.0,1173.0,454.0,300.0,44.0,21000.0,2000.0,40000.0,9213.0,,1329.0,,1040.0,,7580.0,4500.0,32002.0,2300.0,38000.0,5485.0,,210.0,23600.0,280.0,52.0,,128.0,-1.0,4000.0,83.0,-1.0,,133921.0,400.0,322000.0,1000.0,71.0,65254.0,4500.0,5532.0,111102.0,14357.0
1979,100.0,6604.0,,100.0,-1.0,6900.0,10200.0,19342.0,9300.0,17814.0,,,,7800.0,80.0,50000.0,260.0,,-1.0,100.0,16000.0,40600.0,21700.0,1600.0,600.0,,418015.0,2500.0,3000.0,195.0,222000.0,100.0,7135.0,3000.0,3000.0,11300.0,15600.0,10465.0,90.0,347700.0,14223.0,1015.0,553.0,300.0,7.0,25200.0,2000.0,38000.0,16000.0,,1665.0,,1389.0,,4780.0,4125.0,21267.0,4500.0,39000.0,5189.0,51.0,220.0,26000.0,280.0,37.0,,184.0,-1.0,4000.0,83.0,-1.0,,173890.0,400.0,417000.0,1100.0,51.0,42296.0,2800.0,5450.0,209557.0,13220.0
1980,100.0,8721.0,,250.0,-1.0,4400.0,12947.0,18267.0,8800.0,15000.0,,,,8000.0,80.0,48000.0,260.0,,-1.0,80.0,20000.0,38400.0,27100.0,1650.0,1000.0,,259969.0,1000.0,3000.0,200.0,221000.0,100.0,11204.0,3000.0,3700.0,8200.0,12900.0,11316.0,100.0,445800.0,24778.0,969.0,532.0,300.0,20.0,25800.0,2000.0,36000.0,15918.0,,1139.0,,1972.0,,8010.0,4000.0,7075.0,4600.0,41000.0,8833.0,55.0,230.0,26000.0,280.0,,,100.0,-1.0,5000.0,65.0,-1.0,,136636.0,400.0,259000.0,1100.0,51.0,57145.0,3000.0,5000.0,109941.0,11750.0
1981,100.0,6013.0,,100.0,-1.0,5900.0,10330.0,16597.0,8201.0,20000.0,,,,8000.0,80.0,55000.0,200.0,,-1.0,65.0,25000.0,53000.0,28500.0,1700.0,2500.0,,511088.0,3000.0,3000.0,250.0,242000.0,80.0,11200.0,3000.0,3400.0,11200.0,11600.0,11055.0,110.0,590200.0,18277.0,1088.0,176.0,280.0,51.0,26400.0,2000.0,37000.0,16567.0,,1144.0,,1572.0,,11860.0,4200.0,13878.0,4700.0,42000.0,6860.0,322.0,240.0,25000.0,280.0,,,100.0,-1.0,6500.0,61.0,-1.0,,67374.0,400.0,510000.0,1300.0,30.0,48084.0,3200.0,5000.0,157158.0,21900.0
1982,100.0,8017.0,,100.0,-1.0,5600.0,13225.0,10823.0,8301.0,21000.0,,,,1209.0,80.0,58000.0,180.0,,-1.0,68.0,35000.0,57100.0,22400.0,1800.0,4291.0,,342661.0,3000.0,3000.0,300.0,140000.0,80.0,7000.0,3000.0,4400.0,11900.0,7200.0,10900.0,120.0,551700.0,16362.0,661.0,136.0,280.0,57.0,27000.0,2000.0,37000.0,20343.0,,926.0,,896.0,,10540.0,4200.0,20578.0,4800.0,44000.0,5106.0,205.0,245.0,27000.0,280.0,,,200.0,-1.0,8500.0,54.0,-1.0,,36768.0,400.0,342000.0,900.0,30.0,53150.0,3200.0,5000.0,179791.0,13150.0
1983,100.0,5675.0,,100.0,-1.0,6200.0,15000.0,8802.0,7250.0,22000.0,,,,6000.0,80.0,56643.0,190.0,,-1.0,60.0,42000.0,35600.0,16300.0,1850.0,2994.0,,348900.0,4000.0,3000.0,350.0,206000.0,80.0,3709.0,3000.0,3289.0,13000.0,4900.0,8000.0,110.0,558800.0,15000.0,250.0,26.0,280.0,47.0,27000.0,2000.0,36000.0,11000.0,,2289.0,,791.0,,10760.0,4300.0,37135.0,5000.0,30000.0,11500.0,216.0,250.0,38000.0,280.0,,,100.0,-1.0,10500.0,26.0,-1.0,,86769.0,400.0,348650.0,1000.0,20.0,57201.0,3200.0,5000.0,198095.0,14800.0
1984,100.0,5844.0,,100.0,-1.0,5900.0,7700.0,13544.0,6330.0,23000.0,,,,6200.0,80.0,46251.0,150.0,,-1.0,75.0,39000.0,39700.0,22100.0,1900.0,3322.0,,476341.0,4000.0,3000.0,400.0,130000.0,80.0,12000.0,3000.0,3000.0,8902.0,4932.0,9000.0,130.0,520700.0,6400.0,341.0,25.0,250.0,47.0,27000.0,2000.0,35000.0,11000.0,,4196.0,,579.0,,16610.0,4300.0,41708.0,5200.0,31000.0,7691.0,100.0,250.0,45000.0,225.0,,,99.0,-1.0,12500.0,17.0,-1.0,,62909.0,400.0,476000.0,2100.0,15.0,38225.0,3200.0,5000.0,206760.0,25505.0
1985,100.0,6946.0,,100.0,-1.0,8500.0,8700.0,14924.0,7000.0,24000.0,,,,7000.0,80.0,53716.0,130.0,,-1.0,100.0,33000.0,56700.0,25400.0,1900.0,3289.0,,691864.0,6000.0,3000.0,500.0,134000.0,150.0,15000.0,3000.0,2900.0,11528.0,15622.0,11066.0,130.0,501000.0,11995.0,429.0,26.0,220.0,121.0,27000.0,2000.0,35000.0,9000.0,,2753.0,,940.0,,13420.0,4400.0,40811.0,5300.0,35000.0,3162.0,45.0,250.0,45000.0,276.0,,,116.0,-1.0,14500.0,20.0,-1.0,,74607.0,400.0,691435.0,1700.0,13.0,45176.0,3200.0,5000.0,252814.0,27120.0
1986,100.0,11626.0,,100.0,-1.0,8800.0,8398.0,12457.0,5061.0,25000.0,,,,7200.0,80.0,49059.0,40.0,,-1.0,125.0,34614.0,44500.0,31800.0,2000.0,4178.0,,618386.0,7000.0,3000.0,600.0,216000.0,300.0,8187.0,3000.0,2400.0,11148.0,17854.0,15684.0,135.0,447700.0,12100.0,386.0,283.0,209.0,20.0,27000.0,2000.0,35000.0,10000.0,,2043.0,,571.0,,13400.0,4400.0,48247.0,9370.0,35000.0,3975.0,54.0,255.0,45000.0,297.0,,,86.0,-1.0,16500.0,25.0,-1.0,,62921.0,400.0,618000.0,1800.0,10.0,57727.0,3000.0,4000.0,248226.0,28050.0
1987,100.0,12778.0,,100.0,-1.0,9100.0,6159.0,7183.0,4958.0,26000.0,,,,7500.0,80.0,49027.0,30.0,1000.0,-1.0,150.0,33000.0,45300.0,27300.0,2100.0,1463.0,,526557.0,8000.0,3000.0,700.0,233000.0,500.0,7967.0,3000.0,1800.0,9913.0,10890.0,16377.0,183.0,583100.0,12300.0,557.0,91.0,274.0,24.0,26400.0,2000.0,35000.0,14000.0,,5249.0,,519.0,,9680.0,4400.0,43304.0,10500.0,34000.0,3119.0,298.0,260.0,43000.0,300.0,,,100.0,-1.0,18582.0,25.0,-1.0,,52891.0,400.0,526000.0,2000.0,15.0,62106.0,3000.0,4000.0,198843.0,20730.0
1988,105.0,7873.0,,50.0,-1.0,11000.0,6700.0,10080.0,5873.0,27000.0,,,,7800.0,80.0,45239.0,10.0,1000.0,-1.0,200.0,36000.0,46000.0,27296.0,2100.0,3849.0,,404458.0,4000.0,3000.0,800.0,194000.0,700.0,9291.0,4000.0,1400.0,10734.0,7480.0,17984.0,191.0,681800.0,11300.0,458.0,3.0,300.0,128.0,25800.0,2000.0,35000.0,14000.0,,3896.0,,705.0,,10740.0,4200.0,52353.0,13200.0,36000.0,2612.0,500.0,265.0,45000.0,300.0,,,73.0,-1.0,18987.0,40.0,-1.0,,34971.0,400.0,404000.0,2000.0,10.0,68296.0,3000.0,4000.0,169957.0,25800.0
1989,105.0,2864.0,,50.0,-1.0,13900.0,4600.0,15208.0,8136.0,28000.0,,,,8000.0,80.0,49290.0,10.0,2000.0,-1.0,250.0,45800.0,50040.0,27474.0,2100.0,2952.0,,337964.0,6000.0,3000.0,900.0,140000.0,1110.0,9766.0,12000.0,1267.0,10800.0,8920.0,17180.0,190.0,745100.0,7100.0,330.0,55.0,200.0,23.0,25200.0,2000.0,35000.0,12000.0,,3708.0,,311.0,,24000.0,4200.0,39728.0,13200.0,40000.0,3312.0,900.0,270.0,37000.0,310.0,,,169.0,-1.0,18766.0,40.0,-1.0,,45983.0,400.0,337634.0,2200.0,5.0,68535.0,3000.0,4000.0,144839.0,16950.0
1990,110.0,7500.0,,50.0,-1.0,13900.0,4500.0,21455.0,9432.0,29000.0,,,,8500.0,107.0,48610.0,10.0,2131.0,-1.0,300.0,61830.0,45000.0,29200.0,2580.0,4491.0,,469474.0,5000.0,3000.0,1000.0,80000.0,1170.0,12500.0,12000.0,1250.0,11652.0,8230.0,21034.0,200.0,835300.0,8200.0,216.0,80.0,100.0,102.0,24600.0,2080.0,33000.0,22000.0,,1574.0,,199.0,,19000.0,4000.0,38069.0,10000.0,44000.0,10414.0,500.0,274.0,39000.0,310.0,0.0,0.0,233.0,-1.0,18000.0,29.0,500.0,0.0,59864.0,506.0,469258.0,2400.0,3.0,50561.0,3000.0,4214.0,206832.0,24370.0
1991,115.0,5800.0,,50.0,-1.0,13050.0,5400.0,28700.0,8027.0,30000.0,,,,9000.0,85.0,45220.0,3.0,2775.0,-1.0,353.0,61000.0,35000.0,31955.0,1755.0,5398.0,,436190.0,8000.0,2500.0,1200.0,97000.0,1200.0,12291.0,12000.0,2300.0,13270.0,5602.0,23558.0,205.0,705900.0,9800.0,190.0,63.0,0.0,105.0,24000.0,1826.0,35000.0,30000.0,,1252.0,,236.0,,27000.0,3827.0,29767.0,5549.0,46000.0,12947.0,300.0,290.0,43000.0,-1.0,0.0,10059.0,13.0,-1.0,16086.0,159.0,973.0,0.0,37000.0,487.0,436000.0,2700.0,1.0,45072.0,3000.0,6876.0,215752.0,22510.0
1992,,9400.0,,50.0,-1.0,14000.0,4700.0,33995.0,10762.0,28000.0,,,,10000.0,90.0,49463.0,3.0,4849.0,-1.0,393.0,72000.0,15000.0,31545.0,1703.0,5544.0,3000.0,516275.0,6000.0,2000.0,1400.0,266000.0,1287.0,11000.0,13000.0,1900.0,16325.0,3785.0,24000.0,207.0,760000.0,10985.0,275.0,38.0,0.0,232.0,28000.0,1776.0,36000.0,28295.0,90.0,2270.0,,281.0,6.0,25000.0,3800.0,29075.0,6014.0,49000.0,10350.0,980.0,292.0,34000.0,-1.0,0.0,10176.0,,-1.0,19000.0,183.0,1002.0,0.0,22776.0,488.0,516000.0,2700.0,3.0,20586.0,3000.0,4079.0,170522.0,23238.0
1993,,8253.0,5960.0,50.0,-1.0,14000.0,4900.0,32254.0,11344.0,29000.0,,,19200.0,12000.0,100.0,58000.0,1.0,5168.0,-1.0,400.0,75000.0,22000.0,32800.0,1651.0,6200.0,3000.0,563275.0,4773.0,2500.0,1600.0,175000.0,1379.0,11500.0,13000.0,1900.0,11755.0,9772.0,24500.0,220.0,564000.0,13000.0,275.0,75.0,0.0,301.0,24000.0,1812.0,,31000.0,111.0,2154.0,,238.0,123.0,27000.0,3600.0,16272.0,6518.0,52000.0,14720.0,122.0,291.0,30000.0,-1.0,-1.0,10293.0,,-1.0,19000.0,96.0,1037.0,-1.0,22638.0,489.0,563000.0,2565.0,3.0,14362.0,3000.0,3000.0,237110.0,23731.0
1994,,1676.0,6220.0,50.0,-1.0,14000.0,4577.0,36263.0,12118.0,30000.0,,-1.0,20000.0,13000.0,110.0,48440.0,0.0,5100.0,1594.0,410.0,70000.0,21720.0,31800.0,1563.0,6692.0,3000.0,548275.0,4000.0,2000.0,1800.0,170000.0,1363.0,9265.0,13000.0,1500.0,13088.0,8768.0,27000.0,209.0,590000.0,5571.0,275.0,3.0,0.0,222.0,26000.0,1900.0,,27703.0,110.0,1810.0,,242.0,18.0,28000.0,3800.0,27936.0,7084.0,56000.0,17268.0,1200.0,280.0,34000.0,-1.0,-1.0,10411.0,,-1.0,19000.0,140.0,1041.0,-1.0,8862.0,490.0,548000.0,2600.0,2.0,9282.0,2916.0,2660.0,223327.0,27216.0
1995,,7762.0,10880.0,50.0,-1.0,14000.0,4500.0,39460.0,14037.0,31000.0,,,23000.0,12000.0,120.0,49595.0,0.0,5500.0,2111.0,420.0,71000.0,25000.0,33500.0,1537.0,8911.0,3000.0,583343.0,3800.0,2500.0,2000.0,313000.0,1379.0,9249.0,13000.0,1500.0,10443.0,6944.0,28600.0,208.0,531000.0,8300.0,343.0,6.0,0.0,50.0,24000.0,1700.0,,32300.0,110.0,2025.0,,148.0,31.0,29000.0,3796.0,31859.0,4750.0,60000.0,19223.0,1500.0,290.0,30000.0,-1.0,-1.0,10528.0,,-1.0,19000.0,200.0,1082.0,-1.0,21081.0,491.0,583000.0,2400.0,2.0,17249.0,2884.0,2479.0,304163.0,33561.0
1996,,13251.0,4630.0,50.0,-1.0,14000.0,3817.0,44927.0,15053.0,33000.0,,,25000.0,11000.0,129.0,48745.0,0.0,5300.0,2498.0,440.0,73000.0,23000.0,34300.0,1400.0,7729.0,3000.0,575334.0,5500.0,3000.0,2200.0,416000.0,1377.0,10460.0,13000.0,900.0,12812.0,7527.0,30600.0,207.0,640500.0,8445.0,337.0,50.0,0.0,200.0,22000.0,1800.0,,36807.0,110.0,2064.0,,150.0,9.0,30000.0,3869.0,29370.0,4576.0,64000.0,14770.0,2000.0,300.0,30000.0,-1.0,-1.0,10645.0,,427.0,23022.0,300.0,568.0,-1.0,47397.0,492.0,574997.0,2531.0,1.0,26149.0,2845.0,2392.0,303546.0,35562.0
