,"China, Taiwan Province of",Morocco,Ethiopia PDR,Philippines,Iran (Islamic Republic of),Australia,China,Canada,Réunion,Republic of Korea,Togo,Viet Nam,Ethiopia,South Africa,New Zealand,Australia & New Zealand,Argentina,Bangladesh,Thailand,Mauritius,"China, mainland",Madagascar,Nigeria,Myanmar,"Saint Helena, Ascension and Tristan da Cunha"
1971,584.0,-1,202500.0,2390.0,-1,405.0,584.0,4300.0,30.0,-1.0,-1,8500.0,-1.0,2000.0,16000.0,16405.0,3500.0,265.0,100.0,723.0,-1,11000.0,-1,1003.0,-1
1972,573.0,-1,205000.0,1630.0,-1,-1.0,573.0,6600.0,30.0,-1.0,-1,8500.0,-1.0,2000.0,14000.0,14000.0,3500.0,443.0,50.0,723.0,-1,11000.0,-1,1048.0,-1
1973,378.0,-1,208000.0,1330.0,-1,-1.0,378.0,12200.0,30.0,-1.0,-1,9000.0,-1.0,2000.0,14000.0,14000.0,3500.0,471.0,200.0,723.0,-1,10150.0,-1,1078.0,-1
1974,668.0,-1,210000.0,1150.0,-1,-1.0,668.0,14850.0,30.0,-1.0,-1,10000.0,-1.0,2000.0,14000.0,14000.0,3500.0,490.0,100.0,723.0,-1,10590.0,-1,1016.0,-1
1975,401.0,-1,210000.0,910.0,-1,-1.0,401.0,16700.0,30.0,757.0,-1,9700.0,-1.0,2500.0,12000.0,12000.0,3300.0,434.0,100.0,723.0,-1,13445.0,-1,1008.0,-1
1976,358.0,-1,212000.0,720.0,-1,-1.0,358.0,18800.0,30.0,384.0,-1,11400.0,-1.0,2500.0,12000.0,12000.0,3200.0,398.0,100.0,723.0,-1,8120.0,-1,960.0,-1
1977,303.0,-1,211000.0,720.0,-1,-1.0,303.0,22000.0,30.0,291.0,-1,11700.0,-1.0,2600.0,12000.0,12000.0,3000.0,393.0,100.0,700.0,-1,8490.0,-1,1025.0,-1
1978,312.0,-1,211000.0,760.0,-1,-1.0,312.0,28800.0,30.0,-1.0,-1,13700.0,-1.0,2600.0,12000.0,12000.0,2500.0,394.0,100.0,300.0,-1,10785.0,-1,1044.0,-1
1979,293.0,-1,211000.0,690.0,-1,-1.0,293.0,22000.0,30.0,-1.0,-1,14700.0,-1.0,2600.0,10000.0,10000.0,3000.0,415.0,100.0,100.0,-1,8560.0,-1,1100.0,-1
1980,250.0,-1,212000.0,720.0,-1,-1.0,250.0,32000.0,30.0,-1.0,-1,13772.0,-1.0,2600.0,10000.0,10000.0,3000.0,409.0,300.0,100.0,-1,8855.0,-1,902.0,-1
1981,228.0,-1,213000.0,770.0,-1,-1.0,228.0,32400.0,30.0,-1.0,-1,15700.0,-1.0,2600.0,8000.0,8000.0,1200.0,856.0,700.0,100.0,-1,8870.0,-1,733.0,-1
1982,213.0,-1,213000.0,780.0,-1,-1.0,213.0,39000.0,32.0,-1.0,-1,16400.0,-1.0,2600.0,8000.0,8000.0,1100.0,961.0,300.0,100.0,-1,8870.0,-1,510.0,-1
1983,292.0,-1,214000.0,780.0,-1,-1.0,292.0,43600.0,32.0,-1.0,-1,15800.0,-1.0,2600.0,6000.0,6000.0,1200.0,968.0,300.0,100.0,-1,8895.0,-1,539.0,-1
1984,237.0,-1,215000.0,720.0,-1,-1.0,237.0,32800.0,34.0,-1.0,-1,16000.0,-1.0,2600.0,6000.0,6000.0,1200.0,1483.0,350.0,100.0,-1,8900.0,-1,594.0,-1
1985,177.0,-1,216000.0,710.0,-1,-1.0,177.0,48500.0,34.0,-1.0,-1,15320.0,-1.0,2600.0,6000.0,6000.0,1200.0,1500.0,300.0,100.0,-1,8900.0,-1,566.0,-1
1986,245.0,-1,217000.0,730.0,-1,-1.0,245.0,56500.0,35.0,-1.0,-1,16900.0,-1.0,2600.0,4000.0,4000.0,1200.0,1511.0,300.0,100.0,-1,8900.0,-1,425.0,-1
1987,318.0,-1,218000.0,730.0,-1,-1.0,318.0,57000.0,35.0,482.0,-1,17000.0,-1.0,2600.0,4000.0,4000.0,1200.0,1511.0,850.0,100.0,-1,9000.0,-1,428.0,-1
1988,293.0,-1,219000.0,730.0,-1,-1.0,293.0,55000.0,37.0,465.0,-1,17500.0,-1.0,2600.0,4000.0,4000.0,1200.0,1404.0,1550.0,100.0,-1,9000.0,-1,425.0,-1
1989,100.0,-1,220000.0,730.0,-1,-1.0,100.0,35000.0,37.0,395.0,-1,14400.0,-1.0,2600.0,4000.0,4000.0,1200.0,1824.0,1100.0,100.0,-1,9100.0,-1,415.0,-1
1990,126.0,-1,222000.0,750.0,-1,-1.0,126.0,43500.0,39.0,338.0,-1,11427.0,-1.0,2879.0,3822.0,3822.0,1168.0,1847.0,1171.0,111.0,-1,9200.0,-1,408.0,-1
1991,101.0,-1,223000.0,793.0,-1,-1.0,101.0,36000.0,41.0,0.0,-1,9400.0,-1.0,2600.0,3042.0,3042.0,1300.0,1928.0,800.0,100.0,-1,9200.0,-1,378.0,-1
1992,66.0,-1,224000.0,808.0,-1,-1.0,66.0,30500.0,42.0,0.0,-1,11000.0,-1.0,2600.0,4300.0,4300.0,1400.0,1944.0,600.0,100.0,-1,9162.0,-1,334.0,-1
1993,49.0,-1,-1.0,800.0,-1,-1.0,49.0,27500.0,43.0,-1.0,-1,9900.0,224000.0,2600.0,4090.0,4090.0,1500.0,1999.0,1000.0,100.0,-1,9300.0,-1,343.0,-1
1994,46.0,-1,-1.0,900.0,-1,-1.0,46.0,32500.0,43.0,-1.0,-1,10900.0,222186.0,2600.0,4500.0,4500.0,1557.0,1969.0,879.0,100.0,-1,9500.0,-1,316.0,-1
1995,40.0,-1,-1.0,950.0,-1,-1.0,40.0,44000.0,43.0,-1.0,-1,10400.0,224975.0,2600.0,4902.0,4902.0,1600.0,2034.0,900.0,100.0,-1,9600.0,-1,318.0,-1
1996,60.0,-1,-1.0,944.0,-1,-1.0,60.0,61000.0,43.0,-1.0,-1,9100.0,224000.0,2600.0,5000.0,5000.0,1588.0,2074.0,892.0,100.0,-1,9600.0,-1,300.0,-1
1997,40.0,-1,-1.0,1000.0,-1,-1.0,40.0,59000.0,43.0,-1.0,-1,11100.0,226251.0,2600.0,5714.0,5714.0,1518.0,2088.0,899.0,103.0,-1,9400.0,-1,279.0,-1
1998,50.0,-1,-1.0,965.0,-1,-1.0,50.0,60500.0,43.0,-1.0,-1,9800.0,225000.0,2600.0,5500.0,5500.0,1470.0,2050.0,1000.0,105.0,-1,9338.0,-1,276.0,-1
1999,49.0,-1,-1.0,963.0,-1,-1.0,49.0,56500.0,43.0,-1.0,-1,10900.0,228441.0,2600.0,6002.0,6002.0,1425.0,2100.0,919.0,107.0,-1,9281.0,-1,320.0,-1
2000,52.0,-1,-1.0,957.0,-1,-1.0,52.0,46000.0,43.0,-1.0,-1,9300.0,230000.0,2600.0,6000.0,6000.0,1400.0,2014.0,900.0,106.0,-1,9300.0,-1,269.0,-1
2001,54.0,-1,-1.0,948.0,-1,-1.0,54.0,49000.0,43.0,-1.0,-1,9700.0,245799.0,2600.0,6063.0,6063.0,1416.0,2022.0,907.0,105.0,-1,9188.0,-1,265.0,-1
2002,57.0,-1,-1.0,937.0,-1,-1.0,57.0,29150.0,43.0,-1.0,-1,12300.0,250000.0,2600.0,6200.0,6200.0,1450.0,2026.0,950.0,105.0,-1,9151.0,-1,330.0,-1
2003,59.0,-1,-1.0,855.0,-1,-1.0,59.0,28300.0,43.0,-1.0,-1,14000.0,257994.0,2600.0,6133.0,6133.0,1446.0,2029.0,925.0,105.0,-1,9135.0,-1,244.0,-1
2004,89.0,-1,-1.0,846.0,-1,-1.0,89.0,26600.0,43.0,-1.0,-1,12700.0,254501.0,2600.0,6099.0,6099.0,1442.0,2030.0,960.0,105.0,-1,9173.0,-1,229.0,-1
2005,45.0,-1,-1.0,717.0,-1,-1.0,45.0,35700.0,43.0,-1.0,-1,12500.0,250000.0,2600.0,6221.0,6221.0,1442.0,1973.0,950.0,105.0,-1,9300.0,-1,207.0,-1
2006,44.0,-1,-1.0,724.0,-1,-1.0,44.0,54150.0,43.0,-1.0,-1,12300.0,250000.0,2600.0,6200.0,6200.0,1443.0,1960.0,950.0,105.0,-1,9300.0,-1,189.0,-1
2007,42.0,-1,-1.0,741.0,-1,-1.0,42.0,32100.0,43.0,-1.0,-1,13800.0,250000.0,2600.0,6200.0,6200.0,1443.0,1946.0,950.0,105.0,-1,9300.0,-1,172.0,-1
2008,40.0,-1,-1.0,764.0,-1,-1.0,40.0,23000.0,44.0,-1.0,-1,11700.0,250000.0,2800.0,6195.0,6195.0,1442.0,1931.0,950.0,114.0,-1,9300.0,-1,161.0,-1
2009,39.0,-1,-1.0,793.0,-1,-1.0,39.0,24000.0,44.0,-1.0,-1,10300.0,282673.0,2800.0,6213.0,6213.0,1458.0,1916.0,920.0,125.0,-1,4800.0,-1,152.0,-1
2010,37.0,-1,-1.0,786.0,-1,-1.0,37.0,24000.0,45.0,-1.0,-1,11709.0,320000.0,2850.0,6212.0,6212.0,1500.0,1903.0,900.0,135.0,-1,4900.0,-1,144.0,-1
2011,36.0,-1,-1.0,900.0,-1,-1.0,36.0,24000.0,45.0,-1.0,-1,12327.0,325000.0,2802.0,6212.0,6212.0,1540.0,1893.0,850.0,135.0,-1,6100.0,-1,136.0,-1
2012,35.0,-1,-1.0,900.0,-1,-1.0,35.0,24435.0,46.0,-1.0,-1,12389.0,327000.0,2900.0,6212.0,6212.0,1590.0,1800.0,850.0,133.0,-1,9300.0,-1,130.0,-1
2013,35.0,-1,-1.0,900.0,-1,-1.0,35.0,24000.0,50.0,-1.0,-1,12485.0,325000.0,3000.0,6213.0,6213.0,1600.0,1800.0,850.0,137.0,-1,10200.0,-1,100.0,-1
2014,34.0,-1,-1.0,900.0,-1,-1.0,34.0,23837.0,47.0,-1.0,-1,12581.0,301948.0,2909.0,6213.0,6213.0,1658.0,1913.0,914.0,141.0,-1,9961.0,-1,124.0,-1
