,"China, Taiwan Province of",Jamaica,Puerto Rico,Japan,Bhutan,Trinidad and Tobago,Fiji,Dominica,Ethiopia PDR,Pakistan,Melanesia,United Republic of Tanzania,Malaysia,Grenada,Mexico,Indonesia,Ethiopia,Kenya,Guyana,Costa Rica,Bangladesh,Zambia,Nigeria,Mauritius,Uganda,Dominican Republic,Réunion,Thailand,Peru,China,Ghana,Republic of Korea,United States of America,"China, mainland",Sri Lanka,Nepal,Madagascar,Saint Lucia,Philippines,Côte d'Ivoire,Cameroon,India
1971,21410.0,414.0,-1.0,-1.0,,-1.0,170.0,120.0,,-1.0,170.0,-1.0,1800.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,36600.0,,80.0,-1.0,,490.0,,6000.0,-1.0,21410.0,-1.0,965.0,,,3580.0,-1.0,-1.0,,4488.0,-1.0,-1.0,34710.0
1972,21678.0,596.0,-1.0,-1.0,,-1.0,170.0,120.0,,-1.0,170.0,-1.0,1900.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,34597.0,,80.0,-1.0,,505.0,,6200.0,-1.0,21678.0,-1.0,970.0,,,4958.0,-1.0,-1.0,,10480.0,-1.0,-1.0,33630.0
1973,21947.0,679.0,-1.0,-1.0,,-1.0,240.0,120.0,,-1.0,240.0,-1.0,1700.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,35212.0,,80.0,-1.0,,520.0,,6478.0,-1.0,21947.0,-1.0,1030.0,,,6888.0,-1.0,-1.0,,12447.0,-1.0,-1.0,38460.0
1974,20105.0,777.0,-1.0,-1.0,,-1.0,300.0,120.0,,-1.0,300.0,-1.0,1400.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,36223.0,,80.0,-1.0,,600.0,,5416.0,-1.0,20105.0,-1.0,1500.0,,,4917.0,-1.0,-1.0,,17652.0,-1.0,-1.0,37910.0
1975,17193.0,844.0,-1.0,-1.0,,-1.0,290.0,120.0,,-1.0,290.0,-1.0,1700.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,36925.0,,80.0,-1.0,,650.0,,10672.0,-1.0,17193.0,-1.0,2830.0,,,6544.0,-1.0,-1.0,,24215.0,-1.0,-1.0,45150.0
1976,15253.0,902.0,-1.0,-1.0,,-1.0,360.0,120.0,,-1.0,360.0,-1.0,1700.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,35684.0,,80.0,-1.0,,800.0,,7681.0,-1.0,15253.0,-1.0,4270.0,,,7648.0,-1.0,-1.0,,31892.0,-1.0,-1.0,43390.0
1977,25424.0,384.0,-1.0,-1.0,,-1.0,531.0,125.0,,-1.0,531.0,-1.0,1300.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,35193.0,,80.0,-1.0,,900.0,,14892.0,-1.0,25424.0,-1.0,3940.0,,,7000.0,-1.0,-1.0,,33658.0,-1.0,-1.0,71700.0
1978,103143.0,623.0,-1.0,-1.0,,-1.0,518.0,125.0,,-1.0,518.0,-1.0,1800.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,34842.0,,80.0,-1.0,,1000.0,,19531.0,-1.0,103143.0,-1.0,4250.0,,,7000.0,-1.0,-1.0,,35047.0,-1.0,-1.0,67170.0
1979,109208.0,617.0,-1.0,-1.0,,-1.0,496.0,132.0,,-1.0,496.0,-1.0,1800.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,37091.0,,100.0,-1.0,,1200.0,,14749.0,-1.0,109208.0,-1.0,6570.0,,,7000.0,-1.0,-1.0,,36430.0,-1.0,-1.0,72960.0
1980,51112.0,397.0,-1.0,-1.0,2900.0,-1.0,453.0,146.0,,-1.0,453.0,-1.0,2100.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,37293.0,,200.0,-1.0,,1100.0,,14900.0,-1.0,51112.0,-1.0,3320.0,,,7000.0,-1.0,-1.0,,42955.0,-1.0,-1.0,82440.0
1981,52239.0,446.0,-1.0,-1.0,3400.0,-1.0,556.0,151.0,,-1.0,556.0,-1.0,1700.0,-1.0,-1.0,47000.0,,-1.0,-1.0,-1.0,34419.0,,500.0,-1.0,,1100.0,,15000.0,-1.0,52239.0,-1.0,1820.0,,,7609.0,-1.0,-1.0,85.0,42106.0,-1.0,-1.0,86980.0
1982,43589.0,535.0,-1.0,-1.0,3700.0,-1.0,905.0,156.0,,-1.0,905.0,-1.0,1400.0,-1.0,-1.0,47000.0,,-1.0,-1.0,-1.0,41150.0,,1000.0,200.0,,1100.0,,15100.0,-1.0,43589.0,-1.0,2910.0,,,8409.0,-1.0,-1.0,120.0,41824.0,-1.0,-1.0,94170.0
1983,39938.0,402.0,-1.0,-1.0,3900.0,-1.0,766.0,178.0,,-1.0,766.0,-1.0,1300.0,-1.0,-1.0,48000.0,,-1.0,-1.0,-1.0,38573.0,,3000.0,220.0,,1200.0,,15200.0,-1.0,39938.0,-1.0,4050.0,,,15946.0,-1.0,-1.0,140.0,42000.0,-1.0,-1.0,121310.0
1984,38732.0,552.0,-1.0,-1.0,4541.0,-1.0,3900.0,199.0,,-1.0,3900.0,-1.0,2800.0,-1.0,-1.0,49000.0,,-1.0,-1.0,-1.0,38813.0,,5000.0,250.0,,1200.0,,15300.0,-1.0,38732.0,-1.0,5390.0,,,15900.0,-1.0,-1.0,190.0,40000.0,-1.0,-1.0,133860.0
1985,30304.0,613.0,-1.0,-1.0,4400.0,-1.0,4300.0,204.0,,-1.0,4300.0,-1.0,2400.0,-1.0,-1.0,49000.0,,-1.0,-1.0,-1.0,39620.0,,8000.0,280.0,,1200.0,95.0,15400.0,-1.0,50304.0,-1.0,4700.0,3500.0,20000.0,16500.0,10000.0,-1.0,123.0,41600.0,-1.0,-1.0,138020.0
1986,39053.0,1094.0,-1.0,-1.0,4200.0,-1.0,5000.0,216.0,,-1.0,5000.0,-1.0,2400.0,-1.0,-1.0,50000.0,,-1.0,-1.0,2500.0,40960.0,,15000.0,300.0,,1200.0,95.0,15500.0,-1.0,61053.0,-1.0,6700.0,3500.0,22000.0,18270.0,15000.0,-1.0,153.0,35000.0,-1.0,-1.0,136010.0
1987,43067.0,836.0,-1.0,-1.0,3900.0,-1.0,4500.0,203.0,,-1.0,4500.0,-1.0,2300.0,6.0,-1.0,53000.0,,-1.0,-1.0,2500.0,40485.0,,21000.0,330.0,,1300.0,95.0,15600.0,-1.0,63067.0,-1.0,7500.0,3500.0,20000.0,12164.0,15000.0,-1.0,105.0,24900.0,-1.0,-1.0,142840.0
1988,44119.0,632.0,-1.0,-1.0,3500.0,-1.0,4500.0,213.0,200.0,-1.0,4500.0,-1.0,2400.0,6.0,-1.0,61000.0,,-1.0,-1.0,3500.0,38000.0,,28000.0,350.0,,1300.0,95.0,20000.0,-1.0,64119.0,-1.0,8600.0,3500.0,20000.0,11944.0,20000.0,-1.0,58.0,25500.0,-1.0,-1.0,152000.0
1989,27920.0,660.0,-1.0,-1.0,3100.0,-1.0,5288.0,220.0,400.0,-1.0,5288.0,-1.0,2600.0,15.0,-1.0,63548.0,,100.0,-1.0,4500.0,38976.0,,35000.0,380.0,,1200.0,95.0,23000.0,-1.0,47920.0,-1.0,6800.0,4080.0,20000.0,12100.0,25000.0,-1.0,50.0,26300.0,-1.0,-1.0,156120.0
1990,24284.0,865.0,-1.0,25000.0,3086.0,-1.0,5561.0,195.0,800.0,-1.0,5561.0,-1.0,2700.0,17.0,-1.0,79891.0,,90.0,-1.0,7787.0,42830.0,,42000.0,625.0,210.0,1200.0,95.0,25000.0,-1.0,54284.0,-1.0,6900.0,4310.0,30000.0,9400.0,30000.0,-1.0,70.0,21811.0,-1.0,500.0,154000.0
1991,32647.0,827.0,-1.0,25000.0,4866.0,-1.0,6500.0,110.0,450.0,-1.0,6500.0,-1.0,3000.0,18.0,-1.0,88566.0,,141.0,-1.0,7787.0,42680.0,,50000.0,460.0,150.0,1100.0,95.0,28000.0,-1.0,72647.0,-1.0,7400.0,5443.0,40000.0,7600.0,40000.0,-1.0,60.0,21346.0,-1.0,1000.0,183000.0
1992,31050.0,761.0,-1.0,26311.0,4832.0,-1.0,4632.0,91.0,170.0,-1.0,4632.0,-1.0,3500.0,19.0,80.0,94505.0,,150.0,-1.0,7787.0,41535.0,,57000.0,340.0,120.0,1100.0,95.0,30000.0,-1.0,81050.0,-1.0,9600.0,5260.0,50000.0,5100.0,45000.0,20.0,47.0,21025.0,-1.0,1500.0,201600.0
1993,26579.0,730.0,-1.0,28000.0,4856.0,-1.0,4066.0,93.0,,-1.0,4066.0,-1.0,4000.0,18.0,130.0,88573.0,369.0,200.0,-1.0,4560.0,41940.0,-1.0,64000.0,284.0,300.0,1100.0,100.0,45000.0,-1.0,96579.0,-1.0,8100.0,4490.0,70000.0,3200.0,50000.0,30.0,50.0,20424.0,-1.0,2000.0,186200.0
1994,25878.0,782.0,-1.0,28445.0,4880.0,-1.0,1995.0,100.0,,38.0,1995.0,-1.0,4238.0,19.0,100.0,75991.0,570.0,168.0,-1.0,10400.0,40000.0,-1.0,69000.0,516.0,70.0,1100.0,120.0,55000.0,-1.0,115878.0,-1.0,9200.0,2720.0,90000.0,5800.0,51959.0,24.0,60.0,21358.0,-1.0,2500.0,171200.0
1995,20698.0,452.0,-1.0,28657.0,4925.0,-1.0,2220.0,109.0,,25.0,2220.0,-1.0,4500.0,18.0,100.0,82631.0,1190.0,150.0,-1.0,20660.0,39000.0,-1.0,79000.0,622.0,60.0,1100.0,140.0,65000.0,-1.0,145698.0,-1.0,10550.0,2630.0,125000.0,5880.0,55000.0,25.0,61.0,22704.0,-1.0,3000.0,171000.0
1996,33288.0,617.0,-1.0,29095.0,4940.0,-1.0,2403.0,113.0,,26.0,2403.0,-1.0,4274.0,18.0,90.0,80471.0,1105.0,176.0,-1.0,11993.0,39000.0,-1.0,85000.0,784.0,120.0,1100.0,170.0,80000.0,-1.0,163288.0,50.0,5580.0,4260.0,130000.0,5910.0,60000.0,25.0,64.0,24011.0,-1.0,4000.0,232500.0
1997,32086.0,513.0,-1.0,29558.0,4952.0,-1.0,2683.0,115.0,,27.0,2683.0,10.0,3903.0,18.0,90.0,81176.0,1546.0,200.0,520.0,15535.0,39000.0,-1.0,84000.0,317.0,129.0,1100.0,200.0,90000.0,-1.0,167086.0,60.0,6540.0,5490.0,135000.0,5720.0,66950.0,25.0,37.0,21715.0,3200.0,5000.0,252000.0
1998,39018.0,377.0,-1.0,30000.0,4977.0,-1.0,3500.0,115.0,,28.0,3500.0,60.0,3500.0,18.0,80.0,92968.0,2000.0,195.0,521.0,21315.0,39000.0,-1.0,88100.0,420.0,100.0,1000.0,200.0,105000.0,-1.0,184018.0,59.0,9440.0,8160.0,145000.0,5540.0,81601.0,26.0,28.0,17973.0,3838.0,6000.0,263000.0
1999,31128.0,276.0,-1.0,30694.0,5124.0,29.0,2608.0,116.0,,29.0,2608.0,90.0,2500.0,17.0,4272.0,120851.0,2500.0,195.0,522.0,1225.0,38000.0,-1.0,92000.0,116.0,120.0,1000.0,200.0,115000.0,-1.0,201128.0,61.0,7950.0,7300.0,170000.0,5500.0,81799.0,25.0,14.0,20793.0,3969.0,7430.0,263200.0
2000,33056.0,229.0,-1.0,31347.0,4216.0,14.0,3623.0,118.0,,27.0,3623.0,70.0,2440.0,17.0,1600.0,115092.0,3000.0,150.0,522.0,3788.0,38000.0,-1.0,98000.0,498.0,135.0,900.0,185.0,134243.0,-1.0,228056.0,65.0,3277.0,6123.0,195000.0,5480.0,74994.0,30.0,9.0,22679.0,4105.0,7430.0,235000.0
2001,31976.0,250.0,-1.0,32243.0,4100.0,129.0,1437.0,120.0,,30.0,1437.0,50.0,4366.0,17.0,546.0,128437.0,3500.0,201.0,522.0,4163.0,42000.0,,104000.0,868.0,137.0,900.0,62.0,177389.0,-1.0,246976.0,64.0,4110.0,8165.0,215000.0,4650.0,84366.0,30.0,9.0,23424.0,4245.0,7593.0,230000.0
2002,28263.0,295.0,-1.0,32100.0,4400.0,87.0,3710.0,121.0,,36.0,3710.0,60.0,5457.0,18.0,1204.0,112290.0,4000.0,218.0,537.0,3134.0,43000.0,,105000.0,473.0,138.0,800.0,62.0,208135.0,-1.0,253263.0,66.0,5970.0,6532.0,225000.0,5080.0,87909.0,35.0,9.0,23022.0,4385.0,7434.0,260828.0
2003,29719.0,402.0,119.0,31200.0,5000.0,90.0,3290.0,120.0,,47.0,3290.0,50.0,6568.0,18.0,3738.0,125386.0,5000.0,235.0,558.0,1527.0,42825.0,,110000.0,369.0,139.0,800.0,63.0,166295.0,-1.0,269719.0,67.0,3840.0,2722.0,240000.0,4840.0,150593.0,38.0,9.0,22616.0,4528.0,7931.0,280200.0
2004,39852.0,361.0,121.0,38400.0,6225.0,95.0,3770.0,130.0,,41.0,3770.0,30.0,8714.0,18.0,1452.0,104789.0,6000.0,251.0,572.0,1336.0,48185.0,,117000.0,791.0,140.0,700.0,80.0,114676.0,-1.0,274852.0,67.0,3570.0,2722.0,235000.0,5690.0,152704.0,45.0,9.0,24063.0,4678.0,8106.0,301900.0
2005,36698.0,702.0,90.0,39400.0,6901.0,125.0,3652.0,135.0,,50.0,3652.0,40.0,9385.0,5.0,1452.0,125827.0,7000.0,267.0,565.0,4300.0,49405.0,,125000.0,1011.0,141.0,700.0,96.0,139048.0,-1.0,286698.0,69.0,5760.0,2313.0,250000.0,6700.0,154200.0,60.0,9.0,24700.0,5000.0,8284.0,359000.0
2006,29824.0,259.0,72.0,38100.0,7571.0,151.0,3209.0,140.0,,31.0,3209.0,45.0,9966.0,11.0,1000.0,177138.0,8000.0,284.0,520.0,4229.0,57000.0,,134000.0,1016.0,141.0,600.0,96.0,106710.0,-1.0,319824.0,70.0,4615.0,1950.0,290000.0,6760.0,154197.0,30.0,7.0,27261.0,5040.0,11336.0,391200.0
2007,32373.0,241.0,104.0,42700.0,9870.0,224.0,3111.0,146.0,,57.0,3111.0,50.0,10150.0,19.0,1000.0,178502.0,9000.0,300.0,430.0,1044.0,63325.0,,162390.0,1299.0,146.0,550.0,96.0,153284.0,280.0,327373.0,75.0,5750.0,1270.0,295000.0,8270.0,158905.0,30.0,9.0,27946.0,8200.0,11960.0,393400.0
2008,31810.0,298.0,106.0,49800.0,7600.0,270.0,2448.0,152.0,,95.0,2448.0,50.0,10544.0,32.0,500.0,154963.0,10000.0,320.0,314.0,960.0,77046.0,,175070.0,709.0,142.0,551.0,90.0,161505.0,600.0,328810.0,76.0,3560.0,816.0,297000.0,10050.0,161171.0,80.0,9.0,27538.0,7500.0,12584.0,390080.0
2009,31393.0,459.0,105.0,53200.0,3766.0,283.0,3041.0,158.0,,111.0,3041.0,60.0,9402.0,39.0,500.0,122181.0,11000.0,371.0,190.0,1449.0,72608.0,,168800.0,616.0,135.0,860.0,61.0,170125.0,800.0,381393.0,78.0,3250.0,816.0,350000.0,10780.0,178987.0,40.0,11.0,27415.0,7000.0,33086.0,380100.0
2010,34864.0,486.0,104.0,53800.0,4074.0,352.0,2338.0,165.0,,115.0,2338.0,45.0,8337.0,43.0,500.0,107735.0,10581.0,434.0,86.0,1690.0,74841.0,,162223.0,1357.0,146.0,356.0,48.0,172681.0,2300.0,399864.0,79.0,4994.0,886.0,365000.0,12050.0,210790.0,40.0,12.0,27097.0,6491.0,39342.0,385330.0
2011,36617.0,444.0,103.0,54200.0,4566.0,417.0,2575.0,171.0,,8.0,2575.0,34.0,7459.0,18.0,509.0,94743.0,10385.0,340.0,144.0,1703.0,74380.0,,460170.0,748.0,165.0,449.0,39.0,152630.0,2300.0,456617.0,88.0,5321.0,867.0,420000.0,13660.0,216289.0,50.0,14.0,27755.0,5778.0,40531.0,702000.0
2012,34284.0,1082.0,102.0,54600.0,5014.0,512.0,6041.0,200.0,,113.0,6041.0,30.0,8727.0,19.0,790.0,114538.0,10000.0,329.0,762.0,1703.0,72084.0,,380000.0,1156.0,170.0,364.0,32.0,156519.0,2100.0,494284.0,90.0,4303.0,770.0,460000.0,14910.0,255208.0,52.0,15.0,27631.0,5940.0,44990.0,756000.0
2013,34136.0,1198.0,103.0,56049.0,3405.0,616.0,5098.0,184.0,,124.0,5098.0,32.0,8831.0,19.0,674.0,155286.0,10000.0,330.0,1915.0,1703.0,69000.0,,496920.0,991.0,151.0,148.0,28.0,161157.0,3800.0,424136.0,91.0,4910.0,728.0,390000.0,14075.0,235033.0,52.0,15.0,28216.0,6346.0,48960.0,683000.0
2014,34735.0,1274.0,104.0,59302.0,4385.0,672.0,4088.0,154.0,,126.0,4088.0,35.0,10775.0,20.0,673.0,266145.0,9806.0,362.0,3071.0,1920.0,77000.0,,58190.0,535.0,149.0,267.0,24.0,161404.0,4374.0,450686.0,93.0,6420.0,698.0,415951.0,15481.0,276150.0,52.0,16.0,27197.0,6965.0,52840.0,655000.0
