,USSR,Poland,Switzerland,Denmark,Mexico,France,Romania,Italy,Germany,Russian Federation,Sweden,Peru,United States of America,Latvia,Australia & New Zealand,Morocco,Norway,Canada,Uzbekistan,Lithuania,Bulgaria,Netherlands,Ukraine,New Zealand
2005,,33333.0,,,43333.0,64286.0,50000.0,86069.0,47712.0,38462.0,5625.0,,68754.0,10000.0,48820.0,44945.0,,23367.0,50000.0,15294.0,,57955.0,50000.0,48820.0
2006,,34306.0,,,47143.0,64286.0,66667.0,75000.0,43177.0,41667.0,5762.0,,73835.0,10000.0,48822.0,44841.0,21600.0,26212.0,50000.0,12449.0,50000.0,64021.0,20000.0,48822.0
2007,,26745.0,,,87857.0,67857.0,65193.0,89991.0,41380.0,43333.0,5556.0,,76455.0,10000.0,48802.0,44747.0,13182.0,25566.0,54759.0,8844.0,50000.0,69260.0,33333.0,48802.0
2008,,34827.0,,,24194.0,71429.0,62910.0,93422.0,29275.0,40000.0,5724.0,,65001.0,10000.0,50000.0,44667.0,9600.0,28003.0,60000.0,8462.0,50000.0,74530.0,50000.0,50000.0
2009,,46589.0,37143.0,,83947.0,71036.0,60722.0,92845.0,69705.0,40000.0,5709.0,,64646.0,10000.0,50093.0,44605.0,15714.0,29485.0,70000.0,18533.0,55099.0,79857.0,35000.0,50093.0
2010,,42432.0,53696.0,12368.0,99906.0,41670.0,61273.0,93196.0,58118.0,38000.0,5705.0,9375.0,67066.0,10000.0,48464.0,44565.0,25217.0,24375.0,80000.0,4333.0,58505.0,85147.0,35000.0,48464.0
2011,,35753.0,62182.0,12273.0,105409.0,38204.0,61824.0,93548.0,46081.0,50000.0,5532.0,11429.0,67579.0,10000.0,48047.0,43333.0,5600.0,27314.0,54545.0,3333.0,61960.0,90361.0,40000.0,48047.0
2012,,35992.0,50152.0,12391.0,81254.0,33202.0,62374.0,93899.0,48191.0,48000.0,6000.0,11200.0,73709.0,10000.0,44905.0,45333.0,15217.0,36351.0,57968.0,3077.0,66667.0,102389.0,80000.0,44905.0
2013,,39500.0,42192.0,6415.0,78760.0,37515.0,62925.0,94251.0,50601.0,50000.0,5846.0,18400.0,75184.0,7708.0,47944.0,45126.0,10800.0,31984.0,44562.0,2308.0,67734.0,98914.0,86667.0,47944.0
2014,,35934.0,62740.0,6364.0,100006.0,36948.0,63476.0,94602.0,57979.0,50000.0,5747.0,20000.0,76549.0,7143.0,48309.0,45096.0,1364.0,46638.0,42662.0,2727.0,70000.0,100156.0,46667.0,48309.0
