,Ukraine,Belgium,Serbia and Montenegro,Czechoslovakia,Cameroon,Serbia,Croatia,Qatar,USSR,Slovakia,Philippines,Haiti,Bosnia and Herzegovina,Puerto Rico,Romania,South Africa,Spain,Kazakhstan,France,Yugoslav SFR,Portugal,Poland,Netherlands,Russian Federation,Czechia,Belgium-Luxembourg
1982,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,-1.0,14100.0,19956.0,21866.0,-1.0,200000.0,5183.0,7131.0,46480.0,-1.0,-1.0,-1,56387.0
1983,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1.0,-1.0,-1.0,-1.0,-1.0,19600.0,8678.0,20468.0,-1.0,141000.0,3870.0,6810.0,67690.0,-1.0,-1.0,-1,42368.0
1984,-1.0,-1.0,-1.0,4000.0,50.0,-1.0,-1.0,-1.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,9100.0,17739.0,20003.0,-1.0,139000.0,7934.0,15031.0,66242.0,-1.0,-1.0,-1,36499.0
1985,-1.0,-1.0,-1.0,4000.0,50.0,-1.0,-1.0,-1.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,4400.0,13107.0,26760.0,-1.0,183000.0,4664.0,11218.0,66470.0,-1.0,-1.0,-1,46360.0
1986,-1.0,-1.0,-1.0,4100.0,60.0,-1.0,-1.0,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,13800.0,19108.0,20234.0,-1.0,178000.0,3253.0,11000.0,30501.0,-1.0,-1.0,-1,49746.0
1987,-1.0,-1.0,-1.0,4100.0,60.0,-1.0,-1.0,-1.0,19000.0,-1.0,-1.0,-1.0,-1.0,-1.0,9800.0,19446.0,26611.0,-1.0,90155.0,3956.0,4108.0,40000.0,-1.0,-1.0,-1,40543.0
1988,-1.0,-1.0,-1.0,4200.0,80.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,10300.0,10713.0,36432.0,-1.0,101700.0,575.0,3717.0,79475.0,-1.0,-1.0,-1,32540.0
1989,-1.0,-1.0,-1.0,16585.0,80.0,-1.0,-1.0,-1.0,22000.0,-1.0,-1.0,-1.0,-1.0,-1.0,16600.0,11374.0,31329.0,-1.0,100600.0,1236.0,1915.0,32159.0,-1.0,-1.0,-1,30294.0
1990,-1.0,-1.0,-1.0,16620.0,100.0,-1.0,-1.0,-1.0,23000.0,-1.0,1514.0,200.0,-1.0,-1.0,600.0,14880.0,16648.0,-1.0,132600.0,2538.0,2095.0,73617.0,-1.0,-1.0,-1,64925.0
1991,-1.0,-1.0,-1.0,13019.0,100.0,-1.0,-1.0,-1.0,24000.0,-1.0,1672.0,200.0,-1.0,-1.0,0.0,9473.0,11062.0,-1.0,109610.0,3064.0,2600.0,35999.0,-1.0,-1.0,-1,117969.0
1992,1000.0,-1.0,0.0,180.0,101.0,-1.0,1483.0,-1.0,-1.0,-1.0,1616.0,200.0,-1.0,-1.0,-1.0,10085.0,11512.0,5000.0,152900.0,-1.0,2905.0,31480.0,-1.0,2000.0,-1,212148.0
1993,1156.0,-1.0,-1.0,-1.0,101.0,-1.0,1040.0,-1.0,-1.0,-1.0,1759.0,200.0,-1.0,-1.0,-1.0,11685.0,8039.0,4500.0,197870.0,-1.0,2778.0,27840.0,-1.0,3000.0,-1,176832.0
1994,1898.0,-1.0,-1.0,-1.0,100.0,-1.0,1608.0,-1.0,-1.0,-1.0,1781.0,200.0,-1.0,-1.0,-1.0,19214.0,5523.0,4200.0,129700.0,-1.0,3423.0,25000.0,-1.0,2000.0,-1,229568.0
1995,2474.0,-1.0,-1.0,-1.0,100.0,-1.0,2012.0,-1.0,-1.0,-1.0,1774.0,200.0,-1.0,-1.0,-1.0,18000.0,4908.0,4500.0,116572.0,-1.0,2365.0,26000.0,-1.0,2531.0,-1,299285.0
1996,3222.0,-1.0,-1.0,-1.0,120.0,-1.0,3065.0,-1.0,-1.0,-1.0,1821.0,200.0,-1.0,-1.0,-1.0,18000.0,6798.0,4090.0,121857.0,-1.0,2143.0,25000.0,-1.0,3000.0,-1,521572.0
1997,3778.0,-1.0,-1.0,-1.0,120.0,-1.0,3113.0,-1.0,-1.0,-1.0,1794.0,200.0,-1.0,-1.0,-1.0,18000.0,6097.0,4000.0,123539.0,-1.0,2666.0,26000.0,-1.0,2692.0,-1,590613.0
1998,4333.0,-1.0,-1.0,-1.0,120.0,-1.0,3100.0,-1.0,-1.0,-1.0,1597.0,200.0,-1.0,-1.0,-1.0,17000.0,6000.0,4200.0,120565.0,-1.0,2060.0,25000.0,60000.0,2715.0,-1,411538.0
1999,4890.0,-1.0,-1.0,-1.0,130.0,-1.0,3112.0,70.0,-1.0,-1.0,1439.0,200.0,-1.0,5500.0,-1.0,16000.0,5654.0,3800.0,125956.0,-1.0,2300.0,26000.0,75000.0,2633.0,-1,638127.0
2000,5444.0,730960.0,-1.0,-1.0,130.0,-1.0,3053.0,70.0,-1.0,-1.0,1421.0,200.0,-1.0,5600.0,-1.0,17000.0,6050.0,3500.0,186880.0,-1.0,-1.0,29116.0,70000.0,2652.0,-1,-1.0
2001,6000.0,600000.0,-1.0,-1.0,140.0,-1.0,3106.0,70.0,-1.0,-1.0,1475.0,200.0,-1.0,5700.0,-1.0,16000.0,6000.0,3000.0,168724.0,-1.0,3300.0,29523.0,63000.0,-1.0,-1,-1.0
2002,6400.0,606900.0,-1.0,-1.0,140.0,-1.0,3168.0,101.0,-1.0,-1.0,1495.0,200.0,-1.0,5800.0,-1.0,16310.0,5228.0,3300.0,172548.0,-1.0,2500.0,29595.0,70000.0,-1.0,-1,-1.0
2003,9800.0,692510.0,-1.0,-1.0,140.0,-1.0,3220.0,211.0,-1.0,-1.0,1579.0,200.0,100.0,5889.0,-1.0,16000.0,4707.0,3000.0,167123.0,-1.0,-1.0,28500.0,64000.0,-1.0,-1,-1.0
2004,8200.0,768000.0,-1.0,-1.0,140.0,-1.0,3272.0,70.0,-1.0,150.0,1721.0,200.0,92.0,5919.0,-1.0,16625.0,4294.0,3067.0,181198.0,-1.0,-1.0,29842.0,59000.0,-1.0,-1,-1.0
2005,6600.0,694267.0,-1.0,-1.0,140.0,-1.0,3317.0,69.0,-1.0,45.0,3386.0,200.0,89.0,5776.0,-1.0,16778.0,4288.0,3200.0,133390.0,-1.0,-1.0,30000.0,67000.0,-1.0,-1,-1.0
2006,5000.0,379448.0,-1.0,-1.0,140.0,3300.0,3300.0,100.0,-1.0,50.0,3348.0,200.0,88.0,5776.0,-1.0,16955.0,4000.0,3000.0,142200.0,-1.0,2550.0,34533.0,56000.0,-1.0,-1,-1.0
2007,3400.0,386307.0,-1.0,-1.0,140.0,3500.0,3100.0,98.0,-1.0,368.0,3335.0,200.0,85.0,5850.0,-1.0,16000.0,1600.0,3000.0,110880.0,-1.0,2600.0,34633.0,68000.0,-1.0,-1,-1.0
2008,1700.0,425085.0,-1.0,-1.0,140.0,3500.0,3473.0,95.0,-1.0,25.0,3566.0,200.0,81.0,5916.0,-1.0,15000.0,1000.0,3000.0,125475.0,-1.0,2620.0,30402.0,60000.0,-1.0,-1,-1.0
2009,3500.0,474423.0,-1.0,-1.0,143.0,3500.0,3687.0,94.0,-1.0,26.0,3750.0,200.0,80.0,5845.0,-1.0,13133.0,800.0,3000.0,169475.0,-1.0,2650.0,38347.0,55500.0,-1.0,-1,-1.0
2010,3700.0,393000.0,-1.0,-1.0,145.0,3500.0,3907.0,94.0,-1.0,0.0,3894.0,200.0,100.0,5840.0,-1.0,23700.0,275.0,3000.0,113591.0,-1.0,-1.0,36998.0,53000.0,-1.0,-1,-1.0
2011,2200.0,360717.0,-1.0,-1.0,146.0,3500.0,4132.0,94.0,-1.0,45.0,4016.0,200.0,100.0,5842.0,-1.0,28300.0,300.0,3000.0,100948.0,-1.0,-1.0,35002.0,50000.0,-1.0,-1,-1.0
2012,1222.0,232800.0,-1.0,-1.0,148.0,3500.0,4500.0,90.0,-1.0,47.0,4246.0,200.0,100.0,5844.0,-1.0,26645.0,540.0,3000.0,116670.0,-1.0,-1.0,49187.0,52000.0,-1.0,-1,-1.0
2013,2410.0,269515.0,-1.0,-1.0,147.0,3500.0,4600.0,95.0,-1.0,52.0,4419.0,200.0,100.0,5846.0,-1.0,12536.0,270.0,3000.0,88323.0,-1.0,-1.0,25909.0,57000.0,-1.0,-1,-1.0
2014,4170.0,309187.0,-1.0,-1.0,147.0,3500.0,4524.0,95.0,-1.0,50.0,4591.0,200.0,100.0,5848.0,-1.0,4988.0,195.0,3000.0,108128.0,-1.0,-1.0,32174.0,51000.0,-1.0,-1,-1.0
