,"China, Taiwan Province of",Cuba,Indonesia,Bhutan,Russian Federation,Angola,Ethiopia PDR,Egypt,Pakistan,Malaysia,Thailand,Japan,Ethiopia,Nigeria,Democratic Republic of the Congo,Bangladesh,Mali,Zimbabwe,USSR,Nepal,Cameroon,Iran (Islamic Republic of),Peru,Brazil,Cambodia,Mozambique,Guatemala,Viet Nam,"China, mainland",El Salvador,Chile,Madagascar,Uzbekistan,Côte d'Ivoire,Spain,South Africa,Central African Republic,Myanmar,China,India
1971,1276.0,2000.0,4829.0,15.0,,1500.0,,5500.0,9639.0,,446983.0,,,,5000.0,717316.0,636.0,1500.0,25000.0,54813.0,,2160.0,5715.0,47347.0,5500.0,6000.0,628.0,9400.0,132000.0,2900.0,,2545.0,,,,2000.0,1620.0,40787.0,133276.0,1252200.0
1972,708.0,3000.0,6672.0,15.0,,1500.0,,4800.0,10179.0,,444016.0,,,,5000.0,920299.0,1038.0,1500.0,24000.0,57850.0,,2900.0,5530.0,62407.0,5200.0,6000.0,700.0,10000.0,167000.0,2900.0,,640.0,,,,1100.0,1620.0,80064.0,167708.0,1121500.0
1973,431.0,3000.0,7368.0,15.0,,1000.0,,4600.0,12103.0,,435705.0,,,,4000.0,910786.0,1410.0,1500.0,19000.0,54410.0,,2700.0,5110.0,91968.0,3500.0,6000.0,700.0,12000.0,250000.0,2900.0,,3645.0,,,,1100.0,1860.0,105412.0,250431.0,1299100.0
1974,275.0,18850.0,7200.0,15.0,,1000.0,,3900.0,13518.0,,409898.0,,,,6500.0,598402.0,1575.0,1500.0,16000.0,33131.0,,2500.0,2950.0,67052.0,3300.0,6000.0,200.0,12000.0,287000.0,2900.0,,1585.0,,,,1100.0,1800.0,92544.0,287275.0,1126000.0
1975,221.0,21530.0,8100.0,18.0,,1000.0,,4000.0,11929.0,,287674.0,,,,6600.0,524363.0,1991.0,1500.0,16000.0,33000.0,,2300.0,3000.0,73754.0,2500.0,6000.0,200.0,12300.0,297000.0,2900.0,,1985.0,,,,1100.0,1800.0,46594.0,297221.0,1060200.0
1976,121.0,21600.0,10159.0,18.0,,1000.0,,4000.0,10980.0,,150916.0,,,,6700.0,664542.0,2585.0,1500.0,18000.0,34000.0,100.0,2100.0,2700.0,101071.0,3000.0,6000.0,260.0,14170.0,328000.0,1478.0,,395.0,,,,1100.0,1200.0,42544.0,328121.0,1223500.0
1977,35.0,16365.0,7098.0,20.0,,1000.0,,4400.0,11202.0,,254877.0,,,,6700.0,750176.0,1600.0,1500.0,18000.0,33000.0,120.0,2000.0,2500.0,87890.0,2500.0,6000.0,200.0,15280.0,376700.0,490.0,,400.0,,,,1100.0,800.0,33612.0,376735.0,1283500.0
1978,88.0,11340.0,6482.0,20.0,,1000.0,100.0,4400.0,9265.0,,293851.0,,,,6700.0,851062.0,2700.0,1500.0,17000.0,40000.0,90.0,1800.0,2600.0,69262.0,2000.0,6000.0,220.0,14470.0,412100.0,360.0,5000.0,550.0,,,,1100.0,390.0,58185.0,412188.0,1391000.0
1979,27.0,15830.0,12962.0,20.0,,1000.0,100.0,4400.0,10634.0,,228613.0,,,,6600.0,773740.0,2800.0,1500.0,18000.0,47000.0,160.0,1300.0,2700.0,71747.0,1000.0,6000.0,350.0,14800.0,361000.0,600.0,5000.0,730.0,,,,1100.0,250.0,94815.0,361027.0,1353000.0
1980,14.0,10200.0,11139.0,20.0,,1000.0,300.0,4500.0,11810.0,,184646.0,,,,6700.0,645221.0,2600.0,1500.0,18000.0,57000.0,170.0,1000.0,1379.0,71876.0,300.0,6000.0,310.0,17980.0,313000.0,600.0,10200.0,730.0,,,,1100.0,366.0,93791.0,313014.0,1428800.0
1981,7.0,16510.0,11711.0,30.0,,1000.0,300.0,3500.0,12042.0,,195198.0,,,1000.0,6700.0,579758.0,2700.0,1500.0,18000.0,51959.0,180.0,400.0,1136.0,92711.0,700.0,6000.0,250.0,16540.0,306000.0,600.0,10000.0,735.0,,,,1100.0,370.0,91169.0,306007.0,1280600.0
1982,10.0,15770.0,13343.0,30.0,,1000.0,321.0,2000.0,11363.0,,216245.0,,,1000.0,6800.0,584505.0,2800.0,1500.0,18000.0,35320.0,180.0,200.0,1580.0,57395.0,1100.0,6000.0,240.0,17120.0,246000.0,400.0,10000.0,735.0,,,,1100.0,370.0,34052.0,246010.0,1128500.0
1983,,19885.0,15905.0,30.0,,1000.0,410.0,2000.0,11331.0,,222333.0,,,1000.0,6800.0,589732.0,2800.0,1500.0,18000.0,30400.0,180.0,170.0,1660.0,56436.0,1800.0,6000.0,250.0,24900.0,227000.0,600.0,10000.0,740.0,,,,1100.0,380.0,59078.0,227000.0,1154800.0
1984,,19800.0,7915.0,30.0,,1000.0,975.0,2000.0,10371.0,,151950.0,,,1000.0,6900.0,685063.0,2800.0,1500.0,18000.0,23666.0,180.0,140.0,1093.0,76303.0,1270.0,6000.0,270.0,20000.0,320000.0,287.0,10000.0,740.0,,,,1100.0,400.0,51617.0,320000.0,1228500.0
1985,,19200.0,17157.0,50.0,,1000.0,1588.0,2000.0,9089.0,,232789.0,,,1000.0,6700.0,934360.0,2800.0,1500.0,18000.0,27200.0,180.0,130.0,1800.0,63710.0,2100.0,6000.0,270.0,22040.0,992000.0,330.0,10000.0,750.0,,,,1100.0,400.0,50257.0,992000.0,1595900.0
1986,,13300.0,26477.0,60.0,,1000.0,942.0,2000.0,8074.0,,211777.0,,,1000.0,6800.0,1067273.0,3000.0,1950.0,18000.0,47190.0,180.0,38.0,1800.0,64690.0,3000.0,6000.0,280.0,26100.0,345000.0,416.0,10000.0,750.0,,,,1100.0,410.0,45329.0,345000.0,1164200.0
1987,,11900.0,24512.0,75.0,,1000.0,1903.0,2000.0,8483.0,,153182.0,,,1000.0,6800.0,779670.0,3000.0,1950.0,20000.0,19840.0,183.0,22.0,1900.0,64994.0,5400.0,6000.0,280.0,31950.0,272000.0,455.0,10000.0,750.0,,,,1100.0,410.0,41629.0,272000.0,1039600.0
1988,,3900.0,16104.0,90.0,,1000.0,1860.0,2000.0,6802.0,,135534.0,,,1000.0,6900.0,518218.0,3000.0,1950.0,21000.0,14450.0,185.0,25.0,1900.0,60777.0,2900.0,6000.0,290.0,17140.0,277000.0,450.0,10000.0,750.0,,,,1100.0,420.0,36590.0,277000.0,997400.0
1989,,16200.0,9720.0,90.0,,1000.0,1860.0,2000.0,7791.0,,128065.0,,,1000.0,6900.0,550327.0,3000.0,1950.0,22000.0,13554.0,185.0,25.0,1900.0,39355.0,1980.0,6000.0,270.0,15700.0,286000.0,1000.0,10000.0,750.0,,,,1100.0,420.0,42801.0,286000.0,982100.0
1990,0.0,10000.0,9404.0,97.0,,1107.0,2060.0,1600.0,6338.0,0.0,136388.0,0.0,,1107.0,7000.0,561811.0,3322.0,2300.0,19507.0,13000.0,186.0,24.0,190.0,24208.0,1600.0,6645.0,300.0,11746.0,300000.0,1500.0,10352.0,831.0,,,-1.0,1218.0,427.0,31171.0,300000.0,1088800.0
1991,0.0,8295.0,10567.0,84.0,,1000.0,1870.0,1100.0,5496.0,1734.0,103935.0,0.0,,1000.0,7100.0,588439.0,2683.0,2300.0,0.0,14000.0,190.0,27.0,150.0,16558.0,1400.0,6000.0,320.0,10500.0,269650.0,2000.0,13894.0,750.0,,,-1.0,1100.0,440.0,25476.0,269650.0,1177000.0
1992,0.0,7027.0,11158.0,85.0,20000.0,933.0,859.0,750.0,5139.0,1763.0,100358.0,0.0,,1000.0,7300.0,589097.0,3500.0,2850.0,,15000.0,192.0,25.0,170.0,18695.0,1895.0,5000.0,330.0,11600.0,277000.0,3000.0,13712.0,764.0,4800.0,,-1.0,1100.0,442.0,26912.0,277000.0,990300.0
1993,0.0,5998.0,6581.0,84.0,21000.0,926.0,,760.0,4116.0,1791.0,95760.0,0.0,1570.0,1000.0,7500.0,479296.0,2872.0,2828.0,,9000.0,190.0,10.0,180.0,13407.0,2345.0,6000.0,340.0,14400.0,274000.0,4000.0,13530.0,760.0,5200.0,,-1.0,1100.0,440.0,47306.0,274000.0,948900.0
1994,0.0,5190.0,7539.0,89.0,21339.0,900.0,,780.0,3992.0,1818.0,81855.0,0.0,1500.0,1000.0,7600.0,566700.0,1800.0,2904.0,,9000.0,190.0,-1.0,180.0,11769.0,1800.0,5500.0,340.0,6600.0,175000.0,5000.0,13348.0,754.0,2300.0,,-1.0,1100.0,440.0,30517.0,175000.0,991500.0
1995,0.0,4536.0,4713.0,86.0,23098.0,800.0,,800.0,3811.0,1846.0,75780.0,0.0,1550.0,1000.0,7800.0,459500.0,2000.0,3000.0,,9000.0,190.0,-1.0,198.0,7724.0,915.0,6000.0,350.0,7500.0,146460.0,5594.0,13167.0,769.0,1300.0,,-1.0,1100.0,440.0,37496.0,146460.0,986300.0
1996,0.0,4007.0,4253.0,86.0,22312.0,900.0,,850.0,3414.0,1873.0,70620.0,0.0,1500.0,1000.0,7900.0,509643.0,2006.0,3000.0,,11150.0,190.0,-1.0,190.0,3453.0,1700.0,7000.0,360.0,8000.0,147000.0,6505.0,12985.0,780.0,2000.0,,-1.0,1100.0,440.0,47340.0,147000.0,1100000.0
1997,0.0,3577.0,4142.0,87.0,22120.0,1000.0,,900.0,3083.0,1900.0,65400.0,0.0,1500.0,1000.0,8089.0,578493.0,2000.0,3028.0,,11000.0,190.0,-1.0,188.0,3016.0,1950.0,7405.0,370.0,11600.0,162000.0,6084.0,12804.0,780.0,2000.0,,-1.0,1077.0,447.0,43430.0,162000.0,1096000.0
1998,0.0,3228.0,3062.0,87.0,20922.0,1130.0,,950.0,2797.0,1926.0,30734.0,0.0,1500.0,1000.0,7600.0,479963.0,2085.0,3081.0,,12265.0,190.0,-1.0,114.0,5662.0,1021.0,7100.0,380.0,6700.0,92710.0,6000.0,12623.0,777.0,2000.0,,-1.0,1119.0,452.0,34272.0,92710.0,1025400.0
1999,0.0,2945.0,2306.0,87.0,21000.0,800.0,,950.0,2825.0,1953.0,19860.0,0.0,1500.0,1000.0,8170.0,409928.0,2088.0,3134.0,,11675.0,190.0,-1.0,160.0,5509.0,261.0,7200.0,380.0,4100.0,65000.0,3700.0,12442.0,775.0,2000.0,,-1.0,1000.0,454.0,37828.0,65000.0,1032800.0
2000,0.0,2714.0,2866.0,87.0,21000.0,1000.0,,950.0,3106.0,1979.0,28533.0,0.0,1500.0,1000.0,8078.0,450282.0,2068.0,3150.0,,14535.0,190.0,-1.0,210.0,4876.0,208.0,6000.0,390.0,5500.0,50600.0,3700.0,12262.0,760.0,2000.0,-1.0,-1.0,1100.0,460.0,37650.0,50600.0,1016600.0
2001,0.0,2525.0,2946.0,87.0,22000.0,933.0,,1100.0,3223.0,2004.0,44782.0,0.0,1500.0,1000.0,7993.0,458699.0,2111.0,3195.0,,11289.0,190.0,-1.0,60.0,5764.0,198.0,6300.0,400.0,7800.0,51850.0,3800.0,12026.0,767.0,2000.0,-1.0,-1.0,1080.0,461.0,45928.0,51850.0,1062800.0
2002,0.0,2370.0,2884.0,88.0,22354.0,924.0,,920.0,2421.0,2030.0,14043.0,0.0,1500.0,1000.0,7650.0,438771.0,2118.0,3210.0,,11697.0,190.0,-1.0,100.0,6831.0,434.0,6400.0,400.0,9800.0,55400.0,3552.0,11324.0,763.0,2000.0,-1.0,-1.0,1068.0,470.0,53280.0,55400.0,1038600.0
2003,0.0,2241.0,2913.0,88.0,23000.0,923.0,,860.0,2318.0,2033.0,10043.0,0.0,1500.0,1000.0,7866.0,410125.0,2087.0,3222.0,,11851.0,190.0,-1.0,120.0,7468.0,442.0,6500.0,400.0,4800.0,41000.0,3393.0,11000.0,761.0,2000.0,-1.0,-1.0,1078.0,466.0,54500.0,41000.0,1019800.0
2004,0.0,2128.0,3038.0,87.0,23042.0,977.0,,1080.0,1818.0,2014.0,12838.0,0.0,1500.0,1000.0,7818.0,392857.0,2089.0,3232.0,,11790.0,190.0,-1.0,125.0,8607.0,435.0,6600.0,380.0,4700.0,32000.0,3150.0,11500.0,761.0,2000.0,-1.0,-1.0,1083.0,467.0,42500.0,32000.0,926400.0
2005,0.0,2035.0,3068.0,88.0,22514.0,1000.0,,990.0,1820.0,1990.0,14704.0,0.0,1500.0,1000.0,7650.0,405000.0,2000.0,3150.0,,12180.0,190.0,-1.0,130.0,16657.0,514.0,6000.0,390.0,5600.0,31000.0,3130.0,12000.0,760.0,2000.0,-1.0,-1.0,1100.0,470.0,26700.0,31000.0,901600.0
2006,0.0,1955.0,2800.0,90.0,18774.0,1000.0,,850.0,1698.0,1967.0,6637.0,0.0,1500.0,1000.0,7800.0,421548.0,2000.0,3200.0,,11975.0,190.0,-1.0,140.0,16861.0,449.0,6400.0,340.0,6300.0,31100.0,3360.0,11947.0,760.0,2000.0,-1.0,-1.0,1100.0,470.0,30800.0,31100.0,928900.0
2007,0.0,1886.0,3000.0,88.0,17441.0,1000.0,,820.0,1601.0,1945.0,3918.0,0.0,1500.0,1000.0,8174.0,443054.0,2000.0,3521.0,,11726.0,190.0,-1.0,150.0,16916.0,461.0,6000.0,430.0,11700.0,33400.0,2402.0,11795.0,760.0,2000.0,-1.0,-1.0,1100.0,470.0,34000.0,33400.0,960000.0
2008,0.0,1878.0,2700.0,88.0,14410.0,1000.0,,710.0,1487.0,1925.0,2849.0,0.0,1750.0,1000.0,8392.0,423017.0,2000.0,3696.0,,11590.0,190.0,-1.0,160.0,10140.0,397.0,6200.0,420.0,3400.0,26200.0,1814.0,11591.0,770.0,2000.0,,-1.0,1100.0,470.0,18600.0,26200.0,920600.0
2009,0.0,1855.0,2600.0,88.0,13987.0,1093.0,,710.0,1365.0,1906.0,3333.0,0.0,1798.0,1005.0,8788.0,418501.0,2255.0,3955.0,,11678.0,215.0,-1.0,157.0,10014.0,347.0,7000.0,330.0,2292.0,24000.0,1815.0,11358.0,600.0,1838.0,,-1.0,1123.0,446.0,12461.0,24000.0,931200.0
2010,0.0,1830.0,2501.0,104.0,13625.0,1200.0,,850.0,1150.0,1888.0,2590.0,0.0,1950.0,1000.0,9000.0,418788.0,2600.0,4117.0,,13103.0,245.0,-1.0,160.0,11193.0,594.0,6800.0,373.0,3768.0,19000.0,1849.0,11123.0,600.0,1791.0,,-1.0,1100.0,500.0,12352.0,19000.0,854630.0
2011,0.0,1805.0,2434.0,87.0,13200.0,1114.0,,900.0,1009.0,1757.0,2367.0,0.0,1950.0,1000.0,9000.0,711105.0,2800.0,4117.0,,10559.0,245.0,-1.0,163.0,12118.0,248.0,7100.0,383.0,3853.0,19310.0,1867.0,10917.0,500.0,1737.0,,-1.0,1100.0,485.0,16847.0,19310.0,891000.0
2012,0.0,1800.0,2507.0,75.0,13200.0,1196.0,,1000.0,867.0,1950.0,2798.0,0.0,2000.0,1000.0,9200.0,762827.0,2641.0,4200.0,,10540.0,250.0,-1.0,190.0,7426.0,273.0,7000.0,400.0,1331.0,17560.0,1881.0,11000.0,500.0,1850.0,,-1.0,1150.0,500.0,16930.0,17560.0,887000.0
2013,0.0,1850.0,2429.0,78.0,13200.0,1200.0,,1000.0,725.0,2051.0,2602.0,0.0,2000.0,1000.0,9200.0,683400.0,2850.0,4200.0,,11300.0,255.0,-1.0,190.0,7008.0,274.0,7000.0,400.0,354.0,17100.0,1902.0,11500.0,510.0,1900.0,,-1.0,1200.0,500.0,15257.0,17100.0,900000.0
2014,0.0,1800.0,2349.0,85.0,13200.0,1172.0,,1019.0,665.0,2396.0,2595.0,0.0,1924.0,1040.0,9300.0,667992.0,2545.0,4154.0,,11350.0,244.0,-1.0,171.0,6625.0,263.0,6964.0,400.0,254.0,13671.0,1926.0,11087.0,446.0,1850.0,,-1.0,1135.0,531.0,15220.0,13671.0,828496.0
