,Slovakia,USSR,Japan,Poland,Turkey,Switzerland,Trinidad and Tobago,The former Yugoslav Republic of Macedonia,Georgia,Latvia,Azerbaijan,Kenya,France,Republic of Korea,Romania,Italy,Ukraine,Zimbabwe,Hungary,China,Russian Federation,Cameroon,Bolivia (Plurinational State of),Yugoslav SFR,Slovenia,Albania,Peru,Brazil,Portugal,Serbia and Montenegro,Greece,Democratic People's Republic of Korea,"China, mainland",Chile,Spain,Bosnia and Herzegovina,Bulgaria,Malawi
1996,-1.0,,30100.0,60.0,65000.0,201.0,,700.0,,-1.0,400.0,-1.0,10798.0,108346.0,842.0,68653.0,-1.0,46.0,1040.0,285000.0,-1.0,100.0,39565.0,,50.0,4500.0,2202.0,0.0,25272.0,1311.0,12536.0,7843.0,285000.0,,15000.0,800.0,300.0,-1.0
1997,-1.0,,32900.0,200.0,61000.0,200.0,-1.0,600.0,,-1.0,300.0,-1.0,9592.0,129673.0,1000.0,72782.0,-1.0,46.0,991.0,375000.0,-1.0,100.0,39872.0,,13.0,5000.0,2070.0,0.0,26357.0,1224.0,13548.0,8098.0,375000.0,,10000.0,810.0,300.0,-1.0
1998,-1.0,,26200.0,150.0,55000.0,200.0,-1.0,500.0,,-1.0,300.0,-1.0,11411.0,109956.0,50.0,78425.0,-1.0,40.0,973.0,450000.0,-1.0,100.0,30864.0,,16.0,5000.0,750.0,0.0,29314.0,1141.0,12820.0,8400.0,450000.0,,11852.0,800.0,200.0,-1.0
1999,-1.0,,30000.0,100.0,53000.0,200.0,-1.0,200.0,,-1.0,400.0,-1.0,12563.0,95768.0,331.0,52158.0,-1.0,48.0,1029.0,534631.0,-1.0,100.0,33603.0,,20.0,5000.0,1954.0,0.0,30969.0,1100.0,15733.0,8428.0,534631.0,,10580.0,850.0,200.0,-1.0
2000,-1.0,,26700.0,50.0,50000.0,200.0,,250.0,,-1.0,500.0,-1.0,13224.0,92844.0,322.0,50000.0,200.0,50.0,1015.0,598185.0,-1.0,100.0,34400.0,,57.0,5000.0,1990.0,0.0,33317.0,900.0,15303.0,8523.0,598185.0,,9230.0,840.0,400.0,-1.0
2001,-1.0,,29000.0,169.0,47000.0,200.0,,200.0,-1.0,-1.0,500.0,,13032.0,94130.0,112.0,53046.0,223.0,52.0,991.0,599077.0,-1.0,100.0,40000.0,,33.0,5000.0,525.0,0.0,26118.0,700.0,14935.0,8700.0,599077.0,,9510.0,830.0,300.0,
2002,-1.0,,30100.0,183.0,47000.0,200.0,,300.0,-1.0,-1.0,500.0,,11223.0,72405.0,205.0,55272.0,225.0,54.0,580.0,701684.0,-1.0,100.0,46000.0,,33.0,5000.0,670.0,0.0,31385.0,400.0,15200.0,8764.0,701684.0,,9362.0,810.0,350.0,
2003,-1.0,,25100.0,204.0,48000.0,200.0,,400.0,-1.0,-1.0,937.0,,10118.0,60017.0,155.0,55064.0,300.0,57.0,469.0,797168.0,-1.0,100.0,50000.0,,4.0,5000.0,759.0,0.0,33267.0,900.0,16800.0,9000.0,797168.0,,16821.0,800.0,370.0,
2004,-1.0,,24000.0,220.0,49000.0,200.0,,300.0,-1.0,-1.0,949.0,,12431.0,71795.0,47.0,55062.0,200.0,59.0,444.0,922735.0,-1.0,100.0,52758.0,,10.0,5000.0,775.0,0.0,31051.0,663.0,18712.0,9000.0,922735.0,,9510.0,850.0,70.0,
2005,-1.0,,21800.0,236.0,50000.0,200.0,,306.0,-1.0,-1.0,1937.0,,8144.0,76447.0,66.0,52000.0,224.0,61.0,385.0,1031857.0,-1.0,100.0,57057.0,,13.0,5000.0,600.0,0.0,22327.0,540.0,19086.0,9000.0,1031857.0,230.0,8629.0,900.0,300.0,
2006,32.0,,23100.0,241.0,53814.0,252.0,,315.0,,-1.0,1765.0,,9670.0,82450.0,22.0,52615.0,224.0,63.0,426.0,1139661.0,-1.0,100.0,55000.0,,40.0,5000.0,800.0,0.0,30900.0,,17442.0,8000.0,1139661.0,320.0,10140.0,920.0,350.0,
2007,30.0,,22100.0,260.0,55100.0,254.0,,320.0,,50.0,1887.0,,8284.0,77524.0,9.0,50000.0,225.0,66.0,338.0,1266510.0,-1.0,100.0,56067.0,,21.0,5000.0,800.0,0.0,24251.0,,14999.0,9000.0,1266510.0,350.0,10000.0,950.0,400.0,
2008,25.0,,25300.0,500.0,55395.0,255.0,,400.0,,50.0,795.0,,6290.0,75171.0,44.0,55000.0,226.0,68.0,418.0,1450452.0,,100.0,57446.0,,26.0,5000.0,850.0,0.0,23916.0,,9800.0,10500.0,1450452.0,900.0,11000.0,950.0,480.0,
2009,20.0,,21700.0,356.0,61697.0,257.0,,500.0,,50.0,839.0,,8672.0,75911.0,35.0,56755.0,200.0,70.0,399.0,1550000.0,,100.0,55000.0,,22.0,5580.0,860.0,0.0,24305.0,,14000.0,10548.0,1550000.0,850.0,16000.0,980.0,460.0,
2010,14.0,,23500.0,365.0,59171.0,259.0,,538.0,,50.0,816.0,,9376.0,68630.0,29.0,56628.0,200.0,72.0,280.0,1643862.0,,120.0,60718.0,,38.0,5704.0,750.0,0.0,22350.0,,20900.0,10794.0,1643862.0,415.0,17900.0,1000.0,440.0,
2011,7.0,,19100.0,373.0,60270.0,261.0,,600.0,,50.0,803.0,,7036.0,64586.0,32.0,56853.0,200.0,75.0,256.0,1693502.0,,130.0,62928.0,,13.0,5200.0,675.0,0.0,18271.0,,21500.0,11000.0,1693502.0,500.0,16900.0,1000.0,430.0,
2012,2.0,,20900.0,460.0,57881.0,263.0,,600.0,,50.0,793.0,,8676.0,62345.0,25.0,59764.0,250.0,80.0,330.0,1709649.0,,135.0,59744.0,,7.0,5800.0,651.0,0.0,19130.0,,28700.0,12000.0,1709649.0,920.0,15300.0,1100.0,420.0,
2013,1.0,,21000.0,394.0,60019.0,44.0,,568.0,,50.0,817.0,,9200.0,64184.0,25.0,55086.0,300.0,80.0,270.0,1719410.0,,140.0,76035.0,,5.0,5451.0,610.0,0.0,24739.0,,27800.0,12000.0,1719410.0,1100.0,17200.0,1100.0,439.0,
2014,1.0,,21400.0,400.0,63762.0,44.0,,443.0,,50.0,756.0,,8668.0,56551.0,26.0,51959.0,200.0,76.0,300.0,1683815.0,,123.0,77890.0,,17.0,6590.0,574.0,0.0,18465.0,,28440.0,12256.0,1683815.0,1100.0,16136.0,1111.0,410.0,
