,"China, Taiwan Province of",USSR,Japan,Poland,Norway,Denmark,Switzerland,Mexico,Portugal,France,Romania,Italy,Hungary,Germany,Russian Federation,Bulgaria,Sweden,Peru,China,United States of America,Latvia,Australia & New Zealand,Morocco,Slovenia,Uzbekistan,Canada,Australia,Spain,Lithuania,Kyrgyzstan,Netherlands,Ukraine,New Zealand
2004,-1.0,,-1.0,3981.0,-1.0,-1.0,-1.0,60.0,,2800.0,300.0,108.0,-1.0,-1.0,700.0,-1.0,3900.0,-1.0,-1.0,17981.0,200.0,400.0,10.0,-1.0,100.0,28162.0,-1.0,,4523.0,-1.0,659.0,600.0,400.0
2005,-1.0,,-1.0,1500.0,-1.0,-1.0,-1.0,60.0,,2800.0,700.0,173.0,-1.0,1467.0,650.0,-1.0,4000.0,-1.0,-1.0,19713.0,900.0,433.0,10.0,-1.0,100.0,29704.0,-1.0,,5187.0,,496.0,600.0,433.0
2006,-1.0,,-1.0,1440.0,25.0,-1.0,-1.0,56.0,,2800.0,300.0,200.0,-1.0,1410.0,600.0,20.0,4224.0,-1.0,-1.0,22030.0,800.0,462.0,10.0,-1.0,100.0,31485.0,,,5320.0,,276.0,500.0,462.0
2007,-1.0,,-1.0,1954.0,22.0,-1.0,-1.0,14.0,,2800.0,307.0,171.0,-1.0,1406.0,600.0,20.0,4500.0,-1.0,-1.0,21619.0,900.0,522.0,10.0,-1.0,91.0,30274.0,,,4966.0,,280.0,600.0,522.0
2008,-1.0,,-1.0,2256.0,25.0,-1.0,-1.0,62.0,,2800.0,366.0,174.0,-1.0,1406.0,500.0,20.0,4384.0,-1.0,-1.0,24354.0,200.0,450.0,11.0,-1.0,100.0,34109.0,,,5200.0,,419.0,600.0,450.0
2009,-1.0,,-1.0,2366.0,28.0,-1.0,42.0,190.0,,2800.0,383.0,173.0,-1.0,1426.0,500.0,18.0,4427.0,-1.0,-1.0,25807.0,300.0,539.0,12.0,-1.0,100.0,34848.0,,,968.0,,526.0,200.0,539.0
2010,-1.0,,-1.0,2167.0,23.0,38.0,46.0,106.0,,2640.0,372.0,174.0,-1.0,1429.0,500.0,17.0,4470.0,32.0,-1.0,28170.0,600.0,543.0,13.0,-1.0,100.0,34277.0,,,3000.0,,535.0,200.0,543.0
2011,-1.0,,-1.0,2404.0,25.0,44.0,55.0,636.0,,2455.0,361.0,174.0,-1.0,1434.0,500.0,16.0,4700.0,280.0,-1.0,29137.0,1000.0,549.0,15.0,-1.0,110.0,38493.0,,,2700.0,,584.0,200.0,549.0
2012,-1.0,,-1.0,3126.0,23.0,46.0,66.0,885.0,,2458.0,280.0,175.0,-1.0,1835.0,500.0,15.0,5000.0,500.0,-1.0,30919.0,1000.0,579.0,15.0,-1.0,121.0,36929.0,,,2600.0,,586.0,150.0,579.0
2013,-1.0,,-1.0,3223.0,25.0,53.0,73.0,1290.0,,2402.0,334.0,176.0,-1.0,2031.0,500.0,15.0,4675.0,1000.0,-1.0,32796.0,1440.0,583.0,15.0,-1.0,135.0,37569.0,,,2600.0,,574.0,150.0,583.0
2014,-1.0,,-1.0,3470.0,22.0,55.0,73.0,1803.0,,2490.0,310.0,176.0,-1.0,2083.0,500.0,14.0,4655.0,1000.0,-1.0,34297.0,1400.0,621.0,13.0,-1.0,141.0,39083.0,,,2200.0,,639.0,150.0,621.0
