,Turkey,Bulgaria,Poland,Chile,USSR,Belarus,United States of America,Estonia,The former Yugoslav Republic of Macedonia,Latvia,Azerbaijan,France,Spain,Tunisia,Romania,Canada,Ukraine,Germany
1999,60.0,-1.0,,,,2500.0,288396.0,,100.0,3300.0,1000.0,0.0,-1.0,50.0,-1.0,35680.0,-1.0,-1.0
2000,63.0,-1.0,,,,2000.0,259093.0,,132.0,5600.0,1300.0,0.0,100.0,50.0,500.0,31810.0,500.0,-1.0
2001,67.0,-1.0,,,,1400.0,241766.0,,134.0,5300.0,1500.0,10.0,100.0,50.0,800.0,34784.0,500.0,-1.0
2002,70.0,-1.0,,,,1500.0,258096.0,,96.0,3700.0,2500.0,30.0,100.0,50.0,800.0,51562.0,300.0,-1.0
2003,74.0,-1.0,,,,1000.0,280957.0,,97.0,2200.0,1400.0,20.0,100.0,50.0,1000.0,52651.0,50.0,-1.0
2004,78.0,-1.0,,,,3000.0,280140.0,,99.0,2700.0,900.0,150.0,100.0,50.0,500.0,66790.0,100.0,-1.0
2005,81.0,-1.0,,12200.0,,3000.0,283225.0,,179.0,2000.0,1800.0,0.0,100.0,72.0,653.0,67870.0,500.0,-1.0
2006,85.0,100.0,,17000.0,,4000.0,312980.0,,250.0,2100.0,3000.0,39.0,100.0,81.0,638.0,77090.0,500.0,-1.0
2007,89.0,100.0,,22000.0,,4000.0,297280.0,,218.0,1900.0,3400.0,39.0,100.0,75.0,633.0,66360.0,500.0,-1.0
2008,92.0,100.0,,35000.0,,6000.0,356796.0,,230.0,916.0,2200.0,42.0,100.0,88.0,650.0,72688.0,600.0,-1.0
2009,96.0,97.0,,40000.0,,7500.0,313569.0,,240.0,896.0,2200.0,44.0,100.0,82.0,644.0,86776.0,300.0,-1.0
2010,99.0,95.0,,56000.0,,8300.0,308815.0,,300.0,976.0,2400.0,46.0,100.0,250.0,642.0,75405.0,300.0,-1.0
2011,103.0,93.0,,74000.0,,7900.0,349888.0,,262.0,791.0,2200.0,48.0,100.0,200.0,639.0,86286.0,300.0,-1.0
2012,107.0,90.0,,78000.0,,6500.0,402300.0,,300.0,676.0,2400.0,49.0,100.0,166.0,549.0,141081.0,700.0,-1.0
2013,110.0,90.0,,82000.0,,900.0,406328.0,,281.0,618.0,2500.0,51.0,100.0,167.0,621.0,135075.0,800.0,-1.0
2014,114.0,90.0,,82000.0,,8000.0,381018.0,,290.0,617.0,2800.0,53.0,100.0,180.0,563.0,176036.0,400.0,
