,USSR,France,Australia & New Zealand,Pakistan,Thailand,Ethiopia,Kenya,Romania,Democratic People's Republic of Korea,Lebanon,Yemen,Tunisia,Albania,Brazil,Paraguay,Niger,Serbia,Slovenia,Hungary,Argentina,Colombia,Spain,India,Malta,Ecuador,Cabo Verde,Indonesia,Republic of Moldova,Canada,Turkey,Jordan,South Sudan,Egypt,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Republic of Korea,Nigeria,Montenegro,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",Madagascar,Cyprus,Kazakhstan,Uruguay,Lithuania,Portugal,Netherlands,Guatemala,Cuba,Slovakia,Bhutan,Turkmenistan,Philippines,Iraq,Czechia,Timor-Leste,United Republic of Tanzania,Nepal,Libya,Bangladesh,Italy,Mauritius,Uzbekistan,Occupied Palestinian Territory,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Switzerland,Chile,Honduras,Kyrgyzstan,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Estonia,Georgia,Azerbaijan,Bosnia and Herzegovina,Oman,New Zealand,Russian Federation,Austria,Sudan,Venezuela (Bolivarian Republic of),Latvia,Ukraine,Kuwait,Bolivia (Plurinational State of),Tajikistan,Croatia,Bulgaria,Myanmar,China
1971,8200.0,5940.0,100.0,1926.0,21904.0,,14.0,8900.0,4000.0,527.0,,830.0,-1.0,13651.0,500.0,-1.0,,,2400.0,10390.0,-1.0,19800.0,30000.0,370.0,722.0,-1.0,,,-1.0,12300.0,6.0,,4201.0,,3000.0,2300.0,10.0,15264.0,,,530.0,1157.0,6747.0,16600.0,-1.0,1140.0,1497.0,210000.0,80.0,3.0,,580.0,,150.0,-1.0,720.0,10.0,,-1.0,,3740.0,805.0,,-1.0,250.0,-1.0,177.0,13400.0,6868.0,24.0,,-1.0,-1.0,,,420.0,220.0,-1.0,1750.0,80.0,,,4766.0,250.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,518.0,,,,370.0,,,4384.0,7168.0,214766.0
1972,8500.0,4570.0,100.0,2307.0,23392.0,,14.0,7700.0,4100.0,356.0,,830.0,-1.0,13559.0,491.0,-1.0,,,2300.0,10830.0,-1.0,23000.0,30000.0,370.0,1028.0,-1.0,,,-1.0,12000.0,3.0,,3781.0,,2700.0,2400.0,10.0,16220.0,,,470.0,1505.0,6635.0,16196.0,-1.0,1500.0,2064.0,200000.0,80.0,3.0,,600.0,,150.0,-1.0,780.0,5.0,,-1.0,,4260.0,625.0,,-1.0,250.0,-1.0,400.0,13000.0,6498.0,18.0,,-1.0,-1.0,,,420.0,220.0,-1.0,1900.0,82.0,,,5899.0,430.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,560.0,,,,400.0,,,2972.0,6979.0,205899.0
1973,8800.0,5175.0,100.0,2023.0,30736.0,,14.0,6600.0,4200.0,338.0,,830.0,-1.0,11531.0,770.0,-1.0,,,2000.0,11300.0,-1.0,30700.0,33000.0,300.0,704.0,-1.0,,,-1.0,11800.0,13.0,,5881.0,,2800.0,2000.0,10.0,16687.0,,,610.0,822.0,6516.0,16246.0,-1.0,1555.0,2792.0,230000.0,100.0,3.0,,620.0,,150.0,-1.0,820.0,7.0,,-1.0,,4100.0,616.0,,-1.0,250.0,-1.0,400.0,12404.0,6388.0,27.0,,-1.0,-1.0,,,420.0,220.0,-1.0,2000.0,84.0,,,5966.0,340.0,-1.0,-1.0,,,,,,-1.0,100.0,,-1.0,,541.0,,,,580.0,,,2672.0,7384.0,235966.0
1974,8900.0,6102.0,50.0,2000.0,33088.0,,21.0,6800.0,4300.0,833.0,,850.0,-1.0,10263.0,473.0,-1.0,,,2100.0,12900.0,-1.0,38300.0,28100.0,340.0,674.0,-1.0,,,-1.0,14100.0,1.0,,5461.0,,3400.0,2100.0,10.0,18328.0,,,750.0,1936.0,6906.0,16288.0,-1.0,1606.0,3642.0,220000.0,85.0,3.0,,650.0,,150.0,-1.0,900.0,10.0,,-1.0,,3660.0,289.0,,-1.0,250.0,-1.0,230.0,12553.0,6647.0,41.0,,-1.0,-1.0,,,420.0,220.0,-1.0,2000.0,87.0,,800.0,6021.0,210.0,-1.0,-1.0,,,,,,-1.0,50.0,,-1.0,,856.0,,,,630.0,,,3299.0,6953.0,226021.0
1975,8900.0,5694.0,30.0,2072.0,21104.0,,21.0,6700.0,4400.0,350.0,,860.0,-1.0,5484.0,553.0,-1.0,,,1200.0,13240.0,-1.0,36000.0,39800.0,400.0,663.0,-1.0,,,-1.0,13100.0,40.0,,5040.0,,3100.0,1968.0,10.0,13561.0,,,870.0,2033.0,6523.0,16072.0,-1.0,1767.0,4371.0,230000.0,80.0,3.0,,650.0,,150.0,-1.0,940.0,6.0,,-1.0,,4160.0,410.0,,-1.0,250.0,-1.0,190.0,12719.0,6283.0,20.0,,-1.0,-1.0,,,462.0,230.0,-1.0,1888.0,89.0,,1600.0,8671.0,270.0,-1.0,-1.0,,,,,,-1.0,30.0,,-1.0,,753.0,,,40.0,600.0,,,3649.0,6872.0,238671.0
1976,8500.0,5747.0,30.0,1825.0,19408.0,,21.0,8800.0,4500.0,350.0,,780.0,-1.0,6154.0,606.0,-1.0,,,768.0,13550.0,-1.0,36400.0,35900.0,400.0,905.0,-1.0,,,-1.0,14000.0,6.0,,5086.0,,3000.0,1899.0,10.0,13709.0,,,450.0,1815.0,5149.0,16185.0,-1.0,2114.0,3561.0,230000.0,120.0,3.0,,650.0,,150.0,-1.0,980.0,7.0,,-1.0,,4420.0,276.0,,-1.0,250.0,-1.0,210.0,11932.0,5868.0,20.0,,-1.0,-1.0,,,504.0,230.0,-1.0,1900.0,91.0,,2000.0,8560.0,400.0,-1.0,-1.0,,,,,,-1.0,30.0,,-1.0,,656.0,,,61.0,620.0,,,3592.0,6802.0,238560.0
1977,10600.0,6113.0,50.0,2009.0,26848.0,,21.0,8600.0,4600.0,350.0,,600.0,-1.0,6351.0,691.0,-1.0,,,742.0,14500.0,-1.0,33400.0,41500.0,370.0,353.0,-1.0,,,-1.0,14700.0,2.0,,6455.0,,2800.0,2017.0,10.0,19759.0,,,600.0,1385.0,7213.0,16100.0,-1.0,1357.0,4209.0,245000.0,70.0,3.0,,650.0,,200.0,-1.0,1080.0,1.0,,-1.0,,4910.0,760.0,,-1.0,250.0,-1.0,272.0,12939.0,5644.0,11.0,,-1.0,-1.0,,,550.0,240.0,-1.0,2000.0,93.0,,2600.0,9243.0,404.0,-1.0,-1.0,,,,,,-1.0,50.0,,-1.0,,743.0,,,79.0,625.0,,,3609.0,7396.0,254243.0
1978,13500.0,6716.0,98.0,4097.0,26688.0,,21.0,7800.0,4700.0,400.0,,600.0,-1.0,7060.0,674.0,-1.0,,,1005.0,17000.0,-1.0,36100.0,49200.0,370.0,201.0,-1.0,,,-1.0,14700.0,1.0,,5372.0,,3100.0,2062.0,10.0,25416.0,,,360.0,1400.0,7722.0,16136.0,-1.0,1721.0,5261.0,275000.0,71.0,4.0,,700.0,,200.0,-1.0,1150.0,3.0,,-1.0,,5120.0,567.0,,-1.0,250.0,-1.0,238.0,12357.0,5725.0,6.0,,-1.0,-1.0,,,600.0,250.0,-1.0,2200.0,95.0,,3000.0,9370.0,240.0,-1.0,-1.0,,,,,,-1.0,98.0,,-1.0,,573.0,,,61.0,565.0,,,3998.0,7572.0,284370.0
1979,16400.0,6995.0,139.0,4918.0,26080.0,,21.0,7600.0,4800.0,400.0,523.0,750.0,-1.0,8472.0,703.0,-1.0,,,823.0,16820.0,-1.0,39800.0,59700.0,370.0,234.0,-1.0,,,-1.0,13800.0,1.0,,5372.0,,3300.0,1935.0,10.0,40663.0,,,640.0,2416.0,8933.0,16640.0,-1.0,1886.0,5747.0,270000.0,114.0,4.0,,793.0,,200.0,-1.0,1250.0,4.0,,-1.0,,4760.0,1000.0,,-1.0,250.0,-1.0,230.0,12505.0,5772.0,17.0,,-1.0,-1.0,,,625.0,250.0,-1.0,2700.0,110.0,,3600.0,10870.0,250.0,-1.0,-1.0,,,,,,-1.0,139.0,,-1.0,,772.0,,,79.0,435.0,,,4038.0,7520.0,280870.0
1980,16300.0,6923.0,184.0,5056.0,26768.0,,21.0,8000.0,5000.0,400.0,503.0,1200.0,-1.0,12352.0,700.0,-1.0,,,757.0,18700.0,-1.0,33800.0,59300.0,370.0,399.0,-1.0,,,-1.0,15200.0,6.0,,6906.0,,3300.0,1679.0,10.0,37080.0,,,550.0,1670.0,6423.0,16553.0,-1.0,2016.0,6151.0,265000.0,109.0,6.0,,725.0,,200.0,-1.0,1300.0,15.0,,-1.0,,4760.0,1875.0,,-1.0,250.0,-1.0,240.0,12437.0,5556.0,23.0,,-1.0,-1.0,,,651.0,300.0,-1.0,1500.0,97.0,,4000.0,12265.0,380.0,-1.0,-1.0,,,,,,-1.0,184.0,,-1.0,,752.0,,,35.0,475.0,,,3534.0,8648.0,277265.0
1981,16000.0,6700.0,151.0,4905.0,30640.0,,21.0,10200.0,5500.0,500.0,483.0,600.0,-1.0,12651.0,700.0,-1.0,,,913.0,14400.0,-1.0,32700.0,60500.0,370.0,408.0,-1.0,6000.0,,-1.0,14750.0,2.0,,4998.0,,3300.0,1812.0,10.0,26198.0,,,500.0,1883.0,5939.0,17000.0,-1.0,1774.0,5342.0,290000.0,120.0,6.0,,820.0,,200.0,-1.0,1300.0,14.0,,-1.0,,5519.0,1450.0,,-1.0,250.0,-1.0,300.0,12950.0,5424.0,24.0,,-1.0,-1.0,,,646.0,400.0,-1.0,1050.0,109.0,,4650.0,9342.0,290.0,120.0,-1.0,,,,,,-1.0,151.0,,-1.0,,868.0,,,25.0,665.0,,,3427.0,8390.0,299342.0
1982,10000.0,6600.0,256.0,5429.0,31936.0,,21.0,10200.0,6000.0,550.0,501.0,600.0,-1.0,18356.0,850.0,-1.0,,,1081.0,7200.0,-1.0,35700.0,63400.0,370.0,543.0,-1.0,4748.0,,-1.0,16035.0,2.0,,4670.0,,3300.0,2011.0,10.0,27873.0,,,700.0,1507.0,5529.0,17000.0,-1.0,2409.0,6400.0,320000.0,121.0,7.0,,850.0,,200.0,-1.0,1300.0,12.0,,-1.0,,6977.0,1250.0,,-1.0,250.0,-1.0,347.0,12942.0,5257.0,29.0,,-1.0,-1.0,,,678.0,500.0,-1.0,1075.0,100.0,,4330.0,9391.0,310.0,120.0,-1.0,,,,,,-1.0,256.0,,-1.0,,1014.0,,,28.0,455.0,,,3990.0,8013.0,329391.0
1983,11000.0,7300.0,220.0,6374.0,36608.0,,21.0,8500.0,6200.0,600.0,551.0,600.0,-1.0,15646.0,900.0,-1.0,,,1411.0,8595.0,-1.0,40900.0,80700.0,370.0,536.0,-1.0,5065.0,,-1.0,15600.0,64.0,,5880.0,,3100.0,2255.0,10.0,33468.0,,,1100.0,2992.0,6883.0,17068.0,-1.0,2411.0,8400.0,320000.0,123.0,8.0,,850.0,,200.0,-1.0,1300.0,14.0,,-1.0,,5867.0,850.0,,-1.0,250.0,-1.0,401.0,12968.0,5469.0,17.0,,-1.0,-1.0,,,700.0,750.0,-1.0,1200.0,105.0,,3690.0,11115.0,260.0,120.0,-1.0,,,,,,-1.0,220.0,,-1.0,,1004.0,,,30.0,420.0,,,4181.0,7972.0,331115.0
1984,11500.0,7400.0,180.0,6412.0,36640.0,,21.0,7700.0,6500.0,650.0,295.0,1200.0,-1.0,11831.0,900.0,-1.0,,,1042.0,9785.0,-1.0,44936.0,72600.0,370.0,526.0,-1.0,9000.0,,-1.0,14900.0,178.0,,6300.0,,3000.0,2226.0,10.0,39734.0,,,1072.0,2900.0,8113.0,18480.0,-1.0,2076.0,6000.0,320000.0,127.0,18.0,,850.0,,200.0,-1.0,1310.0,15.0,,-1.0,,5529.0,2000.0,,-1.0,250.0,-1.0,500.0,13071.0,5343.0,26.0,,-1.0,-1.0,,,675.0,1000.0,-1.0,1417.0,90.0,,4930.0,10150.0,290.0,150.0,-1.0,,,,,,-1.0,180.0,,-1.0,,1278.0,,,25.0,382.0,,,4160.0,9760.0,330150.0
1985,9400.0,7000.0,150.0,6471.0,27432.0,,21.0,7800.0,6800.0,700.0,312.0,1470.0,-1.0,11433.0,1062.0,-1.0,,,1089.0,7286.0,-1.0,41690.0,57700.0,370.0,515.0,-1.0,12000.0,,-1.0,13900.0,106.0,,3360.0,,2700.0,1979.0,10.0,39015.0,,,485.0,1528.0,5893.0,18715.0,-1.0,2102.0,6350.0,320000.0,130.0,10.0,,850.0,,250.0,-1.0,1310.0,15.0,,-1.0,,6260.0,2925.0,,-1.0,250.0,-1.0,500.0,12705.0,4911.0,36.0,,-1.0,-1.0,,,700.0,1200.0,-1.0,1540.0,80.0,,6660.0,9624.0,350.0,180.0,-1.0,,,,,,-1.0,150.0,,-1.0,,1547.0,,,49.0,336.0,,,4168.0,10615.0,329624.0
1986,11000.0,7000.0,100.0,6580.0,28172.0,,23.0,7800.0,7000.0,800.0,361.0,620.0,-1.0,14628.0,828.0,-1.0,,,748.0,6284.0,-1.0,39900.0,59600.0,370.0,952.0,-1.0,17000.0,,-1.0,13200.0,190.0,,3780.0,,2200.0,2074.0,10.0,48240.0,,,893.0,1939.0,6047.0,18334.0,-1.0,2992.0,6400.0,330000.0,135.0,17.0,,850.0,,250.0,-1.0,1320.0,15.0,,-1.0,,6840.0,3325.0,,-1.0,260.0,-1.0,500.0,12390.0,5038.0,43.0,,-1.0,-1.0,,,750.0,1300.0,-1.0,1650.0,60.0,,6590.0,9572.0,370.0,240.0,-1.0,,,,,,-1.0,100.0,,-1.0,,1591.0,,,95.0,525.0,,,4107.0,10798.0,339572.0
1987,13000.0,7700.0,88.0,6919.0,34363.0,,25.0,8000.0,7300.0,900.0,510.0,700.0,-1.0,17850.0,1021.0,-1.0,,,1255.0,7192.0,-1.0,42500.0,93700.0,370.0,600.0,5.0,15729.0,,-1.0,13000.0,381.0,,7560.0,,2500.0,2186.0,10.0,49198.0,,,1111.0,1825.0,7356.0,19000.0,-1.0,2789.0,6800.0,330000.0,135.0,16.0,,860.0,,250.0,-1.0,1320.0,15.0,,-1.0,,6292.0,1350.0,,-1.0,260.0,-1.0,500.0,12380.0,4996.0,38.0,,-1.0,-1.0,,,770.0,1450.0,-1.0,2194.0,40.0,,6960.0,10089.0,410.0,300.0,-1.0,,,,,,-1.0,88.0,,-1.0,,1631.0,,,160.0,600.0,,,4195.0,10606.0,340089.0
1988,13000.0,7100.0,118.0,7299.0,37313.0,,28.0,8700.0,7500.0,1000.0,567.0,680.0,-1.0,14374.0,1066.0,-1.0,,,2640.0,7030.0,-1.0,41600.0,85600.0,370.0,420.0,5.0,17500.0,,-1.0,13100.0,644.0,,7140.0,,2400.0,2223.0,10.0,36994.0,,,938.0,1915.0,8569.0,19822.0,-1.0,3363.0,7600.0,335000.0,135.0,16.0,,850.0,,250.0,-1.0,1330.0,15.0,,-1.0,,5450.0,1525.0,,-1.0,270.0,-1.0,500.0,12513.0,5041.0,26.0,,-1.0,-1.0,,,760.0,1600.0,-1.0,3568.0,30.0,,7310.0,6869.0,460.0,380.0,-1.0,,,,,,-1.0,118.0,,-1.0,,1503.0,,,221.0,650.0,,,4650.0,10205.0,341869.0
1989,14000.0,6724.0,113.0,7166.0,28985.0,,30.0,13600.0,7500.0,1100.0,929.0,1000.0,-1.0,13935.0,1010.0,-1.0,,,2824.0,5970.0,-1.0,38800.0,85400.0,375.0,600.0,5.0,18915.0,,-1.0,12700.0,139.0,,4667.0,,2300.0,2533.0,10.0,38506.0,,,493.0,1800.0,6230.0,19928.0,-1.0,3701.0,8400.0,340000.0,138.0,15.0,,860.0,,250.0,-1.0,1330.0,15.0,,-1.0,,6143.0,2375.0,,-1.0,280.0,-1.0,500.0,12692.0,4455.0,21.0,,-1.0,-1.0,,,780.0,1726.0,-1.0,2301.0,28.0,,8480.0,7073.0,530.0,350.0,-1.0,,,,,,-1.0,113.0,,-1.0,,1429.0,,,279.0,780.0,,,5196.0,10972.0,347073.0
1990,24000.0,6763.0,131.0,5747.0,25632.0,,25.0,9700.0,8369.0,1200.0,772.0,600.0,600.0,17149.0,331.0,100.0,,,2264.0,6415.0,-1.0,34900.0,90100.0,375.0,670.0,4.0,18483.0,,-1.0,11901.0,74.0,,6211.0,,1779.0,2431.0,22.0,43643.0,-1.0,,1069.0,1700.0,5511.0,19265.0,4100.0,2446.0,9100.0,379387.0,140.0,16.0,,376.0,,257.0,-1.0,1340.0,1000.0,,-1.0,,6406.0,1525.0,,124.0,290.0,-1.0,500.0,13000.0,4707.0,21.0,,-1.0,-1.0,,,795.0,2078.0,-1.0,2674.0,25.0,,7740.0,7216.0,549.0,414.0,-1.0,,,,,,-1.0,131.0,,-1.0,,1118.0,,,195.0,919.0,,,4506.0,10619.0,386603.0
1991,24600.0,7284.0,140.0,6300.0,24096.0,,50.0,8600.0,7963.0,1367.0,766.0,700.0,450.0,18722.0,610.0,150.0,,,2454.0,10500.0,-1.0,34700.0,94300.0,330.0,480.0,5.0,21128.0,,-1.0,12298.0,263.0,,7000.0,,2100.0,2454.0,10.0,49160.0,-1.0,,674.0,1798.0,6947.0,19008.0,4040.0,3082.0,9824.0,345000.0,140.0,16.0,,400.0,,242.0,-1.0,1352.0,1000.0,,-1.0,,4456.0,1175.0,,314.0,300.0,-1.0,550.0,12592.0,4744.0,17.0,,-1.0,5.0,,,800.0,2126.0,-1.0,2373.0,25.0,,7250.0,7517.0,577.0,420.0,-1.0,,,,,,-1.0,140.0,,-1.0,,1426.0,,,50.0,1076.0,,,4637.0,10217.0,352517.0
1992,,7630.0,145.0,7300.0,24608.0,,134.0,10600.0,7950.0,1396.0,783.0,800.0,650.0,16900.0,526.0,180.0,,239.0,2874.0,12695.0,-1.0,34100.0,85500.0,380.0,710.0,6.0,22240.0,-1.0,-1.0,11778.0,375.0,,6082.0,1390.0,1800.0,2473.0,10.0,43494.0,-1.0,,758.0,1800.0,8482.0,,4099.0,2962.0,9310.0,347000.0,140.0,15.0,-1.0,400.0,300.0,213.0,-1.0,1350.0,1305.0,,-1.0,400.0,4189.0,2300.0,,150.0,290.0,-1.0,500.0,12737.0,4616.0,23.0,4200.0,-1.0,6.0,11530.0,300.0,815.0,2300.0,-1.0,4044.0,26.0,1100.0,7670.0,7718.0,468.0,450.0,-1.0,-1.0,39.0,-1.0,1300.0,1200.0,-1.0,145.0,15000.0,-1.0,,1403.0,836.0,12463.0,70.0,1080.0,20.0,2304.0,4311.0,11110.0,354718.0
