,Democratic People's Republic of Korea,El Salvador,Dominica,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Guyana,Malaysia,Mexico,Uruguay,Honduras,Brazil,Sudan (former),China,Indonesia,Japan,Republic of Korea,New Zealand,Belize,South Sudan,Australia & New Zealand,United States of America,Democratic Republic of the Congo,Egypt,Madagascar,Suriname
1979,3700.0,60.0,350.0,2735.0,0.0,2100.0,0.0,3285.0,2391.0,4050.0,500.0,83600.0,1700.0,2100.0,197497.0,68000.0,63000.0,839.0,0.0,-1.0,839.0,46100.0,0.0,3605.0,76825.0,30.0
1980,3740.0,60.0,350.0,1395.0,0.0,1700.0,0.0,2565.0,3439.0,4050.0,400.0,84300.0,1700.0,1700.0,187089.0,70000.0,57000.0,1577.0,0.0,-1.0,1577.0,42000.0,0.0,3781.0,85745.0,38.0
1981,3800.0,60.0,340.0,1575.0,0.0,1500.0,0.0,2295.0,3506.0,4050.0,400.0,82100.0,1700.0,1500.0,188422.0,71000.0,51000.0,1030.0,0.0,-1.0,1030.0,42000.0,0.0,5430.0,86430.0,17.0
1982,4000.0,60.0,320.0,1271.0,0.0,1300.0,0.0,2385.0,2881.0,4050.0,450.0,76600.0,1700.0,1300.0,150809.0,69000.0,48000.0,680.0,0.0,-1.0,680.0,50300.0,0.0,3360.0,96450.0,18.0
1983,4000.0,60.0,320.0,1750.0,0.0,1000.0,0.0,2205.0,3495.0,4050.0,460.0,81100.0,1500.0,1000.0,199172.0,64000.0,42000.0,700.0,0.0,-1.0,700.0,44900.0,0.0,3780.0,97065.0,23.0
1984,4500.0,60.0,325.0,1891.0,0.0,800.0,0.0,2160.0,2339.0,4050.0,485.0,79700.0,1200.0,800.0,194088.0,65000.0,38000.0,800.0,0.0,-1.0,800.0,47500.0,0.0,5040.0,90805.0,12.0
1985,4700.0,60.0,350.0,1978.0,0.0,800.0,0.0,2160.0,1990.0,4050.0,500.0,78700.0,750.0,800.0,194534.0,66000.0,32000.0,800.0,0.0,-1.0,800.0,47600.0,0.0,4620.0,93615.0,10.0
1986,4860.0,60.0,350.0,2430.0,0.0,700.0,0.0,2160.0,3061.0,4050.0,510.0,76100.0,600.0,700.0,188151.0,56500.0,29000.0,720.0,0.0,-1.0,720.0,41000.0,0.0,2520.0,92270.0,10.0
1987,4940.0,60.0,330.0,2169.0,0.0,500.0,0.0,2475.0,2687.0,4050.0,530.0,69269.0,650.0,500.0,181156.0,59000.0,28000.0,990.0,0.0,-1.0,990.0,40000.0,0.0,4620.0,89960.0,14.0
1988,4980.0,71.0,335.0,2770.0,0.0,500.0,0.0,2880.0,2335.0,4050.0,540.0,67532.0,600.0,500.0,194277.0,57000.0,29000.0,990.0,0.0,-1.0,990.0,40000.0,0.0,2100.0,91200.0,9.0
1989,5000.0,70.0,435.0,2445.0,0.0,400.0,0.0,3060.0,2042.0,1184.0,140.0,64323.0,400.0,400.0,200191.0,52000.0,22000.0,1051.0,56.0,-1.0,1051.0,42000.0,0.0,3966.0,91000.0,15.0
1990,5040.0,82.0,340.0,2806.0,0.0,400.0,0.0,3150.0,2003.0,4050.0,145.0,61642.0,600.0,400.0,177432.0,53000.0,20000.0,1283.0,69.0,-1.0,1283.0,46000.0,0.0,4715.0,97000.0,13.0
1991,5200.0,75.0,470.0,2770.0,0.0,400.0,0.0,3330.0,2333.0,2700.0,150.0,58199.0,610.0,400.0,183529.0,46000.0,20000.0,1675.0,74.0,-1.0,1675.0,38600.0,0.0,3722.0,85101.0,52.0
1992,5760.0,75.0,410.0,2950.0,0.0,400.0,0.0,3574.0,2079.0,1564.0,155.0,54393.0,576.0,400.0,195394.0,46000.0,17000.0,1987.0,70.0,-1.0,1987.0,41500.0,0.0,5484.0,97925.0,55.0
1993,2720.0,80.0,380.0,3000.0,0.0,300.0,0.0,3263.0,1570.0,1620.0,157.0,58306.0,615.0,300.0,187939.0,42000.0,15000.0,2145.0,20.0,-1.0,2145.0,40000.0,0.0,6161.0,104000.0,62.0
1994,3840.0,80.0,400.0,2990.0,0.0,300.0,0.0,3304.0,1744.0,1512.0,147.0,56504.0,620.0,300.0,166067.0,47000.0,16000.0,2592.0,24.0,-1.0,2592.0,41400.0,0.0,6352.0,76200.0,71.0
1995,2880.0,75.0,371.0,3052.0,0.0,300.0,0.0,2880.0,1624.0,1620.0,136.0,47769.0,625.0,300.0,195393.0,46000.0,11200.0,2655.0,23.0,-1.0,2655.0,41900.0,0.0,6381.0,86000.0,24.0
1996,3440.0,56.0,450.0,3100.0,0.0,300.0,0.0,2430.0,2360.0,1512.0,143.0,50088.0,3000.0,300.0,181604.0,44000.0,20000.0,2764.0,17.0,-1.0,2764.0,42400.0,0.0,8463.0,91000.0,30.0
1997,6000.0,85.0,507.0,2900.0,0.0,300.0,1735.0,2250.0,2000.0,1485.0,138.0,43483.0,5400.0,300.0,166274.0,40000.0,11461.0,2001.0,28.0,-1.0,2001.0,41200.0,0.0,9396.0,94000.0,38.0
1998,8460.0,83.0,398.0,3100.0,8159.0,300.0,1699.0,2070.0,2500.0,1620.0,135.0,43394.0,5400.0,300.0,174156.0,36000.0,12100.0,1320.0,25.0,-1.0,1320.0,42000.0,0.0,10520.0,92000.0,16.0
1999,9800.0,86.0,460.0,3120.0,6570.0,300.0,1758.0,1620.0,2800.0,1674.0,140.0,44007.0,5400.0,300.0,149900.0,43000.0,10580.0,1702.0,33.0,-1.0,1702.0,45200.0,0.0,9130.0,91025.0,15.0
2000,5800.0,92.0,477.0,3100.0,6689.0,300.0,1300.0,1260.0,3000.0,1701.0,150.0,43162.0,5400.0,300.0,164492.0,31830.0,12111.0,1752.0,38.0,-1.0,1752.0,47200.0,0.0,11807.0,91240.0,13.0
2001,6400.0,97.0,502.0,3010.0,6863.0,300.0,900.0,1890.0,3100.0,1715.0,130.0,43959.0,5400.0,300.0,157416.0,30000.0,13000.0,1605.0,20.0,-1.0,1605.0,47100.0,0.0,8392.0,94490.0,13.0
2002,6800.0,94.0,550.0,1521.0,6176.0,300.0,870.0,2160.0,3200.0,1755.0,145.0,46780.0,8360.0,300.0,159453.0,26000.0,13000.0,1610.0,27.0,-1.0,1610.0,46400.0,0.0,10967.0,105735.0,18.0
2003,7000.0,98.0,555.0,1538.0,5708.0,350.0,857.0,2020.0,2908.0,1782.0,260.0,47338.0,8400.0,350.0,179233.0,26000.0,14000.0,1779.0,15.0,-1.0,1779.0,46100.0,0.0,9622.0,105735.0,25.0
2004,7200.0,95.0,579.0,1557.0,4857.0,350.0,860.0,1931.0,3208.0,1890.0,530.0,45332.0,9320.0,350.0,171162.0,25000.0,14000.0,2051.0,10.0,-1.0,2051.0,43800.0,0.0,20000.0,123913.0,35.0
2005,7000.0,103.0,374.0,1578.0,4690.0,350.0,857.0,1792.0,2886.0,1998.0,840.0,44406.0,11820.0,350.0,167128.0,17000.0,14000.0,1795.0,6.0,-1.0,1795.0,46000.0,0.0,29371.0,122400.0,43.0
2006,7200.0,90.0,501.0,1589.0,5661.0,350.0,847.0,1639.0,2914.0,2025.0,1220.0,44405.0,7980.0,350.0,166888.0,16492.0,14000.0,1692.0,3.0,-1.0,1692.0,45632.0,0.0,12193.0,122855.0,45.0
2007,7400.0,100.0,464.0,1602.0,4495.0,350.0,808.0,1178.0,2704.0,1650.0,1400.0,45597.0,8820.0,350.0,169825.0,16315.0,17000.0,1532.0,7.0,-1.0,1532.0,46858.0,0.0,9369.0,126669.0,41.0
2008,7601.0,101.0,613.0,1616.0,4600.0,350.0,878.0,1178.0,2343.0,2052.0,1090.0,42282.0,9660.0,350.0,168925.0,15339.0,16000.0,1329.0,4.0,-1.0,1329.0,49900.0,23996.0,12517.0,127000.0,7.0
2009,7800.0,100.0,627.0,1321.0,5500.0,350.0,868.0,1948.0,2489.0,2079.0,1096.0,41999.0,10500.0,350.0,185217.0,18000.0,17000.0,1245.0,4.0,-1.0,1245.0,54395.0,24346.0,12118.0,129000.0,24.0
2010,8540.0,110.0,380.0,1331.0,6000.0,350.0,912.0,2006.0,2639.0,2106.0,1250.0,43879.0,10500.0,350.0,184597.0,12000.0,15000.0,1346.0,4.0,-1.0,1346.0,60660.0,24702.0,8639.0,154000.0,27.0
2011,8780.0,120.0,400.0,1333.0,6300.0,350.0,1000.0,2336.0,2121.0,2160.0,1300.0,40120.0,11340.0,350.0,197645.0,14809.0,15000.0,1413.0,2.0,-1.0,1413.0,59253.0,25062.0,9869.0,154000.0,27.0
2012,7600.0,120.0,400.0,1349.0,6100.0,350.0,1000.0,2738.0,2372.0,2214.0,1300.0,39393.0,-1.0,350.0,223514.0,12040.0,20000.0,1608.0,14.0,10500.0,1608.0,52533.0,26500.0,37000.0,155000.0,39.0
2013,9020.0,125.0,398.0,1375.0,6100.0,350.0,1050.0,2712.0,2366.0,2187.0,1150.0,40383.0,-1.0,350.0,214808.0,13981.0,20000.0,1668.0,9.0,10500.0,1668.0,62341.0,27502.0,57000.0,144817.0,51.0
2014,9345.0,125.0,398.0,1375.0,6100.0,350.0,1050.0,2712.0,2366.0,2187.0,1150.0,40383.0,-1.0,350.0,214441.0,11636.0,20000.0,1370.0,9.0,10500.0,1370.0,62341.0,24651.0,57000.0,144817.0,51.0
