,India,Burundi,Myanmar,Grenada,Comoros,Dominican Republic,Philippines,Panama,Puerto Rico,Nepal,Kenya,Pakistan,Jamaica,United Republic of Tanzania,Venezuela (Bolivarian Republic of),Trinidad and Tobago,Bahamas,Saint Vincent and the Grenadines,Bangladesh,Democratic Republic of the Congo,Malawi,Haiti,Uganda
1971,2655000.0,2100.0,62399.0,450.0,-1.0,16000.0,-1.0,2000.0,3200.0,13500.0,-1.0,1860.0,3155.0,30000.0,11188.0,2400.0,427.0,-1.0,3337.0,5200.0,107000.0,6400.0,91000.0
1972,2345500.0,2100.0,73580.0,540.0,-1.0,17000.0,-1.0,2000.0,2712.0,13800.0,-1.0,1250.0,4179.0,20000.0,9796.0,2200.0,436.0,-1.0,2916.0,5700.0,109000.0,6400.0,121100.0
1973,2424100.0,2100.0,65401.0,560.0,-1.0,17000.0,-1.0,2000.0,2555.0,14000.0,-1.0,2954.0,2934.0,20000.0,8776.0,1465.0,441.0,-1.0,2880.0,5700.0,112000.0,6400.0,78200.0
1974,2646000.0,2100.0,72439.0,560.0,-1.0,17000.0,-1.0,2000.0,4716.0,14200.0,-1.0,1295.0,2283.0,20000.0,7715.0,1483.0,449.0,-1.0,2947.0,5700.0,113000.0,6500.0,115600.0
1975,2528900.0,2100.0,75384.0,580.0,-1.0,18000.0,-1.0,2000.0,6681.0,14500.0,-1.0,1457.0,2800.0,25000.0,7504.0,1500.0,453.0,-1.0,5000.0,6000.0,110000.0,6500.0,63800.0
1976,2671000.0,2100.0,63969.0,610.0,-1.0,9000.0,-1.0,2000.0,5502.0,14800.0,-1.0,1012.0,2027.0,36000.0,7771.0,1500.0,445.0,-1.0,8000.0,6000.0,115000.0,6500.0,86617.0
1977,2566000.0,2100.0,42895.0,660.0,-1.0,9748.0,-1.0,2000.0,5800.0,15000.0,-1.0,1020.0,1487.0,33846.0,6914.0,1650.0,448.0,-1.0,10000.0,6000.0,116000.0,6500.0,105821.0
1978,2626200.0,2300.0,33028.0,610.0,-1.0,9182.0,-1.0,2000.0,5896.0,15500.0,-1.0,1108.0,2473.0,32308.0,6865.0,2000.0,373.0,-1.0,15000.0,6000.0,117000.0,7948.0,105300.0
1979,2634900.0,2300.0,48928.0,661.0,-1.0,13333.0,-1.0,2000.0,6289.0,16000.0,-1.0,2790.0,2554.0,30575.0,6858.0,1950.0,400.0,-1.0,9600.0,6000.0,115000.0,8000.0,58000.0
1980,2731000.0,2350.0,31276.0,500.0,-1.0,14915.0,-1.0,2100.0,6485.0,16400.0,-1.0,2800.0,2462.0,35279.0,6624.0,1900.0,420.0,-1.0,9300.0,6000.0,115000.0,8500.0,50000.0
1981,2842200.0,2200.0,61070.0,404.0,-1.0,20901.0,-1.0,2300.0,5385.0,17000.0,-1.0,2800.0,2673.0,39982.0,6688.0,1800.0,440.0,-1.0,9300.0,6000.0,115000.0,8500.0,55000.0
1982,3004000.0,2500.0,70649.0,410.0,-1.0,13700.0,-1.0,2700.0,4900.0,18000.0,-1.0,2850.0,2312.0,44685.0,6981.0,1700.0,460.0,-1.0,9600.0,6000.0,116000.0,8500.0,60000.0
1983,2926100.0,2400.0,56781.0,410.0,-1.0,15085.0,-1.0,2600.0,5300.0,19000.0,-1.0,2900.0,2273.0,49388.0,7846.0,1500.0,480.0,-1.0,7200.0,6000.0,117000.0,8500.0,61900.0
1984,3218000.0,1800.0,55776.0,410.0,-1.0,26952.0,-1.0,2650.0,5198.0,20000.0,-1.0,2900.0,2240.0,54091.0,7776.0,1200.0,500.0,-1.0,7200.0,6000.0,113000.0,8500.0,72000.0
1985,3154900.0,2300.0,78021.0,400.0,-1.0,19240.0,-1.0,2700.0,5000.0,14260.0,-1.0,561.0,2338.0,58794.0,8729.0,1400.0,500.0,-1.0,7100.0,6500.0,113000.0,8500.0,60000.0
1986,3183900.0,2300.0,77344.0,420.0,-1.0,19048.0,-1.0,2800.0,3500.0,16050.0,-1.0,824.0,2553.0,63497.0,8853.0,900.0,500.0,-1.0,5906.0,6500.0,115000.0,8500.0,66613.0
1987,3147500.0,2300.0,53612.0,430.0,-1.0,11842.0,-1.0,2900.0,3537.0,17470.0,-1.0,979.0,1971.0,68200.0,8932.0,1000.0,510.0,-1.0,5634.0,6500.0,115000.0,8500.0,60000.0
1988,3333100.0,2300.0,57802.0,440.0,-1.0,29559.0,-1.0,3000.0,3537.0,18460.0,-1.0,975.0,2229.0,72904.0,9120.0,1400.0,510.0,-1.0,5561.0,6700.0,115000.0,8500.0,64000.0
1989,3488700.0,2300.0,62025.0,450.0,-1.0,37377.0,-1.0,3000.0,3537.0,17920.0,154000.0,800.0,1092.0,77607.0,9791.0,1100.0,500.0,-1.0,5762.0,6700.0,108000.0,8500.0,68000.0
1990,3599700.0,2222.0,57064.0,460.0,380.0,32134.0,-1.0,3899.0,3537.0,18870.0,152444.0,300.0,1581.0,82310.0,10300.0,976.0,443.0,-1.0,5406.0,7416.0,110000.0,8300.0,62000.0
1991,3593000.0,2111.0,68792.0,470.0,377.0,31993.0,-1.0,4000.0,3537.0,17930.0,156000.0,0.0,1775.0,87013.0,10300.0,1050.0,440.0,-1.0,5376.0,7000.0,100000.0,8100.0,60000.0
1992,3627000.0,2543.0,103906.0,470.0,379.0,36396.0,-1.0,4096.0,2476.0,17520.0,171000.0,0.0,1956.0,91716.0,10000.0,1000.0,360.0,-1.0,5803.0,7500.0,95000.0,7500.0,62000.0
1993,3576000.0,2445.0,206298.0,480.0,390.0,36016.0,-1.0,3400.0,2162.0,22800.0,150540.0,0.0,1533.0,96419.0,10800.0,1100.0,295.0,-1.0,5781.0,7900.0,93000.0,5139.0,64000.0
1994,3532000.0,2100.0,224096.0,485.0,396.0,25763.0,-1.0,3600.0,2358.0,22561.0,131400.0,0.0,1449.0,101122.0,10261.0,1200.0,193.0,-1.0,6000.0,8300.0,90000.0,3226.0,67000.0
1995,3314000.0,2500.0,233800.0,490.0,400.0,30550.0,-1.0,3800.0,400.0,26066.0,125217.0,0.0,1503.0,105826.0,8132.0,1900.0,195.0,-1.0,6000.0,8800.0,97000.0,2330.0,70000.0
1996,3447000.0,2300.0,217700.0,490.0,407.0,34784.0,-1.0,4500.0,320.0,25530.0,156492.0,0.0,1629.0,110529.0,6631.0,1800.0,214.0,-1.0,6000.0,9338.0,105501.0,4016.0,71000.0
1997,3513500.0,2400.0,242400.0,500.0,419.0,16367.0,-1.0,4800.0,520.0,25460.0,126452.0,0.0,1638.0,115232.0,5819.0,1600.0,206.0,-1.0,6100.0,9600.0,115000.0,4442.0,72000.0
1998,3358900.0,2300.0,242800.0,500.0,417.0,23951.0,-1.0,4900.0,742.0,26220.0,151697.0,0.0,1355.0,119935.0,2319.0,1000.0,202.0,-1.0,6100.0,9300.0,123259.0,942.0,74000.0
1999,3439500.0,2000.0,257000.0,510.0,416.0,25000.0,-1.0,4700.0,130.0,22692.0,145311.0,5.0,1300.0,124638.0,2359.0,1600.0,188.0,-1.0,5260.0,9400.0,126240.0,951.0,76000.0
2000,3427000.0,1800.0,306000.0,510.0,414.0,14000.0,-1.0,4600.0,75.0,22711.0,171842.0,4.0,1228.0,129341.0,2494.0,1000.0,170.0,-1.0,5260.0,9500.0,137057.0,974.0,78000.0
2001,3632300.0,2300.0,358000.0,510.0,420.0,21000.0,-1.0,4250.0,120.0,24035.0,164001.0,4.0,1165.0,134044.0,1948.0,1600.0,160.0,-1.0,4047.0,9843.0,135608.0,6750.0,80000.0
2002,3327700.0,2200.0,483000.0,510.0,438.0,28000.0,-1.0,4300.0,290.0,28000.0,164453.0,4.0,1035.0,138748.0,2512.0,2500.0,170.0,-1.0,4047.0,9600.0,139652.0,22950.0,82000.0
2003,3358900.0,2350.0,513150.0,520.0,440.0,28404.0,-1.0,4251.0,309.0,26000.0,183612.0,4.0,926.0,143451.0,3240.0,1500.0,175.0,-1.0,4047.0,10000.0,147659.0,36500.0,84000.0
2004,3515600.0,2400.0,524100.0,520.0,449.0,22031.0,796.0,4350.0,206.0,22459.0,195307.0,4.0,899.0,142100.0,3940.0,1072.0,180.0,-1.0,3237.0,9622.0,138585.0,47900.0,84000.0
2005,3518500.0,2420.0,552400.0,520.0,452.0,17895.0,799.0,4288.0,272.0,19337.0,180240.0,4.0,563.0,162400.0,2270.0,900.0,181.0,-1.0,2110.0,9708.0,155990.0,57700.0,85000.0
2006,3580700.0,2490.0,533800.0,520.0,450.0,26404.0,813.0,4334.0,280.0,20703.0,196630.0,0.0,785.0,162400.0,3344.0,1000.0,190.0,-1.0,1748.0,9794.0,150173.0,66200.0,86000.0
2007,3561600.0,2800.0,566600.0,550.0,455.0,20445.0,825.0,4347.0,285.0,20988.0,154554.0,4.0,725.0,151605.0,2506.0,376.0,200.0,-1.0,1503.0,9880.0,161508.0,73600.0,87000.0
2008,3728500.0,3000.0,588800.0,551.0,457.0,21996.0,730.0,4830.0,205.0,21363.0,195959.0,5.0,565.0,125000.0,1815.0,800.0,167.0,-1.0,1213.0,9966.0,167787.0,80150.0,88000.0
2009,3380000.0,3100.0,611685.0,590.0,461.0,24782.0,1061.0,4273.0,226.0,20883.0,118167.0,6.0,746.0,113910.0,2000.0,744.0,148.0,-1.0,908.0,10052.0,175734.0,86000.0,90000.0
2010,3470000.0,3666.0,616192.0,603.0,466.0,23461.0,913.0,4186.0,294.0,21296.0,158746.0,6.0,723.0,187010.0,2398.0,1280.0,128.0,28.0,811.0,10139.0,190437.0,91200.0,98200.0
2011,4420000.0,4062.0,643122.0,601.0,473.0,23217.0,914.0,3769.0,339.0,17469.0,138708.0,6.0,830.0,288161.0,2709.0,953.0,130.0,25.0,732.0,9676.0,196552.0,95900.0,101540.0
2012,4040000.0,5323.0,605600.0,580.0,480.0,25213.0,514.0,4026.0,399.0,17471.0,276136.0,6.0,796.0,257292.0,1992.0,1002.0,131.0,25.0,502.0,9228.0,203400.0,105150.0,33000.0
2013,4650000.0,4786.0,631200.0,550.0,500.0,24103.0,532.0,4138.0,481.0,17459.0,256396.0,6.0,832.0,287182.0,633.0,915.0,135.0,33.0,405.0,9542.0,217068.0,108634.0,33000.0
2014,5602000.0,8396.0,611600.0,507.0,507.0,23088.0,524.0,4096.0,567.0,17006.0,276124.0,6.0,760.0,250509.0,1303.0,504.0,136.0,27.0,400.0,9677.0,81753.0,110559.0,33000.0
