,Costa Rica,Cuba,El Salvador,Dominica,Trinidad and Tobago,Peru,Belize,Mexico,Dominican Republic,Panama,Puerto Rico,United Republic of Tanzania,Venezuela (Bolivarian Republic of),Nicaragua,Saint Lucia
1974,-1.0,25581.0,-1.0,5300.0,1980.0,25641.0,-1.0,-1.0,41087.0,8000.0,-1.0,-1,42840.0,-1.0,90.0
1975,-1.0,32500.0,-1.0,5450.0,2000.0,21262.0,-1.0,-1.0,32788.0,8069.0,-1.0,-1,44598.0,-1.0,90.0
1976,-1.0,43734.0,-1.0,5810.0,2100.0,21826.0,-1.0,-1.0,36281.0,8150.0,-1.0,-1,36494.0,-1.0,100.0
1977,-1.0,85722.0,-1.0,5990.0,1900.0,17467.0,-1.0,-1.0,40816.0,8232.0,-1.0,-1,47077.0,-1.0,100.0
1978,-1.0,217353.0,-1.0,6440.0,2000.0,16426.0,-1.0,-1.0,23491.0,8314.0,-1.0,-1,36993.0,-1.0,100.0
1979,-1.0,196046.0,-1.0,6294.0,2100.0,16901.0,-1.0,-1.0,35100.0,8396.0,-1.0,-1,38771.0,-1.0,90.0
1980,-1.0,161371.0,-1.0,6290.0,2200.0,21256.0,-1.0,-1.0,36960.0,4017.0,-1.0,-1,39453.0,-1.0,95.0
1981,-1.0,99205.0,-1.0,6218.0,2300.0,18562.0,-1.0,-1.0,25350.0,4362.0,-1.0,-1,44502.0,-1.0,88.0
1982,-1.0,45554.0,-1.0,6199.0,2400.0,22037.0,-1.0,-1.0,25668.0,9437.0,-1.0,-1,44316.0,-1.0,100.0
1983,-1.0,45211.0,-1.0,6241.0,2000.0,24961.0,-1.0,-1.0,26484.0,7457.0,-1.0,-1,48040.0,-1.0,110.0
1984,-1.0,52634.0,-1.0,6420.0,1500.0,30448.0,-1.0,-1.0,27391.0,7861.0,-1.0,-1,55111.0,-1.0,110.0
1985,-1.0,46748.0,-1.0,4400.0,1400.0,25000.0,-1.0,-1.0,42765.0,8305.0,-1.0,-1,49087.0,-1.0,120.0
1986,-1.0,64942.0,-1.0,4914.0,1200.0,26000.0,-1.0,-1.0,32867.0,8754.0,-1.0,-1,47086.0,-1.0,120.0
1987,-1.0,41758.0,-1.0,5645.0,1200.0,26000.0,-1.0,-1.0,33482.0,9229.0,-1.0,-1,51553.0,-1.0,130.0
1988,-1.0,41661.0,-1.0,4516.0,1200.0,27000.0,-1.0,-1.0,42439.0,9727.0,-1.0,-1,54758.0,-1.0,130.0
1989,-1.0,37590.0,-1.0,3838.0,1300.0,27000.0,2056.0,-1.0,53389.0,6527.0,-1.0,-1,53060.0,-1.0,140.0
1990,-1.0,30000.0,-1.0,5239.0,1106.0,30000.0,346.0,-1.0,28630.0,3327.0,-1.0,-1,55076.0,0.0,127.0
1991,-1.0,31122.0,-1.0,4286.0,1400.0,31426.0,301.0,-1.0,22567.0,3943.0,-1.0,-1,57238.0,36681.0,150.0
1992,-1.0,16000.0,-1.0,4337.0,1371.0,32389.0,789.0,246.0,28241.0,3830.0,-1.0,-1,45279.0,37637.0,156.0
1993,13840.0,10618.0,0.0,4463.0,1351.0,32700.0,1050.0,303.0,27855.0,4000.0,-1.0,-1,54148.0,38593.0,160.0
1994,19000.0,8912.0,59014.0,4500.0,1334.0,33167.0,204.0,314.0,33490.0,4500.0,-1.0,-1,65560.0,39548.0,163.0
1995,24500.0,10800.0,55000.0,4554.0,1318.0,32000.0,582.0,632.0,45881.0,5477.0,-1.0,-1,75456.0,40504.0,170.0
1996,17150.0,14696.0,45285.0,4571.0,1300.0,25393.0,173.0,921.0,40056.0,4895.0,-1.0,-1,83510.0,41460.0,180.0
1997,17326.0,20400.0,54000.0,4589.0,1307.0,29946.0,225.0,428.0,44054.0,6016.0,-1.0,-1,64008.0,42416.0,171.0
1998,11324.0,40273.0,53000.0,4602.0,1314.0,33994.0,557.0,450.0,33520.0,4255.0,-1.0,-1,60466.0,43372.0,166.0
1999,25683.0,78741.0,47615.0,4550.0,1326.0,37859.0,932.0,795.0,48489.0,6374.0,900.0,-1,63179.0,44328.0,147.0
2000,16597.0,98540.0,52000.0,4400.0,1350.0,35459.0,918.0,895.0,49033.0,5893.0,930.0,-1,62994.0,45284.0,137.0
2001,22228.0,102201.0,47486.0,4550.0,1400.0,36089.0,1289.0,1026.0,39529.0,7626.0,950.0,-1,64443.0,46240.0,118.0
2002,40906.0,231500.0,47453.0,4706.0,1450.0,36394.0,854.0,1151.0,59412.0,5295.0,1036.0,-1,54353.0,47195.0,119.0
2003,28882.0,205900.0,47403.0,4783.0,1500.0,37088.0,469.0,1261.0,79373.0,5884.0,989.0,-1,47755.0,48151.0,110.0
2004,24283.0,244000.0,47356.0,4871.0,1600.0,35484.0,264.0,1445.0,69305.0,8225.0,2248.0,-1,61904.0,49107.0,100.0
2005,24428.0,225873.0,47204.0,4958.0,1650.0,33585.0,281.0,1679.0,30463.0,6446.0,2304.0,-1,59169.0,50063.0,101.0
2006,18556.0,175000.0,47118.0,5024.0,1677.0,32151.0,261.0,700.0,26434.0,6213.0,2350.0,-1,85954.0,51019.0,52.0
2007,12954.0,207800.0,47034.0,5171.0,1700.0,30444.0,156.0,1300.0,29805.0,6471.0,2400.0,-1,79701.0,51975.0,36.0
2008,15506.0,240000.0,46950.0,5172.0,1738.0,29000.0,167.0,2500.0,24364.0,5390.0,2261.0,-1,82941.0,52931.0,50.0
2009,15850.0,199400.0,46874.0,5149.0,1771.0,32900.0,197.0,5100.0,29028.0,5281.0,2105.0,-1,83034.0,53626.0,55.0
2010,14493.0,137400.0,46811.0,5500.0,1800.0,34036.0,259.0,9725.0,30274.0,7103.0,2005.0,-1,58632.0,35819.0,59.0
2011,15428.0,132100.0,46765.0,5000.0,1801.0,32032.0,274.0,14320.0,32918.0,4567.0,1907.0,-1,85771.0,30000.0,63.0
2012,11692.0,153782.0,43000.0,5000.0,1800.0,31467.0,203.0,20170.0,32595.0,4610.0,1700.0,-1,75132.0,80000.0,68.0
2013,23742.0,185922.0,43000.0,5100.0,1800.0,31268.0,238.0,13960.0,29104.0,4230.0,1750.0,-1,84516.0,77000.0,53.0
2014,30000.0,269590.0,46258.0,5120.0,1801.0,31070.0,261.0,8881.0,28180.0,3687.0,1837.0,-1,85607.0,71634.0,59.0
