,Kenya,Peru,Belarus,Croatia,United Kingdom,Bangladesh,Nepal,Ethiopia,Denmark,Canada,Greece,Afghanistan,Iraq,Belgium,Japan,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Pakistan,Czechoslovakia,Czechia,Argentina,Ukraine,India,Austria,Uruguay,Morocco,Ethiopia PDR,Sweden,USSR,Mexico,Romania,"China, mainland",Spain,Egypt,China,Tunisia,Latvia,Yugoslav SFR,Slovakia,Uzbekistan,France,Chile,Hungary,Kazakhstan,Australia,Portugal,Brazil,Lithuania,Poland,Netherlands,Russian Federation,Turkey,Eritrea,Italy,Belgium-Luxembourg
1971,7.0,1.0,-1.0,-1.0,0.0,500.0,810.0,-1.0,8.0,27000.0,10.0,1437.0,238.0,-1.0,0.0,420.0,334.0,1512.0,24000.0,150.0,230.0,1007.0,-1.0,10776.0,-1.0,24000.0,0.0,4049.0,249.0,3120.0,0.0,119680.0,341.0,3340.0,2795.0,36.0,1860.0,2795.0,50.0,-1.0,16.0,-1.0,-1.0,2394.0,10.0,800.0,-1.0,1092.0,10.0,780.0,-1.0,3856.0,427.0,-1.0,550.0,-1.0,218.0,1208.0
1972,7.0,1.0,-1.0,-1.0,0.0,750.0,750.0,-1.0,7.0,21000.0,10.0,1524.0,49.0,-1.0,0.0,420.0,281.0,1611.0,36000.0,150.0,270.0,1182.0,-1.0,10170.0,-1.0,27000.0,0.0,2633.0,57.0,3125.0,0.0,117600.0,492.0,3380.0,2925.0,32.0,2850.0,2925.0,50.0,-1.0,13.0,-1.0,-1.0,2317.0,10.0,800.0,-1.0,1191.0,10.0,550.0,-1.0,3092.0,347.0,-1.0,550.0,-1.0,206.0,997.0
1973,7.0,1.0,-1.0,-1.0,0.0,1000.0,750.0,-1.0,22.0,24000.0,0.0,1512.0,60.0,-1.0,0.0,189.0,263.0,2572.0,34545.0,150.0,308.0,1137.0,-1.0,8292.0,-1.0,21000.0,0.0,2333.0,57.0,1360.0,0.0,112800.0,245.0,3300.0,2990.0,37.0,3400.0,2990.0,38.0,-1.0,9.0,-1.0,-1.0,2688.0,10.0,600.0,-1.0,2383.0,9.0,500.0,-1.0,2956.0,517.0,-1.0,700.0,-1.0,160.0,1360.0
1974,8.0,1.0,-1.0,-1.0,0.0,1250.0,600.0,-1.0,20.0,23000.0,0.0,1692.0,102.0,-1.0,0.0,482.0,235.0,1530.0,31269.0,150.0,238.0,1236.0,-1.0,10400.0,-1.0,25000.0,0.0,3837.0,72.0,2213.0,0.0,112240.0,799.0,3324.0,3120.0,45.0,3810.0,3120.0,50.0,-1.0,6.0,-1.0,-1.0,3360.0,12.0,780.0,-1.0,1049.0,3.0,350.0,-1.0,3163.0,359.0,-1.0,650.0,-1.0,205.0,1394.0
1975,8.0,1.0,-1.0,-1.0,0.0,1375.0,600.0,-1.0,16.0,12000.0,0.0,1692.0,40.0,-1.0,0.0,346.0,265.0,1371.0,26773.0,150.0,237.0,1202.0,-1.0,9428.0,-1.0,27000.0,0.0,5391.0,21.0,1240.0,0.0,108880.0,419.0,3396.0,3250.0,57.0,4380.0,3250.0,45.0,-1.0,6.0,-1.0,-1.0,4410.0,12.0,760.0,-1.0,1025.0,3.0,230.0,-1.0,3462.0,374.0,-1.0,550.0,-1.0,416.0,1350.0
1976,8.0,0.0,-1.0,-1.0,0.0,1500.0,540.0,-1.0,11.0,25000.0,0.0,1692.0,41.0,-1.0,0.0,309.0,174.0,3246.0,26493.0,150.0,238.0,1313.0,-1.0,14440.0,-1.0,30000.0,0.0,4063.0,6.0,910.0,0.0,108960.0,612.0,3216.0,3315.0,57.0,3852.0,3315.0,50.0,-1.0,6.0,-1.0,-1.0,4004.0,10.0,3068.0,-1.0,2937.0,2.0,230.0,-1.0,2494.0,400.0,-1.0,463.0,-1.0,819.0,1498.0
1977,8.0,0.0,-1.0,-1.0,0.0,1625.0,540.0,-1.0,6.0,22000.0,0.0,1692.0,36.0,-1.0,0.0,394.0,192.0,1270.0,14148.0,150.0,308.0,1270.0,-1.0,19000.0,-1.0,21000.0,0.0,4838.0,6.0,948.0,0.0,107120.0,432.0,3016.0,3432.0,56.0,4758.0,3432.0,65.0,-1.0,4.0,-1.0,-1.0,3481.0,10.0,1978.0,-1.0,877.0,1.0,270.0,-1.0,3357.0,362.0,-1.0,243.0,-1.0,209.0,1282.0
1978,8.0,0.0,-1.0,-1.0,0.0,1750.0,450.0,-1.0,8.0,38100.0,0.0,1671.0,117.0,-1.0,0.0,245.0,181.0,1398.0,18390.0,150.0,376.0,1249.0,-1.0,17860.0,-1.0,26000.0,0.0,3799.0,0.0,1068.0,0.0,96960.0,355.0,3344.0,3900.0,27.0,4833.0,3900.0,50.0,-1.0,4.0,-1.0,-1.0,3531.0,10.0,1710.0,-1.0,1153.0,1.0,400.0,-1.0,4036.0,252.0,-1.0,425.0,-1.0,140.0,1093.0
1979,8.0,1.0,-1.0,-1.0,0.0,1750.0,420.0,-1.0,20.0,23000.0,0.0,1629.0,100.0,-1.0,0.0,101.0,225.0,768.0,16511.0,150.0,308.0,1217.0,-1.0,21400.0,-1.0,27000.0,0.0,3960.0,0.0,1414.0,0.0,101280.0,233.0,3288.0,5200.0,0.0,5517.0,5200.0,50.0,-1.0,3.0,-1.0,-1.0,3430.0,10.0,2196.0,-1.0,667.0,1.0,200.0,-1.0,3286.0,284.0,-1.0,435.0,-1.0,125.0,1089.0
1980,8.0,2.0,-1.0,-1.0,0.0,1875.0,420.0,-1.0,18.0,19300.0,0.0,1617.0,32.0,-1.0,0.0,105.0,249.0,545.0,13894.0,150.0,321.0,1120.0,-1.0,15600.0,-1.0,15000.0,0.0,2016.0,0.0,1510.0,0.0,84560.0,136.0,3320.0,6500.0,1.0,5490.0,6500.0,53.0,-1.0,3.0,-1.0,-1.0,3080.0,10.0,2038.0,-1.0,440.0,2.0,600.0,-1.0,2347.0,203.0,-1.0,375.0,-1.0,112.0,953.0
1981,8.0,1.0,-1.0,-1.0,0.0,1875.0,540.0,-1.0,4.0,26100.0,0.0,1542.0,23.0,-1.0,0.0,101.0,245.0,431.0,17552.0,150.0,294.0,1101.0,-1.0,17020.0,-1.0,21000.0,0.0,1002.0,0.0,1878.0,0.0,90080.0,42.0,3216.0,7800.0,1.0,4148.0,7800.0,53.0,-1.0,2.0,-1.0,-1.0,3080.0,10.0,1939.0,-1.0,330.0,3.0,500.0,-1.0,1684.0,365.0,-1.0,95.0,-1.0,83.0,1152.0
1982,8.0,1.0,-1.0,-1.0,0.0,1825.0,720.0,-1.0,14.0,18100.0,0.0,1500.0,29.0,-1.0,0.0,31.0,225.0,386.0,12345.0,150.0,252.0,1204.0,-1.0,18200.0,-1.0,24000.0,0.0,402.0,0.0,2334.0,0.0,94160.0,48.0,3016.0,8125.0,0.0,2968.0,8125.0,53.0,-1.0,3.0,-1.0,-1.0,2856.0,10.0,705.0,-1.0,355.0,2.0,500.0,-1.0,1901.0,237.0,-1.0,250.0,-1.0,38.0,1097.0
1983,8.0,1.0,-1.0,-1.0,160.0,1940.0,1020.0,-1.0,11.0,29800.0,0.0,1458.0,25.0,-1.0,0.0,20.0,241.0,397.0,11126.0,150.0,262.0,1156.0,-1.0,16200.0,-1.0,19000.0,0.0,765.0,0.0,2077.0,0.0,85680.0,42.0,2004.0,8320.0,0.0,3000.0,8320.0,58.0,-1.0,3.0,-1.0,-1.0,3206.0,10.0,1089.0,-1.0,377.0,2.0,500.0,-1.0,1779.0,301.0,-1.0,380.0,-1.0,36.0,1449.0
1984,12.0,1.0,-1.0,-1.0,240.0,1692.0,840.0,-1.0,15.0,30600.0,0.0,1413.0,28.0,-1.0,0.0,9.0,234.0,689.0,12980.0,150.0,283.0,1122.0,-1.0,12400.0,-1.0,18000.0,0.0,724.0,0.0,2682.0,0.0,88400.0,29.0,3076.0,8580.0,0.0,5000.0,8580.0,60.0,-1.0,3.0,-1.0,-1.0,4123.0,10.0,584.0,-1.0,680.0,0.0,500.0,-1.0,1722.0,326.0,-1.0,385.0,-1.0,45.0,1592.0
1985,18.0,0.0,-1.0,-1.0,480.0,1708.0,1260.0,-1.0,14.0,34000.0,0.0,1371.0,30.0,-1.0,0.0,9.0,181.0,500.0,13132.0,150.0,315.0,974.0,-1.0,15000.0,-1.0,19000.0,0.0,584.0,0.0,1915.0,0.0,84240.0,32.0,3056.0,8840.0,0.0,3000.0,8840.0,60.0,-1.0,5.0,-1.0,-1.0,3290.0,10.0,708.0,-1.0,492.0,0.0,500.0,-1.0,1459.0,229.0,-1.0,270.0,-1.0,51.0,1146.0
1986,21.0,0.0,-1.0,-1.0,640.0,1854.0,1260.0,-1.0,0.0,26000.0,0.0,1329.0,28.0,-1.0,0.0,7.0,155.0,573.0,9195.0,75.0,296.0,1037.0,-1.0,15160.0,-1.0,17000.0,0.0,461.0,0.0,1750.0,0.0,85520.0,21.0,3032.0,31980.0,0.0,4500.0,31980.0,63.0,-1.0,7.0,-1.0,-1.0,3591.0,10.0,1374.0,-1.0,566.0,0.0,500.0,-1.0,1109.0,280.0,-1.0,253.0,-1.0,29.0,1475.0
1987,24.0,0.0,-1.0,-1.0,1200.0,1880.0,1260.0,-1.0,0.0,22300.0,0.0,1287.0,30.0,-1.0,0.0,7.0,126.0,208.0,5664.0,157.0,266.0,1030.0,-1.0,13414.0,-1.0,16000.0,0.0,195.0,0.0,1364.0,0.0,83120.0,1.0,2972.0,37700.0,0.0,3800.0,37700.0,65.0,-1.0,2.0,-1.0,-1.0,3864.0,10.0,1676.0,-1.0,201.0,0.0,500.0,-1.0,1250.0,280.0,-1.0,245.0,-1.0,31.0,1597.0
1988,27.0,0.0,-1.0,-1.0,1392.0,1908.0,1050.0,-1.0,0.0,26300.0,0.0,1242.0,32.0,-1.0,0.0,11.0,87.0,240.0,4000.0,150.0,277.0,1056.0,-1.0,11480.0,-1.0,16000.0,0.0,385.0,0.0,1259.0,0.0,77200.0,7.0,3144.0,28925.0,0.0,4000.0,28925.0,68.0,-1.0,1.0,-1.0,-1.0,4130.0,10.0,1009.0,-1.0,230.0,0.0,500.0,-1.0,1372.0,420.0,-1.0,217.0,-1.0,41.0,1723.0
1989,30.0,0.0,-1.0,-1.0,2696.0,1927.0,900.0,-1.0,0.0,30400.0,0.0,1200.0,34.0,-1.0,0.0,9.0,112.0,132.0,5360.0,75.0,260.0,1043.0,-1.0,11814.0,-1.0,15000.0,0.0,230.0,0.0,1745.0,0.0,68000.0,8.0,1996.0,38675.0,1.0,3000.0,38675.0,70.0,-1.0,0.0,-1.0,-1.0,4265.0,10.0,817.0,-1.0,123.0,0.0,500.0,-1.0,1185.0,387.0,-1.0,140.0,-1.0,42.0,1758.0
1990,33.0,0.0,-1.0,-1.0,7352.0,1935.0,750.0,-1.0,0.0,22000.0,0.0,1158.0,24.0,-1.0,0.0,14.0,80.0,302.0,7300.0,30.0,246.0,798.0,-1.0,11790.0,-1.0,14000.0,0.0,363.0,0.0,1850.0,0.0,54400.0,3.0,1904.0,37050.0,30.0,2000.0,37050.0,70.0,-1.0,1.0,-1.0,-1.0,2960.0,10.0,741.0,-1.0,288.0,0.0,400.0,-1.0,387.0,315.0,-1.0,107.0,-1.0,64.0,1451.0
1991,27.0,0.0,-1.0,-1.0,11560.0,1878.0,738.0,-1.0,0.0,13100.0,0.0,948.0,28.0,-1.0,0.0,18.0,10.0,471.0,3530.0,30.0,263.0,440.0,-1.0,8626.0,-1.0,11500.0,0.0,363.0,0.0,1875.0,0.0,54400.0,3.0,1032.0,37816.0,30.0,3000.0,37816.0,73.0,-1.0,1.0,-1.0,-1.0,2879.0,8.0,825.0,-1.0,453.0,0.0,400.0,-1.0,220.0,182.0,-1.0,59.0,-1.0,124.0,1071.0
1992,30.0,0.0,7700.0,0.0,12880.0,1872.0,600.0,-1.0,0.0,23100.0,0.0,1170.0,28.0,-1.0,0.0,21.0,0.0,247.0,4240.0,29.0,250.0,440.0,-1.0,4308.0,10000.0,11600.0,0.0,149.0,0.0,1875.0,0.0,-1.0,6.0,1508.0,39325.0,0.0,3000.0,39325.0,75.0,13.0,-1.0,-1.0,275.0,3455.0,7.0,854.0,1080.0,226.0,0.0,400.0,1300.0,160.0,266.0,21000.0,37.0,-1.0,66.0,1383.0
1993,24.0,0.0,6800.0,0.0,5840.0,1863.0,642.0,2250.0,133.0,31800.0,0.0,1238.0,28.0,-1.0,0.0,25.0,0.0,567.0,3660.0,31.0,228.0,-1.0,405.0,2967.0,6400.0,12400.0,0.0,138.0,0.0,-1.0,0.0,-1.0,0.0,440.0,43409.0,2.0,3000.0,43409.0,80.0,30.0,-1.0,52.0,300.0,3464.0,8.0,696.0,390.0,543.0,0.0,0.0,750.0,325.0,329.0,11000.0,67.0,73.0,90.0,1666.0
1994,26.0,0.0,8000.0,0.0,4960.0,1830.0,660.0,2818.0,179.0,38000.0,0.0,1231.0,28.0,-1.0,0.0,28.0,14.0,577.0,3400.0,31.0,232.0,-1.0,169.0,3122.0,6000.0,12300.0,0.0,83.0,0.0,-1.0,560.0,-1.0,1.0,264.0,40369.0,330.0,3000.0,40369.0,86.0,30.0,-1.0,48.0,250.0,3781.0,8.0,200.0,230.0,549.0,0.0,0.0,3700.0,550.0,301.0,21880.0,33.0,79.0,282.0,1652.0
1995,28.0,0.0,6700.0,0.0,4320.0,1760.0,540.0,4441.0,516.0,26000.0,0.0,1102.0,28.0,-1.0,0.0,30.0,7.0,941.0,1980.0,64.0,249.0,-1.0,236.0,3912.0,2000.0,11000.0,0.0,182.0,0.0,-1.0,1036.0,-1.0,0.0,293.0,41901.0,596.0,3000.0,41901.0,95.0,25.0,-1.0,48.0,160.0,3092.0,8.0,200.0,180.0,911.0,0.0,0.0,1600.0,234.0,273.0,27240.0,18.0,75.0,120.0,1689.0
1996,28.0,2.0,6000.0,0.0,6080.0,1747.0,534.0,3366.0,519.0,31900.0,0.0,1083.0,28.0,-1.0,0.0,35.0,0.0,571.0,3100.0,94.0,250.0,-1.0,160.0,1871.0,1500.0,11000.0,0.0,182.0,0.0,-1.0,1330.0,-1.0,0.0,376.0,39113.0,660.0,3000.0,39113.0,70.0,25.0,-1.0,40.0,150.0,3164.0,8.0,82.0,90.0,536.0,0.0,0.0,1700.0,149.0,301.0,21640.0,18.0,65.0,240.0,1695.0
1997,29.0,5.0,6500.0,0.0,8080.0,1746.0,450.0,2406.0,581.0,37700.0,0.0,1072.0,29.0,-1.0,0.0,35.0,2.0,643.0,6913.0,37.0,239.0,-1.0,175.0,2311.0,1000.0,11000.0,0.0,110.0,0.0,-1.0,1974.0,-1.0,0.0,108.0,37174.0,978.0,3000.0,37174.0,78.0,45.0,-1.0,14.0,80.0,3075.0,9.0,42.0,73.0,608.0,0.0,0.0,1700.0,95.0,245.0,15020.0,16.0,60.0,240.0,1625.0
1998,32.0,6.0,6500.0,0.0,17040.0,1609.0,420.0,2286.0,1605.0,35000.0,0.0,982.0,29.0,-1.0,0.0,35.0,4.0,712.0,7950.0,30.0,232.0,-1.0,302.0,2043.0,1000.0,9700.0,0.0,138.0,0.0,-1.0,4784.0,-1.0,1.0,80.0,35880.0,750.0,3000.0,35880.0,88.0,50.0,-1.0,176.0,80.0,3484.0,10.0,68.0,81.0,677.0,0.0,0.0,2000.0,124.0,266.0,9030.0,19.0,33.0,240.0,1800.0
1999,24.0,7.0,6800.0,0.0,5920.0,113.0,300.0,1853.0,754.0,32000.0,0.0,723.0,28.0,-1.0,0.0,35.0,7.0,718.0,11000.0,33.0,217.0,-1.0,401.0,1367.0,1000.0,7700.0,0.0,94.0,0.0,-1.0,1492.0,-1.0,8.0,54.0,32362.0,616.0,3000.0,32362.0,82.0,120.0,-1.0,104.0,80.0,3817.0,11.0,146.0,120.0,683.0,0.0,0.0,1100.0,20.0,308.0,10520.0,16.0,29.0,240.0,2064.0
2000,29.0,5.0,6700.0,0.0,2480.0,113.0,360.0,3263.0,213.0,29000.0,0.0,704.0,28.0,2100.0,0.0,35.0,9.0,718.0,12000.0,35.0,142.0,-1.0,394.0,565.0,1500.0,7539.0,0.0,140.0,0.0,-1.0,621.0,-1.0,33.0,49.0,26143.0,334.0,3000.0,26143.0,81.0,189.0,-1.0,52.0,90.0,4749.0,11.0,66.0,59.0,683.0,0.0,0.0,1224.0,38.0,333.0,7500.0,15.0,46.0,240.0,-1.0
2001,25.0,14.0,6200.0,0.0,1040.0,111.0,381.0,2465.0,33.0,30000.0,0.0,653.0,24.0,2100.0,0.0,35.0,9.0,638.0,16200.0,40.0,186.0,-1.0,394.0,398.0,1300.0,6965.0,0.0,108.0,0.0,-1.0,447.0,-1.0,50.0,88.0,29445.0,98.0,1650.0,29445.0,81.0,200.0,-1.0,56.0,90.0,4719.0,11.0,59.0,80.0,603.0,0.0,0.0,1200.0,25.0,287.0,6500.0,13.0,34.0,240.0,-1.0
2002,26.0,16.0,6500.0,0.0,2720.0,111.0,495.0,3563.0,18.0,32000.0,0.0,551.0,23.0,2500.0,0.0,84.0,7.0,553.0,12200.0,45.0,178.0,-1.0,347.0,276.0,1000.0,5851.0,0.0,143.0,0.0,-1.0,522.0,-1.0,68.0,62.0,29185.0,50.0,2400.0,29185.0,97.0,200.0,-1.0,74.0,90.0,5356.0,12.0,19.0,63.0,469.0,0.0,0.0,1500.0,30.0,319.0,7000.0,13.0,9.0,240.0,-1.0
2003,29.0,12.0,7000.0,0.0,2480.0,111.0,390.0,3572.0,18.0,31900.0,0.0,383.0,23.0,2630.0,0.0,84.0,5.0,620.0,10800.0,57.0,185.0,-1.0,86.0,577.0,800.0,6195.0,0.0,166.0,0.0,-1.0,807.0,-1.0,145.0,56.0,32500.0,20.0,3200.0,32500.0,98.0,177.0,-1.0,72.0,90.0,5637.0,12.0,22.0,79.0,536.0,0.0,0.0,800.0,31.0,314.0,6700.0,11.0,16.0,240.0,-1.0
2004,26.0,10.0,6800.0,0.0,3840.0,119.0,393.0,6268.0,18.0,36000.0,0.0,498.0,22.0,2500.0,0.0,105.0,5.0,775.0,20200.0,61.0,163.0,-1.0,293.0,744.0,1000.0,5833.0,0.0,172.0,0.0,-1.0,1380.0,-1.0,70.0,3.0,31850.0,8.0,2800.0,31850.0,85.0,180.0,-1.0,120.0,90.0,5505.0,13.0,30.0,78.0,670.0,0.0,0.0,700.0,41.0,322.0,5500.0,9.0,8.0,240.0,-1.0
2005,26.0,15.0,6100.0,0.0,2880.0,340.0,405.0,5378.0,18.0,38000.0,0.0,55.0,22.0,2500.0,0.0,88.0,7.0,758.0,16700.0,55.0,174.0,-1.0,315.0,941.0,2000.0,5678.0,0.0,172.0,0.0,-1.0,1217.0,-1.0,0.0,12.0,31525.0,6.0,3000.0,31525.0,81.0,70.0,-1.0,184.0,90.0,5225.0,13.0,25.0,100.0,670.0,0.0,0.0,400.0,56.0,308.0,6000.0,7.0,22.0,240.0,-1.0
2006,21.0,16.0,6100.0,0.0,1000.0,352.0,397.0,4353.0,15.0,34200.0,0.0,60.0,20.0,2500.0,0.0,70.0,7.0,606.0,7290.0,57.0,157.0,-1.0,106.0,583.0,1000.0,5538.0,0.0,173.0,0.0,-1.0,605.0,-1.0,515.0,19.0,22094.0,3.0,3000.0,22094.0,72.0,60.0,-1.0,76.0,90.0,5334.0,12.0,25.0,540.0,536.0,0.0,0.0,100.0,70.0,245.0,7100.0,4.0,20.0,240.0,-1.0
2007,19.0,11.0,6000.0,0.0,1286.0,221.0,389.0,3803.0,14.0,22300.0,0.0,95.0,20.0,2500.0,0.0,84.0,7.0,620.0,6985.0,59.0,139.0,-1.0,47.0,189.0,800.0,6084.0,0.0,149.0,0.0,-1.0,490.0,-1.0,365.0,13.0,21957.0,1.0,1600.0,21957.0,55.0,20.0,-1.0,40.0,90.0,4753.0,16.0,25.0,835.0,536.0,0.0,0.0,100.0,54.0,183.0,4300.0,3.0,6.0,240.0,-1.0
2008,29.0,13.0,3200.0,0.0,2240.0,279.0,392.0,3520.0,14.0,29000.0,0.0,53.0,20.0,1500.0,0.0,88.0,8.0,624.0,6528.0,56.0,163.0,-1.0,105.0,348.0,1000.0,5303.0,0.0,189.0,0.0,-1.0,1386.0,-1.0,130.0,34.0,21900.0,0.0,1000.0,21900.0,35.0,20.0,-1.0,58.0,90.0,4632.0,22.0,25.0,1053.0,536.0,0.0,0.0,100.0,65.0,151.0,4500.0,1.0,40.0,240.0,-1.0
2009,25.0,12.0,3000.0,0.0,3520.0,264.0,428.0,1842.0,14.0,16000.0,0.0,54.0,20.0,2500.0,0.0,89.0,12.0,625.0,8662.0,51.0,126.0,-1.0,164.0,770.0,1000.0,4446.0,0.0,261.0,0.0,-1.0,2674.0,-1.0,180.0,64.0,21086.0,1.0,600.0,21086.0,22.0,90.0,-1.0,86.0,90.0,5130.0,23.0,25.0,4771.0,536.0,0.0,0.0,100.0,138.0,100.0,9000.0,1.0,31.0,240.0,-1.0
2010,28.0,11.0,3000.0,0.0,2880.0,256.0,468.0,2914.0,13.0,15000.0,0.0,118.0,20.0,2500.0,0.0,89.0,12.0,625.0,3919.0,53.0,118.0,-1.0,99.0,333.0,1000.0,4405.0,0.0,259.0,0.0,-1.0,2052.0,-1.0,130.0,58.0,20937.0,0.0,600.0,20937.0,22.0,140.0,-1.0,86.0,90.0,1145.0,24.0,25.0,9555.0,536.0,0.0,0.0,100.0,86.0,151.0,15000.0,1.0,34.0,240.0,-1.0
