,Burundi,"China, Taiwan Province of",Mozambique,Belize,Myanmar,Zambia,Philippines,Viet Nam,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Liberia,Zimbabwe,Malawi,Melanesia,Papua New Guinea,New Caledonia,Rwanda,Guatemala,French Polynesia,Mauritius,Madagascar,Saint Lucia,Vanuatu,Uganda,Guinea,Saudi Arabia,Dominica,Fiji,Cabo Verde,Equatorial Guinea,Sri Lanka,Comoros,Central African Republic,China,Colombia,United Republic of Tanzania,Saint Vincent and the Grenadines,Brazil,Kenya,"China, mainland",Nicaragua,Haiti,Costa Rica,Bolivia (Plurinational State of),Peru,Yemen,Cameroon,Malaysia,Cuba,Dominican Republic,El Salvador,Benin,Cook Islands,Martinique,Sao Tome and Principe,Venezuela (Bolivarian Republic of),Guyana,Tonga,United States of America,Democratic Republic of the Congo,Togo,Nigeria,Suriname,Cambodia,Timor-Leste,Paraguay,India,Guadeloupe,Ethiopia PDR,Congo,Gabon,Ecuador,Honduras,Puerto Rico,Mexico,Côte d'Ivoire,Jamaica,Trinidad and Tobago,Polynesia,Panama,Sierra Leone,Samoa,Thailand,Ghana,Angola
1971,8034.0,4000.0,7143.0,-1.0,4263.0,7692.0,9116.0,3421.0,4706.0,-1.0,-1.0,5636.0,2813.0,7976.0,3825.0,10500.0,11592.0,3333.0,6029.0,5706.0,2200.0,-1.0,3328.0,10000.0,4800.0,6826.0,3125.0,3636.0,-1.0,520.0,6167.0,4600.0,19231.0,3000.0,2151.0,4989.0,5778.0,4779.0,3214.0,6491.0,7001.0,5000.0,5067.0,5400.0,9405.0,8412.0,5730.0,4547.0,3293.0,4024.0,1792.0,3125.0,10214.0,4458.0,990.0,21429.0,1400.0,2026.0,5743.0,-1.0,10947.0,3643.0,3588.0,5000.0,3817.0,13636.0,5275.0,7263.0,8612.0,15000.0,2929.0,2338.0,1500.0,2897.0,3988.0,2131.0,4926.0,3556.0,2263.0,3894.0,3371.0,2412.0,11909.0,7500.0,2850.0,2615.0,4560.0
1972,6222.0,3452.0,7143.0,-1.0,4317.0,7000.0,9416.0,4375.0,4182.0,-1.0,-1.0,5603.0,3576.0,8434.0,2460.0,10573.0,11564.0,3667.0,3941.0,5819.0,2200.0,-1.0,3967.0,10000.0,5000.0,7162.0,3095.0,3262.0,-1.0,464.0,4222.0,4600.0,13702.0,3000.0,2564.0,5859.0,5333.0,5545.0,3214.0,6602.0,7011.0,5882.0,4224.0,5250.0,8293.0,8436.0,5496.0,4489.0,3410.0,3500.0,1751.0,3124.0,10087.0,4540.0,990.0,20000.0,2860.0,1461.0,5653.0,-1.0,13605.0,3811.0,3403.0,4995.0,2217.0,10805.0,5876.0,9575.0,5345.0,14667.0,2819.0,2042.0,2250.0,3225.0,4055.0,2397.0,5441.0,3868.0,1891.0,3300.0,2219.0,2271.0,9121.0,3333.0,4501.0,2696.0,4500.0
1973,7132.0,1848.0,7143.0,-1.0,4400.0,8000.0,8375.0,4400.0,3396.0,-1.0,-1.0,5645.0,4954.0,8879.0,4675.0,12120.0,13113.0,5000.0,5244.0,5724.0,2400.0,-1.0,3707.0,10000.0,5000.0,7593.0,3250.0,4000.0,-1.0,464.0,4444.0,4200.0,14696.0,2857.0,2941.0,7925.0,6439.0,5000.0,3158.0,4197.0,7049.0,8000.0,4387.0,5077.0,11476.0,8323.0,5530.0,4489.0,3290.0,3785.0,1558.0,3138.0,8653.0,2682.0,990.0,23077.0,1220.0,2420.0,5622.0,-1.0,10899.0,3675.0,3378.0,5000.0,2055.0,3407.0,6694.0,8663.0,7006.0,10000.0,3105.0,2300.0,1350.0,3298.0,4112.0,2681.0,5857.0,4073.0,2084.0,2717.0,2358.0,1918.0,14964.0,3333.0,5872.0,1955.0,4200.0
1974,9380.0,6869.0,7143.0,-1.0,4359.0,8125.0,8169.0,5000.0,5105.0,-1.0,-1.0,5718.0,2446.0,9780.0,5682.0,11090.0,12173.0,2423.0,4904.0,6256.0,2600.0,-1.0,3802.0,10000.0,5217.0,8952.0,3250.0,5000.0,-1.0,464.0,8875.0,4258.0,17840.0,2857.0,3511.0,7985.0,5875.0,4996.0,3333.0,7496.0,7010.0,8000.0,4895.0,5200.0,10106.0,8305.0,5517.0,4489.0,3275.0,3675.0,1800.0,3139.0,10826.0,3220.0,990.0,23077.0,1860.0,1684.0,6000.0,-1.0,5524.0,3601.0,3847.0,5000.0,2031.0,3125.0,4500.0,9422.0,6595.0,7500.0,3068.0,3230.0,1500.0,3004.0,4182.0,2051.0,5912.0,2313.0,2702.0,1940.0,2497.0,1877.0,3985.0,3333.0,7033.0,1637.0,4495.0
1975,5641.0,8571.0,7143.0,-1.0,4235.0,8333.0,13987.0,5965.0,5143.0,-1.0,-1.0,5514.0,2882.0,11464.0,8884.0,11823.0,12740.0,5000.0,6257.0,5415.0,3200.0,-1.0,3960.0,10000.0,2609.0,8916.0,3250.0,5926.0,-1.0,429.0,10300.0,3375.0,13760.0,1333.0,3763.0,5366.0,6183.0,5023.0,3333.0,5739.0,5960.0,5333.0,5821.0,5200.0,9468.0,8613.0,5421.0,4427.0,2983.0,3900.0,1547.0,3050.0,10961.0,3975.0,990.0,-1.0,1400.0,2346.0,6000.0,-1.0,8344.0,3755.0,5400.0,5000.0,2095.0,3333.0,4500.0,8340.0,6380.0,6250.0,3420.0,2763.0,2128.0,3314.0,4242.0,2237.0,6111.0,3133.0,2636.0,4024.0,2497.0,2205.0,9270.0,1250.0,8115.0,2000.0,5143.0
1976,6493.0,1800.0,7143.0,-1.0,3808.0,9250.0,10518.0,6258.0,8176.0,-1.0,-1.0,5671.0,2665.0,13232.0,6769.0,10127.0,10679.0,5000.0,6598.0,6131.0,2040.0,-1.0,3824.0,10000.0,2727.0,6123.0,3250.0,6923.0,-1.0,429.0,11200.0,3375.0,13539.0,1304.0,3573.0,4980.0,5750.0,4974.0,3333.0,3354.0,7595.0,5000.0,6704.0,4966.0,10004.0,7118.0,5418.0,5009.0,2296.0,3682.0,1752.0,3167.0,9418.0,3993.0,2000.0,-1.0,1500.0,1541.0,6000.0,-1.0,9518.0,4058.0,3869.0,5000.0,2111.0,3103.0,4286.0,3910.0,5600.0,7250.0,3572.0,5684.0,2142.0,3400.0,4300.0,2077.0,5731.0,3421.0,3215.0,2671.0,1851.0,1973.0,5878.0,1250.0,7853.0,2200.0,2874.0
1977,5161.0,7324.0,7143.0,-1.0,3793.0,9091.0,13793.0,7943.0,6533.0,-1.0,-1.0,5100.0,5038.0,11916.0,6769.0,8955.0,9556.0,1921.0,6478.0,6506.0,1680.0,-1.0,4602.0,10000.0,2727.0,6966.0,3250.0,8000.0,-1.0,429.0,5300.0,3200.0,15008.0,1458.0,3610.0,5020.0,6394.0,4972.0,3333.0,5024.0,7820.0,5000.0,6278.0,5190.0,10763.0,7132.0,5979.0,5670.0,2285.0,4015.0,1683.0,3857.0,10013.0,4067.0,3000.0,-1.0,1200.0,2234.0,6800.0,-1.0,10173.0,3885.0,3863.0,5000.0,2500.0,3036.0,4722.0,5455.0,6394.0,9500.0,3828.0,12737.0,2837.0,3180.0,4356.0,1704.0,4674.0,3163.0,2626.0,2918.0,1597.0,2205.0,12841.0,1250.0,7220.0,2533.0,2853.0
1978,6904.0,6267.0,7143.0,-1.0,4536.0,10000.0,14052.0,6642.0,6208.0,-1.0,-1.0,5693.0,3466.0,12726.0,6429.0,10499.0,11206.0,1811.0,6788.0,6637.0,2500.0,-1.0,3769.0,10000.0,2727.0,5439.0,3255.0,8980.0,-1.0,667.0,5000.0,3375.0,17182.0,1800.0,3522.0,5012.0,6211.0,5035.0,3387.0,5805.0,6912.0,5000.0,6888.0,5112.0,12167.0,6881.0,6200.0,5677.0,3048.0,3965.0,1481.0,2761.0,10762.0,3700.0,2000.0,-1.0,1200.0,2219.0,7600.0,-1.0,7932.0,3680.0,3138.0,5000.0,2488.0,3000.0,4250.0,6545.0,7353.0,20000.0,3800.0,9433.0,3560.0,2794.0,5215.0,2334.0,6141.0,2045.0,2954.0,2500.0,2194.0,2230.0,5459.0,1250.0,6875.0,2213.0,1716.0
1979,7922.0,4800.0,7143.0,-1.0,4165.0,10000.0,12116.0,5420.0,6430.0,-1.0,-1.0,6165.0,3280.0,12886.0,6429.0,11549.0,12337.0,2371.0,6071.0,6448.0,3600.0,-1.0,3787.0,10000.0,2667.0,4598.0,3250.0,10000.0,9500.0,667.0,7500.0,3529.0,15257.0,1731.0,3476.0,5549.0,6794.0,5440.0,3438.0,5539.0,6301.0,5556.0,5745.0,5018.0,12058.0,7042.0,6817.0,5308.0,2824.0,3794.0,1674.0,4053.0,10919.0,3100.0,2000.0,-1.0,1200.0,2104.0,8800.0,-1.0,10877.0,3699.0,3664.0,5000.0,2965.0,2941.0,3636.0,6873.0,6138.0,20000.0,3958.0,7800.0,1921.0,3430.0,6107.0,2020.0,5452.0,2751.0,1474.0,2497.0,3015.0,2249.0,17113.0,1250.0,6250.0,2125.0,867.0
1980,6298.0,6800.0,7143.0,-1.0,4582.0,10000.0,12303.0,9130.0,6800.0,-1.0,-1.0,5923.0,4551.0,12838.0,6667.0,12753.0,13622.0,2354.0,5947.0,7285.0,3360.0,-1.0,3682.0,10000.0,2727.0,6036.0,3218.0,11064.0,9647.0,667.0,2500.0,3429.0,15156.0,1455.0,3579.0,5013.0,6682.0,4193.0,3286.0,4361.0,8919.0,5000.0,5992.0,5047.0,13014.0,8983.0,5642.0,5284.0,3014.0,7163.0,1427.0,3642.0,9958.0,3210.0,2000.0,-1.0,1200.0,2256.0,10400.0,-1.0,7565.0,3698.0,4945.0,5000.0,2961.0,3889.0,3200.0,6500.0,8099.0,10000.0,4160.0,8048.0,2429.0,2411.0,5407.0,2339.0,4627.0,2417.0,4432.0,2240.0,2836.0,4194.0,12683.0,1250.0,5307.0,1875.0,2163.0
1981,7968.0,6842.0,7143.0,-1.0,4196.0,8000.0,12359.0,5603.0,6502.0,-1.0,-1.0,5975.0,3360.0,11884.0,6667.0,11599.0,12397.0,2132.0,5959.0,7357.0,2420.0,-1.0,3835.0,8000.0,2440.0,4353.0,3186.0,11111.0,9882.0,667.0,5000.0,3750.0,15394.0,1464.0,3617.0,5012.0,7276.0,5358.0,3333.0,7763.0,8479.0,5000.0,6942.0,5115.0,13306.0,9074.0,5191.0,5309.0,2987.0,7303.0,1772.0,3320.0,9730.0,3900.0,2000.0,-1.0,1200.0,2286.0,10400.0,-1.0,11623.0,3771.0,4228.0,5000.0,1536.0,4250.0,2857.0,9183.0,6242.0,10000.0,4489.0,7167.0,2273.0,2683.0,6133.0,2679.0,5288.0,3420.0,2507.0,2433.0,2134.0,3212.0,11610.0,1250.0,5705.0,1875.0,1376.0
1982,5947.0,6923.0,7143.0,-1.0,4497.0,9429.0,12635.0,4836.0,6743.0,-1.0,-1.0,5453.0,4694.0,12045.0,6800.0,9336.0,10026.0,1157.0,6044.0,6949.0,1120.0,-1.0,3700.0,10000.0,1050.0,7226.0,3085.0,11804.0,9500.0,1154.0,2500.0,3785.0,15654.0,1464.0,3688.0,5012.0,7117.0,4873.0,3333.0,5054.0,6669.0,5000.0,8186.0,4962.0,13540.0,8995.0,5135.0,5189.0,3423.0,7651.0,2250.0,4096.0,9423.0,3258.0,2000.0,-1.0,1200.0,2289.0,9000.0,-1.0,4675.0,3664.0,4399.0,5000.0,2256.0,4118.0,2667.0,8666.0,7840.0,10000.0,4489.0,8056.0,5286.0,2608.0,5912.0,2554.0,4766.0,2231.0,2756.0,1927.0,1173.0,3388.0,10823.0,1290.0,7686.0,1500.0,967.0
1983,11598.0,-1.0,7143.0,-1.0,4414.0,9500.0,10698.0,4754.0,6456.0,-1.0,-1.0,5671.0,3750.0,11749.0,7125.0,11959.0,12999.0,1035.0,8981.0,6862.0,2840.0,-1.0,3626.0,10000.0,1520.0,6617.0,2940.0,10000.0,4730.0,1778.0,2500.0,3722.0,19037.0,1456.0,6160.0,4615.0,8048.0,4827.0,3514.0,7125.0,6395.0,4615.0,5487.0,5143.0,14254.0,8989.0,5418.0,5068.0,1906.0,7939.0,1439.0,4252.0,8340.0,3333.0,2000.0,-1.0,1200.0,2312.0,8500.0,12500.0,13918.0,3209.0,2829.0,5000.0,2052.0,4444.0,2500.0,8351.0,6468.0,10000.0,4241.0,8842.0,4242.0,2392.0,6425.0,3081.0,5534.0,2346.0,2967.0,1984.0,2605.0,3358.0,18333.0,1333.0,7244.0,1444.0,722.0
1984,8309.0,-1.0,7143.0,-1.0,4416.0,9091.0,8326.0,4057.0,5217.0,-1.0,-1.0,5853.0,5750.0,14693.0,9300.0,9506.0,10399.0,801.0,9640.0,8486.0,1260.0,-1.0,3649.0,10000.0,1833.0,6517.0,2792.0,7500.0,4452.0,1154.0,2500.0,3778.0,10324.0,1474.0,6133.0,5625.0,8548.0,5177.0,3514.0,5669.0,7903.0,5625.0,5834.0,5034.0,15206.0,8503.0,5278.0,3070.0,4084.0,8699.0,1672.0,4242.0,9604.0,6000.0,2000.0,-1.0,1200.0,2374.0,5508.0,15000.0,9203.0,3440.0,1280.0,5000.0,1619.0,4891.0,2286.0,9180.0,5071.0,10000.0,4526.0,7842.0,3636.0,2819.0,5929.0,2411.0,4653.0,790.0,3173.0,1704.0,1463.0,4479.0,18000.0,1379.0,6885.0,1400.0,833.0
1985,10154.0,-1.0,7143.0,-1.0,4473.0,9425.0,9284.0,8748.0,4878.0,-1.0,-1.0,5080.0,4500.0,16283.0,11600.0,12020.0,12774.0,1840.0,11019.0,7916.0,1100.0,-1.0,3517.0,10000.0,6019.0,6414.0,2709.0,5000.0,4571.0,2000.0,1667.0,3784.0,8611.0,1466.0,6123.0,5385.0,6915.0,4164.0,3421.0,7541.0,6158.0,5385.0,4161.0,4986.0,13778.0,8424.0,5633.0,2927.0,2933.0,8074.0,1797.0,4712.0,9077.0,2333.0,2000.0,-1.0,1167.0,2390.0,5692.0,17500.0,9725.0,3321.0,4783.0,5000.0,1483.0,5376.0,2000.0,14748.0,9317.0,10000.0,4850.0,9158.0,3700.0,2831.0,6048.0,2768.0,5093.0,2581.0,2316.0,2379.0,1379.0,3612.0,23636.0,1408.0,7603.0,1000.0,667.0
1986,8234.0,-1.0,7143.0,-1.0,4667.0,8571.0,10285.0,13089.0,3598.0,-1.0,-1.0,5446.0,4787.0,16858.0,11538.0,9486.0,10070.0,1573.0,8692.0,8315.0,280.0,-1.0,3669.0,10000.0,4560.0,7115.0,2167.0,-1.0,19500.0,2356.0,2444.0,3784.0,4360.0,1466.0,7903.0,5500.0,7714.0,4978.0,3590.0,4019.0,7289.0,5500.0,5622.0,4967.0,11552.0,8434.0,5890.0,2953.0,3771.0,7488.0,1904.0,6546.0,8583.0,3667.0,2000.0,-1.0,1100.0,2581.0,6143.0,17500.0,13432.0,3253.0,3895.0,5000.0,1781.0,6000.0,1905.0,11383.0,5707.0,10000.0,5813.0,3851.0,3806.0,2806.0,6218.0,2232.0,5866.0,2406.0,3085.0,1668.0,761.0,4432.0,21000.0,1439.0,8856.0,1062.0,1287.0
1987,9574.0,-1.0,7143.0,-1.0,4957.0,8308.0,9783.0,11752.0,3730.0,-1.0,-1.0,5956.0,2333.0,17432.0,12415.0,14552.0,15630.0,1460.0,8326.0,8900.0,256.0,133333.0,3605.0,10000.0,4530.0,7435.0,2167.0,-1.0,4364.0,1471.0,1889.0,3784.0,4392.0,1441.0,7339.0,5733.0,6569.0,5241.0,3590.0,7660.0,6775.0,5733.0,5357.0,5015.0,14839.0,9000.0,5780.0,2844.0,2580.0,7244.0,2437.0,4868.0,9301.0,3800.0,2000.0,-1.0,900.0,2620.0,6000.0,17500.0,7682.0,3700.0,6481.0,5000.0,1338.0,6341.0,1778.0,10575.0,8914.0,10000.0,5813.0,2681.0,4789.0,2916.0,6404.0,3143.0,5340.0,2426.0,3015.0,2303.0,1299.0,4250.0,22000.0,1493.0,6651.0,1978.0,916.0
1988,9276.0,-1.0,7143.0,-1.0,4525.0,9000.0,9960.0,13003.0,5037.0,-1.0,-1.0,5457.0,2118.0,19310.0,10286.0,15187.0,15500.0,1529.0,7945.0,7650.0,2000.0,133333.0,3711.0,10000.0,4545.0,6727.0,2500.0,-1.0,4455.0,2972.0,2778.0,3784.0,4109.0,1450.0,8580.0,5556.0,7460.0,4137.0,3625.0,4567.0,8234.0,5556.0,6079.0,5026.0,15581.0,8797.0,5370.0,3326.0,3852.0,6385.0,2651.0,4590.0,7471.0,5400.0,833.0,-1.0,1033.0,2600.0,6000.0,17500.0,8146.0,3809.0,6905.0,5233.0,1632.0,6667.0,1667.0,10596.0,5628.0,10000.0,5938.0,4564.0,4795.0,3789.0,7446.0,3758.0,6056.0,1645.0,4056.0,970.0,2294.0,4298.0,24095.0,1538.0,8616.0,1077.0,1294.0
1989,8051.0,-1.0,7143.0,-1.0,4684.0,9091.0,10890.0,9446.0,3420.0,-1.0,-1.0,5539.0,2667.0,23055.0,14426.0,15810.0,16410.0,1820.0,5623.0,8239.0,2500.0,125000.0,3817.0,-1.0,4545.0,7115.0,5000.0,-1.0,4595.0,4575.0,5556.0,3784.0,4747.0,1450.0,5950.0,5333.0,6810.0,3904.0,3625.0,5038.0,7636.0,5333.0,6504.0,4993.0,14952.0,8840.0,5560.0,3066.0,3857.0,4827.0,2905.0,4230.0,8073.0,2667.0,2000.0,-1.0,800.0,2640.0,6000.0,17500.0,12473.0,3279.0,5772.0,7559.0,2025.0,7143.0,1600.0,10118.0,9715.0,10000.0,6250.0,4441.0,5053.0,3164.0,7104.0,4147.0,5065.0,2128.0,3938.0,2010.0,2381.0,4065.0,25098.0,1471.0,11784.0,1400.0,1333.0
