,USSR,Bahrain,Australia & New Zealand,Australia,Pakistan,Thailand,Ethiopia,South Africa,Lebanon,Yemen,Tunisia,Albania,Brazil,Paraguay,Serbia,Slovenia,Montenegro,Argentina,Colombia,Spain,India,Malta,Ecuador,Madagascar,Republic of Moldova,Canada,Turkey,Switzerland,Belgium-Luxembourg,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Tajikistan,France,Republic of Korea,Egypt,New Zealand,Hungary,Kyrgyzstan,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",Cyprus,Kazakhstan,Uruguay,Lithuania,Portugal,Netherlands,Guatemala,Cuba,Slovakia,Romania,Turkmenistan,Philippines,Iraq,Czechia,United Republic of Tanzania,Belgium,Luxembourg,Libya,Italy,Qatar,Germany,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Honduras,Zimbabwe,Syrian Arab Republic,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Afghanistan,United Arab Emirates,Namibia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Viet Nam,Bosnia and Herzegovina,Russian Federation,Austria,Venezuela (Bolivarian Republic of),Mexico,Ukraine,Kuwait,Bolivia (Plurinational State of),Czechoslovakia,Croatia,Bulgaria,China
1971,828000.0,20.0,54899.0,53419.0,2300.0,250.0,,100000.0,17754.0,7000.0,33996.0,11800.0,72774.0,1600.0,,,,299664.0,850.0,1476200.0,8400.0,800.0,153.0,350.0,,9920.0,846500.0,12177.0,1367.0,1000.0,,,219800.0,,1219300.0,7112.0,15693.0,1480.0,222323.0,,252000.0,129730.0,9846.0,216540.0,18000.0,50836.0,,20000.0,,260000.0,153.0,500.0,-1.0,,345000.0,,,18000.0,,242.0,,,2500.0,1275500.0,,75514.0,,-1.0,,,61000.0,3908.0,105430.0,-1.0,90.0,66855.0,290110.0,1217.0,10000.0,20.0,24200.0,,70000.0,2.0,-1.0,800.0,,,,-1.0,,,47693.0,274.0,21438.0,,24.0,2500.0,25592.0,,169194.0,19217.0
1972,781000.0,20.0,58300.0,56800.0,2300.0,300.0,,100000.0,17799.0,7500.0,34629.0,11500.0,73772.0,1700.0,,,,304100.0,900.0,1540800.0,8600.0,810.0,131.0,350.0,,7970.0,850000.0,12403.0,1354.0,1000.0,,,214900.0,,1215200.0,7560.0,16803.0,1500.0,218488.0,,250142.0,146000.0,10327.0,214930.0,18000.0,46154.0,,20000.0,,260000.0,134.0,500.0,-1.0,,339221.0,,,24000.0,,323.0,,,4359.0,1292300.0,,77551.0,,-1.0,,,59000.0,2949.0,105852.0,-1.0,120.0,67016.0,260700.0,1590.0,8600.0,20.0,25500.0,,70000.0,3.0,-1.0,834.0,,,,-1.0,,,47693.0,144.0,21469.0,,28.0,2700.0,27217.0,,165785.0,19590.0
1973,759000.0,20.0,61950.0,59700.0,2500.0,300.0,,105000.0,16886.0,7500.0,36665.0,11800.0,57969.0,1800.0,,,,299400.0,1000.0,1574200.0,8700.0,800.0,122.0,370.0,,8460.0,816000.0,12551.0,1330.0,1000.0,,,210000.0,,1220600.0,8056.0,18063.0,2250.0,213339.0,,248649.0,160000.0,10778.0,222090.0,19000.0,46154.0,,22000.0,,260000.0,118.0,600.0,-1.0,,334500.0,,,30000.0,,403.0,,,4564.0,1302500.0,,80622.0,,-1.0,,,55000.0,3729.0,108134.0,-1.0,140.0,73917.0,241150.0,1791.0,8250.0,20.0,26800.0,,70000.0,6.0,-1.0,827.0,,,,-1.0,,,47693.0,191.0,23848.0,,25.0,2760.0,29127.0,,161557.0,20791.0
1974,784000.0,23.0,64850.0,62500.0,2500.0,400.0,,105000.0,16937.0,8000.0,38543.0,13000.0,53324.0,1800.0,,,,310000.0,1100.0,1567000.0,5200.0,810.0,88.0,545.0,,10230.0,795000.0,12523.0,1341.0,1000.0,,,207000.0,,1218600.0,7997.0,18904.0,2350.0,210330.0,,247139.0,180000.0,10802.0,236700.0,19000.0,46154.0,,22000.0,,260000.0,102.0,600.0,-1.0,,297652.0,,,35000.0,,484.0,,,6352.0,1320000.0,,83028.0,,-1.0,,,54000.0,4357.0,106334.0,-1.0,150.0,80536.0,234070.0,1571.0,8400.0,20.0,28200.0,,70000.0,8.0,-1.0,3233.0,,,,-1.0,,,49843.0,256.0,25724.0,,27.0,2820.0,30138.0,,164478.0,20571.0
1975,818000.0,23.0,66403.0,64047.0,2488.0,400.0,,105000.0,17000.0,8500.0,37730.0,14000.0,57709.0,1800.0,,,,331200.0,1200.0,1610600.0,5700.0,820.0,120.0,950.0,,10840.0,790000.0,12625.0,1346.0,1000.0,,,203000.0,,1194100.0,7433.0,17643.0,2356.0,206216.0,,246974.0,180000.0,10613.0,253490.0,19000.0,45485.0,,23000.0,,260000.0,97.0,700.0,-1.0,,295723.0,,,35000.0,,565.0,,,5870.0,1328000.0,,84970.0,,-1.0,,,52700.0,6545.0,105156.0,-1.0,160.0,81384.0,216940.0,1301.0,8220.0,20.0,29200.0,,70000.0,10.0,-1.0,4215.0,,,,-1.0,,,44540.0,342.0,24537.0,,24.0,2960.0,31472.0,,164850.0,20301.0
1976,827000.0,23.0,65900.0,63400.0,2450.0,400.0,,110000.0,15000.0,8800.0,34790.0,14800.0,60700.0,1800.0,,,,339100.0,1300.0,1622000.0,5100.0,800.0,103.0,1375.0,,11400.0,768000.0,13533.0,1352.0,1000.0,,,203000.0,,1226400.0,7354.0,21365.0,2500.0,199843.0,,245836.0,180000.0,10648.0,283840.0,20000.0,46154.0,,23000.0,,260000.0,80.0,700.0,-1.0,,298200.0,,,35000.0,,645.0,,,5990.0,1344500.0,,86296.0,,-1.0,,,55300.0,3076.0,105933.0,-1.0,200.0,94888.0,220990.0,1265.0,5560.0,20.0,29600.0,,70000.0,12.0,-1.0,4468.0,,,,-1.0,,,44540.0,473.0,29098.0,,25.0,3220.0,31907.0,,162401.0,21265.0
1977,851000.0,25.0,67498.0,64432.0,2409.0,1000.0,,100000.0,16500.0,10000.0,33448.0,15600.0,59610.0,1900.0,,,,340700.0,1400.0,1636900.0,9350.0,800.0,75.0,1585.0,,9000.0,760000.0,13578.0,1500.0,1000.0,,,209000.0,,1203900.0,7377.0,22879.0,3066.0,191798.0,,246000.0,181000.0,10070.0,293070.0,20000.0,46154.0,,16000.0,,260000.0,70.0,800.0,-1.0,,290600.0,,,32000.0,,726.0,,,6777.0,1347400.0,11.0,87730.0,,-1.0,,,61100.0,9373.0,102789.0,-1.0,220.0,93973.0,213030.0,1161.0,5710.0,20.0,29900.0,,70100.0,14.0,-1.0,4980.0,,,,-1.0,,,47000.0,613.0,31929.0,,39.0,3310.0,33199.0,,158592.0,21161.0
1978,845000.0,30.0,68627.0,64907.0,2460.0,1305.0,,120000.0,18000.0,10200.0,32990.0,16500.0,58223.0,2000.0,,,,341000.0,1400.0,1639622.0,8960.0,800.0,70.0,1400.0,,11900.0,790000.0,13468.0,1500.0,1000.0,,,198000.0,,1176600.0,6937.0,23144.0,3720.0,185703.0,,247000.0,181000.0,9190.0,291450.0,25000.0,34248.0,,12000.0,,275000.0,60.0,1000.0,-1.0,,289670.0,,410.0,30000.0,,806.0,,,6255.0,1349500.0,11.0,88917.0,,-1.0,,,62000.0,10053.0,100542.0,-1.0,220.0,93885.0,203350.0,1543.0,5490.0,20.0,29900.0,,70500.0,22.0,-1.0,4379.0,,,,-1.0,,,48677.0,688.0,40404.0,,40.0,3520.0,34185.0,,157444.0,26543.0
1979,867000.0,30.0,69982.0,65800.0,2528.0,2000.0,,113000.0,19000.0,10200.0,34036.0,17100.0,59912.0,2100.0,,,,316355.0,1450.0,1632026.0,9560.0,800.0,70.0,1595.0,,10350.0,850000.0,13525.0,1500.0,1000.0,,,191000.0,,1166000.0,7140.0,22034.0,4182.0,173829.0,,246000.0,181000.0,9040.0,281860.0,30700.0,34248.0,,16000.0,,275000.0,50.0,1200.0,-1.0,,256496.0,,390.0,28000.0,,887.0,,,6650.0,1297700.0,28.0,87592.0,,-1.0,,,50000.0,4020.0,115000.0,-1.0,250.0,96103.0,192840.0,2218.0,5860.0,21.0,30300.0,,66900.0,25.0,-1.0,5059.0,,,,-1.0,,,48677.0,672.0,38777.0,,40.0,3550.0,35585.0,,158025.0,32918.0
1980,902000.0,30.0,70058.0,65200.0,2537.0,3000.0,,115000.0,20000.0,11500.0,34700.0,17366.0,57345.0,2300.0,,,,318463.0,1500.0,1657400.0,10230.0,810.0,75.0,1595.0,,10570.0,820000.0,13602.0,1500.0,1000.0,,,185000.0,,1113800.0,7654.0,23979.0,4858.0,167744.0,,247000.0,182000.0,9455.0,281900.0,32000.0,34515.0,,12000.0,,250000.0,45.0,1600.0,-1.0,,259206.0,,390.0,25000.0,,968.0,,,6160.0,1349000.0,27.0,89485.0,,-1.0,,,52300.0,2245.0,115000.0,-1.0,280.0,99365.0,192000.0,2667.0,5680.0,21.0,30300.0,,66000.0,10.0,-1.0,4193.0,,,,-1.0,,,53981.0,660.0,46273.0,,40.0,3640.0,36715.0,,154179.0,34667.0
1981,943000.0,30.0,70107.0,64700.0,2563.0,2500.0,,100000.0,22500.0,12500.0,33340.0,17800.0,57529.0,2300.0,,,,318904.0,1600.0,1657000.0,10830.0,800.0,80.0,1615.0,,10386.0,800000.0,13737.0,1500.0,1000.0,,,186000.0,,1083000.0,9186.0,25223.0,5407.0,161282.0,,249000.0,182882.0,9416.0,290800.0,37000.0,34114.0,,20000.0,,250000.0,53.0,1400.0,-1.0,,256919.0,,390.0,25000.0,,1048.0,,,6400.0,1335000.0,30.0,89007.0,,-1.0,,,54400.0,2744.0,125000.0,-1.0,350.0,100200.0,182000.0,3448.0,4840.0,22.0,29900.0,,63900.0,12.0,-1.0,4034.0,,,,-1.0,,,54855.0,659.0,54274.0,,36.0,3620.0,37462.0,,169366.0,40448.0
1982,973000.0,30.0,68400.0,63700.0,2718.0,2000.0,,100000.0,23000.0,13101.0,32235.0,18000.0,57607.0,2400.0,,,,321210.0,1700.0,1658000.0,11430.0,450.0,80.0,1685.0,,10500.0,655000.0,13979.0,1500.0,1000.0,,,179000.0,,1069200.0,11162.0,26881.0,4700.0,159257.0,,246000.0,186263.0,9353.0,302500.0,46700.0,33445.0,,18099.0,,255000.0,50.0,1400.0,-1.0,,254674.0,,120.0,24000.0,,1129.0,,,4000.0,1322600.0,26.0,89022.0,,-1.0,,,57100.0,2841.0,122000.0,-1.0,350.0,100993.0,181000.0,3630.0,5570.0,22.0,29600.0,,62000.0,20.0,-1.0,2983.0,,,,-1.0,,,55314.0,582.0,57124.0,,32.0,3625.0,38367.0,,166988.0,50330.0
1983,996000.0,30.0,66900.0,61900.0,2785.0,2306.0,,100000.0,23500.0,13661.0,31400.0,19000.0,58269.0,2400.0,,,,318675.0,1240.0,1645330.0,12050.0,650.0,80.0,1750.0,,12040.0,655000.0,14134.0,1500.0,1000.0,,,178000.0,,1049700.0,14165.0,29400.0,5000.0,156656.0,,242000.0,193617.0,9690.0,302010.0,58400.0,33445.0,,18098.0,,255000.0,50.0,1400.0,-1.0,,255629.0,,100.0,22000.0,,1210.0,,,4000.0,1106839.0,27.0,90372.0,,-1.0,,,56700.0,2780.0,121000.0,-1.0,350.0,105800.0,171710.0,3899.0,5410.0,25.0,29300.0,,59900.0,25.0,-1.0,3831.0,,,,-1.0,,,56042.0,671.0,56082.0,,28.0,3625.0,38136.0,,147706.0,62299.0
1984,995000.0,30.0,65700.0,60200.0,2846.0,2400.0,,100000.0,23000.0,14000.0,31200.0,19000.0,56950.0,2500.0,,,,305981.0,1065.0,1587250.0,12390.0,630.0,75.0,1820.0,,13380.0,625000.0,13885.0,1427.0,1000.0,,,175000.0,,1032200.0,15514.0,32350.0,5500.0,154741.0,,238331.0,200083.0,9475.0,311600.0,64000.0,33177.0,,17000.0,,255000.0,44.0,1400.0,-1.0,,252546.0,,70.0,22000.0,,1290.0,,,3900.0,1099767.0,37.0,92195.0,,-1.0,,,56800.0,2167.0,112000.0,-1.0,350.0,105900.0,162480.0,4590.0,5400.0,25.0,28800.0,,57800.0,30.0,-1.0,5959.0,,,,-1.0,,,54847.0,635.0,63397.0,,24.0,3795.0,39070.0,,146436.0,68590.0
1985,948000.0,30.0,65886.0,59986.0,2800.0,2600.0,,95000.0,24000.0,14000.0,31775.0,19076.0,57855.0,1553.0,,,,291906.0,1450.0,1552387.0,12530.0,600.0,38.0,1800.0,,10880.0,625000.0,14031.0,1418.0,1000.0,,,172900.0,,1020400.0,16206.0,36130.0,5900.0,153564.0,,232294.0,202053.0,9262.0,316540.0,87000.0,30502.0,,16000.0,,265000.0,39.0,1500.0,-1.0,,249174.0,,140.0,20000.0,,1371.0,,,4000.0,1071773.0,32.0,93020.0,,-1.0,,,59200.0,6500.0,112000.0,-1.0,300.0,109895.0,157400.0,4837.0,5410.0,25.0,28400.0,,56400.0,39.0,-1.0,5262.0,,,,-1.0,,,53622.0,720.0,61704.0,,24.0,3652.0,38885.0,,144336.0,91837.0
1986,907000.0,30.0,64265.0,59965.0,2900.0,2834.0,,85000.0,25000.0,14500.0,31200.0,19190.0,57536.0,1578.0,,,,280314.0,1305.0,1531200.0,12500.0,620.0,19.0,1900.0,,12670.0,600000.0,14135.0,1404.0,1000.0,,,172000.0,,1002442.0,17037.0,45790.0,4300.0,147444.0,,229000.0,205537.0,8795.0,311840.0,115000.0,29833.0,,16000.0,,266200.0,35.0,1500.0,-1.0,,241300.0,,150.0,20000.0,,1452.0,,,4200.0,1060432.0,28.0,93059.0,,-1.0,,,59400.0,5503.0,108000.0,-1.0,280.0,112900.0,130430.0,5023.0,5100.0,20.0,28000.0,,50000.0,40.0,-1.0,5367.0,,,,-1.0,,,54210.0,758.0,73014.0,,56.0,3735.0,37680.0,,138427.0,120023.0
1987,878000.0,32.0,58200.0,53900.0,2900.0,1745.0,,95000.0,28566.0,14700.0,31890.0,19508.0,57806.0,1585.0,,,,270939.0,1393.0,1514000.0,15389.0,630.0,26.0,2000.0,,10415.0,590000.0,14188.0,1400.0,1000.0,,,168560.0,,989600.0,16813.0,46630.0,4300.0,144861.0,,229000.0,205502.0,8757.0,309050.0,143000.0,29164.0,,15000.0,,266700.0,35.0,1500.0,-1.0,,220400.0,,160.0,20000.0,,1532.0,,,6458.0,1055685.0,30.0,93276.0,,-1.0,,,47500.0,5447.0,115000.0,-1.0,280.0,115392.0,121570.0,5113.0,5160.0,20.0,27500.0,,50000.0,36.0,-1.0,5546.0,,,,-1.0,,,53793.0,777.0,54605.0,,50.0,3700.0,36660.0,,137026.0,148113.0
1988,884000.0,35.0,57962.0,53662.0,3200.0,1739.0,,95000.0,29025.0,14996.0,31500.0,19378.0,57070.0,1595.0,,,,264736.0,1448.0,1439900.0,21355.0,600.0,25.0,2000.0,,9924.0,590000.0,14176.0,1300.0,1000.0,,,161310.0,,945109.0,16119.0,46630.0,4300.0,142168.0,,227110.0,229920.0,8650.0,307880.0,146600.0,28000.0,,19500.0,,266800.0,35.0,1600.0,-1.0,,217500.0,,190.0,20000.0,,1613.0,,,6666.0,1046312.0,34.0,93475.0,,-1.0,,,46800.0,5737.0,117674.0,-1.0,280.0,114459.0,110830.0,4574.0,5110.0,22.0,27100.0,,52000.0,36.0,-1.0,5525.0,,,,-1.0,,,53811.0,811.0,51943.0,,50.0,3550.0,36243.0,,138088.0,151174.0
1989,891000.0,36.0,58141.0,53771.0,3216.0,2101.0,,95000.0,29379.0,15484.0,31620.0,19221.0,57825.0,1602.0,,,,258362.0,1466.0,1434900.0,24878.0,600.0,23.0,2000.0,,7273.0,597000.0,14752.0,1351.0,1000.0,,,156799.0,,924300.0,15836.0,45789.0,4370.0,140345.0,,226981.0,220114.0,8723.0,301500.0,138667.0,26800.0,,19650.0,,272600.0,30.0,1350.0,-1.0,,213400.0,,220.0,20000.0,,1694.0,,,6979.0,1037078.0,36.0,93945.0,,-1.0,,,48160.0,5643.0,118486.0,-1.0,260.0,109200.0,105640.0,4606.0,5110.0,25.0,24600.0,,52000.0,37.0,-1.0,6234.0,,600.0,,-1.0,,,54083.0,831.0,50419.0,,51.0,3490.0,35269.0,,139332.0,143273.0
1990,875775.0,38.0,58787.0,53914.0,3253.0,2118.0,,99817.0,29425.0,17106.0,28950.0,14058.0,58663.0,1604.0,,,,206014.0,1423.0,1402274.0,25102.0,587.0,51.0,2000.0,,6442.0,580000.0,14823.0,1314.0,1035.0,,,145919.0,,907778.0,14962.0,37952.0,4873.0,111000.0,,223442.0,224168.0,8685.0,299400.0,122600.0,25200.0,,20150.0,,273900.0,31.0,1400.0,-1.0,,223579.0,,260.0,18803.0,,2350.0,,,7313.0,1024282.0,34.0,94852.0,,-1.0,,,49800.0,11000.0,119626.0,-1.0,270.0,109000.0,87730.0,4678.0,4640.0,34.0,24000.0,,52000.0,34.0,-1.0,7532.0,,600.0,,-1.0,,,54942.0,924.0,47189.0,,55.0,3446.0,34965.0,,140315.0,127278.0
1991,845800.0,40.0,59902.0,54462.0,3488.0,2100.0,,99763.0,29446.0,17852.0,28750.0,13684.0,58913.0,1282.0,,,,204890.0,1499.0,1378892.0,24822.0,700.0,32.0,2000.0,,5762.0,586000.0,14927.0,1346.0,0.0,,,139255.0,,901829.0,14802.0,37274.0,5440.0,110228.0,,202910.0,231339.0,8799.0,297800.0,113933.0,23700.0,,11780.0,,280700.0,50.0,1470.0,-1.0,,225034.0,,280.0,17746.0,,2400.0,,,7500.0,992867.0,17.0,99405.0,,-1.0,,,50100.0,10000.0,120590.0,-1.0,273.0,109600.0,79880.0,4673.0,4440.0,19.0,23040.0,,52000.0,33.0,-1.0,6172.0,,600.0,,-1.0,,,54083.0,959.0,45831.0,,2.0,3168.0,34528.0,,138420.0,118606.0
1992,,45.0,62171.0,56371.0,3813.0,2200.0,,100527.0,29265.0,18645.0,28700.0,6193.0,59888.0,1290.0,,20484.0,,208468.0,1499.0,1309169.0,34010.0,800.0,32.0,2000.0,167291.0,6206.0,576000.0,15008.0,1350.0,0.0,-1.0,33571.0,133430.0,28500.0,907300.0,14957.0,57921.0,5800.0,111916.0,6100.0,,227201.0,8661.0,301959.0,139000.0,22250.0,16600.0,11500.0,,283200.0,41.0,1540.0,-1.0,,235432.0,17501.0,320.0,18947.0,,2500.0,,,7000.0,975411.0,17.0,100365.0,94500.0,-1.0,88870.0,23805.0,49500.0,12500.0,120690.0,-1.0,260.0,109000.0,73920.0,5038.0,4871.0,19.0,22800.0,-1.0,47845.0,27.0,-1.0,7340.0,86700.0,500.0,156000.0,-1.0,5200.0,107000.0,54083.0,940.0,42527.0,139798.0,10.0,3642.0,34000.0,56000.0,136570.0,144038.0
