,Bolivia (Plurinational State of),Peru,Spain,Belarus,Croatia,Serbia,Armenia,Syrian Arab Republic,Brazil,Yugoslav SFR,The former Yugoslav Republic of Macedonia,Japan,Iraq,Belgium,Greece,New Zealand,Yemen,Bulgaria,Australia & New Zealand,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Slovenia,Kyrgyzstan,Cyprus,Argentina,Ukraine,Georgia,Israel,Austria,Morocco,Switzerland,Mexico,USSR,Romania,Azerbaijan,Italy,Jordan,Bosnia and Herzegovina,China,Tunisia,Latvia,Albania,Uruguay,Lebanon,Uzbekistan,France,Occupied Palestinian Territory,Chile,Hungary,Kazakhstan,South Africa,Australia,Portugal,Lithuania,"China, mainland",Russian Federation,Turkey,Republic of Moldova,Belgium-Luxembourg
1971,180.0,917.0,546.0,-1.0,-1.0,-1.0,-1.0,429.0,5812.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,5.0,-1.0,1132.0,5.0,2300.0,-1.0,-1.0,-1.0,-1.0,107.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,1907.0,24000.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,270.0,-1.0,-1.0,-1.0,298.0,-1.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1510.0,-1.0,-1.0,-1.0,8313.0,-1.0,-1.0
1972,190.0,944.0,540.0,-1.0,-1.0,-1.0,-1.0,269.0,5984.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,6.0,-1.0,1097.0,6.0,2300.0,-1.0,-1.0,-1.0,-1.0,87.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,2014.0,21000.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,270.0,-1.0,-1.0,-1.0,299.0,-1.0,268.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1570.0,-1.0,-1.0,-1.0,8633.0,-1.0,-1.0
1973,200.0,986.0,903.0,-1.0,-1.0,-1.0,-1.0,161.0,3427.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,5.0,-1.0,1082.0,5.0,2450.0,-1.0,-1.0,-1.0,-1.0,67.0,-1.0,-1.0,-1.0,40.0,-1,-1.0,-1.0,2096.0,25000.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,300.0,-1.0,-1.0,-1.0,235.0,-1.0,285.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1610.0,-1.0,-1.0,-1.0,8667.0,-1.0,-1.0
1974,210.0,1001.0,751.0,-1.0,-1.0,-1.0,-1.0,174.0,4069.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,3.0,-1.0,1080.0,3.0,2450.0,-1.0,-1.0,-1.0,-1.0,67.0,-1.0,-1.0,-1.0,100.0,-1,-1.0,-1.0,2015.0,22000.0,-1.0,-1.0,-1.0,14.0,-1.0,-1.0,350.0,-1.0,-1.0,-1.0,243.0,-1.0,308.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1619.0,-1.0,-1.0,-1.0,8667.0,-1.0,-1.0
1975,230.0,963.0,769.0,-1.0,-1.0,-1.0,-1.0,180.0,4155.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,5.0,-1.0,930.0,5.0,2550.0,-1.0,-1.0,-1.0,-1.0,67.0,-1.0,-1.0,-1.0,50.0,-1,-1.0,-1.0,1974.0,28000.0,-1.0,-1.0,-1.0,14.0,-1.0,-1.0,371.0,-1.0,-1.0,-1.0,250.0,-1.0,317.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1632.0,-1.0,-1.0,-1.0,8667.0,-1.0,-1.0
1976,230.0,966.0,712.0,-1.0,-1.0,-1.0,-1.0,202.0,4064.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,3.0,-1.0,812.0,3.0,2550.0,-1.0,-1.0,-1.0,-1.0,67.0,-1.0,-1.0,-1.0,50.0,-1,-1.0,-1.0,1978.0,30000.0,-1.0,-1.0,-1.0,39.0,-1.0,-1.0,420.0,-1.0,-1.0,-1.0,250.0,-1.0,317.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1647.0,-1.0,-1.0,-1.0,8733.0,-1.0,-1.0
1977,230.0,938.0,702.0,-1.0,-1.0,-1.0,-1.0,225.0,3890.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,2.0,-1.0,646.0,2.0,2700.0,-1.0,-1.0,-1.0,-1.0,67.0,-1.0,-1.0,-1.0,50.0,-1,-1.0,-1.0,2192.0,32000.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,250.0,-1.0,290.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1658.0,-1.0,-1.0,-1.0,8567.0,-1.0,-1.0
1978,470.0,937.0,723.0,-1.0,-1.0,-1.0,-1.0,232.0,3974.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,3.0,-1.0,610.0,3.0,2700.0,-1.0,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0,35.0,-1,-1.0,-1.0,1845.0,25000.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,550.0,-1.0,-1.0,-1.0,500.0,-1.0,284.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1669.0,-1.0,-1.0,-1.0,8370.0,-1.0,-1.0
1979,470.0,910.0,766.0,-1.0,-1.0,-1.0,-1.0,234.0,4015.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,4.0,60.0,581.0,4.0,2700.0,-1.0,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0,30.0,-1,-1.0,-1.0,1578.0,15000.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,650.0,-1.0,-1.0,-1.0,300.0,-1.0,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1698.0,-1.0,-1.0,-1.0,8433.0,-1.0,-1.0
1980,470.0,979.0,715.0,-1.0,-1.0,-1.0,-1.0,241.0,3778.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,4.0,63.0,519.0,4.0,2700.0,-1.0,-1.0,-1.0,-1.0,27.0,-1.0,-1.0,-1.0,35.0,-1,-1.0,-1.0,2073.0,6000.0,-1.0,-1.0,-1.0,19.0,-1.0,-1.0,770.0,-1.0,-1.0,-1.0,300.0,-1.0,320.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1718.0,-1.0,-1.0,-1.0,9167.0,-1.0,-1.0
1981,470.0,972.0,665.0,-1.0,-1.0,-1.0,-1.0,256.0,3247.0,-1.0,-1.0,-1.0,-1.0,-1.0,300.0,5.0,57.0,413.0,5.0,2700.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,34.0,-1,-1.0,-1.0,2707.0,15000.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,550.0,-1.0,-1.0,-1.0,300.0,-1.0,334.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1731.0,-1.0,-1.0,-1.0,9167.0,-1.0,-1.0
1982,470.0,989.0,643.0,-1.0,-1.0,-1.0,-1.0,280.0,3370.0,-1.0,-1.0,-1.0,-1.0,-1.0,300.0,5.0,59.0,373.0,5.0,3401.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,30.0,-1,-1.0,-1.0,2787.0,8000.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,550.0,-1.0,-1.0,-1.0,300.0,-1.0,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1734.0,-1.0,-1.0,-1.0,8833.0,-1.0,-1.0
1983,470.0,984.0,572.0,-1.0,-1.0,-1.0,-1.0,400.0,3312.0,-1.0,-1.0,-1.0,-1.0,-1.0,300.0,8.0,59.0,409.0,8.0,3793.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,21.0,-1,-1.0,-1.0,2295.0,18000.0,-1.0,-1.0,98.0,27.0,-1.0,-1.0,780.0,-1.0,-1.0,-1.0,400.0,-1.0,280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1728.0,-1.0,-1.0,-1.0,8833.0,-1.0,-1.0
1984,470.0,992.0,567.0,-1.0,-1.0,-1.0,-1.0,300.0,3190.0,-1.0,-1.0,-1.0,-1.0,-1.0,300.0,8.0,59.0,413.0,8.0,3937.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,19.0,-1,-1.0,-1.0,1354.0,15000.0,-1.0,-1.0,133.0,20.0,-1.0,-1.0,830.0,-1.0,-1.0,-1.0,450.0,-1.0,289.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1725.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0
1985,470.0,953.0,1315.0,-1.0,-1.0,-1.0,-1.0,240.0,3133.0,2000.0,-1.0,-1.0,320.0,-1.0,1270.0,12.0,61.0,382.0,22.0,4200.0,-1.0,-1.0,-1.0,-1.0,20.0,2950.0,-1.0,-1.0,19.0,-1,1150.0,130.0,1058.0,15000.0,3250.0,-1.0,141.0,25.0,-1.0,700.0,880.0,-1.0,245.0,950.0,550.0,-1.0,272.0,-1.0,-1.0,500.0,-1.0,80.0,10.0,1721.0,-1.0,700.0,-1.0,9067.0,-1.0,60.0
1986,470.0,946.0,1220.0,-1.0,-1.0,-1.0,-1.0,240.0,2946.0,2200.0,-1.0,-1.0,320.0,-1.0,1215.0,16.0,63.0,377.0,26.0,4405.0,-1.0,-1.0,-1.0,-1.0,20.0,2950.0,-1.0,-1.0,26.0,-1,1150.0,130.0,687.0,15000.0,2850.0,-1.0,101.0,10.0,-1.0,700.0,950.0,-1.0,245.0,950.0,600.0,-1.0,246.0,-1.0,-1.0,500.0,-1.0,80.0,10.0,1716.0,-1.0,700.0,-1.0,9000.0,-1.0,60.0
1987,470.0,947.0,1220.0,-1.0,-1.0,-1.0,-1.0,230.0,2609.0,2180.0,-1.0,-1.0,320.0,-1.0,1120.0,117.0,65.0,375.0,125.0,4056.0,-1.0,-1.0,-1.0,-1.0,20.0,2950.0,-1.0,-1.0,25.0,-1,1150.0,130.0,582.0,15000.0,2850.0,-1.0,96.0,20.0,-1.0,700.0,1000.0,-1.0,245.0,950.0,650.0,-1.0,196.0,-1.0,-1.0,500.0,-1.0,80.0,8.0,1745.0,-1.0,700.0,-1.0,8933.0,-1.0,60.0
1988,518.0,942.0,1255.0,-1.0,-1.0,-1.0,-1.0,160.0,2269.0,2270.0,-1.0,-1.0,320.0,-1.0,1065.0,53.0,68.0,431.0,61.0,4211.0,-1.0,-1.0,-1.0,-1.0,15.0,2950.0,-1.0,-1.0,25.0,-1,2200.0,130.0,677.0,18000.0,2850.0,-1.0,93.0,20.0,-1.0,700.0,450.0,-1.0,235.0,950.0,700.0,-1.0,172.0,-1.0,-1.0,500.0,-1.0,80.0,8.0,500.0,-1.0,700.0,-1.0,8963.0,-1.0,60.0
1989,505.0,924.0,1265.0,-1.0,-1.0,-1.0,-1.0,260.0,2228.0,2360.0,-1.0,-1.0,320.0,-1.0,1050.0,32.0,80.0,386.0,37.0,4462.0,-1.0,-1.0,-1.0,-1.0,15.0,2950.0,-1.0,-1.0,25.0,-1,2200.0,130.0,638.0,18000.0,2850.0,-1.0,101.0,20.0,-1.0,700.0,420.0,-1.0,225.0,950.0,750.0,-1.0,180.0,-1.0,-1.0,500.0,-1.0,80.0,5.0,500.0,-1.0,700.0,-1.0,8933.0,-1.0,60.0
1990,500.0,741.0,1295.0,-1.0,-1.0,-1.0,-1.0,315.0,1888.0,2240.0,-1.0,-1.0,335.0,-1.0,950.0,48.0,82.0,382.0,56.0,3991.0,-1.0,-1.0,-1.0,-1.0,15.0,2644.0,-1.0,-1.0,24.0,-1,2300.0,132.0,636.0,17792.0,2986.0,-1.0,106.0,28.0,-1.0,700.0,409.0,-1.0,165.0,974.0,800.0,-1.0,161.0,-1.0,0.0,395.0,-1.0,80.0,8.0,500.0,-1.0,700.0,-1.0,9000.0,-1.0,64.0
1991,500.0,715.0,1290.0,-1.0,-1.0,-1.0,-1.0,294.0,1875.0,2260.0,-1.0,-1.0,284.0,-1.0,945.0,50.0,82.0,382.0,54.0,4024.0,-1.0,-1.0,-1.0,-1.0,15.0,2555.0,-1.0,-1.0,24.0,-1,2400.0,127.0,882.0,17228.0,2200.0,-1.0,95.0,35.0,-1.0,1100.0,300.0,-1.0,200.0,453.0,833.0,-1.0,163.0,-1.0,670.0,539.0,-1.0,73.0,4.0,500.0,-1.0,1100.0,-1.0,9067.0,-1.0,50.0
1992,520.0,700.0,1325.0,-1.0,123.0,-1.0,-1.0,405.0,1790.0,-1.0,126.0,-1.0,344.0,-1.0,895.0,52.0,82.0,350.0,57.0,4080.0,2400.0,-1.0,19.0,200.0,15.0,2675.0,-1.0,-1.0,25.0,-1,2400.0,130.0,1106.0,-1.0,2000.0,-1.0,91.0,29.0,-1.0,1500.0,400.0,-1.0,290.0,435.0,870.0,2500.0,153.0,-1.0,654.0,681.0,50.0,90.0,5.0,500.0,-1.0,1500.0,1500.0,9033.0,100.0,70.0
1993,530.0,709.0,1310.0,-1.0,113.0,-1.0,-1.0,495.0,1727.0,-1.0,116.0,-1.0,379.0,-1.0,860.0,51.0,87.0,253.0,66.0,4185.0,1900.0,-1.0,37.0,200.0,15.0,2794.0,-1.0,-1.0,25.0,-1,2600.0,131.0,1526.0,-1.0,1666.0,-1.0,93.0,30.0,-1.0,3300.0,600.0,-1.0,377.0,436.0,880.0,2633.0,150.0,-1.0,637.0,602.0,121.0,83.0,15.0,513.0,-1.0,3300.0,1500.0,9533.0,300.0,175.0
1994,530.0,721.0,1180.0,-1.0,110.0,-1.0,-1.0,590.0,1363.0,-1.0,88.0,-1.0,362.0,-1.0,855.0,55.0,87.0,324.0,55.0,4150.0,1570.0,-1.0,65.0,300.0,10.0,2914.0,-1.0,-1.0,25.0,-1,2800.0,107.0,918.0,-1.0,1800.0,-1.0,104.0,30.0,-1.0,3300.0,310.0,-1.0,449.0,422.0,910.0,2669.0,153.0,24.0,620.0,430.0,126.0,117.0,-1.0,400.0,-1.0,3300.0,1600.0,9467.0,100.0,70.0
1995,330.0,728.0,1200.0,-1.0,115.0,-1.0,-1.0,640.0,1370.0,-1.0,94.0,-1.0,371.0,-1.0,644.0,58.0,90.0,221.0,58.0,4500.0,1800.0,-1.0,15.0,200.0,12.0,2909.0,-1.0,-1.0,24.0,-1,2400.0,126.0,1182.0,-1.0,1700.0,-1.0,83.0,24.0,-1.0,4400.0,360.0,-1.0,409.0,431.0,911.0,2800.0,159.0,14.0,603.0,467.0,132.0,50.0,-1.0,200.0,-1.0,4400.0,1500.0,9600.0,100.0,99.0
1996,300.0,664.0,1070.0,-1.0,120.0,-1.0,-1.0,740.0,1370.0,-1.0,94.0,-1.0,361.0,-1.0,641.0,60.0,101.0,287.0,60.0,4582.0,2444.0,520.0,12.0,200.0,12.0,2932.0,-1.0,-1.0,23.0,-1,3000.0,125.0,1178.0,-1.0,1231.0,-1.0,80.0,-1.0,-1.0,6400.0,480.0,-1.0,394.0,437.0,902.0,2500.0,149.0,17.0,587.0,487.0,133.0,54.0,-1.0,200.0,-1.0,6400.0,1600.0,9800.0,200.0,105.0
1997,250.0,679.0,900.0,-1.0,119.0,-1.0,-1.0,650.0,1370.0,-1.0,100.0,-1.0,344.0,-1.0,565.0,63.0,101.0,300.0,63.0,3977.0,2176.0,500.0,-1.0,300.0,13.0,2980.0,-1.0,-1.0,22.0,-1,2800.0,100.0,845.0,-1.0,1500.0,-1.0,62.0,-1.0,-1.0,7500.0,520.0,300.0,391.0,446.0,-1.0,2570.0,147.0,13.0,570.0,406.0,100.0,60.0,-1.0,200.0,-1.0,7500.0,1600.0,10000.0,400.0,116.0
1998,200.0,540.0,627.0,-1.0,114.0,-1.0,-1.0,596.0,1400.0,-1.0,103.0,-1.0,330.0,-1.0,855.0,65.0,110.0,300.0,65.0,4192.0,1890.0,500.0,-1.0,300.0,13.0,3017.0,-1.0,800.0,16.0,-1,2800.0,80.0,1151.0,-1.0,1000.0,1700.0,71.0,-1.0,-1.0,8000.0,560.0,200.0,387.0,462.0,-1.0,2500.0,148.0,13.0,553.0,450.0,120.0,51.0,-1.0,200.0,-1.0,8000.0,1556.0,11082.0,400.0,150.0
1999,150.0,546.0,700.0,-1.0,95.0,-1.0,-1.0,665.0,1400.0,-1.0,99.0,-1.0,324.0,-1.0,328.0,67.0,120.0,300.0,67.0,4000.0,1694.0,520.0,-1.0,300.0,13.0,3000.0,-1.0,872.0,16.0,-1,2900.0,50.0,1110.0,-1.0,824.0,2800.0,64.0,-1.0,-1.0,10000.0,600.0,300.0,471.0,560.0,-1.0,2500.0,148.0,14.0,536.0,488.0,130.0,55.0,-1.0,200.0,100.0,10000.0,1600.0,10822.0,400.0,97.0
2000,130.0,580.0,466.0,-1.0,170.0,-1.0,-1.0,600.0,1500.0,-1.0,101.0,-1.0,320.0,150.0,200.0,70.0,129.0,300.0,70.0,3742.0,1768.0,560.0,-1.0,300.0,13.0,3089.0,800.0,700.0,16.0,-1,2900.0,10.0,1053.0,-1.0,963.0,2500.0,60.0,-1.0,-1.0,12000.0,630.0,300.0,504.0,620.0,-1.0,2500.0,145.0,13.0,520.0,451.0,500.0,55.0,-1.0,200.0,100.0,12000.0,1500.0,10440.0,300.0,-1.0
2001,115.0,547.0,838.0,-1.0,110.0,-1.0,-1.0,500.0,1500.0,-1.0,96.0,-1.0,310.0,147.0,180.0,77.0,148.0,300.0,77.0,3602.0,1518.0,570.0,-1.0,250.0,13.0,3122.0,900.0,590.0,16.0,-1,3100.0,7.0,1056.0,-1.0,1021.0,2500.0,37.0,-1.0,-1.0,13000.0,600.0,300.0,586.0,557.0,-1.0,2500.0,147.0,15.0,503.0,621.0,200.0,30.0,-1.0,200.0,100.0,13000.0,1500.0,10323.0,400.0,-1.0
2002,100.0,599.0,941.0,-1.0,116.0,-1.0,-1.0,370.0,200.0,-1.0,89.0,-1.0,300.0,334.0,170.0,74.0,162.0,200.0,74.0,4155.0,1200.0,620.0,-1.0,248.0,13.0,3200.0,800.0,400.0,16.0,-1,3000.0,8.0,987.0,-1.0,882.0,2600.0,69.0,-1.0,-1.0,13000.0,560.0,215.0,499.0,600.0,-1.0,3000.0,151.0,19.0,486.0,500.0,300.0,39.0,-1.0,200.0,200.0,13000.0,1600.0,10706.0,400.0,-1.0
2003,82.0,667.0,1012.0,1200.0,130.0,-1.0,-1.0,358.0,236.0,-1.0,91.0,81.0,280.0,439.0,160.0,77.0,190.0,167.0,77.0,4630.0,1800.0,660.0,-1.0,300.0,14.0,3156.0,1000.0,800.0,16.0,-1,3100.0,7.0,705.0,-1.0,1100.0,2661.0,69.0,-1.0,-1.0,13500.0,510.0,104.0,271.0,515.0,-1.0,3500.0,161.0,20.0,476.0,400.0,305.0,30.0,-1.0,300.0,168.0,13500.0,1000.0,10490.0,300.0,-1.0
2004,82.0,653.0,1334.0,3396.0,95.0,-1.0,-1.0,350.0,230.0,-1.0,93.0,49.0,266.0,552.0,141.0,79.0,230.0,125.0,79.0,5465.0,1608.0,1078.0,-1.0,300.0,13.0,3133.0,900.0,500.0,10.0,-1,3200.0,8.0,802.0,-1.0,1000.0,2677.0,69.0,-1.0,-1.0,14000.0,550.0,67.0,160.0,450.0,-1.0,4000.0,199.0,17.0,449.0,200.0,500.0,30.0,-1.0,300.0,166.0,14000.0,1300.0,10500.0,300.0,-1.0
2005,83.0,665.0,1373.0,539.0,70.0,-1.0,-1.0,380.0,215.0,-1.0,89.0,42.0,282.0,603.0,146.0,81.0,231.0,85.0,81.0,5805.0,1365.0,1344.0,-1.0,300.0,13.0,3156.0,900.0,1000.0,16.0,-1,3400.0,8.0,777.0,-1.0,946.0,2774.0,73.0,-1.0,210.0,15000.0,515.0,253.0,200.0,358.0,-1.0,5500.0,199.0,18.0,430.0,136.0,484.0,35.0,-1.0,300.0,159.0,15000.0,1100.0,10430.0,318.0,-1.0
2006,83.0,640.0,1380.0,401.0,78.0,1500.0,-1.0,360.0,185.0,-1.0,95.0,40.0,300.0,700.0,155.0,84.0,231.0,79.0,84.0,5500.0,-1.0,1673.0,-1.0,300.0,12.0,3150.0,900.0,180.0,16.0,-1,3220.0,7.0,693.0,-1.0,965.0,2641.0,79.0,-1.0,210.0,16000.0,470.0,43.0,500.0,320.0,-1.0,5859.0,190.0,27.0,424.0,101.0,200.0,30.0,-1.0,300.0,116.0,16000.0,1000.0,10400.0,327.0,-1.0
2007,84.0,641.0,1236.0,120.0,150.0,2000.0,269.0,380.0,196.0,-1.0,115.0,42.0,264.0,800.0,162.0,86.0,238.0,124.0,86.0,5200.0,-1.0,1741.0,-1.0,300.0,12.0,3200.0,900.0,250.0,16.0,-1,3743.0,7.0,735.0,-1.0,904.0,2996.0,71.0,-1.0,210.0,17000.0,430.0,48.0,900.0,303.0,-1.0,6000.0,190.0,36.0,413.0,110.0,194.0,32.0,-1.0,420.0,120.0,17000.0,1000.0,10080.0,344.0,-1.0
