,Costa Rica,Cuba,El Salvador,Dominica,Trinidad and Tobago,Peru,Belize,Mexico,Dominican Republic,Panama,Puerto Rico,Venezuela (Bolivarian Republic of),Nicaragua,Saint Lucia
1998,85723.0,44398.0,182637.0,72021.0,99821.0,46927.0,73289.0,37500.0,71319.0,59930.0,-1.0,94745.0,119044.0,60114.0
1999,97100.0,85282.0,181139.0,73387.0,99785.0,54852.0,94141.0,65786.0,77719.0,60705.0,69231.0,99589.0,118389.0,60527.0
2000,118890.0,82612.0,185714.0,70544.0,100000.0,52924.0,78462.0,73225.0,79341.0,58930.0,68889.0,98413.0,117733.0,60818.0
2001,91586.0,75867.0,175451.0,69718.0,100000.0,53025.0,97652.0,81261.0,76696.0,59765.0,67857.0,109078.0,117077.0,62799.0
2002,113691.0,102889.0,170874.0,68510.0,100000.0,56644.0,63259.0,94952.0,79100.0,58833.0,68570.0,94708.0,116421.0,62307.0
2003,171712.0,119626.0,165522.0,67531.0,100000.0,55738.0,62533.0,110274.0,111245.0,58840.0,69161.0,94997.0,115665.0,61947.0
2004,192264.0,108027.0,156961.0,66542.0,100000.0,53335.0,66000.0,126156.0,130641.0,71522.0,69383.0,108813.0,114810.0,62500.0
2005,115663.0,100099.0,149316.0,65590.0,100000.0,53200.0,62444.0,147047.0,64295.0,58600.0,69607.0,111956.0,113955.0,59412.0
2006,96095.0,100097.0,141877.0,64633.0,99517.0,57413.0,62143.0,169218.0,59031.0,59171.0,70149.0,109051.0,113099.0,57778.0
2007,86823.0,97399.0,134181.0,63679.0,100000.0,57366.0,104000.0,100000.0,62893.0,58827.0,70588.0,111830.0,112244.0,60000.0
2008,93805.0,90290.0,126375.0,62737.0,98172.0,53704.0,72609.0,249643.0,61995.0,58219.0,69737.0,111375.0,111388.0,62500.0
2009,90675.0,73778.0,118596.0,61811.0,97268.0,54833.0,54722.0,340000.0,64578.0,57015.0,66907.0,118620.0,116046.0,61111.0
2010,99745.0,69411.0,110980.0,57895.0,90000.0,55030.0,78072.0,393725.0,66405.0,55872.0,65000.0,115828.0,117290.0,63107.0
2011,94767.0,81332.0,103672.0,60137.0,96998.0,54551.0,88387.0,421176.0,65313.0,49108.0,62889.0,114759.0,136364.0,64310.0
2012,75922.0,100478.0,93478.0,59513.0,100000.0,54251.0,92273.0,460502.0,63132.0,53211.0,60714.0,111671.0,89888.0,67700.0
2013,98311.0,113367.0,93478.0,60000.0,100000.0,54207.0,91538.0,493286.0,59078.0,56958.0,58333.0,116912.0,98718.0,65750.0
2014,120000.0,161238.0,85368.0,57813.0,98769.0,54172.0,102353.0,424928.0,62284.0,57165.0,56592.0,113507.0,104392.0,65210.0
