,Cuba,Jamaica,Puerto Rico,United States of America,Singapore,Israel,Fiji,Australia,Panama,Pakistan,French Guiana,Paraguay,Samoa,Belize,Nepal,Ethiopia,Kenya,Guyana,Costa Rica,Bangladesh,Suriname,Brazil,Mozambique,Morocco,Australia & New Zealand,El Salvador,Chile,Honduras,Argentina,Colombia,Timor-Leste,Venezuela (Bolivarian Republic of),India,"China, Taiwan Province of",Ecuador,Réunion,Indonesia,Maldives,Dominica,Trinidad and Tobago,Melanesia,Malaysia,Grenada,Mexico,Yemen,Haiti,Oman,Democratic Republic of the Congo,Nigeria,Mali,Zimbabwe,Congo,Dominican Republic,Polynesia,Bolivia (Plurinational State of),Iran (Islamic Republic of),Peru,Ghana,Philippines,Cook Islands,China,"China, mainland",Bahamas,Guinea-Bissau,Côte d'Ivoire,Rwanda,South Africa,Thailand,Guatemala
1982,4400.0,147.0,180.0,890.0,,,,308.0,-1.0,938.0,-1.0,-1.0,550.0,-1.0,-1.0,,3800.0,-1.0,100.0,3125.0,-1.0,8228.0,4200.0,-1.0,308.0,-1.0,70.0,-1.0,-1.0,1500.0,-1.0,2689.0,27060.0,1618.0,1226.0,-1.0,36751.0,-1.0,-1.0,-1.0,,1600.0,,14655.0,1635.0,-1.0,255.0,10800.0,55000.0,700.0,-1.0,-1.0,920.0,572.0,1420.0,3.0,3287.0,-1.0,7170.0,22.0,1618.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,7800.0,-1.0
1983,3800.0,143.0,200.0,850.0,,,,296.0,-1.0,940.0,-1.0,-1.0,540.0,-1.0,-1.0,,3800.0,-1.0,210.0,3208.0,-1.0,9277.0,4200.0,-1.0,296.0,-1.0,75.0,-1.0,-1.0,1400.0,-1.0,2750.0,26960.0,2423.0,1475.0,-1.0,28321.0,-1.0,-1.0,-1.0,,1200.0,,15496.0,1667.0,-1.0,255.0,11200.0,55000.0,800.0,-1.0,-1.0,920.0,565.0,1400.0,3.0,2946.0,-1.0,6960.0,25.0,2423.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,8700.0,-1.0
1984,4100.0,172.0,150.0,1050.0,,,,366.0,-1.0,944.0,-1.0,-1.0,530.0,-1.0,-1.0,,3600.0,-1.0,200.0,3343.0,-1.0,13409.0,4200.0,-1.0,366.0,-1.0,75.0,-1.0,-1.0,1100.0,-1.0,2604.0,32000.0,3131.0,1543.0,-1.0,28981.0,-1.0,-1.0,-1.0,,3000.0,,22434.0,1690.0,-1.0,255.0,11500.0,55000.0,800.0,-1.0,-1.0,850.0,557.0,1578.0,3.0,3452.0,-1.0,6540.0,27.0,3131.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,8700.0,-1.0
1985,3900.0,176.0,160.0,1090.0,,,20.0,353.0,-1.0,956.0,-1.0,1200.0,520.0,-1.0,-1.0,,3900.0,-1.0,200.0,3400.0,-1.0,14953.0,4200.0,-1.0,353.0,290.0,78.0,-1.0,135.0,1360.0,-1.0,2641.0,31000.0,3543.0,1718.0,60.0,28050.0,-1.0,-1.0,-1.0,20.0,3000.0,,20617.0,2256.0,-1.0,258.0,11700.0,55000.0,800.0,-1.0,-1.0,880.0,547.0,1642.0,3.0,3328.0,-1.0,6194.0,27.0,3543.0,-1.0,-1.0,200.0,-1.0,-1.0,2400.0,8700.0,-1.0
1986,3900.0,172.0,200.0,970.0,,,20.0,298.0,-1.0,959.0,-1.0,1200.0,510.0,-1.0,-1.0,,3900.0,-1.0,200.0,3490.0,-1.0,22396.0,4200.0,-1.0,298.0,290.0,100.0,-1.0,135.0,1320.0,-1.0,2806.0,32959.0,4818.0,1911.0,60.0,36000.0,-1.0,-1.0,-1.0,20.0,3000.0,,22585.0,2329.0,-1.0,260.0,11900.0,55000.0,800.0,-1.0,-1.0,890.0,537.0,1748.0,3.0,3548.0,-1.0,6250.0,27.0,4818.0,-1.0,-1.0,200.0,-1.0,-1.0,2400.0,8700.0,-1.0
1987,3900.0,218.0,230.0,970.0,,,26.0,332.0,-1.0,969.0,-1.0,1200.0,500.0,-1.0,-1.0,,4000.0,-1.0,200.0,3646.0,-1.0,19301.0,4200.0,-1.0,332.0,290.0,130.0,-1.0,135.0,1500.0,-1.0,2738.0,32993.0,5146.0,1779.0,60.0,33000.0,-1.0,-1.0,-1.0,26.0,2700.0,,18780.0,2402.0,-1.0,268.0,12000.0,55000.0,800.0,-1.0,-1.0,1400.0,527.0,1853.0,3.0,4604.0,-1.0,3435.0,27.0,5146.0,-1.0,-1.0,200.0,-1.0,-1.0,2800.0,8700.0,-1.0
1988,3200.0,251.0,200.0,930.0,,130.0,59.0,352.0,-1.0,1073.0,-1.0,1200.0,490.0,-1.0,-1.0,,4200.0,-1.0,400.0,3965.0,-1.0,23626.0,4200.0,-1.0,352.0,290.0,200.0,-1.0,135.0,1800.0,-1.0,2621.0,35474.0,4207.0,1190.0,85.0,35183.0,-1.0,-1.0,-1.0,59.0,2700.0,,18711.0,2664.0,-1.0,273.0,12300.0,55000.0,800.0,-1.0,-1.0,1700.0,517.0,1750.0,30.0,5872.0,-1.0,3509.0,27.0,4207.0,-1.0,-1.0,200.0,-1.0,-1.0,2900.0,8700.0,-1.0
1989,4800.0,240.0,200.0,1010.0,,130.0,56.0,367.0,130.0,770.0,-1.0,1200.0,470.0,22.0,-1.0,,4200.0,-1.0,840.0,3820.0,-1.0,16875.0,4200.0,-1.0,367.0,290.0,310.0,-1.0,135.0,2000.0,-1.0,2519.0,35554.0,3100.0,1270.0,85.0,26307.0,-1.0,-1.0,-1.0,56.0,2700.0,,12280.0,2728.0,-1.0,285.0,12400.0,62000.0,800.0,-1.0,-1.0,1300.0,495.0,1790.0,30.0,5013.0,-1.0,3568.0,25.0,3100.0,-1.0,-1.0,200.0,-1.0,-1.0,2700.0,8700.0,-1.0
1990,2609.0,268.0,95.0,970.0,,127.0,47.0,335.0,120.0,796.0,-1.0,1211.0,440.0,40.0,1700.0,,4172.0,-1.0,520.0,3879.0,10.0,16012.0,4346.0,-1.0,335.0,290.0,350.0,30.0,121.0,1452.0,-1.0,2731.0,36518.0,2891.0,920.0,60.0,27880.0,-1.0,-1.0,-1.0,47.0,3700.0,,9832.0,2807.0,5.0,300.0,14000.0,65000.0,1000.0,7.0,90.0,2200.0,462.0,1845.0,32.0,4283.0,-1.0,6244.0,22.0,3291.0,400.0,-1.0,210.0,1650.0,-1.0,2900.0,8341.0,350.0
1991,1430.0,305.0,105.0,820.0,,485.0,20.0,303.0,130.0,823.0,-1.0,1188.0,410.0,19.0,1750.0,,4505.0,-1.0,613.0,4049.0,10.0,18495.0,4456.0,-1.0,303.0,500.0,244.0,35.0,120.0,2463.0,-1.0,2873.0,45200.0,3646.0,1120.0,50.0,24597.0,-1.0,-1.0,15.0,20.0,3700.0,,13919.0,2930.0,5.0,220.0,16000.0,66000.0,993.0,7.0,97.0,2200.0,438.0,1890.0,38.0,5339.0,-1.0,6371.0,28.0,4246.0,600.0,-1.0,66.0,1712.0,-1.0,2700.0,5288.0,350.0
1992,1511.0,501.0,58.0,980.0,,483.0,32.0,321.0,140.0,899.0,-1.0,1199.0,380.0,39.0,1980.0,,4786.0,-1.0,700.0,4322.0,11.0,20958.0,3542.0,7.0,321.0,1000.0,246.0,35.0,128.0,2187.0,-1.0,2920.0,47412.0,3804.0,1170.0,53.0,13157.0,-1.0,-1.0,15.0,32.0,3800.0,,17278.0,3046.0,5.0,225.0,17500.0,68000.0,1021.0,7.0,103.0,2200.0,430.0,1925.0,10.0,5863.0,-1.0,6490.0,50.0,4454.0,650.0,-1.0,80.0,1763.0,-1.0,2100.0,8071.0,350.0
1993,1015.0,690.0,91.0,1034.0,-1.0,481.0,1.0,351.0,143.0,914.0,-1.0,1206.0,350.0,79.0,1915.0,-1.0,5005.0,-1.0,778.0,4710.0,11.0,26322.0,4046.0,7.0,351.0,1400.0,270.0,37.0,138.0,2200.0,332.0,2800.0,55945.0,3763.0,800.0,35.0,10751.0,-1.0,-1.0,15.0,1.0,4500.0,,13410.0,3099.0,5.0,230.0,19000.0,77000.0,1100.0,7.0,109.0,2200.0,385.0,1965.0,15.0,7528.0,-1.0,6800.0,35.0,4533.0,770.0,-1.0,94.0,1815.0,-1.0,2200.0,12000.0,350.0
1994,860.0,903.0,79.0,891.0,-1.0,479.0,7.0,340.0,145.0,922.0,32.0,1210.0,320.0,52.0,1250.0,-1.0,5769.0,-1.0,1103.0,4927.0,12.0,29078.0,3842.0,10.0,340.0,1600.0,287.0,35.0,141.0,2250.0,338.0,4119.0,61450.0,3421.0,850.0,47.0,12235.0,-1.0,-1.0,15.0,7.0,5200.0,,18460.0,3215.0,5.0,185.0,20500.0,78000.0,1200.0,7.0,115.0,2200.0,365.0,2000.0,17.0,9388.0,-1.0,7052.0,45.0,4261.0,840.0,-1.0,107.0,1863.0,-1.0,2177.0,15000.0,420.0
1995,1365.0,697.0,102.0,985.0,-1.0,478.0,15.0,320.0,150.0,1000.0,60.0,1100.0,290.0,96.0,1300.0,-1.0,4658.0,-1.0,1200.0,5260.0,12.0,32926.0,4145.0,13.0,320.0,1800.0,293.0,36.0,148.0,2300.0,53.0,5453.0,61420.0,3410.0,900.0,46.0,11182.0,-1.0,-1.0,15.0,15.0,5400.0,,13987.0,3516.0,5.0,158.0,13700.0,80000.0,1208.0,7.0,121.0,2200.0,346.0,2050.0,14.0,11013.0,-1.0,7161.0,56.0,4250.0,840.0,-1.0,120.0,1950.0,-1.0,2254.0,16000.0,420.0
1996,1978.0,572.0,114.0,728.0,-1.0,476.0,20.0,316.0,160.0,1205.0,60.0,1050.0,260.0,97.0,1353.0,-1.0,5708.0,-1.0,1200.0,5260.0,12.0,33243.0,4300.0,16.0,316.0,2000.0,300.0,35.0,145.0,2723.0,41.0,4945.0,63780.0,3431.0,1070.0,46.0,9892.0,-1.0,-1.0,15.0,20.0,5100.0,-1.0,17322.0,3687.0,5.0,140.0,13308.0,81259.0,1300.0,7.0,127.0,2200.0,326.0,2100.0,15.0,12317.0,250.0,7375.0,66.0,4271.0,840.0,-1.0,132.0,1954.0,-1.0,2700.0,17500.0,420.0
1997,2384.0,627.0,114.0,809.0,-1.0,474.0,20.0,321.0,165.0,1500.0,60.0,950.0,230.0,151.0,1395.0,-1.0,5793.0,-1.0,1200.0,5390.0,12.0,39323.0,4300.0,20.0,321.0,2300.0,370.0,35.0,140.0,3363.0,38.0,5554.0,69419.0,3533.0,5000.0,48.0,10036.0,-1.0,-1.0,20.0,20.0,5100.0,-1.0,19703.0,3683.0,6.0,150.0,13404.0,82000.0,1278.0,7.0,133.0,3339.0,280.0,2110.0,16.0,13244.0,350.0,7490.0,50.0,4393.0,860.0,-1.0,144.0,2001.0,-1.0,2300.0,18500.0,560.0
1998,3442.0,638.0,188.0,850.0,-1.0,472.0,20.0,325.0,170.0,1704.0,60.0,930.0,239.0,176.0,1400.0,1400.0,5880.0,-1.0,707.0,5565.0,13.0,39733.0,4400.0,20.0,325.0,2500.0,378.0,35.0,147.0,4097.0,28.0,5759.0,67767.0,3526.0,4323.0,48.0,9886.0,-1.0,-1.0,25.0,20.0,5300.0,-1.0,19694.0,3762.0,6.0,160.0,13500.0,90000.0,1310.0,7.0,139.0,3053.0,323.0,2110.0,19.0,13891.0,370.0,7588.0,84.0,4726.0,1200.0,-1.0,156.0,2008.0,-1.0,2200.0,19500.0,700.0
1999,3221.0,434.0,150.0,785.0,-1.0,470.0,140.0,298.0,175.0,1717.0,60.0,1003.0,226.0,187.0,1500.0,2100.0,6105.0,7.0,682.0,5665.0,13.0,38890.0,4500.0,20.0,298.0,2700.0,380.0,38.0,150.0,4728.0,9.0,5719.0,60825.0,3687.0,5685.0,49.0,9946.0,-1.0,-1.0,35.0,140.0,5600.0,-1.0,17581.0,4031.0,6.0,100.0,13200.0,89817.0,1400.0,7.0,145.0,3942.0,263.0,2130.0,19.0,13819.0,385.0,7913.0,37.0,5187.0,1500.0,-1.0,167.0,2051.0,-1.0,2600.0,21000.0,700.0
2000,4642.0,353.0,173.0,668.0,-1.0,484.0,139.0,355.0,180.0,1955.0,60.0,1000.0,230.0,179.0,1550.0,2500.0,6340.0,7.0,619.0,6073.0,13.0,40202.0,3400.0,21.0,355.0,3000.0,380.0,60.0,154.0,4496.0,15.0,6810.0,70422.0,3496.0,4552.0,50.0,8886.0,-1.0,5.0,35.0,139.0,6000.0,-1.0,17153.0,4106.0,6.0,113.0,12648.0,89191.0,1341.0,7.0,152.0,3988.0,272.0,2140.0,31.0,13228.0,400.0,8440.0,42.0,5296.0,1800.0,-1.0,183.0,2095.0,30.0,2300.0,20228.0,700.0
2001,5987.0,377.0,191.0,789.0,-1.0,378.0,140.0,537.0,170.0,2046.0,60.0,950.0,242.0,201.0,1600.0,2713.0,7046.0,8.0,732.0,6882.0,13.0,35299.0,3700.0,21.0,537.0,3200.0,390.0,80.0,155.0,4416.0,25.0,6766.0,73700.0,3380.0,5250.0,50.0,10259.0,-1.0,5.0,35.0,140.0,6500.0,-1.0,22244.0,4536.0,6.0,147.0,12246.0,89776.0,1350.0,7.0,158.0,7100.0,283.0,2150.0,28.0,11669.0,437.0,8422.0,41.0,5380.0,2000.0,-1.0,193.0,2149.0,45.0,2500.0,16327.0,1150.0
2002,5429.0,418.0,219.0,696.0,-1.0,370.0,100.0,457.0,180.0,2078.0,60.0,972.0,246.0,299.0,1650.0,2500.0,6974.0,8.0,701.0,6882.0,14.0,35626.0,4100.0,21.0,457.0,3500.0,350.0,95.0,160.0,3715.0,30.0,8701.0,68000.0,3274.0,4500.0,51.0,10280.0,-1.0,5.0,35.0,100.0,7000.0,-1.0,20445.0,4673.0,7.0,147.0,12488.0,91000.0,1450.0,7.0,164.0,7600.0,293.0,2155.0,34.0,12221.0,475.0,8761.0,47.0,5274.0,2000.0,-1.0,210.0,2195.0,60.0,1900.0,18966.0,1250.0
2003,6688.0,427.0,97.0,633.0,-1.0,470.0,200.0,623.0,185.0,1920.0,65.0,980.0,243.0,299.0,1700.0,2371.0,8277.0,10.0,645.0,7103.0,14.0,36244.0,4200.0,22.0,623.0,4000.0,300.0,107.0,158.0,4078.0,40.0,7922.0,58200.0,3245.0,3791.0,50.0,9306.0,-1.0,5.0,35.0,200.0,7800.0,-1.0,26327.0,4779.0,7.0,140.0,12500.0,90774.0,1406.0,7.0,175.0,7000.0,293.0,2155.0,60.0,13584.0,500.0,8871.0,50.0,5745.0,2500.0,-1.0,211.0,2241.0,90.0,1500.0,17436.0,1300.0
